以下是重排後的段落式逐字稿：。这个运费的提高。[1505.52-1507.32] 这个运费的提高。[1507.32-1510.32] 那但是如果原物料涨是来自于需求上升。[1510.32-1510.52] 啊。[1510.52-1511.48] 各位了解到。

[1511.48-1513.32] 因为这个价格上升有两种。[1513.32-1514.76] 一种是这个里面破。[1514.76-1518.16] 这个是那个是那个是supply supply的关系。[1518.16-1520.36] 如果是因为需求减少。[1520.36-1522.04] 造成价格上升。[1522.04-1523.68] 那对我们是没好处的。

[1523.68-1525.92] 但如果是因为需求增加。[1525.92-1527.00] 把价格推升了。[1527.00-1528.16] 那对我们就有好处。[1528.16-1529.36] 大概来讲是这样子。[1529.36-1530.44] 所以呢。[1530.44-1533.20] 这个先要讲的是我们这个产业的。

[1533.20-1534.08] 景气循环。[1534.08-1535.48] 是给概念来讲。[1535.48-1536.48] 有点这样。[1536.48-1537.72] 那传统而言呢。[1537.72-1539.04] 比较常见的景气循环。[1539.04-1540.96] 我们大家就是跟着人家的假期。

[1540.96-1543.72] 所以呃农历年多半是因不好。[1543.72-1544.44] 然后呢。[1544.44-1545.84] 暑假大概也不太好。[1545.84-1550.00] 这个是比较大约的一个呃。[1550.00-1551.04] 景气循环。[1551.04-1552.12] 因为放假都不好。

[1552.12-1553.84] 这跟资本市场的有点类似的。[1553.84-1555.08] 就是发行案。[1555.08-1557.08] IPO没有人在农历年。[1557.08-1558.84] 然后圣诞节或者暑假做的。[1558.84-1560.56] 对很类似。[1560.56-1561.32] 那当然呢。

[1561.32-1562.76] 从去年来看的话到现在。[1562.76-1564.76] 我们现在比较值得关注的产业。[1564.76-1565.56] 情况。[1565.56-1568.28] 就呃还是有几个比较近期。[1568.28-1569.56] 欢中期的项目。[1569.56-1572.12] 我觉得值得我们来呃帮助的。

[1572.12-1574.16] 那第一个就是美国经济政策的变化。[1574.16-1577.36] 那因为其实为什么我们讲说从去年。[1577.36-1578.92] 呃淡季不怎么淡。[1578.92-1579.96] 但是其实也不怎么。[1580.00-1581.60] 往相相对来讲。[1581.60-1583.24] 活动是越来越减少。

[1583.24-1584.00] 然后呢。[1584.00-1585.84] 暑假算不是很淡。[1585.84-1587.00] 但是嗯。[1587.00-1588.80] 暑假过后没有往上跑。[1588.80-1590.32] 还往下掉啊。[1590.32-1590.88] 为什么呢。

[1590.88-1594.08] 那我们觉得其实美美国的不确定性。[1594.08-1596.88] 政治上的不确定性可能是一个蛮重要的因素。[1596.88-1598.32] 那么因为川普总统。[1598.32-1601.36] 他说他这个绅士业在选举期间中。[1601.36-1602.12] 甚至越来越高。[1602.12-1607.04] 大家也会担心这后续的关税贸易等等的这些相关因素。

[1607.04-1608.24] 尤其呢。[1608.24-1608.88] 呃。[1608.88-1609.84] 美国的。[1609.84-1611.64] 这样关税或是贸易政策。[1611.64-1615.08] 其实一定程度会影响到出口国的投资。[1615.08-1616.20] 所以呃。

