[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目。[30.00-59.98] 明镜与点点栏目。[60.00-89.98] 明镜与点点栏目。[90.00-119.98] 明镜与点点栏目。[120.00-149.98] 明镜与点点栏目。[150.00-179.98] 明镜与点点栏目。

[180.00-209.98] 明镜与点点栏目。[210.00-239.98] 明镜与点点栏目。[240.00-269.98] 明镜与点点栏目。[270.00-276.40] 明镜与点点栏目。[276.40-288.94] 明镜与点点栏目。[300.00-302.00] 在E2Y這一塊。

[302.00-304.00] 我們尤其是轉投資部份。[304.00-314.00] 這邊去年面臨COVID紅利時期過後的一些獲利。[314.00-318.00] 所以影響到轉投資公司的獲利表現。[318.00-322.00] 所以我們在轉投資在列投資第一的時候。[322.00-326.00] 這塊影響我們整年度的稅務經濟是相當的大。[326.00-329.00] 大概掉了2.28億左右。

[329.00-335.00] 這一塊待會其他的記者先生也會提問到。[335.00-340.00] 我們在後面的Q&A再做一些比較簡單的回顧。[340.00-345.00] 接下來我們看到我們的資產負債表。[345.00-347.00] 資產負債表部分。[347.00-353.00] 我們可以看到2024年第四季相較於2023年第四季。[353.00-358.00] 就是去年的期末相當於前年的期末來看。

[358.00-359.00] 我們的。[359.00-365.00] 不管是營收賬款 存貨 或者是印鋪賬款部分。[365.00-368.00] 都相較於2023年是來得多。[368.00-373.00] 那主要是因為營收增加所造成的這些營運資金的增加。[373.00-376.00] 所以這都是合理的狀況。[376.00-382.00] 因為我們不管是從存貨的貨領或是營收賬款的賬領來做解析。

[382.00-388.00] 目前公司的這些流動資產都是屬於非常健康的狀況。[388.00-391.00] 我們不管是有運期的部分。[391.00-395.00] 我們都會在近期短期內把它處理掉。[395.00-402.00] 所以目前從Senao第四季的合併報表的資產負債來看。[402.00-405.00] 其實都是相對健康的。[405.00-413.00] 那以上是我針對Senao2024年的整體的一頁一頁基礎的說明。

[413.00-414.00] 謝謝。[414.00-415.00] 謝謝。[415.00-416.00] 謝謝。[416.00-417.00] 謝謝。[417.00-419.00] 那關於。[419.00-424.00] 那我們是直接進到Q&A的部分。

[424.00-428.00] 那我們接下來就進入Q&A的這個階段。[428.00-431.00] 那我先針對有一些媒體。[431.00-434.00] 他們今天在。[434.00-438.00] 我們搜會之前的一些提問。[438.00-440.00] 那我們這邊先做簡單的回顧。[440.00-442.00] 那就。

[442.00-445.00] 有一位先進是問到就是說。[445.00-447.00] 2025年的展望。[447.00-448.00] Senao的營收。[448.00-449.00] 貨幣的展望。[449.00-452.00] 以及未來的成長功能又是哪些。[452.00-458.00] 2025年其實大家都會談到就是AI的部分。

