[0.00-1.00] 好
[30.00-32.56] 各位投资人 先敬大家午安
[32.56-35.74] 欢迎大家出席由元大证券局办的
[35.74-37.84] 联德控股线上法说
[37.84-40.76] 我是元大证券投资银行业务部的Roger
[40.76-44.64] 首先向大家介绍今天联德控股
[44.64-46.44] 今天出席的经营团队
[46.44-51.14] 第一位我们总经理于韩发于总
[51.14-53.34] 各位兄弟们大家下午好
[53.34-57.68] 第二位我们的财务总监黄群祥
[57.68-59.42] 黄财务总监
[59.42-62.48] 各位投资人大家下午好
[62.48-65.26] 今天的法案说明会流程将由财务总监
[65.26-68.60] 简报公司最新的领域概况及展望
[68.60-72.06] 简报结束之后开放线上投资先进提问
[72.06-75.00] 今天提问互动的方式将开放
[75.00-76.90] 各位直接开启麦克风提问
[76.90-79.60] 或以文字在问答区提问
[79.60-82.00] Roger将附送各位的问题
[82.00-83.34] 再由经营团队回复
[83.34-85.58] 接下来我们把时间交给
[85.58-87.14] 联德控股的财务总监
[87.14-89.10] 黄财务总监请
[89.10-91.66] 各位投资先进大家好
[91.66-94.10] 然后谢谢大家今天拨龙来参加
[94.10-99.86] 就是联德控股114年第一季的一个法所会
[99.86-108.08] 那我们就开始今天的一个财务级营运报告
[108.08-109.42] 那首先大家还是不会没错
[109.42-114.02] 就是联德控股KY的上市的代号是4912
[114.02-116.62] 那联德在2003年成立之今
[116.62-118.78] 主要我们是从这个精密金属模具跟
[119.10-122.66] 创建生产与销售开始拓展我们的业务
[122.66-124.98] 那至今我们也发展到了
[124.98-127.94] 几个各个产品不同的一个面向
[127.94-131.70] 包括在汽车与精密冲压部门APS
[131.70-133.80] 以及先进散热解决方案
[133.80-134.66] KTS
[134.66-137.54] 以及组装与集成我们ANI
[137.54-138.70] 那这三个部门
[138.70-142.46] 我们现在最主要一个发展的一个产品的应用的一个领域
[142.46-144.74] 主要是在这个汽车零组件
[144.74-146.02] 然后电子零组件
[146.02-149.06] 以及互联健身器材的一个应用的三大
[149.10-150.82] 领域为主
[150.82-153.02] 那这一张画面上面的一个
[153.02-155.30] 是我们最最最最大的一个厂办
[155.30-160.58] 在在昆山的联德精彩的厂房
[160.58-163.18] 那至今我们也将我们的脚步从过去
[163.18-166.90] 从两岸开始从昆山跟台台湾的桃园这边起家
[166.90-168.78] 那至今也扩散到
[168.78-172.30] 亚洲欧洲跟北美三三大市场的一个领域
[172.30-177.30] 那如果这边可以看到我们在说在中国在台湾以外
[177.30-178.86] 我们在
[178.86-182.46] 也投资了在汽车零组件的部分也投资了捷克
[182.46-183.58] 伊赫拉瓦
[183.58-185.26] 在墨西哥的克雷塔
[185.26-188.46] 以及今年下半年年底以前的
[188.46-190.66] 威投运营的这个泰国村屋里
[190.66-192.66] 那在电子零组件的部分
[192.66-193.98] 除了也是说两岸以外
[193.98-197.30] 我们现在的脚步也是拓展到马来西亚的乌莱
[197.30-198.58] 尼莱这个城市
[198.58-203.26] 那我们也也有一个在美国的一个Saint Jose的一个办公室
[203.26-208.82] 做一个这个我们在跟美国的一个终端客户沟通的一个主要的一个黑屋办公室
[208.86-213.46] 这是我们一个整个集团目前的substitutory的一个据点
[213.46-221.06] 那接下来进行就是第一季的一个财务方面面向的一个报告
[221.06-224.66] 第一季的营收达到新台币15.28亿元
[224.66-228.02] 那叫上季Q4
[228.02-229.58] 对我减少0.3%
[229.58-230.62] 基本上约当
[230.62-235.38] 那在营业毛利的部分达到新台币3.30亿元
[235.38-238.82] 毛利率是2C
[238.86-241.94] 1.6叫上期的23%
[241.94-244.94] 略微减少1.4%
[244.94-247.90] 那这最主要有受到产品结构比例的一个影响
[247.90-252.30] 等一下在后续的页面会跟各位做进一步的说明
[252.30-256.86] 那在营业费用的一个面向上叫是新台币2.32亿元
[256.86-261.46] 叫上届2.14亿元略微增加了8%
[261.46-266.34] 那这最主要是有受到一些我们在正在建置中的
[266.34-267.26] 不管是墨西哥
[267.26-268.82] 泰国以及马来西亚厂的一个
[268.82-275.74] 新厂办他还在设置阶段的一个产生了一个费用的影响
[275.74-284.94] 那至于在业外部分是没有增加了大概250万元
[284.94-289.46] 那这边有呈现有一部分是来自于兑换利益的部分
