[0.00-9.72] 那欢迎各位投资先进参加凯基举办亚洲水泥的线上法人会议
[9.72-14.78] 那今天的与会长官为陈伟仲经理以及投资人关系团队
[14.78-20.16] 那我们首先请投资人关系团队跟各位分享一下2020年的盈利贷款
[20.16-20.96] 谢谢
[20.96-25.06] 好各位午安
[25.06-27.66] 那我们现在开始跟各位报告
[27.66-34.08] 亚洲水泥我们在去年2024年还有第四季的一个财务的表现
[34.08-36.74] 那我们先看到简报
[36.74-44.18] 那首先看到就是我们第四季的一个综合整体的表现
[44.18-49.60] 其实可以发现到说在各个主要的一个部门来讲
[49.60-53.02] 其实表现都是比去年同期还要亮眼
[53.02-55.22] 那在台湾的部分
[55.22-57.62] 其实水泥的
[57.62-57.64] 其实水泥的表现
[57.64-62.56] 这个量价基本上都在第四季是维持一个比较稳定的一个状况
[62.56-64.88] 那在混凝土方面呢
[64.88-68.34] 其实虽然出货量有稍稍一些些下滑
[68.34-72.62] 但是其实在整个获利上面其实都还是蛮稳健的
[72.62-77.06] 整个台湾水泥事业的一个毛利率在第四季也是往上走
[77.06-79.46] 所以我们的营业经历也是在成长
[79.46-85.08] 那当然在第四季有一些央行的一些管制
[85.08-87.62] 所以导致房地产政策
[87.64-89.08] 上面是比较紧缩
[89.08-91.34] 那但是呢
[91.34-94.78] 我们也在预办方面也透过一些择优出货
[94.78-99.08] 这个策略使得我们毛利率只能在改善当中
[99.08-102.50] 那在中国水泥事业部分呢
[102.50-107.52] 在第四季有明显的一个减产的一个做法
[107.52-111.80] 那使得这个价格的回升的一个幅度呢
[111.80-116.26] 其实是比销量下滑还要更为显著
[116.26-117.62] 所以导致了一个很大的增长
[117.64-120.22] 导致我们的营收是有效幅的增加
[120.22-122.24] 那在炖毛利的部分呢
[122.24-125.12] 其实在第四季也是在价格回升之下
[125.12-127.30] 有一个明显的改善
[127.30-131.74] 也驱使这个中国的一个营业经历在第四季有明显的成长
[133.60-136.18] 那加费电力部分呢
[136.18-141.62] 因为我们的二期其实从去年下半年开始有一个增购合约
[141.62-145.12] 所以在第四季我们的发电量也明显的增加
[145.12-147.52] 所以导致我们的收费获利都是往上走
[147.64-150.24] 那再加上加费一期呢
[150.24-153.68] 因为受惠它的一个气价成本在往下走
[153.68-157.64] 所以使得加费电力的一个毛利率其实也是在改善
[157.64-162.00] 那在远龙不锈钢部分呢
[162.00-167.24] 在去年其实看到的是下游的一个回补库存的需求
[167.24-172.20] 所以在第四季我们也是保持一个小幅一例的一个情形
[172.20-175.08] 那在投资部门的其他部分
[175.08-176.14] 就是投资部门的部分
[176.14-176.80] 其实也是
[177.64-178.24] 获利的
[179.50-185.76] 那在权益法投资方面看到去年第四季的一个成长相当的显著
[185.76-189.04] 那其实从结构上来看了
[189.04-195.58] 主要是在山水这块山水水里这块那个有亏转的影像
[195.58-198.88] 那第四季通常是一个传统的淡季
[198.88-201.16] 在北方来讲是这样子
[201.16-203.68] 那但是有一个减产
[203.68-206.14] 然后价格回升的一个情况下
[207.64-209.50] 就是第四季的亏损
[209.50-213.76] 而第四季是有亏转全年也是亏损收敛的一个情况
[213.76-216.96] 那至于远东集团的转投资
[216.96-218.44] 远东新的部分呢
[218.44-221.10] 在生产事业他有一些体制的调整
[221.10-225.70] 那其他发现仿制部门的一个获利也相当稳定
[225.70-228.28] 那在运行运的部分的
[228.28-232.42] 虽然这个去年的运价在第四季其实是不尽理想
[232.42-235.12] 但是因为有一些这个
[235.12-236.32] 呃
[236.32-237.50] 关税政策
[237.50-240.00] 以及贸易的一个摇动
[240.00-242.36] 使得一些抢运潮的一个支持
[242.36-246.14] 所以第四季的获利其实在域名来讲还是相对不错
[251.46-254.66] 那再看到再看到亚洲我部分
[254.66-257.10] 那亚洲我在第四季的来讲
[257.10-259.64] 刚提到的这个呃
[259.64-260.56] 冲锋停产
[260.56-262.52] 然后使得价格回升的一个情况
[262.52-265.34] 其实在这边是可以看出来
[265.34-267.50] 那我们去年第四季的销量呢
[267.50-268.74] 水泥部分是6.1
[268.74-270.00] 其实是持平
[270.00-272.96] 可是我第四季并没有外卖手料
[272.96-275.66] 所以以水泥手料加总来看的话
[275.66-277.58] 总量其实是下滑
[277.58-280.04] 那我就全年来看的话呢
[280.04-282.62] 也是我们呃增加了一些手料外卖
[282.62-284.68] 但是水泥的销量是减少
[284.68-287.12] 如果合计来看的话
[287.12-292.28] 呃去年第四季是水泥加手料合计销量是下滑百分之六
[292.28-295.50] 那全年来讲是下滑百分之八呃相比全年全国来讲需求
[295.50-298.58] 下滑百分之十来讲
[298.58-300.56] 其实我们下滑的是稍微少一点点
[300.56-304.46] 那重点是在第四季的价格呢
[304.46-307.06] 有比较大大幅的反弹
[307.06-310.06] 是扭转了去年一直以来的下跌趋势
[310.06-313.48] 所以断毛率也是因此有有所改善
[313.48-314.82] 所以来到了50块
[314.82-320.12] 那这个断毛率50块算去比去年同期是增加不少
[320.12-325.18] 但是其实呢呃是有一些一次性的因素影响
[325.50-328.18] 那因为我们在去年第四季呢
[328.18-332.66] 有认列湖北亚东还有武汉亚新的一个资产减值
[332.66-336.50] 那这部分大概有呃1.1亿人民币
[336.50-339.32] 那影响到如果换算成断毛率的话
[339.32-341.38] 大概影响是18块钱
[341.38-344.10] 好所以如果加这18块钱回去的话
[344.10-349.56] 其实第四季的呃水泥的断毛率其实应该来到68左右
[349.56-352.56] 那为什么会有这个资产减值
[352.56-355.48] 就是主要是因为之前有跟各位报告
[355.50-360.36] 我们有规划在湖北这边要做一个产能置换
[360.36-365.48] 要将湖北亚东的两条线加上武汉亚新之前遞产的一条线
[365.48-369.84] 三条线换到黄冈亚东去盖黄冈二号线
[369.84-373.42] 那这个案子正在进行当中
[373.42-378.66] 所以也将这个原本要做转移的这个产线的
[378.66-381.36] 湖北亚东以及武汉亚新的产线呢
[381.36-384.68] 先开始去做一部分的一个资产减值
[384.68-385.20] 那
[385.50-391.14] 预计在整个置换班线完成之后会在认列另外一部分
[391.14-393.70] 那大概其实比例大概是一半了
[393.70-396.26] 所以现在已经先认列了一亿多
[396.26-399.32] 那预计在班线完成之后
[399.32-402.14] 还会在认列一亿多
[402.14-403.42] 大概是这样的情形
[403.42-408.28] 那另外在其他产品方面的其实也看到了
[408.28-412.64] 股票部分其实在销量方面有较明显成长
[412.64-414.42] 那在去年第四季
[414.42-415.46] 我们销售了股票的一半
[415.50-417.54] 大概有3.9百万吨
[417.54-421.38] 全年来讲销售将近1000万吨
[421.38-424.20] 那这个产能是持续的在上升
[424.20-426.50] 那有做一些去比进的一个动作
[426.50-430.10] 现在产能大概是接近有1000万吨
[430.10-431.88] 那股票的毛利率
[431.88-434.44] 虽然这几年是有稍微有些下滑
[434.44-436.74] 不过目前大概还维持在
[436.74-438.54] 大约50%左右
[438.54-439.82] 所以其实
[439.82-444.18] 还是比水泥的毛利是比以前好的
[444.18-445.20] 那这也是
[445.20-446.74] 两云中国这几年
[446.74-447.76] 维持
[447.76-451.08] 相对来讲在水泥下滑的情况下也支持
[451.08-456.72] 或获益的一个部分
[456.72-458.26] 再看到
[458.26-461.84] 好 接下来我们再看到这个合并损益表部分
[461.84-463.88] 那上半部部分营业经历
[463.88-466.44] 当然跟各位报告是成长
[466.44-468.24] 那在业外部分
[468.24-470.80] 军营法也是比较大幅的成长
[470.80-474.12] 那其他方面的业外来讲的话呢
[474.12-475.16] 其实
[475.20-478.28] 主要是金融评价这边有两亿多
[478.28-480.58] 那汇兑利益有两亿多
[480.58-482.62] 那投资性不通贩也有两亿多
[482.62-486.46] 所以这几块加起来其实也是一个不小的贡献
[486.46-487.74] 那在
[487.74-489.02] 营业费用部分
[489.02-492.36] 再补充一下营业费用部分看到是有
[492.36-493.38] 4亿9千
[493.38-496.20] 100万其实是比去年同期减少
[496.20-499.52] 那这部分要解释一下主要是因为
[499.52-501.06] 那你中国的一个
[501.06-503.10] 在地市级的一个坏账的回充
[503.10-504.64] 大概有
[504.64-506.94] 8千多万人民币大约是
[506.94-509.00] 台币4亿左右
[509.00-511.80] 那还有一些其他的一些
[511.80-513.60] 费用也有做一些回充
[513.60-520.52] 所以是这样子造成的结果
[520.52-522.56] 再往下看到这个是
[522.56-526.40] 资产负债表跟现金流量表那这部分
[526.40-529.22] 就请各位自己参考
[529.22-532.54] 如果有注意大家看到说
[532.54-534.60] 可能比较大的变动数字是在
[534.60-537.92] 现金跟短投这方面的转
[537.92-540.48] 比例上有一些变化那其实
[540.48-543.04] 主要是
[543.04-545.86] 定存跟活存之间分类的一个不同
[545.86-547.66] 所以其实没有什么太大的一个
[547.66-549.44] 特别的原因
[549.44-552.52] 那再看到下边
[552.52-556.36] 那在讲中国的生育表方面
[556.36-560.72] 一样是可能比较变动比较大部分是其他收益
[560.72-562.00] 跟损失
[562.00-564.56] 那在第4季这一步这个数字接近有
[564.60-565.62] 2亿
[565.62-569.72] 那是比去年农期多那主要就是刚提的这个坏账的回充
[569.72-573.56] 还有些其他费用的回充
[573.56-575.60] 那再往下看
[575.60-578.16] 再往下看
[578.16-582.78] 好
[582.78-588.16] 那
[588.16-589.94] 再讲一下这个
[589.94-591.74] 中国水的部分
[591.74-594.56] 那进入这个营运展望来看的话
[594.60-595.62] 其实
[595.62-599.72] 各位如果最近有follow这个中国的一个政策的话
[599.72-602.54] 其实会注意到两会这件事情
[602.54-605.60] 那其实以两会的一个
[605.60-607.66] 结论来讲的话
[607.66-608.68] 基本上
[608.68-610.72] 算是符合市场期待
[610.72-612.00] 那
[612.00-614.82] GDP的增速预期还是在5%
[614.82-618.66] 那是希望透过扩大财政刺激来托底经济
[618.66-619.94] 那
[619.94-622.76] 政府的赤字率要上升
[622.76-623.52] 所以
[623.52-624.56] 是显示出
[624.60-627.16] 加码托底经济的意愿
[627.16-628.18] 那当然
[628.18-633.04] 方向上面也会朝一些科技领域或是常在的方向去走
[633.04-635.86] 那地方的专项债在增加
[635.86-638.42] 所以是为了支持化债行动
[638.42-640.48] 那也开放
[640.48-643.54] 收购一些存量的库存房
[643.54-648.16] 也有助于这些基建跟房市的环境的改善
[648.16-652.50] 那另外加码特别国债部分是用于一些消费的补贴
[652.50-654.30] 还有制造业设备更新跟
[654.30-656.60] 补充这个国营的资本
[656.60-658.90] 那在房地产方面的话
[658.90-660.70] 开始不再去
[660.70-663.00] 琢磨在房住不炒这件事情上
[663.00-664.02] 而是
[664.02-667.62] 希望能够去推动房地产的指点维稳
[667.62-672.74] 那或者是朝向去库存跟扩展刚需等等方面的面积放宽
[672.74-675.30] 所以总体来讲其实是
[675.30-677.34] 偏向温和刺激
[677.34-678.62] 那
[678.62-683.74] 但是相对的其实也比较少触及到一些大量的实体投资
[683.74-684.26] 所以
[684.30-686.60] 目前市场看法认为
[686.60-691.98] 成业界的看法认为今年2025水利需求基本上可能还是在朝
[691.98-694.80] -5到-8的一个幅度在
[694.80-698.12] 就是跌幅趋缓的一个方向在走
[698.12-700.68] 那
[700.68-702.48] 供给链的部分
[702.48-704.26] 可以看到说其实在
[704.26-706.06] 第一季
[706.06-707.34] 售风的力道有
[707.34-708.88] 比较明显的加大
[708.88-709.90] 那
[709.90-714.26] 水银价格其实也在第二季去做一个反弹其实也是比往往的
[714.30-717.12] 所以显示说
[717.12-720.44] 行业对于停产保价共识是比较强
[720.44-723.00] 那从简报上面这边可以看到
[723.00-724.54] 其实像在
[724.54-728.90] 第三栏这边就是2025第一季来讲
[728.90-730.18] 江西四川
[730.18-732.22] 湖北这几个省其实
[732.22-733.76] 停产的幅度
[733.76-736.06] 跟天数就是比
[736.06-737.60] 前一季
[737.60-740.92] 跟还有比去年同期其实都有加大
[740.92-741.70] 力道
[741.70-743.48] 所以显示其实
[743.48-745.28] 这个影响的层面是
[745.28-747.06] 比往年还要高
[747.06-750.14] 那这趋势其实从去年第四季就开始看到
[750.14-751.92] 就是说
[751.92-755.76] 因应的这个需求的一个大幅的下跌
[755.76-759.36] 行业这边的做法其实看起来就是
[759.36-761.14] 希望能够做
[761.14-763.70] 比较大规模的一个错峰停产
[763.70-766.00] 来去做因应
[766.00-768.82] 这个做法其实
[768.82-771.90] 相对来讲必须说其实还是有它的一个
[771.90-773.44] 挑战存在
[773.48-774.50] 因为
[774.50-778.08] 过去水泥行业经历过比较多的
[778.08-779.88] 一次的一个循环
[779.88-782.96] 曾经大家因为
[782.96-785.00] 共同执行错峰减产
[785.00-786.28] 使得
[786.28-792.42] 行业曾经迎来不错的光景但也曾经因为需求的下滑使得错峰停产的一个
[792.42-793.20] 破局
[793.20-796.52] 那现在又引来这个错峰停产的一个执行
[796.52-798.32] 那使得行业的
[798.32-801.38] 价格看起来又开始有所回升
[801.38-803.44] 针结点是这根本原因在于
[803.48-806.80] 说这个错峰停产其实它是一个
[806.80-808.60] 比较偏向自律性
[808.60-810.14] 那当然官方
[810.14-812.70] 政府官方其实也是偏向
[812.70-814.24] 希望支持
[814.24-815.52] 所以
[815.52-817.82] 但是又缺乏一些
[817.82-819.36] 强制性的手段
[819.36-824.98] 所以就变成说其实这个还是一个比较充满变数存在
[824.98-827.54] 所以今年的行情其实
[827.54-829.84] 我们认为还是比较偏向
[829.84-830.88] 观望
[830.88-832.40] 那但是
[832.40-833.44] 至少目前
[833.44-836.26] 以第一季的开局来看的话呢
[836.26-838.30] 行业对于
[838.30-839.32] 减产
[839.32-845.22] 然后维持价格来讲是相对是有这样的一个情形的存在
[845.22-847.26] 所以
[847.26-853.40] 大家也比较自律的一个情形下其实在今年第一季看起来价格是表现是有
[853.40-856.74] 还不错的情况
[856.74-858.78] 那再看到煤炭的
[858.78-860.06] 成本
[860.06-862.88] 煤炭成本方面看起来是
[862.88-866.20] 今年预期是在700到800块之间整理
[866.20-868.00] 其实今年的开局其实
[868.00-869.80] 煤价是在走弱的
[869.80-870.30] 所以
[870.30-872.86] 比起去年来讲的话就
[872.86-877.72] 成本面会有一个价差存在
[877.72-879.78] 那就今年第一季
[879.78-881.82] 来看这个价量
[881.82-885.92] 的展望来讲其实量目前看起来
[885.92-886.94] 以
[886.94-888.48] 前两个月中
[888.48-892.84] 就是统计局公布的一个数据来看的话需求仍然是在下滑的情况下
[892.88-896.98] 那我们认为今年第一季我们的销量应该也是
[896.98-897.74] 可能在
[897.74-899.54] 负高个位数
[899.54-901.84] 可能7%-8%这样的一个
[901.84-904.92] 幅度就跟市场的幅度会差不多
[904.92-906.44] 在下滑
[906.44-909.78] 所以大概可能在400万吨附近
[909.78-911.06] 那
[911.06-912.60] 价格的部分
[912.60-914.38] 应该同比来讲
[914.38-918.48] 就是应该可以看到一些成长因为我们刚看前面的图其实
[918.48-920.02] 在2月
[920.02-921.80] 底就开始市场
[921.80-922.84] 价格就已经开始
[922.88-923.90] 有一些反转
[923.90-925.96] 3月有些地方也开始涨价
[925.96-930.56] 所以今年第一季的价格应该是有机会比去年好
[930.56-932.60] 所以在盾毛利的部分
[932.60-938.24] 因为价格如果比去年好的话刚看到没价成本就是下滑的所以
[938.24-941.06] 今年第一季的盾毛利应该是
[941.06-945.40] 渴望会比去年好
[945.40-946.94] 那再看到下面
[946.94-947.96] 那就是
[947.96-950.28] 补充就是股票事业部分
[950.28-952.32] 刚有报告过其实
[952.32-952.84] 我们现在
[952.84-954.88] 年产能大概是1000万吨
[954.88-955.92] 就是在
[955.92-957.70] 黄冈和江西
[957.70-959.76] 各有500万吨
[959.76-961.28] 那接下来
[961.28-963.08] 预计会在投产
[963.08-968.72] 新投产再到2027年的目标要增加到3000万吨也就是
[968.72-972.30] 黄冈和江西要各新增1000万吨
[972.30-974.08] 那在目前来讲
[974.08-975.12] 股票的
[975.12-977.68] 营收占比大概是7%
[977.68-980.48] 那毛利的占比大概有30%
[980.48-981.76] 所以
[981.76-982.80] 如果在
[982.84-984.88] 透过增加股票的
[984.88-988.98] 这个配置的话是可以达到产品组合改善的一个效果
