[0.00-6.64] 好那各位投資先進大家午安
[6.64-9.44] 歡迎參加華通電腦股票有限公司法人休明會
[9.44-12.10] 那我們今天很榮幸可以邀請到呂范財務長
[12.10-14.74] 以及李正宗的投資人關係經理
[14.74-16.30] 來與我們分享公司的近況
[16.30-19.52] 那我想我們時間一開始就交給財務長
[19.52-19.76] 謝謝
[30.00-37.06] 首先感謝富邦證券提供這麼好的場地
[37.06-39.18] 跟這個機會讓我們可以跟各位投資人
[39.18-41.04] 交流一下公司目前的現況
[41.04-44.08] 那接下來就由我這邊跟各位報告一下
[44.08-45.98] 簡報的內容
[45.98-51.08] 免則生命我就不照念
[51.08-52.58] 那這個就是
[52.58-59.98] 還是各位投資人
[60.00-61.40] 跟我們過往的簡報資料一樣
[61.40-63.76] 我們現在公司的幾個重要的產品
[63.76-66.10] 還是包含硬板軟板
[66.10-68.62] 那軟硬複合板跟SMT
[68.62-69.70] 那在這個裡面
[69.70-70.70] 在硬板的部分
[70.70-73.94] 我們現在又有著重在所謂的衛星
[73.94-76.22] Data Center跟光模塊這一塊
[76.22-78.92] 都是我們在積極開發的部分
[78.92-82.96] 原來我們就多麼很多的包含手機這一塊
[82.96-87.02] 也還是持續能夠保持目前的一個穩定的量
[90.00-93.50] 那我們在去年的全球PPV排名
[93.50-95.50] 那是第七位
[95.50-98.50] 那去年是724億的一個營收
[98.50-105.50] 比起2014到2014年的營收年負額成長率是7.3%
[105.50-107.50] 那目前我們有18000個員工
[107.50-110.00] 那有8座的一個工廠
[110.00-112.00] 那這裡面已經包含了泰國工廠
[112.00-114.00] 在去年第四季已經正式的量產
[114.00-119.80] 那這個就是我們全球的一個工廠的分佈
[119.80-124.80] 那可能重點看到是我們泰國廠的部分
[124.80-128.80] 泰國廠目前的員工數已經有大概七八百人了
[128.80-132.30] 那會逐步到1000人這樣的規模
[132.30-134.80] 那今年我們就如同之前跟各位報告
[134.80-137.80] 我們泰國廠原來的產能應該是
[137.80-139.80] 滿載的話是40萬
[139.80-142.30] 那但是我們會分期去做投入
[142.30-144.80] 但是以現在客人的需求來看
