[0.00-29.98] 謝謝大家
[30.00-32.00] 大家
[32.00-34.00] 大家
[62.00-64.00] 大家
[92.00-94.00] 大家
[122.00-124.00] 大家
[152.00-154.00] 大家
[182.00-184.00] 大家
[212.00-214.00] 大家
[242.00-244.00] 大家
[272.00-274.00] 大家
[302.00-304.00] 大家
[332.00-332.24] 大家
[332.24-333.24] 大家
[333.24-334.12] 大家
[334.12-336.08] 大家
[336.08-339.58] 大家
[342.74-345.58] 大家
[347.58-353.58] 大家
[359.08-361.98] A
[362.00-367.12] 明年开始的这些案子在产品的选择上
[367.12-370.00] 现在大家就是一个比较慌慌的状况
[370.00-372.88] 以台湾来讲在供应链里面
[372.88-375.04] 我们的双反税率是有优势
[375.04-378.44] 因为我们只有还几销税
[378.44-383.24] 还几销税台湾平均是7.9%左右
[383.24-385.72] URE是台湾面最低的
[385.72-389.00] 我们的还几销税是1.27%
[389.00-392.12] 所以以双反税率来说是有优势
[392.12-396.40] 但是还是得要等到退等关税明确以后
[396.40-402.56] 在美国的供应链的状况还是会比较明朗
[402.56-406.56] 另外就是上周美国中约有通过
[406.56-410.64] One Day Critical Fail的一个法案
[410.64-414.78] 这个会影响ITC的政策
[414.78-418.08] 预计7月参议院可能还会有
[418.08-418.98] 修正的一个法案
[419.00-422.08] 如果有修正或是说通过或反对
[422.08-426.28] 这个我们还是持续的在做一个观察
[426.28-429.24] 那以Evolving是预估说
[429.24-433.04] 今年美国自己本土的模组
[433.04-436.16] 大概是50.5BW
[436.16-439.68] 但是美国本土电池只有2.3BW
[439.68-444.20] 那排除Thread Solar等等模模模的模组
[444.20-448.48] 那美国还是会有37BW的一个电池产能缺口
[448.48-448.92] 所以
[449.00-454.12] 这一个部分全球供应链都还在观察
[454.12-456.68] 那印度部分
[456.68-460.00] Bluber似乎今年安装39BW
[460.00-462.56] 比去年大幅成长19%
[462.56-468.72] 印度持续都是一个就是成长的爆发性很强的一个地区
[468.72-473.32] 那当地的政府的招标还有研究还是持续进行
[473.32-477.68] 所以我们认为印度市场未来应该还是有很大的发展
[477.68-477.92] 那我们也有一个问题就是在这个关系上的关键是什么呢?
[477.92-478.96] 那我们也有一个问题是在这个关系上的关键是什么呢?
[479.00-482.84] 最传统的太阳能市场欧洲
[482.84-486.68] 欧洲还是这几年其实因为电网的负载能力
[486.68-491.28] 还有就是说这两年它的电价的下销
[491.28-493.60] 对太阳能安装会有些压力
[493.60-496.92] 不过因为我们刚从这个
[496.92-500.00] 慕尼黑的Intersolar回来
[500.00-505.72] 那其实欧洲的再生能源包括太阳呢还是持续蓬勃发展
[505.72-506.88] 那主要是现在的储能的成本相对来说是很强的
[506.88-507.68] 那主要是现在的储能的成本相对来说是很强的
[507.68-510.00] 那主要是现在的储能的成本相对来说是很强的
[510.00-512.44] 那现在可以帮助电价储能
[512.44-515.12] 所以说其实在这样的状况下
[515.12-518.40] 其实投保率还是有一定的支撑
[518.40-522.92] 所以我们欧洲的安装量还是会有一定的支撑
[522.92-524.40] 那总体来说
[524.40-527.84] Google图2026到2030
[527.84-530.92] 虽然成长的幅度不会之前的大
[530.92-534.44] 但是如果以平均来讲说来看
[534.44-537.44] 大概每年就是4到5%的一个成长
[537.44-541.20] 所以这个市场的成长性还是在
[541.20-543.68] 那台湾的部分
[543.68-545.92] 台湾从前年选举
[545.92-547.92] 那下半年其实
[547.92-553.44] 大家都知道这个市场的安装有明显的趋缓
[553.44-557.68] 那主要还是一个政策上的一些问题
[557.68-562.96] 就是区块的发的也是速度相当的慢这样子
[562.96-567.08] 那本来预估在去年国人之后
[567.44-569.80] 应该会有反弹
[569.80-574.44] 那但是观察到现在其实并没有明显的反弹
[574.44-576.16] 那一些问题还是存在
[576.16-583.48] 不过政府今年年初也开始有一些新的一些做法
[583.48-591.92] 来促进他们地方跟中央政策上的一个差异
[591.92-594.40] 去拟平这样的问题
[594.40-596.92] 让许可可以发的比较快
[597.44-604.44] 但是其实还没有明显的看到很明显的一个不俗的一个状况
[604.44-607.44] 那还是一样以发行旅店为主
[607.44-610.44] 那小型屋顶为主
[610.44-614.44] 现在主要的台湾这一个市场状况是这样子
[614.44-617.44] 那PP InfoLink是多
[617.44-618.44] 以去年来讲
[618.44-622.44] 去年是新装是台湾一点发品的话
[622.44-624.44] 那InfoLink是多
[624.44-626.44] 因为过去还是有蛮多案子是延宕的
[627.44-630.44] 所以说它是在今年开始安装
[630.44-636.44] 所以认为今年大概会稍微的成长到2哩拉瓦左右点安装
[636.44-642.44] 不过台湾政府还是持续的在希望推动这个战胜的原因
[642.44-644.44] 包含太阳能
[644.44-647.44] 所以台湾政府经济度的目标2030年
[647.44-650.44] 累计安装31.2哩拉瓦
[650.44-652.44] 还是持续还是维持的
