[0.00-8.68] 各位嘉宾各位媒体朋友
[8.68-12.74] 非常欢迎您参加台传公司法人说明会
[12.74-17.56] 接下来为各位介绍今天在线上的经营团队
[17.56-20.56] 蔡昆忠总经理
[20.56-23.74] 各位投资先进大家好
[26.74-29.52] 周志明副总经理继发言人
[29.52-32.86] 各位投资朋友及媒体大家好
[32.86-37.58] 财务处郭沛贤副处长
[37.58-41.16] 各位媒体朋友投资先进大家午安
[41.16-45.24] 计划处李彦强处长
[45.24-48.92] 各位投资先进及媒体朋友大家好
[48.92-53.06] 业务处袁国龙处长
[53.06-54.12] 大家好
[56.54-59.40] 首先请就台传公司营运成果
[59.40-59.50] 请就台传公司营运成果
[59.52-61.24] 及未来展望做简报
[61.24-65.60] 接下来我们把时间交给计划处理处长
[65.60-66.00] 谢谢
[66.00-73.38] 所有投资先进及各位媒体朋友大家好
[73.38-77.80] 接下来由台传公司计划处长李彦强
[77.80-79.58] 为大家进行简报
[79.58-84.12] 那在简报之前请大家
[84.12-89.50] 没办法
[89.52-95.24] 请大家参考一下这个免责声明
[95.24-100.72] 那主要是因为我们本次法作会所提供的简报
[100.72-103.06] 及相关资讯所提供的资讯
[103.06-107.14] 是基于公司目前可以得到的资料所制作
[107.14-109.70] 不过因为在资料内容
[109.70-113.90] 仍然涉及到一些我们公司无法掌控的
[113.90-115.86] 这些风险跟不确定性
[115.86-119.44] 所以也有可能会发生实际结果
[119.44-122.66] 跟预期状况有重大差异的情形
[122.66-126.28] 所以提醒各位不要过度依赖这些资讯
[126.28-130.68] 那也如果也不要随便任意启用
[130.68-134.08] 那详细的内容就麻烦大家参考
[134.08-140.82] 那我这次简报的大纲分成四个部分
[140.82-145.58] 第一个是会先说明一下公司的营运概况
[145.58-148.88] 接下来会说明一下我们产业的趋势
[148.88-149.42] 跟市盈盖矿
[149.44-155.02] 然后接下来会说明一下公司经营的方向跟策略
[155.02-156.50] 最后做一个结尾
[156.50-161.42] 一有关于这个公司的营益概况
[161.42-165.42] 那首先说明一下近年的营收概况
[165.42-169.50] 那这边有提供四年的这个营收资料
[169.50-172.84] 那主要都是根据我们公开的资料
[172.84-177.90] 那其中113年是根据我们公司的自结数
[177.90-179.42] 那从这张表上来看
[179.44-181.92] 大家可以看出来我们的营收
[181.92-186.06] 在110年大概有191亿
[186.06-190.06] 然后111亿有219亿
[190.06-193.20] 112有214亿
[193.20-196.56] 113年Q3112亿
[196.56-200.44] 113年前年大概有144亿
[200.44-205.46] 那主要就是因为商船的这个业务不足
[205.46-209.30] 那反映在这个税前存储的情况下
[209.44-216.06] 我们的这个存益除了114年有为51031万的存益以外
[216.06-219.06] 接下来就是产生亏损
[219.06-223.06] 那其中111年是亏了大概35亿
[223.06-226.06] 112年大概亏了40亿
[226.06-231.06] 那113年前年大概是亏了27.8亿
[231.06-234.06] 那最后净利也差不多
[234.06-239.16] 那111年大概亏了35.48亿
[239.44-242.06] 那113年大概亏了42亿
[242.06-243.06] 那113年大概亏了40亿
[243.06-246.06] 113年大概亏了12.69亿
[246.06-253.06] 那113年前年大概就是亏了27.93亿
[253.06-255.06] 那反映在EPS的话
[255.06-258.06] 112年是-3.78
[258.06-261.06] 112是-4.32
[261.06-265.06] 那113年Q3是-1块
[265.06-269.06] 在113年前年的话就是-2.2
[269.44-271.44] 好 下一页
[271.44-276.44] 接下来说明一下我们近年的营运项目的比重
[276.44-282.44] 那从这张表大家也可以看得出来我们公司的主要的营收
[282.44-287.44] 第一个就是舰艇的建造也就是造舰
[287.44-290.44] 大概从113年的70%
[290.44-297.44] 然后112年55%到113年61%都是维持一个高比例
[297.44-299.44] 那商船的部分呢
[299.44-304.44] 就是船舶建造部分111年有23%
[304.44-306.44] 112年有26%
[306.44-308.44] 然后113年7%
[308.44-311.44] 从这个113年就大幅降低了
[311.44-314.44] 所以这个也就是变成我们公司要
[314.44-316.44] 极力在争取的部分
[316.44-318.44] 那再来
[318.44-324.44] 在那个修船方面也是船舰的维修
[324.44-328.44] 大概都维持111年的5%
[328.44-330.44] 112年的8%
[330.44-333.44] 然后在113年的也是8%
[333.44-335.44] 那另外在海工
[335.44-338.44] 制机跟海工方面
[338.44-341.44] 111年0%
[341.44-343.44] 但是112有7%
[343.44-345.44] 113年有21%
[345.44-348.44] 那其他的工程也大概都很维护
[348.44-350.44] 这边就不再赘述
[350.44-352.44] 请大家参考
[352.44-357.44] 接下来说明一下113年的完工业务
[357.44-363.44] 那我们113年有整个完工加护的业务
[363.44-367.44] 包括海军的新型救难舰
[367.44-369.44] 这个是原型舰
[369.44-370.44] 这有一艘
[370.44-373.44] 海型鼠有1000吨行航舰一艘
[373.44-375.44] 4000吨的行航舰一艘
[375.44-381.44] 那中油的5万吨有品化学轮有一艘
[381.44-383.44] 那另外就是高轮公司
[383.44-386.44] 它在电力驱动渡轮有两艘
[386.44-387.44] 电力驱动
[387.44-389.44] 有港轮有一艘
[389.44-392.44] 所以前年我们总共交了7条船
[394.44-398.44] 那在113年的成长的重要业务包括
[398.44-403.44] 在3月14号得标就是
[403.44-408.44] 国海宴100吨级跟300吨级海洋支持
[408.44-411.44] 基础资料调查船各一艘
[411.44-414.44] 那在6月11号也得到这个
[414.44-416.44] 关乎署100吨行器
[416.44-418.44] 领两艘
[418.44-425.44] 在8月26号中航公司21万吨载动吨的
[425.44-429.44] 省中后轮有2加2艘签约
[429.44-433.44] 那在100在1月15号万海
[433.44-437.44] 8月是这个是落在今年的1月15号
[437.44-443.44] 那万海公司主要得到这个8700的后柜船12加4艘
[446.44-449.44] 接下来说明一下那个手持订单
[449.44-452.44] 那我们在一般的商船
[452.44-458.44] 交易实机船有一艘海洋资料调查船两艘
[458.44-460.44] 21万吨闪端后轮两艘
[460.44-462.44] 另外有两艘的选择权
[462.44-465.44] 那8700的后柜轮12艘
[465.44-467.44] 另外有4艘的选择权
[467.44-470.44] 所以一般的商船总共有17艘
[470.44-473.44] 那在金舰跟公务船方面
[473.44-475.44] 有浅舰的原型舰
[476.44-479.44] 另外就是海军服务一艘
[479.44-481.44] 4000吨型防舰一艘
[481.44-483.44] 1000吨的型防舰三艘
[483.44-487.44] 以及高纬度远洋型护船六艘
[487.44-489.44] 100吨级的行驱艇两艘
[489.44-491.44] 这边总共有14艘
[491.44-497.44] 那在修建方面有载台工程安装及施工案
[497.44-499.44] 船舰载台性能的提升案
[499.44-502.44] 那在海攻及制机方面
[502.44-506.44] 有石化品除草统包的工程26座
[506.44-509.44] 潮车装卸工厂统包工程一案
[509.44-511.44] 船舶租赁
[511.44-515.44] 还有包括这个偷泊业务
