[0.00-3.72] 欢迎大家参加亚洲光学股份有限公司
[3.72-7.22] 2024年第四季线上法人说明会
[7.22-11.92] 今天将由本公司赖宇仁董事长主持
[11.92-13.44] 会议过程中
[13.44-17.36] 各位可以利用投影片右下方空白处输入问题
[17.36-21.92] 在报告结束后Q&A的时间将会为大家解答
[21.92-24.80] 各位先进朋友午安
[24.80-28.02] 欢迎参加今天的线上法人说明会
[28.02-30.38] 首先请董事长致辞
[30.38-34.64] 好 各位媒体及投资朋友大家好
[34.64-37.60] 我是亚洲光学公司董事长赖仁
[37.60-41.90] 欢迎各位参加亚洲光学线上法人说明会
[41.90-46.00] 2024年公司业绩相当的热络
[46.00-50.54] 合并预收达230.47亿元
[50.54-53.18] 年增率29%
[53.18-58.00] 归属于本公司业主经营约16.16亿元
[58.02-61.04] 创下2008年以来的新高
[61.04-66.96] 更加去年成长大幅成长108%
[66.96-68.62] 也就是超过两倍
[68.62-71.58] 基本每股盈余5.79元
[71.58-76.52] 展望今年亚光将持续应用多元化的光学产品设计
[76.52-80.18] 以制造能力发挥产品多元效益
[80.18-82.18] 同时也将继续深化
[82.18-85.28] MetaLens布局以技术创新优势
[85.28-87.42] 抢占未来AI快速发挥的目标
[87.42-87.44] 未来AI快速发挥的目标
[87.44-88.00] 未来AI快速发挥的目标
[88.02-118.00] 未来AI快速发挥的目标
[118.02-148.00] 未来AI快速发挥的目标
[148.02-178.00] 未来AI快速发挥的目标
[178.02-208.00] 未来AI快速发挥的目标
[208.02-238.00] 未来AI快速发挥的目标
[238.02-268.00] 未来AI快速发挥的目标
[268.02-298.00] 未来AI快速发挥的目标
[298.02-306.04] 未来AI快速发挥的目标
[328.02-336.36] 流動資產主要包括現金及金融資產約有132億9800萬元左右
[336.36-341.02] 營收賬款約有78億9700萬元
[341.54-346.16] 存貨大約有35億9500萬元左右
[346.16-354.52] 其中現金及金融資產較上一季大幅增加約有13億8900萬元
[354.52-359.38] 最主要是這段期間營業活動等性現金流入
[359.38-365.02] 非流動資產的部分
[365.02-369.18] 總資產約有37億8800萬元
[369.18-373.18] 最主要是不動產、廠房、設備等等
[374.40-379.42] 付債約有84億8900萬元
[379.42-382.68] 總資產約有33%左右
[382.68-383.90] 其中
[383.90-388.76] 流動負債約有81億6500萬元左右
[388.76-391.94] 流動負債主要包括
[391.94-396.44] 營付賬款約有46億6900萬元
[396.44-402.08] 還有其他營付款約有20億7900萬元
[402.08-408.74] 其他營付款主要是營付員工的薪資、獎金、紅利等等
[408.74-412.78] 非流動負債約有3億6500萬元左右
[412.78-413.78] 非流動負債約有3億6500萬元左右
[413.78-421.32] 非流動負債約有3億6500萬元左右
[421.32-423.32] 主要是地緣所得稅的負債
[423.32-424.32] 主要是地緣所得稅的負債
[424.32-426.44] 主要的財運比例方面
[426.44-429.14] 營收賬款的收成天數大約有74天
[429.14-433.18] 跟上一季來比較基本上更無縮短
[433.18-438.06] 存貨的收成天數有66天
[438.06-441.08] 跟上一季來比較68天是更好的狀況
[441.08-442.58] 所以都比上一季更加的穩健
[442.58-443.14] 所以都比上一季更加的穩健
[443.78-451.36] 那么流动比例及负债比例的部分分别有2.69倍及33个%
[451.36-456.44] 那目前公司除了正常营运的应付款外
[456.44-458.30] 并没有任何的银行借款
[458.30-460.44] 整体的财务结构混线
[460.44-472.08] 接着我们看到现流表的部分
[472.08-474.80] 那么在现金流量两方面
[474.80-480.08] 营业活动的现金流入有38亿2700万元左右
[480.08-483.48] 主要是来自本业的税前的金利
[483.48-486.20] 约有24亿8600万元
[486.20-490.28] 以及折秀7.1亿元左右
[490.28-492.94] 以及其他Working Capital一个变化
[492.94-495.96] 那么在投资活动方面
[495.96-500.38] 投资活动的现金流出约有6亿3800万元
[500.38-501.84] 主要是这个
[501.84-505.44] 资本支出有这个8.97亿元左右
[505.44-510.24] 以及其他的现金的流入所造成的综合的影响
[510.24-512.04] 那融合活动方面
[512.04-515.44] 大概有这个5亿9500万元左右
[515.44-519.24] 那主要是发放股东的现金股利
[519.24-523.54] 也5.03亿元左右
[523.54-527.34] 以及其他的现金流出的综合的影响
[527.34-530.64] 整体来说包括汇率的影响数
[530.64-531.74] 那
[531.74-531.82] 那整体来说包括汇率的影响数
[531.82-536.04] 这个动作 alongside
