[0.00-6.38] 各位投资先进午安
[6.38-14.24] 很荣幸今天能邀请到台湾茂西电子股份有限公司来参加台新政任举办的法人说明会
[14.24-19.34] 本次法术会简报将于会后上传到公开资讯观测站
[19.34-22.52] 届时再请各位投资人下载参阅
[22.52-26.60] 首先为各位介绍今日与会的长官
[26.60-28.66] 唐一仙董事长
[28.66-31.50] 卢建志总经理及发言人
[31.50-34.68] 段志达行销业务本部副总经理
[34.68-37.40] 杨亚飞财务处协理
[37.40-42.60] 接着我们请公司就营运及未来展望为各位做说明
[42.60-48.86] 各位女士先生
[48.86-50.40] 大家下午好
[50.40-54.70] 谢谢各位来参加我们台湾茂西
[54.70-56.58] 2025年第一次的
[56.60-57.88] 法术会
[57.88-62.20] 现在就开始进行以下的报告
[62.20-84.58] 首先是2024年的营运结果的一个摘要
[86.60-94.22] 我们2024年我们的营收的营业收入的进额是8.94亿
[94.22-101.64] 相较于2023年是增长了几乎是28个百分点
[101.64-104.68] 在这个期间里面
[104.68-107.86] 因为2023年因为疫情的期间
[107.86-110.46] 整个产业链的库存
[110.46-113.30] 我们感觉上已经慢慢的消化
[113.30-116.58] 所以我们在2024年的第二季度
[116.60-117.18] 第二季开始
[117.18-122.74] 我们是感觉整个市况是有回温的一个状况
[122.74-126.92] 所以我们全年我们可以看到
[126.92-130.98] 就是我们的净利是9100万
[130.98-133.24] 那每股的盈余呢
[133.24-135.18] 就是0.58元
[135.18-138.46] 我们目前我们公司的现金
[138.46-140.54] 以及约当现金
[140.54-146.44] 在2024年底的的额是8.91亿
[146.60-150.44] 那全亿是24.62亿
[150.44-152.48] 那我们也看到就是说
[152.48-157.86] 我们出货的片数也从也增加了14个百分比
[157.86-161.70] 那个到了49万3000片
[161.70-167.60] 那相较于那个2023年43万4千片呢
[167.60-173.74] 那个43万4千片是每个月大概平均是36000片
[173.74-176.56] 那2024年的话
[176.60-187.36] 那是平均的数目是大概是4万1000片一个月的平均数
[187.36-192.48] 那在减0的综合损益表的比较方面
[192.48-194.52] 我们可以看到就是说
[194.52-197.34] 就像刚才上一页讲的
[197.34-200.92] 我们在营收方面我们两年的比较
[200.92-205.28] 我们在2024年是增加了4.1亿
[205.28-206.30] 那在
[206.60-215.82] 营业的毛利也是从这个4.4%增加到2024年的20.7%
[215.82-218.88] 那在营业的利益
[218.88-221.96] 里面的话我们在本业方面
[221.96-226.32] 是有4500万的利益
[226.32-229.64] 那在营业外的这一部分呢
[229.64-234.24] 那大部分都是外币的兑换的利益
[234.24-236.56] 所以是有4600万
[236.60-243.76] 那加起来就是税前本期的净利就是9100万
[243.76-249.66] 所以每一股的盈余是0.58元
[249.66-252.72] 那我们公司也在2月20号
[252.72-255.80] 那公告本公司董事会决议
[255.80-262.20] 通过这2024年度下半年现金股利的分派
[262.20-264.00] 每股是0.3元
[266.60-271.72] 那我们在这个
[271.72-273.00] 资产负债表
[273.00-280.16] 可以看到我们2024年底我们的总资产是33.65亿元
[280.16-283.76] 那其中包含就流动资产
[283.76-285.80] 大概20.63
[285.80-287.08] 那还有
[287.08-289.90] 不动产使用全资产等
[289.90-292.72] 那在流动负债方面是
[292.72-295.02] 5.91亿元
[295.02-296.56] 那所以那个全一批的资产负债表
[296.56-300.40] 我们的总计是24.62亿
[300.40-301.16] 那
[301.16-306.28] 每股的净值也从2023年底的14.89
[306.28-310.38] 那个升到15.51亿元
[310.38-312.68] 15.51亿元
[312.68-315.76] 这是我们那个2024年的
[315.76-316.78] 一个成绩
[316.78-318.06] 报告
[318.06-319.60] 那接下来呢
[319.60-322.92] 我们是请我们卢健志总经理
[322.92-326.52] 然后对2024年营运以及
[326.52-328.82] 我们的销售做进一步的说明
[328.82-331.38] 以及公司对未来
[331.38-333.68] 在公立器件技术
[333.68-336.24] 发展的一个计划跟各位说明
[336.24-338.04] 谢谢
[338.04-340.86] 各位先进打好我是卢健志
[340.86-345.72] 那我首先先报告的是2024年每个月的营收表现
[345.72-348.80] 那如同表上面我们可以看得到的是
[348.80-354.16] 在第一季的时候我们能收到2023年的库存的现况
[354.16-356.48] 所以在订单跟交货的现况上
[356.52-358.32] 我们可以看到这个
[358.32-359.08] 这个
[359.08-361.90] 会被市场上的一些情境的局限
[361.90-365.48] 那从第二季开始我们就明显的感觉到
[365.48-368.80] 整个景气跟客户的需求开始拉升
[368.80-370.34] 那这里面除了
[370.34-372.14] 那个
[372.14-375.20] 会受到市场的期待的影响之外
[375.20-377.76] 那车规的客人的订单
[377.76-380.32] 也是一个很重要的一个益助
[380.32-383.14] 所以在这样的情境底下我们就
[383.14-384.42] 维持
[384.42-385.96] 第三季第四季大概才能利用这个情况来说
[386.52-388.32] 我们让我们的营收表现
[388.32-388.82] 是接近
[388.82-391.64] 85到90%的一个状态
[391.64-394.46] 那以及每个月的营收就接近
[394.46-396.76] 1.7到1.75亿左右
[396.76-398.56] 那这样子我们就
[398.56-401.88] 以上就是这一页的呈现
[401.88-406.74] 让各位先进了解2024年我们的营收表现
[406.74-410.08] 那如果从季度跟
[410.08-413.14] YY跟2023年来比较的时候
[413.14-414.42] 那2021
[414.42-416.48] 2024年的第一季
[416.52-420.28] 相較於2023年的第一季還越有不足
[420.28-424.68] 但是從第二季開始就超越了2023年
[424.68-430.76] 那完成我們全年度18.91的營業成果
[430.76-435.98] 那從個別產品的分析的狀況
[435.98-440.68] 2023年營收14.83億
[440.68-445.56] 那在這個情境底下我們的產品的類別分布
[445.56-448.56] 主要以MOSFET 57%為主
[448.56-455.36] 其次是二集體的27%跟analog的產品9%
