[0.00-7.94] 好 各位投資先進朋友們 大家午安
[7.94-13.30] 歡迎參加文業科技受邀造風證券所舉辦的
[13.30-17.54] 2024年第四季線上投資法人說明會
[17.54-23.08] 現場我們會議 我們邀請到了鄭文忠董事長Eric
[23.08-25.58] 請Eric跟大家say hello一下
[25.58-26.86] 大家午安 大家好
[26.86-32.20] 還有文業的財務長及發言人林冠南Steve
[32.20-33.18] 大家好
[33.18-38.50] 另外我們也同時在場的有投資人關係的
[38.50-43.34] 劉浩鳴協理Ricky以及蔡雲珍協理Yvonne
[43.34-45.48] 請打聲招呼
[45.48-46.28] 大家好
[46.28-50.54] 好的 我們一樣會議進行的一個方式
[50.54-54.90] 還是首先由財務長來進行財務簡報的一個說明
[54.90-56.84] 之後董事長會進行
[56.86-58.98] 營運展望的一個說明
[58.98-63.78] 然後再由我們的蔡協理整理我們現場的提問
[63.78-66.08] 由董事長主持回覆
[66.08-71.08] 如果您需要提問請點選下方問答的一個按鈕
[71.08-76.84] 在發言的一個視窗當中寫上您的大名以及代表公司
[76.84-78.48] 並寫下您的問題
[78.48-83.34] 好的 我們現在就把時間交給財務長跟董事長
[83.34-84.06] 請財務長
[86.86-90.44] 好 這邊有一些關於集團的基本資料
[90.44-91.58] 先前都已經提過
[91.58-94.74] 那我就請各位投資先進先自行參考
[94.74-98.38] 那我首先先來講一下第四季的財務數字
[98.38-102.98] 第四季的合併營收為2619億元
[102.98-104.66] 與上季約略持平
[104.66-106.54] 年增38%
[106.54-110.04] 超過財車上緣的2525億元
[110.04-114.88] 超過的原因主要是因為原本預估一季才會出貨的一些資料中心營收的部分
[114.88-116.84] 提前到第四季出貨
[116.86-120.06] 其中第四季的部分
[120.06-122.10] 如果我們看WTE不含Future的話
[122.10-123.90] 營收的季增是1%
[123.90-128.82] 主要受惠於汽車相關應用跟手機季節性的拉貨需求
[128.82-132.10] 而Future則季對季減少4%
[132.10-135.10] 第四季在歐美是相對的淡季
[135.10-138.36] 這也顯示歐美市場的庫存去化仍在持續
[138.36-139.64] 但逐漸改善
[139.64-142.72] 目前我們看起來第四季是循環的底部
[142.72-146.82] 接下來我們看到毛利率是44%
[146.86-148.86] 低於財車的預期
[148.86-150.86] 主要是產品組合的原因
[150.86-154.86] 就剛剛提到的第四季低毛利的產品出貨比預期多
[154.86-157.86] 但本季的毛利107.8億
[157.86-159.86] 是季減2%
[159.86-161.86] 年增116%
[161.86-163.86] 且高於財車的中位數
[163.86-165.86] 所以毛利率雖然低於財車
[165.86-167.86] 但營收高於財車
[167.86-172.86] 本季的營業費用是65.7億元
[172.86-174.86] 季減約3%
[174.86-176.86] 位於財車的下緣
[176.86-179.86] 因為這個低毛利的產品出貨較高
[179.86-181.86] 其費用率相對較低所致
[181.86-185.86] 本季的營業利益是42.2億元
[185.86-186.86] 接近財車上緣
[186.86-188.86] 主要是因為費用較低
[188.86-192.86] 營業利益季對季增了1%
[192.86-195.86] 年對年是120%的成長
[195.86-198.86] 營業利率是1.6%
[198.86-202.86] 介於財車範圍的1.5%到1.7%
[202.86-205.86] 本季的淨財務成本是
[206.86-212.86] 財務成本扣掉利息收入約為10.6億元
[212.86-215.86] 比第三季的9.4億元有所增加
[215.86-217.86] 主要是因為營收較高
[217.86-219.86] 導致營運資金的需求增加
[219.86-222.86] 另外第四季還有其他業外收益
[222.86-225.86] 約1.5億元主要來自會對利益
[225.86-230.86] 整體而言本季的淨利25.4億元
[230.86-234.86] 高於財車中位數的24.3億元
[234.86-236.86] 年增11%
[236.86-238.86] 年增143%
[238.86-240.86] 季減主要是因為Q3
[240.86-243.86] 第三季可以看到有較高的業外收益
[243.86-248.86] 第四季的基本每股盈餘是2.27億元
[248.86-252.86] 也是高於財車的中位數的2.17億元
[252.86-254.86] 季減是11%
[254.86-256.86] 年增90%
[256.86-258.86] 第四季的基本每股盈餘是2.27億元
[258.86-260.86] 也是高於財車的中位數的2.17億元
[260.86-261.86] 季減是11%
[261.86-262.86] 年增90%
[262.86-267.86] 其中2024年的第二季到第四季合併了Future的數字
[267.86-269.86] 第一季是沒有合併Future的數字
[269.86-272.86] 可以看到在Future受干了以後
[272.86-277.86] 整體的營收獲利對比2023年都有較高的成長
[277.86-282.86] 2024年全年累計收入約9594億元
[282.86-284.86] 年兌年成長61%
[284.86-287.86] 毛利額約376億元
[287.86-289.86] 年兌年成長104%
[289.86-292.86] 全年毛利率3.92%
[292.86-295.86] 優於2023年的3.1%
[295.86-297.86] 全年的營業利益約153億元
[297.86-300.86] 年兌年成長86%
[300.86-304.86] 全年的財務成本42.5億元
[304.86-306.86] 年兌年成長14%
[306.86-308.86] 顯示雖然收購Future後的借款增加
[308.86-311.86] 但在營運資金持續優化的情況之下
[311.86-315.86] 在2024年的財務成本增加其實可控
[315.86-318.86] 全年建立是91億元
[318.86-321.86] 年兌年成長127%
[322.86-325.86] 2024年因為收購Future使公司全年獲利
[325.86-327.86] 創下歷史的新高
[327.86-330.86] 累積基本每股率8.13元
[330.86-333.86] 年兌年成長92%
[336.86-339.86] 接著我們看資產負債表
[339.86-343.86] 2024年總資產4125億元
[343.86-346.86] 總負債約3086億元
[346.86-349.86] 相較於上一季變動性不大
[349.86-351.86] 我們看到營運資金方面
[352.86-355.86] 第四季的淨應收賬款有所減少
[355.86-358.86] 而庫存及應付賬款有所增加
[358.86-361.86] 但都是維持在很健康的一個水位
[361.86-366.86] 第四季的現金約為397億元
[366.86-369.86] 較第三季有所增加
[369.86-373.86] 總借款扣掉現金部位後的淨金融負債
[373.86-375.86] 可以看到下面的表格
[375.86-377.86] 約為607億元
[377.86-380.86] 一些財務指標都有所進展
[380.86-381.86] 那淨負債的負債表格是
[382.86-384.86] 在比約為59%
[384.86-385.86] 這個是Net Debt over Equity
[385.86-387.86] 較上一季有所改善
[387.86-389.86] 主要是因為淨應收賬款減少
[389.86-391.86] 所導致的現金流入
[391.86-395.86] 淨槓槓比Net Debt over EBITDA
[395.86-397.86] 在第四季是3.3倍
[397.86-399.86] 較上一季的4.2倍降低
[399.86-401.86] 主要是因為EBITDA增加
