[0.00-14.10] 各位投資先進午安
[14.10-17.66] 今天我們兆豐證券非常的榮幸
[17.66-22.54] 能夠邀請台灣數位光訊科技股份有限公司
[22.54-26.50] 召開今年的第一場的法人說明會
[26.50-33.04] 首先我們代表兆豐證券非常的感謝董事長還有團隊的歷齡
[33.04-36.66] 我們也希望今天藉由今天的法說會
[36.66-40.68] 投資先進能夠更了解公司的營運狀況
[40.68-43.00] 還有未來的營運展望
[43.00-47.56] 也希望能夠跟公司有更多的互動
[47.56-52.48] 首先我先介紹一下我們的經營團隊
[52.48-55.68] 第一個大家都知道我們美麗的董事長
[55.68-58.08] 今天很榮幸邀請他光臨
[58.08-59.54] 謝謝廖董事長
[59.54-65.70] 第二位是我們的副董事長林副董事長
[65.70-72.00] 第三位是我們的營運長我們的鄭營運長
[72.00-74.62] 兩位都是非常的美女
[74.62-79.68] 再來是我們的副營運長江副營運長
[81.96-85.18] 最後是我們的財務長淑玲財務長
[85.18-85.66] 最後是我們的財務長淑玲財務長
[85.66-85.68] 最後是我們的財務長淑玲財務長
[85.68-89.88] 我們就很榮幸能夠邀請到董事長
[89.88-92.72] 今天也為我們引言還有簡報
[92.72-93.70] 謝謝董事長
[93.70-96.88] 謝謝我們美港還有在座的各位好朋友
[96.88-100.40] 真的很久很久沒有出來市場跟大家見面
[100.40-102.48] 我們的財務長非常用心
[102.48-105.18] 也跟我們的兆豐的好朋友
[105.18-108.00] 跟我們宜錦辦了這一場說明會
[108.00-112.74] 我覺得大家在這一陣子川普的震撼之下
[112.74-115.66] 應該可以好好抬頭再來看一下台中的財務長
[115.66-117.66] 我們今天要來看看台樹科這支股票
[117.66-121.66] 我不曉得說很多的企業我常問的朋友說
[121.66-125.66] 川普這一個我們台語講的很傳神
[125.66-128.66] 他頭上把你打下去的時候大家有沒有醒過來了
[128.66-129.66] 我不知道大家醒了沒有
[129.66-133.66] 如果你很多的產業還不轉型還不往前走
[133.66-136.66] 我覺得在台灣的市場你就會非常非常可惜
[136.66-139.66] 大概可以屈指可數可以算日子了
[139.66-145.66] 我們看一下台樹科在這段時間的表現其實還是非常穩健而可行的
[145.66-146.66] 有全可點
[146.66-149.66] 未來走到哪裡去我們等一下再跟各位說明
[149.66-154.66] 來往下我們看一下這個6464是我們的股票代號
[154.66-157.66] 公司概況我們的時機還有未來營運方向
[157.66-159.66] 我們來看一下公司概況
[159.66-165.66] 我們從之前上市完之後得了很多的獎牌之後
