[0.00-5.58] 各位投资先进大家午安
[5.58-8.38] 那不好意思稍等了一下子
[8.38-10.92] 那欢迎大家参加今天钢铁
[10.92-13.30] 关田钢铁的线上法人说明会
[13.30-16.50] 那稍后会议将分为两个部分
[16.50-18.60] 第一部分会先交由总经理
[18.60-21.16] 为我们更新公司的近期运营状况
[21.16-23.02] 接下来再进行QA交流
[23.02-26.74] 那我们介绍今天的主讲人为谢振成
[26.74-27.52] 谢总经理
[27.52-29.10] 然后把时间交给总经理
[29.10-29.48] 谢谢
[29.48-35.48] 主持人及各位线上关心我们关田钢铁
[35.48-37.74] 营运的投资先进
[37.74-39.32] 还有各位好朋友大家好
[39.32-42.34] 我是关田钢铁总经理谢振成
[42.34-46.26] 那今天的法人说明会
[46.26-48.40] 由我来向大家做报告
[48.40-50.70] 那我今天要报告的
[50.70-52.84] 大概有四个项目
[52.84-55.42] 第一个项目是公司检鉴
[55.42-58.12] 就是我们的基本资讯
[58.12-59.04] 场区介绍
[59.04-59.46] 以及产品的
[59.46-59.96] 介绍
[59.96-63.28] 第二个项目是我们的财务资讯
[63.28-66.08] 也就是说到今年第一季
[66.08-68.58] 我们的两个财务报表
[68.58-70.56] 一个是合并资产负债表
[70.56-72.66] 一个是合并综合损益表
[72.66-76.64] 那第三个项目是我们未来发展的方向
[76.64-79.98] 那发展的方向主要就是我们盘源
[79.98-81.40] 再加工程螺丝
[81.40-82.58] 螺杆
[82.58-83.94] 镀金线等
[83.94-87.04] 那接近市场直接使用者
[87.04-89.04] 来稳定我们的销售通路
[89.04-89.44] 那我们的第二个项目是我们的财务资讯
[89.46-93.36] 那第二个就是在我们盘源再加工的过程中
[93.36-96.10] 我们也提供大量的人力需求
[96.10-99.88] 工作机会来善尽企业的社会责任
[99.88-102.40] 那第四个项目就是
[102.40-106.42] 有一些时间给各位关心我们的好朋友
[106.42-108.38] 做一些问答
[108.38-110.06] 那首先
[110.06-112.94] 我先向大家
[112.94-115.48] 报告第一个事项
[115.48-117.02] 就是我们的公司检鉴
[117.02-119.44] 那我们公司成立于1973年
[119.46-124.46] 那距今大概有52年的一个钢铁传产类股
[124.46-126.82] 资本额大概44亿
[126.82-129.66] 员工人数目前接近300人
[129.66-132.94] 那这个包括外企员工的人数
[132.94-136.28] 那公司的架构目前是三厂一处
[136.28-139.40] 那一处在于台南总管理处
[139.40-143.56] 那位置在于台南市的南区
[143.56-146.50] 然后三个厂 麻豆厂
[146.50-148.38] 那主要是在台南市的南区
[148.38-149.34] 那主要是在台南市的南区
[149.34-149.44] 那主要是在台南市的南区
[149.46-151.10] 那主要是在台南市的麻豆区
[151.10-154.70] 加工厂在台南市的关田区
[154.70-158.42] 那除冷厂在台南市的麻豆区
[158.42-161.18] 那麻豆厂主要是生产你的球化
[161.18-164.06] 还有镀锌的这些产品
