[0.00-3.00] 各位來賓大家好
[3.00-10.00] 歡迎各位參加台灣復仇纖維國會公司114年度第二次保援說明會
[10.00-14.00] 我是台灣復仇纖維公司的總市長周曉明
[14.00-20.00] 接下來就以公司目前的情況來做個簡介說明
[20.00-22.00] 請下一頁
[24.00-26.00] 再下一頁
[26.00-31.00] 首先我們看看公司的簡介說明
[31.00-33.00] 請下一頁
[33.00-37.00] 公司創立於民國62年
[37.00-39.00] 我們有兩個廠
[39.00-41.00] 在桃園巴德是副廠
[41.00-44.00] 在延梅是沙廠
[44.00-47.00] 我們的主要產品有兩樣
[47.00-51.00] 一個是家公司一個是製品
[51.00-53.00] 請下一頁
[53.00-55.00] 再下一頁
[55.00-56.00] 再下一頁
[56.00-57.00] 請下一頁
[59.00-62.00] 我們一開始是從部廠開始
[62.00-65.00] 民國62年我們創立了部廠在巴德的部廠
[65.00-71.00] 最後這幾年中間我們陸續增加大集發
[71.00-75.00] 到1998年我們的交通市場開始營運
[75.00-79.00] 到2023年公司滿50多年的時候
[79.00-83.00] 我們發表了名為ASNANA的一個布料品牌
[83.00-85.00] 布料是主要高感性的保感電性布料為主
[85.00-87.00] 布料是主要高感性的保感電性布料為主
[87.00-91.00] 這個是從原料到製品是百分百由我們公司自己研發
[91.00-93.00] 也百分百在台灣生產
[93.00-97.00] 所以在全世界行銷全世界
[97.00-101.00] 所以在整個都會休選的一個基產布料商品牌
[101.00-104.00] 是受全世界客戶的一個歡迎
[104.00-107.00] 另外我們在今年度
[107.00-109.00] 我們去年時候是亞洲中心
[109.00-112.00] 今年度我們的研發中心正式成立
[112.00-114.00] 主要目的是希望能往
[114.00-119.00] 產品開發和高質化發展我們的相關各項產品
[119.00-121.00] 請下一頁
[127.00-130.00] 這是可以看到這邊在我們
[130.00-135.00] 這個簡要的一個關於我們產品的主要項目的一個儀式
[135.00-138.00] 那當然加工師我們有各種不同的加工師
[138.00-142.00] 那我們很散場於在各種不同的複合跟機能性的加工師
[142.00-143.00] 那當然加工師我們有各種不同的加工師
[144.00-146.00] 那在布上面來講
[146.00-149.00] 我們的布一樣的一個取向相當多元
[149.00-152.00] 不管是彈性敏感或者是毛感
[152.00-154.00] 或者是在高彈上面來講
[154.00-156.00] 或者在磁化布上面
[156.00-157.00] 甚至在環保布料上面來講
[157.00-159.00] 我們都有相當多的一個發展
[159.00-162.00] 好下一頁
[162.00-169.00] 這是我們在2023年所發表的
[169.00-173.00] 伊朗納達的一個毛型彈性布料品牌
[173.00-175.00] 這布料品牌有五大特點
[175.00-177.00] 第一個是它具有柔軟的毛感
[177.00-180.00] 第二個它具有虛的跑溫的機能
[180.00-182.00] 第三個它在彈性上面來講
[182.00-185.00] 各種不同彈性的呈現
[185.00-187.00] 可以針對客戶不同的需求
[187.00-190.00] 跟做到多彈性的需求
[190.00-193.00] 我們可以設計一個不同的多元彈性
[193.00-196.00] 第四項它相當易於整理
[196.00-199.00] 它做成衣服並不需要做乾洗
[199.00-201.00] 這個對環保上面來講是一個很重要的一點
[201.00-203.00] 那在洗衣洗洗晾乾就很重要了
[203.00-206.00] 因為衣服也不會變形
[206.00-210.00] 第五點是環保我們大量採用各項不同環保原料
[210.00-211.00] 從保特品回收
[211.00-215.00] 比如從布料到一層一回收的原料
[215.00-217.00] 我們都在使用
[217.00-221.00] 當然這個對我們的客戶品牌作為來講
[221.00-223.00] 它最重要的一個風格是
[223.00-225.00] 我們是風格多變應有無限
[225.00-229.00] 我們強調用我們伊朗納達做的布料
[229.00-231.00] 用的布料做成的衣服
[231.00-234.00] 讓消費者能夠感到消耗的舒適自在
[234.00-235.00] 因為它具有各種不同的耐性
[235.00-236.00] 有機能
[236.00-238.00] 或是它的破氣舒適性
[238.00-243.00] 所以這個產品是讓廣受全世界客戶的一個喜愛
[243.00-246.00] 下一頁
[246.00-248.00] 這也是我們的一些中國品牌客戶
[248.00-250.00] 這邊就請各位參考
[250.00-254.00] 下一頁
[254.00-259.00] 這是我們從110年第一季Q1到今年的第一季
[259.00-260.00] 整個的營運狀況
[260.00-262.00] 營收的狀況
[262.00-263.00] 請各位參考
[263.00-265.00] 當然我們可以看到在疫情
[265.00-267.00] 在110年到後面
[267.00-269.00] 在疫情之後慢慢的
[269.00-271.00] 從疫情中開始在回升
[271.00-273.00] 但中間還是因為大環境的關係
[273.00-278.00] 所以整個每年度的變化
[278.00-281.00] 其實還是相當大的變化
[281.00-286.00] 這是從111年的Q1到114年Q1
[286.00-287.00] 整個營收狀況
[287.00-289.00] 請各位參考
[290.00-293.00] 下一頁
[293.00-299.00] 這是從106年度到114年Q1的整個毛利的情況
[299.00-308.00] 可以看到在109年雖然是PolarVanity爆發的那一年
[308.00-312.00] 因為整個全世界的一個應單急動狀況
[312.00-315.00] 所以導致整個在毛利上的情況也相當大的落差
[315.00-318.00] 不過在2021年就開始有回升
[318.00-320.00] 當然這兩年來
[320.00-322.00] 因為在整個國際的形勢變化
[322.00-324.00] 有相當多的變化
[324.00-326.00] 確定益度相當高
[326.00-328.00] 所以在今年度來講
[328.00-332.00] 整個毛利範圍前還呈現到一個相當大的變化
[332.00-334.00] 當然今年度來講
[334.00-336.00] 整體的一個因為美國關稅
[336.00-338.00] 還有在整個匯率的關係
[338.00-340.00] 所以整個全世界
