[0.00-4.00] 我們在座我們有總經理我們紀先生在這邊
[4.00-7.00] 還有我們那個代理發言人那個FAU的副總
[7.00-9.00] 那個謝副總是這樣子
[9.00-11.00] 還有我本人是在我爸媽號
[11.00-13.00] 發言人發言人號
[13.00-15.00] 我們今天的業務副總出差啦
[15.00-17.00] 對
[17.00-22.00] 那開始之前我大概把一些簡報的內容
[22.00-24.00] 那個跟各位分享
[24.00-27.00] 因為基本上這邊的財務內容大概基本上我想
[27.00-30.00] 在座各位的朋友應該都已經知道
[30.00-32.00] 就很快的公私影片
[32.00-34.00] 那我們今天主要的議程
[34.00-37.00] 我們大概就是從一些公私的簡介的資料
[37.00-41.00] 還有我們那個第一季的那個財報的資訊
[41.00-44.00] 還有我們會有一張實態是說是
[44.00-47.00] 大概是今年我們威建主要的聚焦的市場
[47.00-49.00] 跟一些產品線的機會
[49.00-53.00] 另外就是說還有我們一些主要產品線的一些現況
[53.00-55.00] 那我們最後一張實態大概就是在講
[55.00-58.00] 今年度我們可能面臨的一些機會跟一些挑戰的問題
[58.00-60.00] 那最後我們就是留給大家
[60.00-63.00] 我們大概就大概時間做Q&A是這樣子
[63.00-66.00] 那公私的簡介這個部分
[66.00-70.00] 我是把我們現在1到4月份的營收
[70.00-73.00] 我們現在是357億的營收
[73.00-76.00] 那這357億呢相對去年同期來講
[76.00-80.00] 我們大概YY我們大概是成長大概有42個股份左右
[80.00-85.00] 那這個部分我們把它拆成是我們集團內的公司
[85.00-88.00] 那集團內的公司我們在台灣的母公司這個部分
[88.00-89.00] 我們營收大概是做到140億
[90.00-93.00] 那YY大概是成長大概31個個份
[93.00-97.00] 那在威建中國的部分主要是香港跟中國公司
[97.00-99.00] 這一邊的合併的營收
[99.00-101.00] 換言之台幣大概是203億
[101.00-105.00] 那它整個YY的成長大概是有50個個份左右
[105.00-106.00] 那接下來大概是東南亞
[106.00-110.00] 那東南亞這個部分我們前4個月大概營收大概是5億
[110.00-113.00] 那它這邊是呈現衰退的狀況是這樣子
[113.00-116.00] 那基本上我們整個集團上來看的話
[116.00-119.00] 我們母公司這個部分大概佔比目前看
[120.00-123.00] 357億的結構大概是大概4成多一點
[123.00-127.00] 那這邊大概是將近56%左右
[127.00-131.00] 那剩下的大概3個%大概就是在東南亞這個區塊
[131.00-136.00] 這個是大概是我們整個威建集團這一個營收的一個集團帳本
[136.00-139.00] 這兩個結構給各位做一個分享
[139.00-142.00] 那這一張實態我們主要是在看是說
[142.00-146.00] 從114年到113年這個整個時間序列上面
[146.00-148.00] 我們整個集團營收的一個表現上面來講
[148.00-149.00] 去年度去年度的表現上來講
[150.00-153.00] 今年度我們大概是做了大概897億也當980億
[153.00-156.00] 那今年度到前4月大概是357億
[156.00-158.00] 到1月當在3年361億左右
[158.00-163.00] 那今年整個一個營運狀況其實還沒有到關稅政策的時候
[163.00-166.00] 其實看起來狀況都非常的不錯
[166.00-169.00] 那後面就是會產生一些所謂的關稅不確定性這個部分
[169.00-172.00] 我們再來等一下再來做Q&A再來做說明
[172.00-177.00] 那今年前4月我們大概在這個MarketSec的這個Offication上面來講
[177.00-180.00] 在Computing這一關我們大概佔了大概有4個%
[180.00-182.00] 在工業這邊大概佔了20個%
[182.00-185.00] 那消費性電子的部分大概是12
[185.00-191.00] 那Communication跟車用這一塊大概各約佔大概都是7個%左右大概是這樣子
[191.00-197.00] 那這個是我們整個一個一個最近這幾年的一個營收上面的一個成長的弧度
[197.00-201.00] 跟這個派組就是第一季的這個派組給各位做一個分享
[201.00-204.00] 那數字這個部分我就不再多做說明
[204.00-207.00] 因為整個數字我想各位應該已經看過我們第一季的財報
[207.00-210.00] 我們第一季大概就是258億的營收
[210.00-212.00] 258億的營收
[212.00-216.00] 那如果QoQ跟Yoy來看這個成長大概5個%跟44個%
[216.00-220.00] 那在毛利的部分整個來講大概是5.33個%
[220.00-226.00] 那整個整個數字上面大概是來到13.77億的左右
[226.00-227.00] 那QoQ大概1個%
[227.00-229.00] Yoy大概是31個%
[229.00-232.00] 那整個百分點上面來看我們是有減少
[232.00-235.00] 那這個是跟我們的銷售的產品線結構有關
[235.00-237.00] 那這個部分整個大概是這樣的一個趨勢
[237.00-239.00] 那費用大概是6.95億
[240.00-243.00] 那QoQ大概是減少大概2個%
[243.00-247.00] 那如果跟去年同期來比的話大概是增加大概23個%
[247.00-251.00] 我想這個是跟整個一個銷售結構上面來講因為營收的成長
[251.00-254.00] 整個銷管費用這個負面大概有拉升
[254.00-258.00] 那整個營業淨利大概營業淨利率大概是2.64個%
[258.00-263.00] 跟去年跟第四季跟去年的第一季大概約當
[263.00-266.00] 那整個數字上面來講是來到6.8億
[266.00-270.00] 那引未的送資大概這個部分呢
[270.00-275.00] 主要還是在整個財務成本跟兌換的這個損益的數字上的表現
[275.00-279.00] 那所以在整個第一季的部分跟上期來做比較
[279.00-281.00] 跟Q4來做比較的時候
[281.00-284.00] 我們財務成本大概是增加大概有200萬
[284.00-287.00] 那在整個兌換的部分大概是增加4400萬
[287.00-289.00] 如果跟第一季跟去年同期來比的話
[289.00-291.00] 利息收入有增加大概800萬
[291.00-293.00] 財務成本大概增加800萬
[293.00-296.00] 那兌換的部分大概增加2900萬左右大概是這樣的數字
[296.00-299.00] 那在整個一個稅錢的數字我們在第一季是4.38億
[300.00-306.00] 那整個QOQ跟YOY大概是成長22%跟104%
[306.00-312.00] 那稅後經濟3.23億2.65億1.69億整個一個成長幅度是這樣的一個數字
[312.00-316.00] 那所以EPS在第一季是0.68
[316.00-320.00] 那當時以損益表來看的話當時的平均匯率大概是32.88的匯率左右
[320.00-323.00] 是這樣的一個一個損位
[323.00-325.00] 那在整個Balance上面來講
[325.00-329.00] 到3月底我們的現金預算現金大概是來到28.65億
[330.00-335.00] 那整個年底跟去年的同期來看大概差不多
[335.00-340.00] 那整個營收票據跟賬款的金額要隨著營收的規模的成長
[340.00-344.00] 營收票據賬款這個部分大概有成長一些大概來到185億
[344.00-348.00] 那庫存大概是在200億5億左右
[348.00-351.00] 那整個資產總計大概就是437億
[351.00-354.00] 那短介的部分大概是來到將近196億
[354.00-358.00] 那營務票據賬款的部分大概是65.7億是這樣子
[358.00-359.00] 那整個一些財務的指標來看營收賬款的金額大概是大概6.5億左右是這樣的數字
[360.00-363.00] 那整個財務票據賬款的天期大概是跟去年同期大概
[363.00-366.00] 去年年底的話大概數字大概是64天
[366.00-368.00] 純貨周轉大概是77天
[368.00-371.00] 營務票據 營務賬款的天期大概是28天
[371.00-373.00] 那流動比例大概是1.44
[373.00-376.00] 營運資金的報酬率大概8.74
[376.00-378.00] 那股東區域報酬率大概是32.13
[378.00-379.00] 那各位可以看一下就是說
[379.00-384.00] 這個是3月底的時候它的期末會議是33.1
[384.00-388.00] 這個大概是整個第一季的一個財務資訊的一個數字給各位做一個分享喔
[388.00-389.00] 這個大概是整個第一季的一個財務資訊的一個數字給各位做一個分享喔
[390.00-392.00] 那這邊我主要我們來跟各位報告一下就是說
[392.00-395.00] 在今年度微建這個部分
[395.00-398.00] 我們整個在focus的一些市場跟一些產品線的機會喔
[398.00-400.00] 那其實在市場的區隔上面來講
[400.00-402.00] 現在我們看的就是說
[402.00-403.00] 這server
[403.00-406.00] 那這個是在通用的一般的server跟還有AI的server這一塊
[406.00-410.00] 那我們的產品線的機會就是如表中所列的這些產品線
[410.00-412.00] 那目前的市場的狀況
[412.00-416.00] 其實AI這個成長趨勢就是確定的
[416.00-418.00] 因為不管是從排氣電從產業的應用面來講
[418.00-420.00] 這個AI一定這個趨勢一定會有
[420.00-421.00] 一定是確定的
[421.00-423.00] 那我們產品線的機會都在這一邊
[423.00-426.00] 那整個在server這一塊來講
[426.00-428.00] 整個全球性的整個一個今年度
[428.00-433.00] 大家看那些財務的研究機構的數字上面來表現的話
[433.00-434.00] 整個出貨量來講
[434.00-436.00] 歸位大概是成長2.5%
[436.00-437.00] 那就我們微建來講
[437.00-440.00] 今年預估上面在整個金額上的表現
[440.00-443.00] 今年有機會是成長來到16%左右
[443.00-445.00] 那在第一季尤其是在
[445.00-447.00] 在桌上寫跟notebook這個部分
[447.00-449.00] 還有就是AIPC這一塊
[449.00-451.00] 我們的產品線的機會也是在這一邊
[451.00-453.00] 整個產品線的機會就在這一邊
[453.00-455.00] 那整個現在目前來講在PC這一塊
[455.00-457.00] 主要是我們看到就是說
[457.00-459.00] 在Windows其實在11月份就終止了
[459.00-462.00] 那未來整個在Windows11的導入
[462.00-465.00] 還有整個AI的帶動整個AIPC的帶動
[465.00-468.00] 我們認為我們這一塊來講還是充滿的機會存在
[468.00-471.00] 所以說今年整個現在YA1它的數量來看
[471.00-473.00] 是成長4.3個%
[473.00-475.00] 那我們今年預估我們這一塊的產品
[475.00-477.00] 整個運用的成長的機會
[477.00-481.00] 有機會來到將近29%的金額的成長
[481.00-483.00] 那在車用這一塊
[483.00-485.00] 產品線的部分在這邊
[485.00-488.00] 那雖然說整個車輛的部分來講
[488.00-490.00] 它YA1的成長大概是2.4個%
[490.00-493.00] 那主要的成長還是在EV的market
[493.00-496.00] 那整個在這個電動車的成長幅度上面來講
[496.00-499.00] 尤其是在大陸這一塊它成長幅度非常的大
[499.00-502.00] 雖然說現在目前我們公佈的那一家特斯拉
[502.00-505.00] 它的營收跟獲利是不如預期的
[505.00-506.00] 不如預期的
[506.00-509.00] 但是這個整個在我們大中華區這邊的
[509.00-511.00] 這個EV的應用上面來講
[511.00-513.00] 我們充滿了產品線的機會
[513.00-517.00] 那這兩個部分我們大概我們今年在預估成長的機會
[517.00-520.00] 金額上面來講大概預估也可以成長大概15%左右
[520.00-523.00] 那另外在機器人的應用上面來講
[523.00-525.00] 機器人的應用現在不管是在公衛用的機器人
[525.00-527.00] 還有所謂的人形機器人這一塊來講
[527.00-529.00] 現在目前大部分都在
[529.00-532.00] 大家都在推這方面的整個一個communication的部分
[532.00-535.00] 那目前當然整個主要的還是在中美的
[535.00-537.00] 這個人形機器人這邊的發展
[537.00-541.00] 那目前來講我們這一邊整個這一塊的運用端
[541.00-544.00] 我們認為我們今年的這個成長的機會還是
[544.00-548.00] 預估上可以來到大概45%的金額的成長是這樣
[548.00-550.00] 那在性能源這一塊的部分
[550.00-554.00] 這邊大概是在看看整個我們整個在從充電樁
[554.00-557.00] 整個從工業用的這一塊的電子系統等等
[557.00-559.00] 那我們這一塊還是有一個成長的機會
[559.00-563.00] 大概是13.7%的一個成長的預估
[563.00-564.00] 這個大概就是我們今年
[564.00-565.00] 這個大概就是我們今年
[565.00-568.00] 主要的產品線帶給我們產品線的機會
[568.00-571.00] 整個一個聚焦市場這邊給各位做一個分享
[571.00-574.00] 那這個這一張實態
[574.00-576.00] 我給各位看一下就是說
[576.00-579.00] 我們目前主要的剛才其實前面那一張
[579.00-582.00] 其實各位有去看的我們主要產品線大概就在這一邊
[582.00-587.00] 從AMD,Infinium,Netis,Monix,NSP到WeShare
[587.00-592.00] 到WD,到Microchip,Omegic,然後Gigabit,還有Snowpower
[592.00-594.00] 整個在我們的目標市場這一塊來講
[594.00-596.00] 各位可以參閱一下
[596.00-599.00] 我們整個目標的市場還有整個的應用的場景
[599.00-601.00] 還有目前我們代表的一些產品線的內容
[601.00-603.00] 這個我就不再一一的去贅述
[603.00-606.00] 我們列了這張表給各位做一個分享
[606.00-608.00] 那各位可以去參閱一下
[608.00-612.00] 等一下我們在做互動的時候各位可以來了解一下
[612.00-613.00] 是這樣子
[613.00-617.00] 所以從前面那一張我們整個看Focus的市場還有Opportunity
[617.00-621.00] 然後到目前我們的產品線主要的代理產品線的Status的狀況
[621.00-623.00] 給各位做一個初步的掌握是這樣子的
[624.00-630.00] 那我們這邊重點其實來看是說整個機會的部分
[630.00-633.00] 整個機會的部分剛才提到AI的運用
[633.00-634.00] AI的運用
[634.00-637.00] 然後AIPC這一塊Windows這邊要充值了
[637.00-640.00] 那AMD目前來講就是我們主要的產品線
[640.00-641.00] 它不管是在AI的運用端
[641.00-644.00] 在AIPC的運用端其實有些Solution都是存在的
[644.00-650.00] 不管從CPU GPU APU等等這邊的什麼實況的競爭力上面來講
[650.00-654.00] 其實AMD這條產品線是我們目前蠻重要的一條產品線的話
[654.00-659.00] 那我們的產品線其實在這邊從Infineon到Microchip到Infinite
[659.00-666.00] 那這個到Beshear這邊其實在Power相關的一些產品線的整個Solution上面的Support上面來講
[666.00-669.00] 也都是有蠻大的一個成長的機會
[669.00-671.00] 那這邊給各位做一個分享
[671.00-675.00] 那另外我們在威建這個部分我們在中國這一邊
[675.00-678.00] 在大陸地區我們也拿到了那個Gigabyte
[678.00-680.00] 那就是主要的林坡宗家的這邊的代理權
[680.00-681.00] 林家的代理權
[681.00-684.00] 那隨著整個一個目前的這個產品線的進展
[684.00-688.00] 從整個產品實況的變化然後到所謂的關稅的這種不確定性
[688.00-691.00] 那隨著客戶他們的產品線的移轉
[691.00-694.00] 那目前來講在跨地區這邊的整個一個
[694.00-697.00] 因為我們目前來講威建來講主要在雅漢
[697.00-702.00] 那隨著客戶整個產品線不管是到未來會不會到美國做生產
[702.00-704.00] 或是說現在前進到墨西哥那一邊
[704.00-707.00] 那目前來講我們都已經談定了合作對象
[707.00-711.00] 我們大概會在德州的Airpacel這邊建立了整個一個物流的Logistics
[711.00-713.00] 一個所謂的合作的夥伴
