[0.00-6.50] 我們現在就要進入我們的第二場論壇的會議
[6.50-14.00] 第二場我們非常榮幸邀請到我們雄獅旅遊的總經理王仲文來到這邊
[14.00-15.50] 今天是非常難得
[15.50-19.50] 我想遊業在COVID之後
[19.50-22.00] 然後大家出現這個暴富制的旅遊
[22.00-26.00] 到今年這個趨勢也是方新未來
[26.00-28.50] 所以我們就熱烈的掌聲
[28.50-33.50] 然後我們請黃經理跟我們講一下整個市場還有公司的狀況
[33.50-34.50] 好 謝謝
[36.50-38.00] 各位先生大家好
[38.00-41.50] 我是集團的財務總經理黃國瑜
[41.50-46.00] 今天很高興也有機會再跟大家再次見面
[46.00-48.50] 雖然很多應該是很久不見了
[48.50-53.50] 那我盡量就我能說的能講的跟各位大家
[53.50-58.50] 那首先我們還是從我們的財報來講
[58.50-70.50] 我們第一季的財務的報表
[70.50-76.50] 好 對不起
[76.50-82.50] 那我們第一季做了71億
[82.50-84.50] 對不起我讓我往外面站一點
[84.50-86.50] 我們第一季做了71億
[86.50-87.50] 那去年的
[87.50-88.50] 好
[88.50-90.50] 那去年的同期是59億
[90.50-93.50] 那我們的費用
[93.50-96.50] 你可以看到費用的話攀升到8億
[96.50-99.50] 那去年的同期大概就是7億左右
[99.50-101.50] 那這個費用方面的話
[101.50-104.50] 最主要是因為去年的獲利狀況不錯
[104.50-107.50] 員工經過疫情期間蠻辛苦的
[107.50-109.50] 所以我們提列一些獎金
[109.50-110.50] 包辦獎金
[110.50-112.50] 所以第一季獎金高了一些
[112.50-114.50] 好 跟大家多說明
[114.50-117.50] 然後所以整個的
[117.50-122.50] 稅前經濟之外所得稅費用
[122.50-126.50] 然後歸屬於母公司的我想這都很清楚了
[126.50-128.50] 那另外講就是我們的
[128.50-131.50] 為實現平價存益最主要是
[131.50-133.50] 我們有旅天下的股票
[133.50-136.50] 對不起 更正一下
[136.50-139.50] 我們有那個股行的股票為主
[139.50-141.50] 那我們早期也有投資
[141.50-143.50] 大概是3000多張
[143.50-145.50] 然後子公司有500多張
[145.50-146.50] 然後
[146.50-150.50] 我們採權益法的另外一家旅天下
[150.50-151.50] 也有1000多張
[151.50-153.50] 所以總共加起來快5000張
[153.50-155.50] 成本在
[155.50-157.50] 因為前一場有問
[157.50-159.50] 成本大概在40多塊左右
[159.50-160.50] 這跟各位做報告
[160.50-163.50] 那因為它會今年會配息
[163.50-166.50] 那關聯企業就主要是我們轉投資的一些公司
[166.50-170.50] 然後所以EPS第一季是4.5
[170.50-171.50] 4.57元
[171.50-175.50] 那你可以看到我們的淨利率大概就是一路
[175.50-177.50] 的往上去攀升了
[177.50-179.50] 那就跟我們在2019的時候
[179.50-181.50] 這個大概三年多
[181.50-183.50] 所以整體的會議狀況是
[183.50-185.50] 能力是比以前強
[185.50-186.50] 那也有助於就是
[186.50-189.50] 我們的疫情之後其實大家常常會問就是
[189.50-191.50] 會不會是一後的紅利
[191.50-192.50] 但事實上看起來
[192.50-195.50] 這好像是一個比較常態性的發展
[195.50-197.50] 事實上整個營收在每個月看起來
[197.50-200.50] 你並沒有看到哪一個會特別突出
[200.50-202.50] 沒有看到哪一個會特別突出
[202.50-205.50] 那所以一路上都蠻突出的
[205.50-207.50] 那這也比較出乎我們意料之外
[207.50-210.50] 因為以前沒有經歷過COVID
[210.50-213.50] 所以因此就
[213.50-216.50] 當那一年度的
[216.50-218.50] 保安協議在會議的時候其實我們沒有把握
[218.50-220.50] 但這兩年測試下來
[220.50-222.50] 大概都還是
[222.50-225.50] 都還是照著這樣子的營收方式在走
[235.50-250.30] 我곡 Mic
[265.50-269.50] 這是我們合計資產的部分
[269.50-278.50] 我們預收716億,然後預付16億
[278.50-281.50] 其他金融資產是2.2億
[281.50-286.50] 其中部分的話,使用權資產在整個地方
[286.50-289.50] 所以資產總計其實還是有增加一部分
[289.50-291.50] 我想這一步我就調快一點讓大家看
[291.50-294.50] 因為這對你們來講應該是比較過時的資料
[294.50-298.50] 這是我們借款,短期借款
[298.50-301.50] 短期借款方面的話,其實我們已經大幅的改善了
[301.50-304.50] 我們從疫情的時候,這個數字非常龐大
[304.50-310.50] 我想大家都知道,然後到現在一路很努力的把這些借款還清
[310.50-314.50] 另外就是合約負債35億
[314.50-320.50] 去年的話是36億
[320.50-322.50] 所以合約負債就代表說
[322.50-324.50] 我先收未來的款項
[324.50-329.50] 比如說有人是在這幾個月先訂了未來幾個月要出發的金額
[329.50-334.50] 那這個金額大概會實現在未來3到6月屬於訂金的部分
[334.50-343.50] 那從這個數據來看其實你可以看出來未來3到6個月的整體的營運狀況
[343.50-351.50] 然後其他的話,租賃負債這些都是我們屬於我們一些門市或房租
[351.50-353.50] 那也沒有比較特別的部分
[354.50-362.50] 那非控制的話就是我們持股不到低於20以下的大概在我們801而已
[362.50-366.50] 所以我們也沒有在投資上面做什麼很大的動作
[368.50-370.50] 那這是每股淨值
[370.50-373.50] 那在目前是9,第一季是9.2
[373.50-377.50] 但我們去年配息之後會往下降,今天是配7.5
[377.50-382.50] 那我們去年的獲利率配到7.5也就是7成多以上
[382.50-383.50] 那這可以讓大家參考
[384.50-388.50] 那從疫情之後我們就有一個政策
[388.50-395.50] 就希望說也許以前在疫情前的政策可以盡量配合,盡量配息出去
[395.50-401.50] 那我們的負債比率也蠻平穩,人民也平穩
[401.50-404.50] 然後大家比較重視的就是我們的員工人數
[404.50-408.50] 員工人數你可以看到從2024年年底是2279人
[408.50-411.50] 這年是2659人
[411.50-414.50] 那2024年的Q1是2317人
[414.50-418.50] 那我們疫情前是3400多位員工
[418.50-423.50] 所以我們把整個人力基本上來講都有一點下降
[423.50-425.50] 那下降的原因是因為
[425.50-431.50] 我覺得我們公司推動AI化或者是自動化還蠻成功的
[431.50-436.50] 它可能會取代一些人力或是增加大家作業的效率
[436.50-439.50] 那因此在人力上面你可以從這邊來做解釋
[439.50-444.50] 另外一點就是我們對員工的要求會比以前高很多
[444.50-451.50] 那過去我們可能在員工上面會採用大量的人海戰術
[451.50-454.50] 但以後我們就做得比較及時一點
[454.50-458.50] 所以會發現人少很多,但是其實營業也沒掉
[458.50-460.50] 獲利也沒掉,原因在這裡
[460.50-465.50] 好,這個就是剛剛我們的EY收支
[465.50-470.50] 收支的明細6182在我們第一頁上面可以看到
[470.50-472.50] 那也沒什麼特別
[472.50-474.50] 所以你們專案主要會問就是
[474.50-476.50] YB匯兌的利益
[476.50-478.50] 那這是Q1
[478.50-480.50] 但在Q1的時候其實
[480.50-482.50] 台灣台幣的匯率沒有波動
[482.50-484.50] 在3月底之前就沒有波動了
[484.50-488.50] 但是我們匯兌的利益大概是13889
[488.50-490.50] 這個跟大家說明一下
[490.50-492.50] 那至於之後匯率怎麼走
[492.50-494.50] 我們等一下再來看
[498.50-502.50] 好,那這個是我們跟各家的比較
[502.50-504.50] 我們2005年Q1做了
[504.50-506.50] 711億
[506.50-509.50] 後面的幾家都是一樣是上市櫃公司
[509.50-515.50] 大概做了71615等等
[515.50-517.50] 那你可以把它看一下其實
[517.50-520.50] 無論在市場領域規模上面來講
[520.50-524.50] 熊市是做得比較廣泛一些
[524.50-526.50] 那這個表示讓大家做個參考
[526.50-529.50] 當然每家成長幅度都不一樣
[529.50-532.50] 但熊市大概是為了均值之上
[532.50-534.50] 因為我們營業也夠大
[534.50-536.50] 所以基本上來講的話
[536.50-538.50] 可以維持一個均值之上也算不容易
[544.50-546.50] 好,以上就是我們財務報表
[546.50-550.50] 那看大家有沒有什麼問題需要發問的
[552.50-554.50] 好,如果沒有的話那是不是
