[0.00-2.32] 各位法人及媒体朋友午安
[2.32-5.84] 欢迎参与台中银行法人说明会
[5.84-8.00] 我是今天主讲人郑荣国
[8.00-14.40] 在会议的初段我们会报告本公司2024年全年度的营运状况
[14.40-17.50] 简报过后会进入问答阶段
[17.50-22.08] 各位投资朋友可以画面右下角栏位输入您的问题
[22.08-25.00] 我们将于整理后同意回复
[25.82-29.16] 会议简报已公告于本公司网站首页
[29.16-30.64] 敬请前往下载
[30.64-33.06] 我们现在法说会开始
[33.06-39.80] 首先就台中银行2024年度营运灾药说明
[39.80-40.82] 获利情形
[40.82-45.42] 2024年度最后净利82.92亿元
[45.42-51.68] 较2023年度68.21亿元成长21.57%
[51.68-56.14] 2024年度每股盈余为1.50元
[56.14-59.14] 较2023年度财报数字
[59.16-61.60] 每股盈余1.31元
[61.60-64.76] 成长率为14.50%
[64.76-66.90] 资产品质
[66.90-72.02] 2024年底预期放缓比率为0.06%
[72.02-76.80] 被抵贷账覆盖率为2052.05%
[76.80-78.74] 资本市足率
[78.74-83.90] 2024年度合并资本市足率为13.67%
[83.90-87.82] 第一类资本比率12.34%
[87.82-88.78] 普通股全资本比率12.34%
[88.78-88.80] 普通股全资本比率12.34%
[88.80-88.92] 普通股全资本比率12.34%
[88.92-89.14] 普通股全资本比率12.34%
[89.16-91.22] 普通股全益比率11.15%
[91.22-95.70] 个体资本市足率为13.86%
[95.70-98.98] 第一类资本比率12.56%
[98.98-102.92] 普通股全益比率11.35%
[102.92-106.98] 其次就营运概况
[106.98-109.90] 资产规模及净值
[109.90-116.22] 2024年度合并资产规模9721亿元
[116.22-118.92] 较去年同期8721亿元
[118.92-118.94] 较去年同期8721亿元
[118.94-119.14] 较去年同期8721亿元
[119.16-123.12] 增加942亿元
[123.12-125.86] 成长10.73%
[125.86-130.98] 2024年度合并净值821亿元
[130.98-134.10] 较去年同期765亿元
[134.10-136.08] 增加56亿元
[136.08-139.16] 成长7.32%
[139.16-142.12] 获利表现
[142.12-147.10] 2024年度最后净利82.92亿元
[147.10-149.14] 较2023年度
[149.16-151.66] 68.21亿元
[151.66-154.34] 成长21.57%
[154.34-156.06] 成长主因
[156.06-160.08] 合并净收益192.99亿元
[160.08-163.82] 较2023年度增加18.02亿元
[163.82-166.40] 成长10.30%
[166.40-169.32] 其中主要为向下
[169.32-172.82] 利息净收益增加9.26亿元
[172.82-174.92] 成长8.18%
[174.92-178.94] 首续会净收益增加7.92亿元
[178.94-181.94] 成长20.12%
[181.94-185.44] 单仗费用减少5.67亿元
[185.44-188.94] 营业费用增加6.99亿元
[188.94-193.44] 2024年度每股盈余为1.50元
[193.44-197.44] 较2023年度财报数1.31元
[197.44-199.44] 增加0.19元
[199.44-202.44] 成长率为14.50%
[202.44-207.44] 较追溯调整后每股盈余1.24元相较
[207.44-208.48] 则成长率为3.2%
[208.48-211.48] 成长率为20.97%
[211.48-214.98] 获利绩效
[214.98-220.48] 2024年度资产报酬率ROA为0.91%
[220.48-223.48] 较2023年度0.82%
[223.48-226.48] 成长率为10.98%
[226.48-232.48] 2024年度净值报酬率ROE为10.46%
[232.48-235.48] 较2023年度9.36%
[235.48-238.48] 成长率为11.75%
[238.48-241.48] 连续费用增加了0.19%
[241.48-245.48] 公司货力的费用增加了10.7%
[245.48-250.18] 平均购入大约2024年度的费用资产率为15.7%
[250.18-252.48] 平均购入大约1.68%
[252.48-254.48] 平均购入大约1.62%
[254.48-256.48] 平均购入大约1.78%
[256.48-258.48] 平均购入大约2.62%
[258.48-260.48] 平均购入大约2.34%
[260.48-262.48] 平均购入大约2.3%
[262.48-264.48] 平均购入大约2.7%
[264.48-266.48] 平均购入大约2.4%
[266.48-271.52] 较2023年度增加6.12亿元
[271.52-274.42] 年成长率为9.19%
[274.42-277.12] 台中银行2024年度
[277.12-280.90] 净提列待账费用9.53亿元
[280.90-285.02] 较2023年度减少5.94亿元
[285.02-289.34] 年成长率为-38.40%
[289.34-292.22] 台中银行2024年度
[292.22-295.04] 税前净利96.80亿元
[295.04-299.42] 较2023年度增加16.19亿元
