[0.00-3.84] 好 各位老朋友新朋友大家好
[4.36-8.44] 歡迎各位今天來參加王品參與普遍衛生公司的發售會
[8.70-11.26] 我是集團的發言人朱文敏
[11.52-15.62] 代表公司來替大家做一些簡報
[16.12-19.20] 那各位可以看到這個是目前公司的概況
[19.72-24.58] 目前在王品集團裡面我們一共分成了在台灣
[24.84-26.88] 台灣事業群大陸事業群
[27.40-29.70] 跟大家很關切的美國事業群
[29.70-32.52] 那在台灣的部分包括了王品
[34.06-39.18] 王浦就是普田他目前是我們跟新加坡合作的一個公司
[39.68-40.96] 那他有四家門店
[41.22-43.52] 另外群品就是各位常看到的
[43.78-45.58] 12鍋跟12mini
[46.08-47.62] 另外還有一個萬仙
[47.88-53.00] 萬仙就是我們專門在發展零售通路的公司
[53.26-56.58] 那最近在市場上非常火熱的青花椒
[57.10-58.62] 牛肉麵就是由他出品的
[58.88-59.66] 相信很多人
[59.96-60.98] 在座的都有
[62.26-63.02] 另外傑創
[63.28-67.90] 傑創是我們這個獨自的一家投資公司
[68.66-70.96] 希望能夠扮演天使投資人的角色
[71.48-74.30] 那整個台灣事業群目前
[74.54-76.86] 是有347家門店
[77.36-80.44] 最近的數字大概就差不多在350
[80.70-81.20] 正負
[81.46-82.74] 三四家左右
[83.00-85.56] 但是剛才有人現在提問
[85.82-89.66] 我們今年下半年還是會加大展店的力量
[89.96-93.80] 希望這個數字能夠再往上增加
[94.06-97.12] 另外一個部分就是我們的大陸事業群
[97.38-100.20] 目前到4月30號最新的資料
[100.70-101.48] 我們的
[101.74-104.30] 大陸事業群一共有88家門店
[104.80-106.60] 主要還是以王品
[106.86-110.94] 牛排跟西體牛排這兩個品牌為主力
[111.46-114.54] 當然最近剛才有朋友問我說有一家
[115.04-117.34] 這個叫做雲彩坡的新品牌
[117.60-119.66] 最近在上海非常火熱
[119.96-121.24] 他是一個專賣雲南菜
[121.74-122.52] 餐廳
[122.78-125.84] 那最近他也加速的在展店當中
[128.14-131.22] 另外各位可以看到這就是我們的投資結構
[132.24-135.82] 主要還是王品餐為主各位比較關切的在右上角
[136.86-139.66] 我們有在這個美國德拉瓦州
[139.92-141.98] 成立了一個控股公司
[142.22-143.76] 另外我們在德州
[144.02-145.56] 註冊了一個公司
[146.06-148.12] 如果有好的機會我們當然會
[148.62-149.40] 前進到
[149.96-150.98] 美國去
[152.26-154.06] 另外各位可以看到這個
[154.82-157.38] 目前台灣整個菜業的情況
[158.40-159.18] 目前呢
[159.42-161.48] 其實年年都在成長這當中
[161.74-164.54] 當然不排除有通膨的因素
[164.80-168.14] 但是能更重要是其實台灣人日子的確過得越來越好
[168.64-170.18] 大家對外食
[170.44-172.48] 的需求也越來越高
[172.74-178.88] 所以各位可以看到不管在2023年突破一兆之後在2024年持續保持著增長的情況
[179.70-181.24] 那我們相信今年
[181.50-182.00] 到
[183.02-186.10] 前兩天我們在看一收為止目前整體的情況
[186.36-188.92] 都還是發展的非常的好
[191.74-193.02] 那整個餐飲業
[193.26-196.34] 發展的情況仍然是逐步穩健的向上
[201.20-205.30] 目前在這個台灣菜業可以看到就是在餐業跟旅館業
[205.56-207.86] 那我應該還是單純的指餐業
[208.12-209.66] 在佔家庭消費的位置
[209.90-212.26] 可以支出的比例其實是穩健的增長
[212.78-216.10] 這當中除了那三年的疫情比較糟之外
[216.36-217.64] 剩下的時間
[217.90-218.40] 都
[218.66-220.20] 持續的增長當中
[220.46-224.54] 那也可以跟各位報告就是剛剛結束的母親節
[224.80-226.08] 替我們帶來了
[226.60-228.90] 這半個月非常好的一個成果
[229.16-232.22] 讓我們在這個營收上有一個新的突破
[232.74-234.02] 這也顯示出
[234.28-235.04] 整個市場
[235.56-237.10] 對餐飲的需求
[237.34-238.38] 是越來越加大的
[240.22-241.74] 這個餐飲的趨勢圖
[242.00-245.34] 請各位做參考相信各位平常應該有非常多準備
[246.62-249.68] 現在網品集團是整個台灣菜業在
[249.94-256.08] 中上游中游下游都有做一個最完整的一條龍的一個產業包括了
[256.34-257.62] 上游的原物料供應
[258.38-260.18] 然後中游的餐飲服務
[260.44-264.02] 到下游我們也開始逐漸的加強我們在
[264.28-266.06] 各個零售通路的力道
[266.58-267.60] 這一整個部分
[267.86-268.62] 網品
[268.88-269.40] 在中上游
[269.70-271.74] 上中下游其實都有完整
[272.52-273.28] 的佈局
[277.64-278.40] 接下來
[278.66-281.48] 跟大家簡述一下我們的營運的現況
[282.50-288.90] 那目前在台灣一共是有21個品牌包括各位所熟悉的網品西體陶板屋
[289.16-290.44] 元燒聚
[291.46-293.50] 義奇夏慕尼品田
[293.76-294.54] 12鍋
[295.04-295.82] 莆田
[297.10-298.12] 青花椒
[298.38-299.40] 12mini
[299.70-300.46] 響鴨
[300.72-301.24] 豐和
[301.50-302.26] 和牛蒜
[302.78-303.54] 肉刺方
[303.80-304.30] 大鍋
[304.56-305.08] 香辣
[305.34-306.36] 21個品牌
[306.62-308.92] 總共他是有347家門店
[309.42-311.22] 最近有很多的這個
[311.74-314.54] 記者朋友們會問到我們說整個網品集團
[314.80-316.60] 發展的情況是如何
[316.86-318.64] 會繼續開新品牌嗎
[318.90-320.70] 其實我們非常明確的回答
[321.20-322.22] 在台灣
[322.48-323.76] 我們大概暫時
[324.02-326.84] 不會有新品牌繼續推出
[327.34-328.62] 我們要努力的是
[328.62-330.92] 加強我們的管理能力
[331.70-333.48] 過去這段時間
[333.74-334.50] 網品
[335.02-336.04] 一共有
[337.58-338.60] 六個品牌
[338.86-341.94] 持續的維持月營收
[342.44-343.46] 在一月
[343.72-346.02] 月營收在上億元左右
[346.54-348.08] 包括了西體
[348.34-349.36] 陶板屋
[350.90-351.66] 夏慕尼
[352.18-352.94] 12鍋
[353.70-354.98] 這幾個品牌
[356.78-358.58] 每一個月的營收都維持
[358.88-359.64] 在上億元
[359.90-361.18] 有六個品牌
[361.44-362.72] 也就是一整年
[362.98-367.32] 我們有至少有六個品牌都達到了12億元的這樣一個水準
[367.58-372.44] 這幾乎是等同於台灣中小餐飲集團的一個規模
[372.96-376.02] 六個品牌加起來就將近有70億以上
[376.54-378.58] 所以這個就幾乎已經是
[379.10-381.40] 市場上第二名的規模
[382.18-383.96] 那今年對我們而言
[384.48-385.50] 是如何
[385.76-387.54] 加強我們的管理能力
[387.80-388.58] 還有我們的
[388.88-390.16] 展店規模
[390.42-393.22] 能夠讓我們在月營收
[393.48-395.54] 上億元的品牌數
[395.78-397.32] 能夠增加
[397.84-398.86] 這當中
[399.12-400.14] 最有希望
[400.90-401.68] 最快
[401.94-404.50] 今年就可能達成這個目標的
[404.74-406.28] 有三個品牌
[406.80-407.30] 第一個
[408.08-411.14] 就是我們在市場上非常受歡迎的鍋物
[411.40-412.42] 青花椒
[413.96-416.02] 他有可能達到月營收
[416.52-418.06] 或億元的這個目標
[418.06-419.60] 第二個就是我們在
[419.86-421.14] 中餐的品牌
[421.38-421.90] 想壓
[422.66-424.72] 他也逐漸接近這個目標
[425.74-427.02] 另外還有一個
[427.54-430.60] 就是非常受到年輕人喜愛
[432.14-433.42] 燒肉的品牌
[433.68-434.70] 叫做肉刺方
[434.96-438.28] 他是一個燒肉吃到飽也正符合現在年輕人
[438.80-440.58] 喜歡吃肉的一個品牌
[441.86-444.68] 所以我要跟各位報告就是我們今年
[445.20-445.96] 不會有
[446.48-446.98] 繼續
[446.98-450.30] 不會繼續有這個新品牌的推廣因為他
[450.56-452.36] 新品牌不管在研發
[452.62-453.38] 管理
[453.64-455.18] 跟採購能力上
[456.46-460.30] 都要投入相當大的心力而過去的兩三年
[460.54-463.88] 網品已經投入非常多心力最高的時候
[464.14-466.18] 我們曾經達到26個品牌
[467.72-470.28] 那經過市場的考驗之後
[471.04-472.58] 我們逐步的收攏
[473.34-474.88] 不具有經濟效益
[475.40-475.90] 或者
[476.16-476.94] 發展規模
[477.24-478.00] 有限的品牌
[478.26-480.30] 收攏到現在
[481.08-482.36] 21個品牌
[482.62-483.38] 這當中
[483.64-484.66] 我們又會以
[484.92-486.96] 加強我們自己的管理能力
[487.22-489.26] 提升採購的中效
[490.04-491.06] 來做考量
[491.32-493.62] 希望今年最主要的目標
[493.88-495.42] 就是能夠幫助
[495.66-496.70] 青花椒
[497.20-497.98] 想壓
[498.22-500.78] 以及肉刺方這三個品牌
[501.04-502.58] 能夠月營收
[502.84-503.86] 達到破億
[504.38-505.90] 因為如果這樣的話
[506.16-506.94] 我們每個月
[507.24-508.26] 就至少
[508.52-510.06] 有九個品牌
[510.56-513.12] 都能夠達到上億元的規模
[514.14-516.96] 這個對我們集團的注意是非常的大
[517.48-520.30] 所以在這裡先跟各位提到這些狀況
[520.80-522.08] 這是我們今年
[522.34-523.10] 主要的
[523.36-524.64] 所以不會有新品牌
[524.90-525.66] 但是
[526.18-527.72] 規模要加大
[528.48-530.54] 電數也要加多
[530.78-532.06] 這是我們今年
[532.32-534.88] 主要在台灣的發展情況
[535.40-536.94] 各位也可以從這張看到就是我們
[537.18-538.52] 目前台灣的電數
[538.78-540.82] 那過去兩年大概到今年為止
[541.34-543.64] 4月30號都為347家
[543.90-544.92] 我們下半年
[545.18-546.46] 也就是從5月
[546.70-548.50] 從差不多暑假開始
[549.02-552.08] 應該就會持續加強我們展變的力度
[552.34-553.36] 有一些已經
[553.62-555.92] 選點完成也完成了簽約
[556.18-557.98] 就等著進場裝修
[558.48-559.26] 這些情況
[561.30-566.16] 那另外各位可以看到接下來這是我們在大陸事業群的一個狀況
[566.16-568.20] 主要我剛才跟各位報告
[568.72-572.56] 雖然有88家的店但是主要的還是以王體
[573.08-573.84] 西體
[574.10-576.14] 這兩大主力品牌為主
[576.66-578.20] 那FernoSwan只有一家
[578.70-579.98] 另外這個Amigo
[580.76-581.78] 有三家
[582.04-583.06] Rowang有一家
[583.32-585.88] 雲彩波就是我剛跟各位提到的
[586.38-588.44] 這個雲南風味的餐廳
[588.68-589.72] 目前有兩家
[591.50-595.86] 那各位也非常關心我們的大陸的營運狀況您可以看到
[596.16-598.98] 在最高的時候我們有154家
[599.48-602.04] 那隨著大陸經濟景氣的變換
[603.08-607.16] 到差不多2023年左右我們降到98家
[607.68-608.70] 差不多100家的規模
[609.22-612.28] 但是過去這兩年如同各位所熟悉的
[612.80-615.62] 大陸經濟內捲的情況非常嚴重
[615.88-617.40] 產業競爭的非常激烈
[617.92-620.22] 所以我們也適時的調整我們的點位
[620.48-622.78] 那到目前為止是88家
[623.30-624.32] 很多人關心
[625.34-626.12] 我們在大陸
[626.42-627.44] 大陸的發展計畫
[627.70-629.24] 我在這邊跟各位報告的是
[631.54-633.84] 暫時我們不會在大陸
[634.86-636.66] 有大幅度的擴張
[637.42-639.48] 如果有一兩家店的增加
[639.72-640.76] 有可能
[641.52-645.36] 但是我們必須確保在這個大陸經濟
[646.64-647.16] 平穩
[648.44-651.50] 很難看到大突破的現在這個情況
[652.02-653.56] 我們必須保持
[654.06-655.86] 持營保態的一個狀態
[656.42-658.98] 所以我們現在最重要的要求
[659.74-661.54] 每一個存活的門店
[662.04-664.36] 都要至少做到損一兩瓶
[664.86-666.40] 最好能夠賺錢
[668.70-671.00] 所以各位可以看到在4月的營收
[671.52-672.54] 大陸已經有
[673.32-674.60] 小小的這個
[675.62-676.38] 正成長
[676.90-680.22] 這也是連續15個月的負成長之後我們在住
[680.48-681.00] 看到
[681.50-682.52] 大陸的門店
[683.04-685.60] 營收是一個正成長的情況
[686.16-688.98] 我們也期待他能夠持續的保持下去
[689.24-690.26] 對我們而言
[691.54-694.86] 內卷的這麼嚴重消費力衰退的這麼多
[695.38-696.14] 每家店
[696.40-698.20] 都要能夠把自己照顧好
[698.70-699.48] 我們不會
[699.98-701.52] 大幅度的擴張
[702.54-704.60] 但是如果你說增加一兩家店
[705.10-707.16] 讓他的能量更大一些
[707.40-708.68] 這是有可能的
[711.76-712.78] 另外這兩年
[713.04-715.60] 這五年下來網頂最多
[716.16-719.48] 最努力的另外一件事就是我們的數位行銷
[720.00-722.04] 那各位可以看到在我們
[722.30-723.32] 4月30號
[724.10-729.22] 最新的結果裡面網頂豐美食的會員人數已經達到513萬人
[729.72-731.78] 他對我們營收的影響
[732.54-735.10] 也已經超過50%以上
[735.36-736.38] 也就是說
[738.18-741.50] 現在來網頂集團消費的客人
[742.78-743.80] 超過五成
[744.06-745.86] 甚至更高的比例
[746.16-749.24] 他是網頂集團的會員的復購
[750.00-751.28] 透過這一個
[751.80-753.08] APP的形式
[753.58-756.92] 讓我們更能夠掌握消費者的喜好
[757.16-758.44] 消費者的樣貌
[759.72-761.26] 對於整個市場的
[762.80-763.82] 口味的
[764.34-764.84] 界定
[765.62-767.92] 還有這個消費者的經濟狀況
[768.18-770.48] 甚至他喜歡吃哪些東西
[770.74-773.56] 對我們展店都有非常大的益處
[774.06-776.12] 而且更能夠掌握他對
[776.42-778.20] 上餐廳
[778.46-779.74] 這件事情的動態
[780.76-784.10] 所以這一點是我們在過去五年非常努力做的事
[784.60-786.40] 各位可以看到就如同全
[786.66-787.42] 全聯
[787.94-789.22] 他積極的推T
[790.24-791.26] TTA Pay一樣
[791.78-794.84] 他其實也是希望能夠掌握這些顧客
[795.62-797.16] 的一個消費動向
[797.40-799.46] 那目前網頂豐美食
[799.72-802.02] 應該是在整個台灣餐飲界
[802.28-803.80] 除了麥當勞之外
[804.32-806.12] 人數最多的一個APP
[806.42-811.02] 那另外我們
[811.54-813.32] 剛才也跟各位報告過
[813.84-816.14] 我們非常積極的用萬仙
[817.42-819.48] 在打進各個零售通路
[820.76-823.56] 目前各位可以看到包括了四大超商
[823.82-824.60] 超市
[825.10-825.88] 電商
[826.12-827.16] 還有外送平台
[827.66-832.28] 這些都在我們的合作夥伴項目當中
[832.78-833.56] 也就是說
[834.32-835.86] 我們希望透過他
[836.68-839.24] 伸出網品營收的第二隻腳
[840.26-842.82] 不只是只有在用餐的時間
[843.58-846.40] 可以吸引消費者到餐廳用餐
[846.92-849.22] 我們甚至希望在宵夜的時段
[849.72-851.00] 在早餐的時段
[851.52-852.54] 都能夠
[853.06-855.88] 到顧客消費者家裡的餐桌
[856.12-858.18] 或者是辦公室的餐桌
[858.68-860.74] 所以在過去五年當中
[861.50-863.30] 隨著時節的變化
[864.06-865.08] 隨著這個
[865.08-866.62] 季節的變化
[867.90-872.00] 萬仙目前已經推出超過100種以上的商品
[873.78-875.84] 同時他也積極的在拓展
[876.34-877.12] 海外的
[877.36-878.40] 銷售市場
[878.90-880.96] 那目前已經有一些進度
[881.20-881.98] 我們相信
[882.48-884.54] 大概在未來的一兩個月
[885.30-886.58] 各位可以看到
[886.84-888.88] 我們有新的商品在海外市場
[889.40-890.16] 也能夠上市
[890.94-892.72] 這些對於都是我們在
[893.24-894.78] 網品集團在上下
[895.08-896.10] 上中下游
[896.36-898.40] 一併做的一個努力的情況
[898.92-900.72] 所以萬仙的營收
[900.96-902.00] 對我們來說
[902.50-905.06] 將來也會非常的重要
[908.40-910.70] 那這裡是萬仙的產品結構圖
[910.96-913.52] 各位可以看到包含了各位在
[914.28-916.58] 好市多可以看到的青花椒產品
[916.84-918.12] 那現在夏天到了
[918.38-920.68] 各位可能可以看到陶板屋的冰品
[920.94-922.48] 十二鍋的檸檬冬沙
[923.24-924.00] 冬瓜
[924.26-925.04] 另外還有像是
[925.34-929.94] 各位日常可以看到網品同樣採購的冷凍商冷凍肉品
[930.72-931.74] 跟這個海鮮
[932.50-933.78] 還有常溫的湯底
[934.30-935.84] 現在我們有冷凍的主食
[936.86-937.36] 最近
[937.88-940.70] 萬仙才剛剛推出了這個四川口味的
[941.46-942.74] 麻辣炒手
[943.26-945.82] 也歡迎各位在全聯可以看得到他
[946.32-949.92] 另外更多的還有冷凍的調理食品跟調理肉品
[950.68-951.96] 還有常溫的醬料
[952.72-954.26] 各位可以看到幾乎在整個
[954.52-955.04] 整個台灣
[955.34-957.90] 台灣的零售市場裡面
[958.40-960.96] 萬仙已經成為一個非常重要的
[961.48-962.76] 通路裡面的產品
[963.28-965.32] 那也幾乎涵蓋了各個面向
[965.84-967.36] 我們是非常看好他的
[967.88-970.18] 那接下來這些都是
[971.20-975.30] 萬仙他們在國際上獲獎的一些主要情況
[977.86-981.70] 你可以看到這個其實是非常需要特別介紹一下就是說
[982.22-984.52] 各個通路都希望他能夠
[985.08-986.62] 跟萬仙有獨家的
[986.88-987.64] 合作的產品
[988.40-990.20] 所以我們可能會用12鍋
[990.46-992.00] 去跟SAVER合作
[992.50-993.52] 我們用青花椒
[994.04-995.58] 跟全家合作
[997.12-1002.48] 在各個通路上都能夠展現我們比較大的一個空間跟合作的範圍
[1003.76-1004.54] 這也是王品
