[0.00-2.12] 各位投资先进大家午安
[2.12-4.38] 我是见准IR Tina
[4.38-9.84] 很高兴今天大家拨用时间来参加我们2024年的第四季法人说明会
[9.84-15.34] 今天在线上语汇的管理团队还有执行副总吴敬次先生
[15.34-19.04] 以及财务长及发言人先生李维仁先生
[19.04-23.20] 那我们就开始今天的简报
[30.00-35.00] 2024年第四季度营业额为新台币30%
[35.00-40.36] 虽然较上个季度是减少了4.2%
[40.36-45.40] 但是较前一年度的同期是上升了18%
[45.40-48.14] 以上个季度减少的主要原因是因为
[48.14-52.34] Server相关需求正处于产品转换的过渡期间
[52.34-56.04] 因此相关的一个产品拉货动能有所减少
[56.04-59.08] 不过因为AI浪潮的一个延续下
[59.08-59.98] 我们估计在2024年第四季度
[59.98-64.06] 估计Server相关的营收在今年度也会有很不错的表现
[64.06-73.16] 2024年整年度的营业额达到了146.2亿元
[73.16-75.74] 是近年来的历史新高
[75.74-80.16] 较去年度是成长额13.2%
[80.16-84.22] 主要的成长动能来源是来自于车用
[84.22-86.76] 以及伺服器这两大区块
[88.58-89.44] 其中
[89.44-95.50] 伺服器在第四季度的营收达到了16.7亿元
[95.50-99.46] 虽然较上个季度是减少了4.6%
[99.46-104.68] 但是营收占比跟过去两个季度是维持在高档水位
[104.68-107.54] 为44.5%
[107.54-113.56] AI Server的部分营收为8.7亿元
[113.56-117.60] 营收占比为23.2%
[119.44-128.38] 再来我们看2024年第四季度各个应用市场的一个营收占比
[128.38-134.42] 可以看到在去年的第四季度只有车用以及家电类别
[134.42-137.16] 是呈现正成长的一个幅度
[137.16-139.88] 其他则是衰退的情形
[139.88-145.88] 从左至右车用的部分较上个季度是成长了8.7%
[145.88-149.28] 营收占比为11.1%
[149.44-153.58] 通路的部分衰退25.5%
[153.58-156.36] 营收占比为4.9%
[156.36-161.58] 家电类别较上个季度是成长了2.7%
[161.58-165.28] 营收占比为3.4%
[165.28-169.94] 工业及医疗类衰退5.4%
[169.94-173.88] 营收占比为9.2%
[173.88-177.94] 广通及四部器的部分衰退1%
[177.94-179.42] 营收占比为9.2%
[179.44-182.82] 超过了5成达到了55.1%
[182.82-189.82] 笔电以及办公设备的部分是衰退了8.8%
[189.82-193.44] 营收占比为16.1%
[193.44-199.30] 再来我们直接看去年整年度的营收占比的部分
[199.30-205.36] 可以清楚的看到车用以及广通四部器的部分
[205.36-209.42] 是去年整年度的主要成长拉货动能
[209.44-213.18] 其他的类别仍然饱受终端需求的疲软
[213.18-215.26] 还有库存调节的因素
[215.26-218.28] 所以相关的需求仍然不见起色
[218.28-224.34] 车用的部分较去年度是成长了33.6%
[224.34-227.44] 营收占比为11%
[227.44-231.50] 通路的部分衰退25.8%
[231.50-235.44] 营收占比为5.3%
[235.44-239.42] 家电类别衰退29.1%
[239.44-243.38] 营收占比为3.5%
[243.38-248.24] 工业及医疗类衰退9.3%
[248.24-252.16] 营收占比为8.9%
[252.16-257.40] 广通及四部器大幅成长了45.8%
[257.40-262.44] 营收占比达到了53.1%
[262.44-266.90] 笔电类别衰退9.2%
[266.90-269.42] 营收占比为10.1%
[269.44-273.38] 工业及医疗类衰退17.5%
[273.38-276.38] 获利性的部分
[276.38-279.38] 毛利率的部分在去年第四季度
[279.38-282.38] 产品组合持续转好
[282.38-285.38] 加上有汇率的正面因素
[285.38-291.38] 所以在第四季度毛利率达到了30.3%
[291.38-299.38] 去年整年度的毛利率也有较前一年度持续改善到28.4%
[299.44-301.38] 营业利率的部分
[301.38-304.38] 因为整体的营运规模持续增长
[304.38-308.38] 所以相关的营业费用是同步在增加
[308.38-313.38] 所以营业利率的部分在去年度是11.5%
[313.38-320.38] 税后净利率的部分2024年是10.2%
[320.38-327.38] 去年第四季度美股盈余是1.6元
[327.38-328.38] 2024年是10.2%
[328.38-334.32] 2024年整年度的美股盈余为5.46元
[334.32-338.32] 预计配发美股现金3.7块
[338.32-340.32] 配息率跟前一年度是一样的
[340.32-343.32] 维持在68%
[343.32-345.32] 以上是今天的简报
[345.32-348.32] 我们可以开始进行提问的部分
[348.32-349.32] 那如刚刚所说的
[349.32-351.32] 如果你想要提问的话
[351.32-353.32] 请按下举手键
[353.32-355.32] 我们将会为你解除静音
[355.32-356.32] 谢谢
[358.38-360.38] 谢谢大家
[388.38-392.38] 谢谢
[392.38-393.38] Dialyne的Helen
[393.38-396.38] 你现在可以进行发言
[396.38-397.38] 副总好
[397.38-400.38] 因为刚刚公司也公布了这个二月份的营收
[400.38-403.38] 然后这样看起来好像第一季的展望
[403.38-406.38] 是不是有比之前给大家这个衰退
[406.38-409.38] 可能还single 10%的状况还要好一点
[409.38-410.38] QoQ
[410.38-414.38] 然后第四季的这个毛利率到30%
[414.38-417.38] 其实也比给之前大家预期再好一点
[417.38-418.38] 这个多出很多
