[0.88-3.50] 各位投资以及媒体先进大家好
[3.50-4.78] 我是Kristin
[4.78-7.88] 欢迎参加鸿海公司法人说明会
[7.88-11.86] 今天我们再次邀请到董事长刘洋伟先生
[11.86-13.86] 财务长黄德才先生
[13.86-17.00] 以及发言人James为各位说明
[17.00-19.64] 法说会的时间预计是一个小时
[19.64-21.14] 第一阶段是简报
[21.14-23.42] 第二阶段是问答时间
[23.42-26.52] 在会议正式进行前
[26.52-29.72] 请大家先详细阅读简报中的免责声明
[29.72-33.42] 接下来就进入法说会的第一个阶段简报
[33.42-35.70] 这一次有四个议题
[35.70-38.66] 分别是2025年第一季回顾
[38.66-41.06] 第二季即全年的展望
[41.06-42.86] 重要事业进展
[42.86-44.52] 以及近期重大事件
[45.38-47.28] 现在先邀请财务长David
[47.28-50.86] 向大家说明2025年第一季的财务表现
[50.86-53.56] 好 谢谢Kristin
[53.56-56.08] 各位在线上的投资先进
[56.32-58.18] 还有媒体朋友们大家好
[58.18-59.36] 我是黄德才
[59.36-61.90] 接下来由我向大家报告
[61.90-65.00] 鸿海2025年第一季营运状况
[65.00-67.94] 请大家看到第五页
[67.94-69.80] 2025年第一季水域表
[69.80-74.28] 第一季营收为新台币1.64兆元
[74.28-78.30] 较前一年同期增加24%
[78.30-80.00] 为历年同期新高
[80.00-82.24] 三率部分
[82.24-84.58] 毛利率6.11%
[84.58-86.86] 年减0.20%
[86.86-89.24] 主因产品组合之影响
[89.36-92.68] 营业利益率2.83%
[92.68-94.90] 年增0.05%
[94.90-97.24] 主要是费用率下降所致
[97.24-100.12] 因为营收成长24%
[100.12-102.28] 而费用仅增加15%
[102.28-106.46] 第一季净利率2.56%
[106.46-108.46] 年增0.9%
[108.46-111.26] 主要因业外获利大幅提升
[111.26-114.64] 其中任列SHARP获利32亿元
[114.64-118.12] 去年同期则任列损失105亿元
[118.12-119.34] 以及转移到新台币的利益率
[119.36-122.44] 投资评价受三月底股市上涨
[122.44-125.24] 任列评价利益等因素所致
[125.24-127.56] EPS部分
[127.56-131.40] 第一季的EPS3.03元
[131.40-134.46] 较前一年同期增加1.44元
[134.46-138.56] 接下来简报第六页资产负债表
[138.56-141.12] 截至2025年三月底
[141.12-144.44] 账上现金为9293亿元
[144.44-147.78] 净现金2812亿元
[147.78-149.20] 较去年三月底
[149.36-152.44] 减少1584亿元
[152.44-153.96] 主要是借款增加
[153.96-156.28] 以因应营运资金需求
[156.28-157.56] 以及资本支出
[157.56-162.68] 也较去年同期增加107亿元所致
[162.68-164.72] 现金周转天数51天
[164.72-166.76] 与去年持平
[166.76-168.82] 负债比例走为60%
[168.82-170.86] 较去年同期增加
[170.86-173.16] 主要原因为营收成长
[173.16-175.72] 为了因应营运资金的周转需求
[175.72-177.00] 故增加借款所致
[177.00-177.78] 为了因应营运资金的周转需求
[177.78-178.28] 故增加借款所致
[178.28-179.06] 为了因应营运资金的周转需求
[179.06-182.38] 最后简报第七页现金量表
[182.38-184.44] 2025年截至三月底
[184.44-188.02] 营业活动现金流出为511亿元
[188.02-192.62] 较去年同期流入180亿元相比
[192.62-195.44] 主要为存货增加所致
[195.44-199.80] 存货变动主因为客户对新品拉货动能提升
[199.80-202.10] 故配合客户备料所致
[202.10-207.98] 但我们仍会秉持存货文件管理的原则进行管控
[207.98-209.02] 自由现金流为
[209.02-211.84] 现金流出949亿元
[211.84-213.62] 与去年同期相比
[213.62-216.44] 现金流出增加800亿元
[216.44-219.26] 主要是因营业活动现金流出增加
[219.26-222.58] 及资本支出增加所致
[222.58-226.42] 以上为2025年第一季财务报表的整要报告
[226.42-229.24] 接下来我们把时间交给刘董事长
[229.24-230.26] 好谢谢David
[230.26-231.30] 大家好
[231.30-233.34] 总结第一季的表现
[233.34-236.42] 营收创下历年同期新高
[236.42-237.70] 季节性表现
[237.70-238.72] 优于过去
[238.72-240.76] 2025年平均水准
[240.76-244.60] 相较于去年同期则达到了强劲成长
[244.60-249.48] 表现与上次法说会的预期大致相当
[249.48-252.04] 从产品组合的角度来看
[252.04-255.62] 在AI伺服器的强劲成长带动下
[255.62-259.20] 云端网络产品的占比显著提升
[259.20-261.76] 相较去年第一季增加了6%
[261.76-264.84] 达到了34%的水准
[264.84-267.90] 同样期间消费智能产品的营收
[267.90-268.68] 相较于去年
[268.68-270.22] 也有一些成长
[270.22-273.28] 但是占比降低到40%
[273.28-274.82] 显示我们的产品组合
[274.82-278.92] 持续朝向更均衡的方向发展
[278.92-281.74] 如同我在上次法说会提到的
[281.74-284.30] 今年全年云端网络产品的占比
[284.30-287.88] 将会接近消费智能产品
[287.88-289.68] 以四大产品来看
[289.68-293.52] 电脑终端的表现比预期还要好
[293.52-296.58] 但是消费智能和云端网络
[296.58-298.64] 都稍微的落后预期
[298.68-304.06] 不过整体上都还是维持平稳的表现
[304.06-306.10] 从整体获利性来看
[306.10-308.92] 我们在毛利 营业利益
[308.92-311.48] 及税后净利都创下了
[311.48-315.58] 历史同期新高的表现
[315.58-317.12] 接下来我来说明一下
[317.12-319.42] 今年第二季的展望
[319.42-321.20] 过去一个多月来
[321.20-324.28] 美国关税政策变化快速
[324.28-328.38] 对于全球供应链产生不小的影响
