[0.00-3.72] 各位投資先進大家午安
[3.72-9.80] 國票證券很高興有機會可以承辦日電貿這一次的法輪說明會
[9.80-13.88] 今天為大家邀請到發言人余耀國總經理
[13.88-16.52] 洪志翰資深副總
[16.52-22.20] 然後賴南軍副總以及簡定儀副總
[22.20-26.08] 來跟大家分享公司的營運情況跟轉化
[26.08-29.44] 我們今天法說的時間預計是一個小時
[29.44-32.44] 我們就請公司開始今天的會議
[35.44-37.44] 各位大家午安
[42.96-48.32] 這邊首先由我開始來進行公司的資料的部分
[48.32-53.00] 在這裡公司的資料這個部分
[53.00-57.08] 我們目前資本大概是21.26149
[57.08-59.40] 其他的話跟之前的變動
[59.40-63.08] 就是因為是變動不大就是那樣的
[63.08-66.80] 然後再來看一下最近兩年度的合併報表
[66.80-70.00] 輸收跟稅後淨利的一個情況
[70.00-73.92] 首先看一下2024年比較2023年的部分
[73.92-78.24] 2024年我們的輸收有121億
[78.24-81.52] 在2023年的時候有107億左右
[81.52-84.48] 這個部分大概增長了15億
[84.48-87.40] 增長的比例大概是13.94%
[87.40-88.20] 在稅後淨利的部分大概是15億左右
[88.20-89.40] 在稅後淨利的部分大概是13.94%
[89.40-90.40] 在稅後淨利的部分大概是15億左右
[90.40-93.56] 我們2024年是9.6億
[93.56-95.92] 在2023年是7.2億
[95.92-98.68] 在這個部分也增加了2.4億
[98.68-102.04] 總共成長了33.98%
[102.04-105.04] 再來我們看一下2025年的Q1
[105.04-107.56] 跟2024年的Q1
[107.56-110.20] 在2025年的Q1的部分
[110.20-114.28] 這邊總共大概是38億左右
[114.28-116.88] 我們在2024年的Q1
[116.88-118.44] 在營業收入的部分大概有29億左右
[118.44-119.28] 我們在2024年的Q1 只是在營業收入的部分大概有29億左右
[119.40-123.84] 這個部分我們就是成長了32.97%
[123.84-125.92] 另外在稅後淨利的部分
[125.92-129.92] 我們在2025年的Q1有3.5億
[129.92-133.08] 在2024年的Q1有2.6億
[133.08-137.36] 這個部分我們也成長了有33.85%
[137.36-143.20] 再來在營業利益及營業淨利率的部分
[143.20-146.16] 這邊大家看一下在2024年
[146.16-148.44] 比較2023年的部分
[148.44-151.00] 在2024年的部分
[151.00-154.84] 我們的營業利益大概有11億多
[154.84-158.96] 在2023年的部分大概有8.73億
[158.96-162.52] 這個部分我們在營業利益的部分
[162.52-166.40] 從2023年的8.19%成長到
[166.40-169.52] 2020年的9.18%
[169.52-172.12] 另外我們在2025年的Q1
[172.12-175.72] 比較2024年的Q1
[175.72-178.28] 這個部分我們就是在
[178.44-181.00] 2024年的Q1有4.3億
[181.00-185.60] 在2024年的Q1的部分是大概2.9億
[185.60-188.16] 這個部分我們從
[188.16-191.76] 就是比較這兩個同期的Q1來看
[191.76-197.64] 我們是從10.16%有成長到11.34%
[197.64-202.00] 接下來我們看一下營業費用及營業費用率的部分
[202.00-206.60] 這個部分我們可以看一下2024年比較2023年
[206.60-208.28] 大概一個是8.3億左右的部分
[208.44-213.56] 另外在2023年的部分大概7.7億左右
[213.56-217.40] 我們的那個就是
[217.40-219.20] 就是在那個
[219.20-228.92] 我們在那個營業費用率的部分是在7.22%到
[228.92-232.24] 7.22%到6.86%
[232.24-234.56] 雖然我們的那個費用有
[234.56-236.60] 有些的那個上升但是我們的在營業的部分是在7.22%到6.86%的部分
[236.60-237.88] 但是我們的在營業的部分是在7.22%到6.86%的部分
[238.44-244.08] 所以我們收的那個助長項目的那個費用率其實是下降的
[244.08-249.20] 另外在那個2025年的Q1比較2024年的Q1的部分
[249.20-254.56] 我們的營業費用大概是在2.3億左右
[254.56-258.92] 在2024年的Q1是2.1億左右
[258.92-261.74] 那這個部分跟剛剛的曲線其實差不多
[261.74-265.06] 就是費用占有少不度的上升
[265.06-268.40] 但是我們的那個營業費用率是上去下降的
[268.44-271.00] 所以我們在那個2025年的Q1比較
[271.00-273.04] 就是費用的那個負利率是上升的
[273.04-275.60] 那再來看一下那個我們在
[275.60-279.20] 過利能力就是看一下毛利率跟儲益率的部分
