[0.00-4.38] 各位投资先进大家午安
[4.38-9.28] 那欢迎大家参加今天下读的第二季线上法人说明会
[9.28-12.14] 那稍后会议程将分为两个部分
[12.14-16.98] 第一部分会先交由财务长为我们更新公司的近期营运状况
[16.98-19.68] 接下来第二部分再进行QA交流
[19.68-21.76] 那把时间交给财务长谢谢
[21.76-25.42] 谢谢主持人Jenny
[25.42-30.44] 那接下来就由我来为各位投资先进报告
[30.44-35.48] 我们下读在第一季的一个营业状况
[35.48-37.30] 那我先自我介绍
[37.30-40.18] 我是下读的财务长张晓文
[40.18-42.58] 我目前兼任公司治理主管
[49.22-51.86] 今天简报有分成四个部分
[51.86-54.86] 分别是公司简介市场概况
[54.86-55.40] 然后是公司的财务
[55.40-57.24] 经营时机跟永续发展
[57.24-63.34] 那我们先从公司简介来跟各位介绍
[63.34-69.04] 下读成立在1995年9月
[69.04-72.66] 那主要的经营内容是旅馆跟餐饮
[72.66-78.56] 总市长陈协和我们总经理王静琪资本目前是14亿
[78.56-81.82] 员工人数362人
[81.82-85.32] 那我们的主要股东为官田
[85.32-85.38] 我们的主要股东为官田
[85.38-85.40] 我们的主要股东为官田
[85.40-115.38] 我们的主要股东为官田
[115.38-145.36] 我们的主要股东为官田
[145.36-175.34] 我们的主要股东为官田
[175.36-205.34] 我们的主要股东为官田
[205.36-235.34] 我们的主要股东为官田
[235.34-265.32] 我们的主要股东为官田
[265.32-295.30] 我们的主要股东为官田
[295.30-325.28] 我们的主要股东为官田
[325.28-355.26] 我们的主要股东为官田
[355.26-385.24] 我们的主要股东为官田
[385.24-415.22] 我们的主要股东为官田
[415.24-445.22] 我们的主要股东为官田
[445.24-475.22] 我们的主要股东为官田
[475.76-478.58] 我们是便利商业
[478.58-480.10] learning
[480.10-482.44] 这个行李间里有斯对
[482.44-483.74] 的提 Lithol
[483.74-485.42] 我们在国际商业
[485.42-486.80] 对 religion
[486.80-487.30] 是一种信息
[487.30-488.22] 人类经济
[488.22-488.60] 选业
[488.62-489.20] 世气
[489.20-489.82] 喽
[489.82-490.54] 就人类
[490.54-491.20] 运动
[491.20-491.58] 线
[491.58-492.04] 银行
[492.04-492.42] аяв
[492.42-492.82] 特纸
[492.82-493.22] 弹
[493.22-494.14] 例
[494.14-497.66] 这些 bis
[497.66-498.20] 人鸡
[498.20-498.94] Gang
[498.94-499.28] 赛
[499.28-499.50] 桌
[499.50-500.08] land
[500.08-500.72] reputation
[500.72-501.18] 机
[501.18-501.52] 快
[501.52-502.28] 是
[502.28-503.06] 咄咄
[503.06-504.58] Moment
[505.22-512.62] 宜兰站的一个基地的平面图
[512.62-513.52] 大家可以看一下
[513.52-516.22] 主要分成两大街阔
[516.22-527.86] 我们规划预计在五年内
[527.86-532.34] 将荣明画馆以及饭店完工
[532.34-534.60] 并对外开始试营运
[534.60-536.30] 大家可以看一下
[536.30-541.74] 这个是目前规划的一个配置的位置
[541.74-548.56] 我们希望将下都地产
[548.56-550.42] 这个宜兰的基地
[550.42-554.84] 打造一个台湾的健康未来的园区
[554.84-560.30] 接着我们进入今天简报的第二个重点
