[0.00-8.00] 歡迎各位參加龍大銀屆事業股份有限公司
[8.00-11.00] 114年第一次保持生股份
[11.00-14.00] 現在請公務員總經理為大家簡報
[14.00-20.00] 龍大銀屆事業股份有限公司的財務資訊及建築和介紹
[20.00-24.00] 各位女士先生、大家下午好
[24.00-30.00] 今天是114年3月26日
[30.00-38.00] 由我來針對龍大銀屆事業股份有限公司
[38.00-41.00] 114年第一次的法人說明會
[41.00-45.00] 來跟大家做一個報告
[45.00-48.00] 那我們馬上會開始
[48.00-52.00] 主要還是要先跟各位報告一下免責聲明
[52.00-54.00] 免責聲明的部分
[54.00-60.00] 本簡報資料所提的資訊包括所有前瞻性的看法
[60.00-65.00] 將不會因任何新的資訊未來實踐
[65.00-70.00] 或是任何狀況的產生而更新相關資訊
[70.00-73.00] 龍大銀屆事業股份有限公司
[73.00-79.00] 每公司不負有更新或修正本簡報資料內容之責任
[79.00-82.00] 本簡報資料中所提供的資訊
[82.00-83.00] 中所提供的資訊中
[83.00-84.00] 中所提供的資訊中
[84.00-93.00] 一位明示或暗示的表達或保證其具有正確性完整性或可靠性
[93.00-101.00] 亦不代表本公司產業狀況或後續重大發展的完整論述
[101.00-104.00] 那針對這次的法說會
[104.00-109.00] 還是針對這五個部分來跟各位來做一個報告
[109.00-112.00] 那第一個是公司簡介的部分
[112.00-113.00] 公司簡介
[113.00-117.00] 本公司成立於民國71年4月30號
[117.00-123.00] 資本額219,197萬1800元整
[123.00-128.00] 股票上市時間是民國103年2月20
[128.00-132.00] 股票上位的時間民國88年10月7號
[132.00-134.00] 目前的董事長是陳武聰
[134.00-136.00] 總經理是洪茂元
[136.00-141.00] 針對公司的主要業務方面
[141.00-142.00] 公司主要分為兩大
[143.00-145.00] 業務體系
[145.00-146.00] 第一個是營造體系
[146.00-148.00] 第二個是建設體系
[148.00-153.00] 那針對營造的部分就是針對一些集合住宅
[153.00-160.00] 或是辦公大樓學校醫院廠房的部分的或是一些官網工程來做一些承讓
[160.00-164.00] 那另外建設的部分是不動產開發
[164.00-167.00] 那主要是興建集合住宅
[167.00-171.00] 置地置建的方式或是跟人合資一起興建住宅
[171.00-172.00] 那其他還有一般本公司的部分是
[173.00-178.00] 不動產主任業或一般的旅館業
[178.00-183.00] 那經營理念的部分本公司主要是以品質上新安全服務
[183.00-190.00] 這四個面向為公司的主要經營理念
[190.00-192.00] 經營策略的部分
[192.00-197.00] 當然會針對我們公司在市場上的一些品牌優勢
[197.00-201.00] 透過我們專業的設計規劃
[201.00-203.00] 還有營建施工的這個部分
[203.00-205.00] 來去完成我們的作品
[205.00-211.00] 然後最後的是還有一個完善的售後服務的一個部分
[211.00-215.00] 不管是我們自己自建案或是一些營造案
[215.00-221.00] 我們大概都是以這個體系來去做一個處理
[221.00-225.00] 那主要還是要服務我們的業主或是客戶
[227.00-229.00] 那針對財務資訊的部分
[229.00-231.00] 跟各位做一個報告跟說明
[231.00-234.00] 那今天要跟各位報告的是
[234.00-240.00] 113年度的一個業務數字的一個財務數字
[240.00-246.00] 跟112年的一個年度的財務數字的一個差異性
[246.00-255.00] 那113年整年度的營業收入是62億5千140萬
[255.00-261.00] 那112年的數字差異大概是增加了
[261.00-264.00] 8億8千5百87萬
[264.00-269.00] 那增加幅度營收的部分是增加43.2%
[269.00-271.00] 那主要增加的這個數字
[271.00-275.00] 是去年公司有出售一塊土地
[275.00-281.00] 那大概總出售額是15億7千6百萬
[281.00-285.00] 所以說這個營收的部分增加的部分
[285.00-289.00] 是因為去年出售那一塊土地增加出來的
[289.00-291.00] 那針對第二項的一個財務數字的一個差異性
[291.00-293.00] 那第二項營業毛利的部分
[293.00-300.00] 113年的營業毛利是15億5千3百24萬
[300.00-308.00] 那跟去年差異數是增加了1億6千5百78萬
[308.00-311.00] 增加比率大概11.95%左右
[311.00-315.00] 那就是營收增加然後那個貨利毛利也增加
[315.00-319.00] 那第三個營業利益的部分
[319.00-320.00] 是113年度的一個財務數字是
[321.00-325.00] 10億9千1百16萬
[325.00-328.00] 跟112年的差異數是
[328.00-332.00] 差了1億2千7百33萬
[332.00-334.00] 那差異數大概是3.2%
[334.00-336.00] 那合併金利的部分
[336.00-340.00] 113年的合併金利是8億5千5百14萬
[340.00-346.00] 那跟112年的差異是增加了4千7百07萬
[346.00-349.00] 增加比率大概5.82%左右
[349.00-350.00] 那EPS的部分
[351.00-355.00] EPS在去年度的EPS
[355.00-356.00] 113年度的EPS
[356.00-358.00] 最後EPS是3.9%
[358.00-362.00] 那跟112年的3.69%
[362.00-364.00] 是增加了0.2億
[364.00-367.00] 那比率大概是增加了5.69%
[367.00-369.00] 那毛利率的部分
[369.00-374.00] 在113年的毛利率是24.85%
