[0.00-1.68] 請看見報告
[18.40-19.24] 各位先進
[19.24-22.90] 好問題股份有限公司法人說明會正式開始
[22.90-26.14] 我們把時間交給林天行總經理
[30.00-31.66] 大家好
[31.66-34.28] 我這邊先簡單說明一下
[34.28-38.76] 就是去年的一個增進的狀況
[38.76-41.60] 那我們可以看到是
[41.60-43.64] 這邊比較值得說明的是
[43.64-45.92] 整個門店的店數的部分
[45.92-48.48] 到去年年底為止
[48.48-49.96] 也是到目前為止啦
[49.96-53.64] 就是46家的一個門市
[53.64-55.64] 那我們員工的數目統計到
[55.64-57.32] 今年的2月底的部分的話
[57.32-59.16] 有1320人
[60.00-64.68] 然後這是我們在整個全省的一個分佈的部分
[64.68-67.44] 那我們的門市其實大部分還是分佈在
[67.44-69.44] 整個大北區的部分
[69.44-73.76] 那像桃竹苗如果說以一日生活圈來講
[73.76-78.00] 那整個就大概有接近超過二分之一
[78.00-81.24] 有三十幾家的門市會集中在整個大北區的部分
[81.24-83.24] 那整個南部的部分
[83.24-86.36] 其實是整體營運站會比較艱困的地方
[86.36-89.44] 像在斗六啦成功
[89.44-91.56] 還有整個大南區的部分
[91.56-96.96] 就是在那個經營上是比較困苦一點的地方
[96.96-98.44] 接下來我們看一下
[98.44-102.44] 就是剛剛我們提到說我們有46個門市
[102.44-103.96] 那在去年的部分的話
[103.96-107.04] 我們大概有收掉了四個門店
[107.04-109.88] 那木柵店的話就是
[109.88-111.32] 其實是被搶租的
[111.32-113.64] 那原址的地方是
[113.64-119.12] 另外一家應該也是商櫃公司的一個運動健身中心
[119.44-121.44] 那草叢店的部分的話是
[121.44-125.44] 它的一個整體現金流量的部分
[125.44-128.44] 沒有辦法支援它整體營運的發展
[128.44-131.44] 所以我們就提前結約把它草叢店收掉
[131.44-133.44] 那豐遠店的部分的話是
[133.44-137.44] 房東整點的一個部分
[137.44-138.44] 在租賃到期之後
[138.44-139.44] 它希望我們
[139.44-141.44] 其實它是希望我們離開的
[141.44-147.44] 那因為它想要把整個門市的一個建築物做一些翻新整理
[147.44-149.44] 然後我們考量到後來去
[149.44-153.44] 我們就轉到附近的向陽路上
[153.44-155.44] 然後我們叫向陽店
[155.44-159.44] 那弘甲店的部分的話就是整體戶戶經的部分過高
[159.44-163.44] 那接下來的話就是展店規劃
[163.44-167.44] 像羅東交西這個部分的話
[167.44-169.44] 目前其實都還在規劃當中
[169.44-173.44] 那就是羅東的一個門市
[173.44-175.44] 可能跟現地的一個建築有關
[175.44-178.44] 所以整個期限會比較拉長一點
[178.44-181.44] 那目前就是在去年
[181.44-185.44] 我們有買的一個就是剛才提到的向陽店的部分
[185.44-189.44] 然後我們會在今年的五月直接投入營運
[189.44-192.44] 那整個財報的部分的話
[192.44-194.44] 我想整個架構我們之前分三塊
[194.44-196.44] 那現在就是分成兩個部分
[196.44-200.44] 那之前講第三個的部分的話
[200.44-202.44] 就是整個境外的部分
[202.44-204.44] 我們是通過Holiday Global
[204.44-207.44] 然後去轉投資到中國大陸的部分
[208.44-211.44] 然後整個Golden Pound在前年度
[211.44-213.44] 就年底的時候就把它清算完結
[213.44-215.44] 那去年的三月份
[215.44-218.44] 我們把自己的一個轉投資的部分的Global
[218.44-220.44] 它就被Global清算掉
[220.44-224.44] 所以在整個財務報表的架構上面的話
[224.44-229.44] 未來整體這一個部分第三塊就算是沒有了
[229.44-234.44] 那整個財報的部分就著重在整體的一個台灣地區
[234.44-237.44] 所以好樂迪的46家門市
[237.44-239.44] 再加上阿爾發音樂
[239.44-243.44] 就是早期周杰倫曾經在的那家音樂公司
[243.44-245.44] 這是我們台灣地區的部分
[245.44-249.44] 那另外的話就是在轉投資到錢櫃這邊
[249.44-253.44] 那有26%的股權轉投資到錢櫃
[253.44-259.44] 那錢櫃這部分目前也都是在台灣地區的一個KTV的一個營運的結果
[259.44-263.44] 那錢櫃這幾年有比較多的一個轉投資的部分
[263.44-266.44] 然後像那個飯店等等的
[267.44-271.44] 就是整個財報的一個架構的部分
[271.44-277.44] 所以就是在投資報表上就會有自己的一個經營的成果
[277.44-280.44] 然後在業外的投資收入的部分
[280.44-285.44] 就會有錢櫃的一個隨意的分享的部分
[285.44-289.44] 接下來我們可以看到一下我們整個營收的部分
[289.44-291.44] 其實在KTV部分的話
[291.44-295.44] 就是我們一般在KTV就會有包廂的部分
[295.44-297.44] 然後就是包廂機的部分
[297.44-299.44] 就是我們所謂的公賣的部分
[299.44-301.44] 那這個部分我們一直叫公賣
[301.44-303.44] 就是沒有把它稱之為酒類
[303.44-305.44] 就是含酒精性飲料的部分
[305.44-308.44] 那就是另外的話就是含有一些廣告收入
[308.44-310.44] 那這個部分的話就是
[310.44-313.44] 單獨是阿發音樂的一個版權收入的部分
[313.44-315.44] 那整個在營收的部分
[315.44-319.44] 其實還是在整個大北區賺到營收的部分
[319.44-321.44] 那這個部分的話就是
[321.44-325.44] 單獨是阿發音樂的一個版權收入的部分
[325.44-329.44] 算到營收的整個超過60%的部分
[329.44-334.44] 所以整個經營的重心其實還是會落在整個大北區的部分
[334.44-338.44] 那我們可以再看一下我們的營業趨勢的部分
[338.44-341.44] 那以目前這張表看起來
[341.44-345.44] 那就是2021年這個時候就是整個三級警戒
[345.44-349.44] 造成整個營業收入大概就是接近減半的狀況
[349.44-353.44] 那隨著解封的部分
[353.44-357.44] 那經營環境就慢慢慢慢的趨好
[357.44-362.44] 但是在2022年年底到2023年的所謂的就是
[362.44-366.44] 國內的一個消費型的消費是大幅增長的狀況
[366.44-370.44] 所以在2023年也是我們的營收年最好的時候
[370.44-374.44] 那2023過了之後就
[374.44-379.44] 去年開始去年年底去年到現在
[379.44-383.44] 其實國內還是有比較多的一個國外旅遊客
[383.44-385.44] 的一個風氣在
[385.44-390.44] 所以我們現在已經是一個比較大的一個官公令差的部分
[390.44-397.44] 那同時也會反映在消費的一個預算控制上面的一個分配
[397.44-402.44] 所以其實在去年來講就是也是比較辛苦一點的喔
[402.44-406.44] 就是較2023年的營收其實還是下降的
[406.44-411.44] 那我們可以接下來看到這個每個Q的一個小圖的部分喔
[411.44-413.44] 其實在Q不管
[413.44-417.44] Q1 Q2 Q3 Q4
[417.44-420.44] 其實它的營收是每一季其實都是
[420.44-423.44] Q或Q都是在往下掉的部分
[423.44-428.44] 那這個部分就是我想除了就是剛剛所提到的
[428.44-432.44] 另外大概是少子化也是一個比較大的因素喔
[432.44-437.44] 那接下來就是這個每個Q我就不再細講了
[437.44-441.44] 那我們來看一下這個營業經濟的部分
[441.44-443.44] 那在2021年
[443.44-446.44] 一樣就是一個COVID-19的一個結果
[446.44-449.44] 所以在這一點的一個營業經濟
[449.44-454.44] 單純就KTV的一個表現在合併報表上來看的話
