[0.00-9.38] 欢迎各位同事签订参加
[9.38-10.30] 您的推介
[10.30-12.42] 所预办的实际法人组委会
[12.42-15.00] 本次会议我们很荣幸能够邀请到
[15.00-15.92] 主政权署长
[15.92-17.64] 以及加农总经理
[17.64-20.16] 来为我们跟新公司的最新领域展望
[20.16-23.12] 本次会议预计时间为一个小时
[23.12-24.90] 在前段的简报
[24.90-26.52] 简报时间结束后
[26.52-27.58] 我们也会留给
[27.58-29.34] 留时间给与会者进行QA
[29.34-31.22] 那接下来我就把时间交给署长
[31.22-33.34] 谢谢
[33.34-51.12] 各位投资法人
[51.12-53.66] 我是非捷科技的Louis
[53.66-55.96] 那今天很高兴大家能播空
[55.96-57.38] 来参加非捷
[57.38-60.30] 2025年第一次的法人组委会
[60.30-65.34] 这是会议的军达
[65.34-67.16] 那我们首先会
[67.16-70.14] review一下我们去年的一个
[70.14-73.78] 去年的一个财务损益表的数字
[73.78-75.16] 那接着我们会从毛利
[75.16-76.94] 这个区域占比
[76.94-79.62] 来看一下非捷整体的一个营运状况
[79.62-81.92] 那接着我们会谈一下
[81.92-84.52] 我们非捷的一个展望
[84.52-85.58] 跟这个里程碑
[85.58-87.34] 那最后我们会留时间
[87.38-89.74] 给各位做一些Q&A的提问
[89.74-93.66] 好
[93.66-95.58] 那首先我们来看
[95.58-97.76] 最近的一个完整季度
[97.76-99.16] 去年
[99.16-103.00] 24年第四季
[103.00-105.68] 收12.9亿
[105.68-107.16] 那现在的前季
[107.16-108.84] 大概刷四年成长
[108.84-112.26] 和部分的在5.6亿
[112.26-114.26] 那也是下降的前期
[114.26-115.64] 有两成增加
[115.64-117.36] 那接着我们会谈一下
[117.38-120.62] 我们来看这个税前
[120.62-123.14] 税前建立的部分
[123.14-125.58] 达到3.6亿
[125.58-127.50] 那我们看到上一层前期
[127.50-130.26] 就有一个相对6成的成长
[130.26-134.22] 那这部分除了这个营收成长之外
[134.22-135.70] 其中一个原因是
[135.70-137.62] 第三季在结束的时候
[137.62-138.76] 可以远对台币
[138.76-140.02] 跌到一个多段的1.3亿
[140.02-141.22] 对
[141.22-143.02] 那这个会选在上期
[143.02-145.76] 就有一个6成的部分
[145.76-147.36] 那在到年底之后呢
[147.38-150.46] 这个有一个用户称为3.6亿
[150.46-153.52] 所以这个会选定在税前期里面
[153.52-154.54] 做这个
[154.54-156.34] 一个税前期里面的第四季
[156.34-158.04] 有一个要成长
[158.04-159.80] 所以整个第四季来看
[159.80-160.18] 啊
[160.18-161.34] EPS
[161.34-162.86] 大概在6.8
[162.86-165.10] 那相较于这个前期以后
[165.10-171.10] 这个超过60年成长
[171.10-171.54] 好
[171.54-173.10] 那接着我们来谈这个
[173.10-176.38] 准备了什么思维呢
[177.38-207.02] 这个就是要 средs。
[207.38-211.18] 那我也会达到20亿的一个水准
[211.18-213.94] 那另一方面在营业费用的部分
[213.94-216.28] 可以看到这个成长幅度不到原始
[216.28-220.38] 所以在这个营收跟这个货迹能力提升分别的代入下
[220.38-224.02] 相对在营业的这个控制方面也表现得
[224.02-225.22] 超过控制能力
[225.22-228.22] 所以整个货迹能力控制方法
[228.22-230.14] 不管是从营业
[230.14-231.72] 就是说这个
[231.72-232.98] 现金率
[232.98-234.68] 或者是公司的这个金率
[234.68-237.58] 都有一个显示大幅的成长
[237.58-239.74] 那全年度的EPS
[239.74-242.02] 是到6.93
[242.02-243.68] 这部分
[243.68-246.28] 是双方的公司的社会有功率
[246.28-247.28] 这个
[247.28-249.18] 我们也会帮到每个人的现金率
[249.18-252.68] 那这部分的这个必须率到26%
[257.58-258.38] 好
[258.38-261.68] 那我们接着来看公司的一个
[262.68-264.68] 中小企这个标准
[264.68-265.68] 就是这个
[265.68-267.68] 这个趋势的呈现
[267.68-269.68] 那这上面你可以看到是一个
[269.68-271.68] 和平收敛的趋势
[271.68-273.68] 这个科技在
[273.68-276.68] 后面的时代大概会从2.3百年到
[276.68-277.68] 我们的
[277.68-278.68] 整个就是有一个
[278.68-280.68] 生产了一个反弹的处境
[280.68-281.68] 所以其实到现在为止
[281.68-283.68] 在军事部里是有它的树立
[283.68-285.68] 那在这一波
[285.68-288.68] 这一波趋势上也是回升
[288.68-290.68] 其实后来我们有发现是起初刻入
[290.68-293.68] 我们所在的O2 Overput的情况
[293.68-294.68] 那再加上
[294.68-298.68] 在22年3月到3月7月
[298.68-300.68] 这个雷索贵是为了一丝同行
[300.68-303.68] 让他的这个有非常大力到
[303.68-306.68] 跟新树林的生息的一个
[306.68-307.68] 一个产生
[307.68-310.68] 所以在这三年这个
[310.68-311.68] 特别专业消防
[311.68-314.68] 跟这个大型气费增进之后
[314.68-315.68] 其实我确定现在在很明显
[315.68-317.68] 其实飞机的这个
[317.68-319.68] 这个军事的差距
[319.68-322.68] 大概去年其实是它的稍微
[322.68-323.68] 它一方面你可以看到
[323.68-326.68] 在这个毛利的表现上
[326.68-329.68] 是成为一个算的一个态势
[329.68-332.68] 在这个20年四年级
[332.68-335.68] 大概在这个33-34年级的期质
[335.68-337.68] 那去年有一个这个
[337.68-340.68] 慢慢变到稍稍有一个趋势
[340.68-342.68] 在去年我们也记得
[342.68-344.68] 为了站上市场的一个毛利
[344.68-347.68] 那是年度为大市市值
[347.68-349.68] 所以你可以看到
[349.68-352.68] 即便去年我们已经收起13.5%
[352.68-354.68] 其实是下降到20的调点
[354.68-357.68] 其实咱们其实还是有在落差
[357.68-360.68] 然而在这个毛利额的部分
[360.68-362.68] 其实523对于20
[362.68-366.68] 其实已经五个年还要在跃动
[370.68-376.68] 那这是一说从续费的一个情况
[376.68-377.68] 这样你会注意到
[377.68-380.68] 我刚刚提过这个去年和前年的
[380.68-381.68] 这个预测大概成长了
[381.68-382.68] 三十多
[382.68-383.68] 所以可以看到
[383.68-385.68] 右边这个小时是跳大
[385.68-388.68] 那整个去年的情况
[388.68-390.68] 跟前两年的情况
[390.68-392.68] 有的用户就是美苏的产品
[392.68-395.68] 其实还是在这个百货系数最大的
[395.68-397.68] 那美苏在去年来讲
[397.68-400.68] 其实这个市场动力是最强的
[400.68-401.68] 这可以看到
[401.68-405.68] 它在加拿大感染前年48%的受到下降
[405.68-409.68] 在去年还生下了这个四季一个一个
[409.68-411.68] 一个一个上升的
[411.68-414.68] 那欧洲部分其实去年的表现
[414.68-415.68] 来讲
[415.68-418.68] 现在其实是成长是蛮不错的
[418.68-419.68] 那当然它的展示
[419.68-422.68] 其实跟这个整体投资来讲是相当的
[422.68-423.68] 所以可以看到它在
[423.68-424.68] 只有相反
[424.68-426.68] 而且你这个38%
[426.68-428.68] 那在亚洲的部分
[428.68-430.68] 是像有一个
[430.68-433.68] 也是去年相当是有点衰退
[433.68-434.68] 所以你可以看到它很重
[434.68-435.68] 在就是月尾
[435.68-437.68] 降低到15%左右
[437.68-438.68] 这样子
[441.68-442.68] 好
[442.68-446.68] 那接着我们来分享一下这个
[446.68-448.68] 而且这一天的展望
[448.68-450.68] 我想飞行
[450.68-452.68] 我们是在这个中间一起讲
[452.68-454.68] 那在刚刚讲的这个
[454.68-455.68] 因为我们自己其实在
[455.68-457.68] 就是比较正常的状态
[457.68-460.68] 不过其实在大概10年多前
[460.68-462.68] 其实飞行在这个
[462.68-464.68] 制定我们的这个团圆的计划
[464.68-468.68] 就包括了这个飞运体的一个规划度
[468.68-471.68] 所以我们在问一种成品的这边
[471.68-478.68] 呢
[478.68-480.52] 这个
[481.38-483.68] 甜饭
[483.68-485.68] 那现在画gm
[485.68-487.68] 在使用不像薯片
[487.68-488.68] reflector
[488.68-489.68] 这个
[489.68-493.68] 甚至帮助到工程 преп习
[493.68-494.74] 好像是一个
[494.74-496.68] 开始去能通过这个
[496.68-497.74] timing
[497.74-499.26] 以进一步的提升
[499.26-501.22] 来再去影响这个
[501.68-505.52] 像BAMAI它做的使用透过黑暗热能
[506.28-507.82] 像视觉电视技术
[508.08-510.12] 帮助数学业者
[510.38-512.44] 提高他联系社会进行的态度
[514.48-515.76] GSM-EVM
[516.02-517.56] 它作为一支平台
[517.80-520.62] 透过视觉真实的消费者
[520.88-522.42] 它在节奏的动作
[522.68-523.18] 行为
[523.70-525.74] 去帮助人性业者
[526.00-530.36] 针对在节奏过程中能够生动发动设施
[530.60-531.64] 去进入的枪林
[531.94-535.26] 锥铃从来说非其他未来
[536.04-538.60] 位置局限在说
[539.10-541.66] 一体工程这样一个角色
[541.92-544.22] 我们也会同样去慢慢去
[544.74-546.52] 在你身份的外部
[547.04-550.36] 深入的去发掘这个综合技术的领域
[550.62-552.16] 不管是在网体
[552.42-554.20] 或者是说AI技术上面
[554.98-558.56] 它去帮助综合产业者解决各个business
[558.82-559.84] 他们可能有
[560.10-561.38] 好的这个
[561.64-561.66] 这个设施的目标
[561.94-562.96] 解决他们的问题
[563.22-563.98] 或者是说要做什么
[564.24-565.00] 上线
[566.80-569.62] 那最后
[569.88-572.68] 其实我们刚刚去上一页的之前是他有提到
[572.94-575.50] 这个我们在去年的熬夜吧
[576.02-578.32] 其实是第2份的事情
[578.84-580.12] 在做一件事情
[580.36-583.44] 那我想在整个公司的大方向发展
[583.70-584.20] 这个run in
[584.46-586.26] 兼具的这个
[586.52-587.54] 大方向上面
[587.80-589.08] 那包括
[589.58-590.60] 透过我们
[590.86-591.64] 子公司
[591.94-592.70] 未来未来的努力
[592.96-595.00] 然后我们相对的这个策略来讲
[596.04-597.32] 我们也希望说
[597.56-599.36] 我们在
[600.12-601.40] 这些企业不管是在
[601.66-602.44] 成长
[602.68-603.20] 表现
[603.46-603.96] 在后面
[604.22-604.74] 继续的
[605.00-607.04] 给市场上的更好的
[607.56-610.88] 那这就是我们
[611.14-611.90] 今天
[612.16-612.92] 上
[613.18-615.24] 公司对于去年约该创的
[616.76-618.82] 那我想接下来我们就
[619.08-619.84] 开放
[620.10-620.60] 这个
[620.86-621.64] 约会时间
[621.88-627.32] 现在是
[633.16-634.48] china
[636.28-637.04] 那我们接下来就
[637.56-637.68] 挂了
[638.58-639.60] 事件上有问题
[641.54-642.36] 下文
[643.18-643.44] Llp
[648.30-649.58] pet leng
[649.84-650.60] 不是
[650.86-651.64] 好了
[651.68-653.68] 下面有什麼參與的問題
[662.68-666.68] 首先謝謝各位同志的拚命抽空參加
[666.68-668.68] 我現在還是沈醉了
[668.68-669.68] 第一位
[669.68-676.68] 的確美國其實對有各個國家會有這方面的做法
[676.68-680.68] 可是已經馬上有些可能在發生失蹤
[680.68-683.68] 剛才大家可以看到
[683.68-686.68] 這是比較消息的部分
[686.68-689.68] 在台灣比較高的方面
