[0.00-16.40] 各位投資先進大家午安
[16.40-20.06] 歡迎參加加士達科技股份有限公司
[20.06-23.46] 2025年第一季法人說明會
[23.46-31.84] 本次會議會由加士達董事長陳其宏Peter
[31.84-34.02] 總經理黃漢洲Joe
[34.02-37.58] 以及財務長洪秋金Jessime主講
[37.58-41.62] 另有邀請加士達科事業群總經理與會
[41.62-47.34] 分別為資訊科技事業群總經理薛道龍Daniel
[47.34-52.42] 商業暨工業用事業群總經理林玉清
[52.42-53.44] 玉清
[53.44-57.72] 林醫療事業群總經理楊洪培
[57.72-63.06] Harry楊智能方案事業群總經理曾文新
[63.06-68.46] Jasha曾網路通訊事業群總經理黃文芳
[68.46-73.20] April黃投資長王立善Michael王
[78.16-81.22] 今日會議時間預計一個小時
[81.22-82.46] 議程如下
[82.70-83.34] 首先
[83.34-89.90] 會先由財務長Jessime來說明2025年第一季財務結果及業務摘要
[89.90-97.02] 再由董事長Peter總經理Joe說明公司的營運概況及未來展望
[97.02-102.62] 接著會由各事業群總經理簡短分享事業群業務摘要
[102.62-105.72] 之後我們將進行Q&A
[105.72-110.34] 您可以利用網路下方提問區輸入您的提問
[110.34-113.22] 我們將整理所有投資先進的提問後
[113.22-115.22] 會總回覆
[115.22-121.22] 在開始報告之前
[121.22-125.22] 在此提醒各位先進留意免責聲明
[125.22-129.22] 報告中任何前瞻性的預測是有其風險的
[129.22-135.22] 並請各位花一些時間閱讀投影片第4頁的免責聲明
[135.22-137.22] 謝謝各位
[137.22-141.22] 接下來我們把時間交給蔡英文
[141.22-142.22] 蔡英文請起座
[142.22-143.22] 蔡英文請起座
[143.22-170.68] 蔡英文
[170.68-171.44] 請起座
[171.44-172.60] 蔡英文請起座
[172.60-173.10] 蔡英文 沒有時間交給蔡英文請起座
[173.10-175.10] 我們一直在臺灣 中國
[175.10-177.10] 後來這幾年有加上越南
[177.10-180.10] 那現在有關於這個關稅的部分
[180.10-183.10] 我們也在研究其他的一個備選的方案
[183.10-186.10] 那在整個銷售服務據點就遍布了全球
[186.10-188.10] 有200多個據點這樣
[188.10-190.10] 那主要的研發還是在臺灣跟中國
[190.10-194.10] 全球目前的員工人數有26000人
[194.10-197.10] 第二個就是我們地區別的營收分布
[197.10-199.10] 也是大家現在所關心的
[199.10-201.10] 那事實上在這幾年
[201.10-202.10] 因為我們通過大建隊的併購
[202.10-205.10] 我們很多的營收在臺灣 在亞洲
[205.10-208.10] 所以亞洲目前為52%
[208.10-211.10] 那在美洲的部分大概有30%
[211.10-214.10] 歐洲的部分佔有17%
[217.10-220.10] 我們來看集團的事業群分布
[220.10-222.10] 那首先這個圖一樣
[222.10-224.10] 就是說紫色的部分
[224.10-226.10] 就是說我們近年來所發展的
[226.10-228.10] 這個高附加價值事業
[228.10-230.10] 首先我們有四大事業群
[230.10-232.10] 第一大就是資訊事業群
[232.10-234.10] IT產業
[234.10-237.10] 然後營收在第一季是270億
[237.10-238.10] 在IT這裡面的佈局
[238.10-240.10] 最主要還是以顯示器為主
[240.10-244.10] 那顯示器營收大概192億
[244.10-247.10] 在IT裡面也有一段是我們近年發展的
[247.10-249.10] 高附加價值事業
[249.10-252.10] 就專業顯示模組跟一些互聯系統方案
[252.10-256.10] 那第二大事業群就是智能方案BSG
[256.10-258.10] 營收有81億
[258.10-261.10] 那最主要著重在三個領域裡面
[261.10-263.10] 就是企業IT的智能化
[263.10-265.10] 也就是AI運算的部分
[265.10-269.10] 資安跟網安還有雲地整合跟數位轉型
[269.10-271.10] 那至於在OT智能化的部分
[271.10-274.10] 強調在綠能自動化跟工業電腦
[274.10-278.10] 那第三大就是線上線下的一個整合服務
[278.10-280.10] 那我們第三大事業群是醫療
[280.10-282.10] 14% 72億
[282.10-285.10] 那最主要我們有兩家民基醫院
[285.10-288.10] 南京民基醫院跟蘇州民基醫院
[288.10-290.10] 以及我們有一家群議法的
[291.10-294.10] 醫院在廣西桂港的東徽醫院
[294.10-296.10] 我們除了有民基醫院之外
[296.10-298.10] 我們還有醫藥健康通路
[298.10-300.10] 就是諾貝爾丁丁藥局
[300.10-303.10] 以及醫療顧問公司就是康科特
[303.10-308.10] 我們有從醫院到通路到顧問服務的一系列的
[308.10-311.10] 整條龍的一個管理
[311.10-315.10] 另外我們也在設備耗材上面有手術台手術燈
[315.10-319.10] 就是然後還有血液透析的這一部分
[319.10-320.10] 總共分成三大類
[321.10-326.10] 那網路通訊營收是45億佔比9%
[326.10-329.10] 那最主要的佈局就在區域都會網路
[329.10-333.10] 就是交換器微型基地台等等之類的
[333.10-337.10] 那我們主要的群議法投資有達方
[337.10-340.10] 還有低軌衛星的雷洋以及聖品
[340.10-342.10] 還有FVOCI的友達
[346.10-349.10] 我們來看一下第一季的一個財務結果
[349.10-351.10] 我們簡單說一下摘要
[351.10-355.10] 實際上在第一季相對於去年同期的第一季
[355.10-359.10] 在營收在營業淨利在歸屬於母公司淨利
[359.10-362.10] 都有較去年的同期成長
[362.10-365.10] 在營收的部分第一季是497億
[365.10-368.10] YY是增加28億成長了6%
[368.10-370.10] 營業淨利是9.99億
[370.10-374.10] YY是增加0.7億成長8%
[374.10-377.10] 在最後歸屬於母公司淨利有4.8億
[377.10-380.10] 是增加了2.3億成長88%
[380.10-382.10] EPS0.25元
[382.10-384.10] YY增加0.12元
[384.10-387.10] 在毛利率上面是7.3
[387.10-389.10] 這是近年來的一個新高
[389.10-391.10] YY增加了1.3%
[391.10-393.10] 但是營業淨利率還是持平
[393.10-395.10] 維持2%
[395.10-399.10] 但本業淨利率是1%有增加了0.5個點
[399.10-402.10] 那我們針對這樣的一個結果
[402.10-404.10] 來做一個摘要的一個報告
[404.10-407.10] 首先我們分成所謂的資訊事業群
[407.10-408.10] 資訊事業群呢不管是在營業群
[408.10-409.10] 資訊事業群呢不管是在營業群呢不管是在營業群
[410.10-413.10] 營收的成長毛利率或淨利率
[413.10-414.10] 都是往上升的
[414.10-415.10] 都是往上升的
[415.10-416.10] 首先在營收上面
[416.10-419.10] 增加了18億成長7個%
[419.10-421.10] 這裡面最主要的就是
[421.10-424.10] 顯示器的營收成長10個%
[424.10-428.10] 毛利率淨利率淨利金額YY都是呈現成長的
[428.10-431.10] 那在IT裡面有一塊是高附加價值
[431.10-434.10] 在這一季營收也呈現6%的一個成長
[434.10-438.10] 在毛利淨利及營利淨利金額全部都是較上期成長
[438.10-439.10] 在毛利淨利及營利進業金額全部都是較上期成長
[439.10-440.10] 在毛利淨利及營利進業金額全部都是較上期成長
[440.10-442.42] 资讯的事业营收
[442.42-446.16] 不管是营收或是获利率都是上升的
[446.16-449.02] 那我们来看高附加价值的事业
