[0.00-0.80] 大家好
[0.80-2.60] 今天很榮幸能夠邀請到
[2.60-5.50] 台藥化學參與這次的法說會
[5.50-9.50] 首先為各位介紹今天與會的經營團隊
[9.50-14.00] 第一位是台藥化學古併有限公司的董事長
[14.00-16.00] 陳正宇 陳博士
[20.00-22.70] 第二位是行政支援處
[22.70-24.70] 羅育珍 副總
[27.50-29.50] 第三位是業務處
[29.50-31.00] 劉富總
[33.50-37.50] 第四位是CDMO的業務主持人
[37.50-38.50] 曾博士
[41.00-45.00] 接下來麻煩曾博士幫我們做簡報的說明
[45.00-46.00] 歡迎曾博士
[48.00-51.00] 謝謝大家今天下午的時間來參加我們
[51.00-55.00] 台藥化學今年第一次的法文說明會
[55.00-57.00] 因為後面也有一些人
[57.00-59.00] 所以我就坐著講就不太喜歡
[59.50-61.50] 今天的簡報部分的話
[61.50-63.50] 主要分成三個部分
[63.50-67.50] 第一個就是我們2024年的一個營運狀況
[67.50-69.50] 謝謝
[69.50-76.50] 以及2025年到2月為止目前的整體的營運狀況
[76.50-79.50] 那其他的部分的話就是包含我們的營運策略
[79.50-82.50] 還有一些重要的業務的說明
[82.50-85.50] 第一個部分的話就是我們的營運表現
[85.50-88.50] 那大家這裡可以看到就是在我們2024年的時候
[89.50-93.50] 我們整體的業績是到達473100萬台幣
[93.50-96.50] 相較於2023年有8%的成長
[96.50-101.50] 那另外這邊就是想跟大家講一下就是我們今年到2月為止的話
[101.50-104.50] 我們的業績已經到6億5900萬
[104.50-107.50] 相較於去年2月的話也有15%的成長
[107.50-110.50] 所以今年算是一個相當好的一個開始
[112.50-114.50] 那整體的營收變化上面的話
[114.50-118.50] 這邊也列出一些比較重要的一些產品的類別
[118.50-122.50] 首先是大家比較關注的膽固醇磷酸鹽結合劑
[122.50-124.50] 就是Polymer的產品
[124.50-127.50] 我們全年的業績是163800萬
[127.50-129.50] YY是4個%
[129.50-131.50] 那Vitamin D的話就是在去年的時候
[131.50-134.50] 在年底的時候我們有把貨都輸出去
[134.50-139.50] 所以去年的話整體是到8億2000萬
[139.50-141.50] YY是1個%
[141.50-144.50] 另外一個成長比較好的產品是呼吸系統用藥
[144.50-146.50] 那可以看到我們是57600萬
[146.50-148.50] 相較於2023年有6億7600萬的產品
[148.50-150.50] 所以有20%的成長
[150.50-154.50] 在委託研發代工方面的話有4億6700萬
[154.50-157.50] 那這邊大家可以看到YY是-10個%
[157.50-163.50] 那這邊主要是因為我們有一個比較商業化的CMO的客人
[163.50-165.50] 他的拉貨的schedule有一點改變
[165.50-168.50] 所以在去年的時候有稍微下降一點點
[168.50-171.50] 那在二五年之後就會回到比較平均的階段
[171.50-175.50] 在消炎止痛劑方面的話是2100萬
[175.50-176.50] YY是1個%
[176.50-177.50] 中樞成立系統的用藥是2億6700萬
[178.50-183.50] YY是6個%
[183.50-186.50] 其他部分的話是約8億1300萬
[186.50-190.50] 那這邊可以看到YY是40個%
[190.50-192.50] 那這裡面有一個類估存的產品
[192.50-194.50] 去年我們有相當好的一個成長
[194.50-197.50] 那在後面會跟大家再說明一下
[197.50-200.50] 所以整體的營收是473100萬
[200.50-202.50] 整體的YY是3個%
[202.50-205.50] 產品營收比重方面的話大家可以看到
[205.50-207.50] 主要我們的三個類別還是以
[208.50-210.50] 純酸鹽結合劑
[210.50-212.50] 維他命D還有委託研發代工
[212.50-216.50] 以及我們的FUCHISOMO是我們的前四名的產品
[216.50-219.50] 那其他的產品的話也都有相當不錯的佔領
[219.50-223.50] 2024年的整體獲利狀況的話
[223.50-225.50] 我們每股最後淨益是1.31塊
[225.50-227.50] 每股的淨值是63.9塊
[227.50-230.50] 那大家可以看到我們在去年的毛利率
[230.50-233.50] 還是維持得相當好是42%左右
[233.50-236.50] 那營業利率的話是19.5%
[236.50-241.50] 那最後淨益的話因為是受到一些業外投資的影響
[241.50-245.50] 資產評價的影響可以只有3.4%
[245.50-247.50] 那這邊很大一部分大家應該也是知道
[247.50-249.50] 就是來自於台康的股價
[251.50-254.50] 那這個表的話是想跟大家報告一下
[254.50-257.50] 就是其實我們在過去8個季度來講
[257.50-259.50] 我們的營業費用都是控制得相當不錯
[259.50-263.50] 那可以看到大約都是在18%以下
[263.50-265.50] 那整體的營業利率的話也都維持
[266.50-268.50] 在16%以上
[268.50-270.50] 最後淨益的話大概是
[270.50-274.50] 最後淨益的話就是到Q4的時候也是有一些掉下來
[274.50-277.50] 但是整體來說也是維持得相當不錯
[277.50-280.50] 在營業策略上的話
[280.50-283.50] 這邊就是大家知道台康化學就是以Generic API
[283.50-285.50] 就是學名要的API起家的
[285.50-289.50] 所以在學名要API上面我們還是維持高品質的生產
[289.50-291.50] 然後穩定我們原料供應鏈
[291.50-294.50] 然後還有我們就是擴大我們的生產效率和產能來
[294.50-295.50] 滿足客戶的需求
[296.50-300.50] 那未來兩個主要的發展的動能的話
[300.50-302.50] 主要是以CDMO就是代工為主
[302.50-304.50] 還有我們這個整體產品
[304.50-306.50] 代工的話我們這邊能夠做的是
[306.50-308.50] 就是從一站式的服務
[308.50-310.50] 從Drug Substance一步到Drug Product
[310.50-314.50] 那還有在未來我們相當重要的一個發展的方向
[314.50-315.50] 就是ADC的代工
[315.50-319.50] 這個台康化學已經在台灣生產超過10年的時間
[319.50-321.50] 所以我們在台灣算是
[321.50-323.50] 應該是能夠做到最大的產能
[323.50-326.50] 和產量提供給不同世界各地的客戶
[326.50-328.50] 還有就是我們現在也開始
[328.50-330.50] 逐漸的提供CAPTILE的服務
[330.50-332.50] 生態的合成的服務
[332.50-334.50] 正技產品的部分的話
[334.50-336.50] 就是我們能夠提供自己的開發以及生產
[336.50-340.50] 生產的話我們能夠提供在臨床上生硬化的生產
[340.50-343.50] 除此之外我們也開始做垂直整合
[343.50-345.50] 從API一度開發到致敬
[345.50-347.50] 那自有產品的產品的開發和授權
[347.50-350.50] 也是未來我們的一個很重要的一個方向
[350.50-352.50] 這邊大家也知道
[352.50-354.50] 它化學就是除了本身的原料
[354.50-356.50] ADC 真技和CDMO之外
[356.50-358.50] 我們也是有多角化的結合
[358.50-360.50] 能經營像是轉投資
[360.50-362.50] 像我們的子公司台新藥
[362.50-364.50] Focus在ADC和奈米化的藥物
[364.50-366.50] 還有與台康的生物藥的合作
[366.50-368.50] 那SYNCAPE OMOSA
[368.50-370.50] 是我們在去年6月的時候
[370.50-372.50] 完成合併的芝加哥的全資的子公司
[372.50-376.50] 那這邊主要是提供北美的客戶有更多的選擇
[376.50-378.50] 能夠在美國提供CDMO
[378.50-380.50] 還有就是早期的研發的服務
[380.50-382.50] 另外還有就是SYNCENMATE
[382.50-384.50] UTILIZE就是
[384.50-386.50] 我們轉投資的一個醫療器材的一個公司
[386.50-390.50] 目前我們的據點的話
[390.50-393.50] 還是為三個台灣市主要的生產和研發的基地
[393.50-396.50] 那日本的部分是我們的GENERIC API的Sales
[396.50-400.50] 還有就是我們也是努力的在開拓我們日本的CDMO的市場
[400.50-405.50] 那CDMO OMOSA大家知道就是我們還是以早期的研發和CDMO為主
[405.50-409.50] 另外大家可能在前陣子的重訓
[409.50-411.50] 就是幾個禮拜前的重訓
[411.50-413.50] 我看到就是我們已經開始投資了
[413.50-415.50] GOP1產線的建制
[415.50-418.50] 那這邊的話我們就是為了拓展公司的業務
[418.50-423.50] 所以目前我們有擴展相關產線的計畫
[423.50-426.50] 預計完成的時間是在2027年
[426.50-430.50] 那初步的投資主要是集中在Cultridge
[430.50-433.50] 這個我們年產能力大概3000萬劑左右
[433.50-437.50] 原本的徵機廠就有一些Cultridge充填的一些能力
[437.50-441.50] 但這邊是為了因應未來的商業化的需求
[441.50-443.50] 所以我們就開始進行投資
[443.50-448.50] 那未來的Assembly Online就是配合醫療器材的組裝的產線
[448.50-451.50] 也是我們下一步的一個方向
[451.50-454.50] 那這邊有一個數字給大家參考
[454.50-457.50] 就是GOP1相關的產品
[457.50-460.50] 目前我們已經在進行開發當中了
[460.50-463.50] 那我們也跟我們的合作夥伴在洽談當中
[463.50-467.50] 那全球市場的話如果以大家現在比較知道的生化舞台為例的話
[467.50-470.50] Prosentix是糖尿病的市場
[470.50-473.50] 全球是約16.8個billion美金的市場
[473.50-476.50] GOP1就是減重的市場目前是8.2個billion
[476.50-479.50] 那它還是在持續成長當中
[481.50-485.50] 好那下一個部分的話就是我們重要業務的一些說明
[485.50-488.50] 原料料的部分的話就像剛剛跟大家報告的
[488.50-490.50] 我們主要還是以優化我們的產率
[490.50-493.50] 擴大我們的產能還有固定我們的供應面
[493.50-495.50] 為我們主要的營運的一個方向
[495.50-499.50] 那去年的話有三個比較重要的部分跟大家報告的就是
[499.50-501.50] 膽固醇磷酸鹽我們還是維持市場
[501.50-505.50] 市場影響的地位就是我們有
[505.50-509.50] 應該算是世界上最大的市佔率在這個API的產品上
[509.50-513.50] 無吸氣統用藥的話我們銷售表現也相當好
[513.50-516.50] 那我們市場的市佔率還是能夠持續不斷的成長
[516.50-519.50] 那類固醇的產品的話因為我們打入原廠供應鏈
[519.50-524.50] 然後他們在有他們的需求也是相對應增加相當多
[524.50-527.50] 所以在今年的話也會貢獻相當多的營收
[527.50-529.50] 主要就是這是去年的部分
[529.50-531.50] 今年還是會有相當多的營收是來源的部分
[531.50-533.50] 來自類固醇的產品
[533.50-538.50] CDMO的部分的話我們還是維持提供一站式的服務
[538.50-542.50] 那就是從早期的研發到CMC的試成的開發
[542.50-545.50] 生產最終之地的充填和包裝
[545.50-549.50] 那在去年的部分的話我們一站式的需求的服務
[549.50-555.50] 隨著我們徵機場認證還有生產的能力逐漸成熟
[555.50-557.50] 一站式服務的需求也相當的增加
[557.50-561.50] 那目前來找我們的客人相較於去年來賓的話
[561.50-563.50] 我們也有30%的成長
[563.50-567.50] 就是從DS到DP這種一站式服務的CDMO
[567.50-571.50] 另外就是我們的歐洲美國日本原廠的CDMO案件
[571.50-573.50] 很難持續無疑的供貨
[573.50-575.50] 那目前我們有新案件正在盤
[575.50-578.50] 預計應該是下半年就是會確認該專案
[578.50-581.50] 那另外在這幾個CDMO的產品
[581.50-585.50] 這幾個客戶當中有兩個新的案件已經開始早期研發的服務
[585.50-588.50] 所以表示我們在CDMO上表現的超好不錯
[588.50-589.50] 那這些客戶的話
[589.50-591.50] 願意找我們一些新的案子來提供服務
[591.50-593.50] 來持續的洽談
[593.50-596.50] SYNCAN FOMOSA的話就是我們在併購之後
[596.50-598.50] 我們持續穩定的開拓我們北美的業務
[598.50-602.50] 那從併購到現在我們目前為止已經有四個臨床階段的案子
[602.50-607.50] 從SYNCAN FOMOSA完成開發之後回到台灣進行生產
[607.50-611.50] 那另外有多個案子也是在持續的洽談當中
[611.50-614.50] 原本的一些臨床階段的案件的話
[614.50-617.50] 也是逐漸進入生產的缺少和商業量產逐漸的階段
[617.50-619.50] 所以未來的話能夠
[619.50-623.50] 逐漸往商業化的量產需求做準備
[623.50-626.50] 那最後的就是我們現在也開始
[626.50-628.50] 逐步提供我們生態藥物的合成服務
[628.50-631.50] 那客人也是慢慢的知道我們有提供這些服務
[631.50-633.50] 也有越來越多的需求
[633.50-640.50] 這邊是想跟大家報告一下我們在CDMO客戶上的形態和階段
[640.50-642.50] 那我們的客戶其實是南瓜的
[642.50-645.50] 包括API 真技還有ADC
[645.50-648.50] 那這邊可以看到在API的話其實跟Parent上的均勻
[648.50-651.50] 就是包括Commercial還有各個不同的階段都有
[651.50-655.50] 真技的話在Commercial的部分佔的稍微多一點
[655.50-660.50] 那其他還有這些早期的資金M8也是我們相當重要的客戶
[660.50-665.50] 那ADC的部分的話就是除了早期的M8還有Base1 Base2
[665.50-667.50] 我們也都是協助客人在進行開發
[667.50-669.50] 還有提供臨床試驗用藥
[669.50-676.50] ADC的部分的話有幾個比較重要的部分也想跟大家報告一下
[676.50-678.50] 就是我們在去年
[678.50-683.50] 我們整體的客戶目前已經很快的包括美國歐洲日本以及台灣
[683.50-686.50] 那幾個比較重要的客戶像是歐洲的客戶
[686.50-689.50] 他目前已經進入臨床一起的實驗階段
[689.50-691.50] 那已經開始進行放大的生產
[691.50-697.50] 那這個客戶他主要是專注在ADC新藥的開發上面
[697.50-700.50] 那我們現在也已經跟他簽訂新的計畫
