[0.00-5.00] 各位投資先進大家午安
[5.00-8.34] 歡迎參加敦泰電子股份有限公司
[8.34-9.90] 線上訪談說明會
[9.90-13.00] 本次代表初協經營團隊為
[13.00-14.56] 吳政大董事長
[14.56-16.34] 大家好
[16.34-18.92] 我是敦泰電子吳政大
[18.92-21.72] 各位投資朋友大家好
[21.72-23.00] 下午好
[23.00-27.06] 以及張維杰財務長
[27.06-29.56] 各位投資先進級媒體朋友
[29.56-34.80] 大家好我是張維杰
[34.80-38.90] 那今日的法說會流程將先針對經營成果報告簡報後
[38.90-41.36] 再行Q&A交流時間
[41.36-45.94] 首先有請張維杰財務長為我們進行簡報
[45.94-46.76] 好
[46.76-49.18] 首先第一頁是我們的免責聲明
[49.18-52.52] 那麻煩各位投資先進朋友自行閱讀
[52.52-56.44] 謝謝
[56.44-58.64] 那我們今天的這個會議的agenda
[58.64-59.32] 大概分成
[59.32-59.52] 四頁
[59.52-59.54] 四頁
[59.54-60.48] 四個部分
[60.48-63.76] 那第一個部分我們會針對今年第一季的一個結果
[63.76-65.60] 跟各位做一個說明
[65.60-67.16] 那第二部分
[67.16-70.48] 由董事長針對我們未來的一個展望
[70.48-73.24] 為各位投資先進說明
[73.24-75.08] 那第三個部分是
[75.08-79.14] 公司的產品應用在終端市場上面的一些產品的介紹
[79.14-82.70] 那最後這個環節是針對一些問題的Q&A
[86.76-87.16] 好
[87.16-89.50] 那首先我先跟各位報告一下我們
[89.50-91.72] 今年第一季的一個情況
[91.72-95.54] 那今年第一季的營收是新台幣29.93億
[95.54-100.34] 那主要是受到第一季本來就是傳統的淡季的關係
[100.34-104.42] 那加上部分的手機客戶在去年第四季
[104.42-106.68] 其實已經先提前備貨了
[106.68-110.26] 所以使得我們今年第一季的這個營收是
[110.26-113.74] 跟上一季比是下滑了28.5%
[113.74-116.26] 那跟去年同期相比來講
[116.26-119.14] 雖然整體出貨量持平
[119.14-121.68] 不過因為我們的產品組合有些變化
[121.68-124.18] 主要是因為我們在跟去年同期比
[124.18-129.98] 我們的TD產品線的這個觸控產品線的出貨量是增加
[129.98-135.44] 不過在這個中階產品的這個顯示產品線的TDDI
[135.44-138.06] 它的價格受到它價格下滑影響
[138.06-141.38] 所以使得我的整個營業額是減少了16%
[145.38-148.86] 那第一季來講雖然我營收有大幅度下滑
[149.14-154.14] 不過我想第一季的獲利是超過預期的一個表現
[154.14-158.98] 在跟我們上一季的Focus來講是比我們當初Focus來的好
[158.98-161.76] 那主要是因為其實我產品組合的關係
[161.76-163.80] 有一些比較大的變化
[163.80-167.98] 也就是說我低毛利的這個顯示產品線的出貨減少
[167.98-170.98] 那高毛利的這個TD產品
[170.98-172.90] 跟非手機的這些產品
[172.90-175.22] 通控啊或者是這個平板等等的
[175.22-177.14] 它受到技術性影響比較少
[177.14-179.14] 讓我們的產品組合變好
[179.14-184.14] 因此我第一季的毛利率是大幅提升到26.9%
[184.14-187.64] 那就QOQ來講增加了5.5%
[187.64-192.14] 那跟去年同期來講也增加了4.7%
[192.14-195.14] 那此外我的營業費用滾紅得宜
[195.14-197.48] 加上我業外收入的這個挹注
[197.48-200.98] 讓我的稅後金利來到新台幣1.7億元
[200.98-204.14] 那本季每股EPS是0.8元
[204.14-207.14] 那跟上一季的0.86元是微幅下降了
