[0.00-11.26] 大家好
[11.26-13.50] 首先由我向各位报告
[13.50-15.34] 京城科技的财务数据
[15.34-17.10] 在开始报告之前
[17.10-23.56] 请各位先看一下第四页
[23.56-24.98] 风险事项提醒
[24.98-27.56] 简报资料只提供各位做参考
[27.56-29.40] 不提供任何投资建议
[29.40-38.82] 接下来我们看第六页
[38.82-40.36] 资产负债表的部分
[40.36-52.74] 那请大家先看前两栏的数字
[52.74-56.02] 2023年底到2024的这段时间
[56.02-58.36] 资产负债表最大的变化
[58.36-59.38] 是在非流动性的资产负债表
[59.40-59.88] 非流动资产
[59.88-62.86] 2024年底非流动资产
[62.86-64.84] 一共有196亿元
[64.84-68.50] 比2023年底增加了56亿元
[68.50-72.60] 这是因为我们做了几项重要的投资
[72.60-75.20] 包括了PCB及EMS
[75.20-77.34] 在马来西亚进行扩展
[77.34-80.58] 还有配合未来AIPC的趋势
[80.58-82.28] PCB重庆厂
[82.28-85.18] 也开始增加了HDI产线的投资
[85.18-87.76] 另外我们也将一部分的资金
[87.76-89.38] 用在债券投资上
[89.40-101.52] 接着请看最右边这一栏
[101.52-105.20] 也就是2025年3月31日的数字
[105.20-108.12] 如果将3月31日的数字
[108.12-110.56] 跟去年12月31日相比
[110.56-112.46] 会发现主要的变化
[112.46-115.82] 是在流动资产286亿元
[115.82-118.54] 比去年底增加了72亿元
[118.54-119.38] 这就是我们的投资
[119.40-121.34] 负债243亿元
[121.34-124.10] 也比去年底增加了62亿元
[124.10-126.94] 造成这个变化的主要原因是
[126.94-129.98] 京城科技在去年的12月26日
[129.98-131.88] 经过董事会决议后
[131.88-134.08] 在今年的4月8日
[134.08-136.78] 以企业价值421亿元
[136.78-139.18] 相当于新台币93亿元
[139.18-141.54] 买入了Linkstech公司股权
[141.54-144.80] 为了支应这笔投资款
[144.80-146.84] 所以我们在3月底以前
[146.84-148.70] 就陆续向银行借款
[148.70-149.38] 并对付了公司的负债
[149.40-150.12] 换成日币
[150.12-152.22] 所以才会使得流动资产
[152.22-153.72] 与负债同时增加
[153.72-158.14] 那在表格的下方呢
[158.14-160.06] 还有各个期间的净值
[160.06-161.94] 流动比率及速动比率
[161.94-163.98] 由于京城科这几年
[163.98-165.44] 持续获利的关系
[165.44-167.76] 财务结构没有太大的变化
[167.76-170.42] 2025年3月底的每股净值
[170.42-172.06] 是新台币50元
[172.06-177.68] 那么看完资产负债表之后
[177.68-178.70] 我们接着看
[178.70-180.46] 第7页的损益表部分
[180.46-185.36] 首先我们看营业额的部分
[185.36-189.62] 2024年的营业额
[189.62-191.84] 是新台币217亿元
[191.84-194.70] 较前一个年度减少了5%
[194.70-197.74] 2025年第一季的营业额
[197.74-199.54] 则跟去年同期比起来
[199.54-200.90] 没有太大的变化
[200.90-202.98] 营业额的变化
[202.98-204.94] 主要是因为个人电脑的需求
[204.94-207.72] 在前两年疫情时期达到高峰
[207.72-208.68] 所以在2025年
[208.70-210.54] 2024年的时候需求放缓
[210.54-215.06] 接着请大家看毛利率的部分
[215.06-218.52] 京城科技在过去几年
[218.52-220.62] 因为调整产品结构的关系
[220.62-223.56] 毛利率几乎都是呈现上升的趋势
[223.56-225.36] 从2023年开始
[225.36-228.06] 毛利率就突破20%
[228.06-230.86] 2023年的下半年
[230.86-233.22] 一直到2024年的第三季
[233.22-237.48] 毛利率维持在25%到27%之间
[238.70-241.88] 但是到了2024年的第四季
[241.88-244.38] 以及2025年的第一季
[244.38-248.52] 随着PCB马来西亚新厂接近完工
[248.52-251.62] 目前PCB马来西亚新厂
[251.62-254.76] 正积极进行新订单的打样市场
[254.76-256.58] 因为折旧认证
[256.58-258.14] 新进员工训练
[258.14-261.24] 人工水电这些支出逐渐增加
[261.24-265.22] 所以使得毛利率下降到20%到23%
[268.70-272.28] 接下来请各位看营业外支出的部分
[272.28-278.94] 我们在前面资产负债表的部分有提到
[278.94-282.02] 我们将一部分的资金投资在债券上
[282.02-284.86] 所以可以看到2024年的利息收入
[284.86-288.26] 比前一个年度增加了大约1.3亿元
[288.26-293.08] 而在2025年第一季业外的部分
[293.08-295.96] 我们取得了一笔补偿款收入
[297.38-298.38] 经程科技
[298.70-301.44] 就相当于昆山的工厂
[301.44-304.44] 2022年因为配合当地政府政策
[304.44-307.02] 昆山开发区房屋征收实施中心
