[0.00-6.64] 各位投資先進大家午安
[6.64-11.62] 歡迎參加瑞鼎科技股份有限公司線上法人說明會
[11.62-16.02] 首先為大家介紹瑞鼎科技出席的經營團隊
[16.02-19.46] 黃玉國董事長暨執行長
[19.46-20.78] 大家好
[20.78-23.62] 林文聰總經理
[23.62-25.64] 各位投資先進大家好
[25.64-28.90] 林佩儀財務中心協理
[28.90-30.90] 大家好
[30.90-35.04] 吳志宏投資人關係專案處長
[35.04-37.04] 各位投資先進大家好
[37.04-42.24] 今天的法人說明會流程會先針對已經成果報告進行簡報
[42.24-44.78] 接下來是Q&A的意見交流
[44.78-47.78] 那本次法說會是採文字提問
[47.78-52.16] 到時候請各位投資先進利用聊天的功能提問
[52.16-57.06] 然後在點選裡面出席人員的有一個Yunda就是Y-U-A-N-T-A
[57.06-58.90] 點選之後再要直接
[58.90-60.94] 聊天的方式來提供問題
[60.94-63.00] 我們會再把它轉發給公司
[63.00-67.86] 但是提醒大家在發問的時候要註明您的公司名稱跟大名
[67.86-70.94] 那我們會在Q&A的時間一併回答
[70.94-74.00] 接下來我們將寶貴的時間交給瑞鼎科技
[74.00-74.78] 謝謝
[74.78-77.58] 各位投資先進大家好
[77.58-81.68] 我是瑞鼎科技的投資人關係專案處長Terence
[81.68-87.82] 今天將由我報告公司2024年第四季即全年的營運成果
[87.82-90.64] 跟公司近期的營運重點
[90.64-97.04] 接著問與答的部分將由董事長總經理以及財務長來回答
[97.04-99.86] 請各位投資先進踴躍提問
[99.86-104.20] 再次提醒本次法說採用文字提問
[104.20-109.32] 請各位投資先進利用聊天的功能提問點選Yunda
[109.32-113.68] 以後再用直接聊天來提供問題
[113.68-116.74] 接下來是我們這次的簡報
[117.82-129.86] 首先是免責聲明
[129.86-133.18] 那這部分請各位投資先進自己參閱
[133.18-143.42] 那這是今天的簡報
[143.42-145.72] 首先我們會有公司簡介
[145.72-147.78] 接著我們會跟各位投資先進
[147.78-151.36] 報告去年第四季的營運成果
[151.36-155.20] 那再來跟各位投資先進分享近期重要事件
[155.20-157.50] 以及營運的重點訊息
[157.50-159.56] 然後接著會進入到問與答
[159.56-163.66] 首先是公司簡介的部分
[163.66-168.52] 瑞鼎成立於2003年10月
[168.52-172.62] 公司的總部位於新竹科學園區
[172.62-177.74] 去年全年的業額為新台幣243.8億元
[177.78-182.64] 以2024年12月31日的時間點來說
[182.64-185.20] 我們員工人數有1068位
[185.20-189.04] 資本為新台幣7.59億元
[189.04-194.68] 接著是產品組合的部分
