[0.00-7.00] 各位會的先進大家午安大家好
[7.00-12.00] 很感謝各位來參加第一金證券主辦的法人座談會
[12.00-17.00] 我們今天本場是藥燈科技股份有限公司的法人說明會
[17.00-19.00] 現在見識開始
[19.00-22.00] 首先我先跟各位介紹一下今天出席的長官
[22.00-25.00] 第一位是溫文聖副總
[25.00-30.00] 第二位是段純忠總監
[30.00-34.00] 第三位是劉哲軒公關長
[34.00-43.00] 接下來我們將請溫文聖副總經理跟我們介紹一下公司的營運狀況
[43.00-45.00] 還有未來的發展前景
[45.00-49.00] 現在我就把主展獎給我們的溫副總
[49.00-50.00] 副總請
[50.00-52.00] 謝謝第一金
[52.00-55.00] 各位法人先進還有梅婷
[55.00-61.00] 可能我就還是有一些新的法人
[61.00-65.00] 我還是大概介紹一下公司的狀況
[65.00-70.00] 稍後再跟大家再有一些動漫
[75.00-78.00] 藥燈其實是在1981年成立
[78.00-81.00] 它總部是在桃園的巴德
[81.00-84.00] 早期起家是做天線
[84.00-85.00] 目前整個
[85.00-88.00] 發展的業務大概有發完天線
[88.00-93.00] 然後目前是有往社群模組的方向來走
[93.00-95.00] 還有相關的代理的量測設備
[95.00-98.00] 還有一些測試認證的服務
[98.00-101.00] 那近幾年也有發展一些就是
[101.00-105.00] 我客戶的一些命令的需求這樣子
[105.00-109.00] 那我們開播的是在巴德
[109.00-112.00] 那我們目前在臺灣有桃園據點
[112.00-114.00] 還有就是臺北據點跟高雄據點
[115.00-121.00] 桃園據點主要就是負責產品的研發跟設計還有總部
[121.00-125.00] 那臺北的話是我們發展一個藝能事業的一個辦公室
[125.00-129.00] 那高雄的話我們在亞灣的地方有一個辦公室
[129.00-133.00] 那目前在那邊有一個就是我們子公司
[133.00-137.00] 負責一些資安的測試還有歐倫的測試
[137.00-141.00] 那我們的在中國大陸有深藍據點
[141.00-144.00] 那主要是在就是昆山
[144.00-149.00] 那那邊也是有一些研發團隊負責當地的內銷
[149.00-154.00] 那我們因應就是客戶的需求其實也在北越有一個工廠
[154.00-158.00] 那目前主要是負責天線的那個生產跟製造
[158.00-165.00] 那我們就是在去年的時候有在歐洲的波蘭有成立一個子公司
[165.00-168.00] 那成立這個子公司主要是當時候是
[168.00-173.00] 原來是很因應客戶在未來西邊上面有一些需求
[174.00-179.00] 那現在可能接下來面臨到一些藝能政治的問題的話
[179.00-186.00] 可能這個地方我們也會開始去做一些設置一些生產據點的領域這樣子
[190.00-194.00] 那這個我剛剛大概有介紹過那我就不說
[194.00-201.00] 那這個大概看一下就是公司的三大主要產品的樣態這樣子
[201.00-203.00] 就是我們主要的產品就是公共天線
