[0.00-5.00] 各位投資先進,各位媒體朋友,各位女士,各位先生
[5.00-7.00] 我是中美電子發言人陳哲宏
[7.00-12.00] 首先代表中美電子歡迎大家參加今天的法輪說明會
[12.00-19.00] 今天法輪說明會將由王薇董事長,林斌總經理,以及許承哲財務長
[19.00-24.00] 向大家說明2024年第4季以及全年的移民成果
[24.00-27.00] 以及今年的整體市場展望
[27.00-32.00] 因往例,今天法輪會的內容可能還有前瞻性的預估
[32.00-38.00] 所有的財務資訊以公司正式公告的版本為主
[38.00-42.00] 接下來我將時間交給王薇董事長
[52.00-56.00] 大家下午好,我下午很幸運
[56.00-57.00] 王立委謝謝你來上來
[57.00-60.00] 我先介紹一下我們的新任的財務長阿澤
[60.00-64.00] 跟大家介紹,是移民成者
[64.00-71.00] 也在中美經入局朋友我們有15年時間
[71.00-76.00] 主要的一件我想你們可以跟他做一波教練
[76.00-81.00] 針對全球的工業,也算是我們產業界的一個基礎
[81.00-85.00] 還有一起來說的,他目前是接我的幕僚長
[85.00-86.00] 我們還有很多媒體朋友
[86.00-89.00] 還有我們整個公共部門
[89.00-95.00] 未來針對我們整個的發展在國際上的進行
[95.00-99.00] 他還會繼續在內部來對我們做支持
[99.00-108.00] 我先看今年的2024年出的那個
[108.00-115.00] 我們自決的結果,今天都不會通過的
[115.00-119.00] 整個GP是在18.1%
[119.00-124.00] 整個OP是在52%
[124.00-128.00] 6億9千9百億
[128.00-131.00] 然後整個net是5億
[131.00-134.00] EBS是在1.72%
[134.00-140.00] 跟去年跟初三比起來,整個他本來就狀況之平
[140.00-142.00] 所以整體的
[142.00-144.00] 我去年的預估本來是
[144.00-149.00] 預估本來是大概整個很乾脆是
[149.00-153.00] 造成的這些超額的運營
[153.00-155.00] 水位到下半年應該會一直在調到
[155.00-161.00] 目前看起來大概是調到全年
[161.00-164.00] 所以就是說本來預估應該在下半年
[164.00-167.00] 到初三初四會有比較
[167.00-169.00] 這種由於不成交的關係
[169.00-173.00] 這個時間點大概是發生在今天的初步
[174.00-177.00] 所以明確的定單回來的速度在
[177.00-181.00] Q2 Q3 Q4整體的定單大概已經有個循序
[181.00-183.00] 那邊都已經看得很透露了
[183.00-186.00] 可以明顯感覺到除了新版引導文之外
[186.00-188.00] 既有長期的定單,還是有推進的方法
[188.00-194.00] 也就是說在歐洲的調整期原意是比美國早
[194.00-197.00] 可是歐洲的問題是裡面沒有真的回來
[197.00-199.00] 所以他即使出門炒賣的時候
[199.00-201.00] 裡面回來速度是慢的
