[0.00-5.06] 大家好,欢迎参加合作联合科技2024年第四季线上访说会。
[5.56-8.26] 我是本次会议的主持人,花旗的Carrie。
[8.72-12.28] 今天我们很荣幸邀请到合作的两位共同执行长,
[12.62-16.04] 郑光志先生,Gary,邓国燕先生,Johnson,
[16.52-20.50] 财务长谢如慧女士,Vivian,以及IR团队的莉莉与慧。
[21.02-26.22] 在接下来的时间,莉莉将会先针对第四季财务业务情况做说明。
[26.36-29.78] 说明完毕后,我们会拍放线上博士院提问。
[30.20-32.98] 现在我就把时间交给莉莉,莉莉请开始。
[34.48-35.06] Carrie,谢谢。
[35.80-36.64] 各位午安。
[37.20-43.88] 接下来由我向各位报告合作2024年全年以及第四季的财务及业务资讯。
[44.44-48.94] 在进入今天的报告之前,请各位阅读第二页的Safe Power Notice。
[50.54-53.64] 接着,请各位翻到第四页的合并损益表。
[54.54-59.22] 2024年全年合并营收为1兆1253亿,
[59.48-59.98] 4999亿,
[60.00-65.08] 跟2023年相比减少了10.5%。
[65.76-72.20] 毛利部分,2024年全年营业毛利为460亿3300万元,
[72.98-74.86] 毛利率为4.1%,
[74.86-77.54] 比前一年3.7%为高,
[78.10-81.54] 主要是受惠于本业生产效率持续精进,
[82.16-84.10] 以及部分产品产能提高,
[84.68-89.12] 加上部分中央子公司营运表现年对年成长所带动。
[89.12-96.86] 在营业费用部分,2024全年约335亿3200万元,
[96.86-100.50] 较2023年同期略增7%,
[100.50-105.76] 主要是部分中央子公司相关营业及折旧费用增加,
[105.76-109.60] 全年营业净利率则为1.1%。
[109.60-117.40] 接下来,2024年全年业外收益为147亿2300万元,
[117.40-118.60] 跟2023年全年业外收益为147亿2300万元,
[118.60-122.30] 跟2023年相比增加约54.1%,
[122.30-125.90] 主要受惠于2024年净利息收入,
[126.44-130.24] 储分收益和金融资产评价利益有所增加。
[132.56-137.84] 2024年全年税前盈余为272亿2400万元,
[138.50-139.74] 扣除所得税后,
[139.96-145.42] 2024年全年本期净利为191亿5400万元,
[145.82-148.22] 归属母公司的部分则为,
[148.60-151.02] 268亿7700万元,
[151.62-153.98] 每股盈余为6.34元。
[155.90-161.98] 下面第五页是2024年第四季与第三季合并损益表的比较。
[163.28-168.84] 2024年第四季合并营收为3271亿400万元,
[169.76-174.00] 与2023年同期相比略减少了4.4%,
[174.00-178.00] 但跟前一季相比成长了11.1%,
[178.00-180.76] 主要是通讯产品进入旺季,
[180.76-182.76] 拉货动能有所提升。
[184.76-186.24] 在营业毛利部分,
[186.24-191.00] 2024年第四季为118亿1200万元,
[191.00-194.28] 其毛利率为3.6%,
[194.28-198.48] 接较去年同期及第三季的毛利率为低,
[198.48-201.48] 主要是受到产品组合不同,
[201.48-206.88] 以及新产品开发和海外产能扩通之费用较高所致。
[208.00-209.68] 在营业费用部分,
[210.56-214.14] 2024年第四季为89亿1000万元,
[214.82-218.28] 而营业利率则为29亿200万元,
[219.28-221.68] 营业利率为0.9%,
[221.68-225.38] 再来看到业外的部分,
[226.56-231.44] 2024年第四季的业外收益为30亿5300万元,
[232.12-235.90] 跟去年同期相比略为减少11.3%,
[235.90-236.68] 主要是2024年第四季的业外收益为3.6%,
[236.68-236.70] 主要是2024年第四季的业外收益为30亿5300万元,
[236.70-236.76] 跟去年同期相比略为减少11.3%,
[236.76-236.84] 主要是2024年第四季的业外收益为30亿5300万元,
[236.84-241.80] 主要是2024年第四季金融资产评价有所亏损,
[242.40-243.72] 再往下看,
