[0.00-3.00] 各位投資先進 大家早安
[3.16-5.00] 很感謝大家來過空參加
[5.16-8.36] 華南永昌政卷2025年第一季的
[8.52-10.16] 春季產業論壇
[10.32-13.20] 本場是很榮幸邀請到一力電的
[13.36-16.48] 柯茂泉副總經理來跟大家分享
[16.64-19.12] 我們先把時間交給柯副總
[19.28-20.88] 開始本場的論壇
[21.04-22.96] 謝謝
[24.00-26.80] 大家好 謝謝你
[26.80-31.04] 這個是投影機是在哪?
[31.20-32.00] 這個
[32.16-34.64] 先試一下 可以
[34.80-38.16] 柯茜在這邊跟你們碰面
[38.32-42.80] 今天就是針對我們今年的第一季
[42.96-46.64] 未來2025年部分跟大家做一個說明
[46.80-49.76] 這個是免責聲明 大家請參照一下
[49.92-51.52] 是集團的部分
[51.68-53.28] 再講這個部分
[53.44-56.08] 可能我還是要把公式在外面再簡介一下
[56.24-56.72] 記憶力
[56.88-59.52] 一力電子現在在我們台灣的產業裡頭
[59.68-61.28] 是比較平刻性的一個地位
[61.44-62.40] 怎麼講?
[62.56-64.56] 因為做汽車產業裡頭
[64.72-66.72] 台灣多的是做雲組件的
[66.88-68.16] 但是做雲組件
[68.32-70.32] 比如說做一些柯金
[70.48-72.00] 做一些東西比較多
[72.16-75.28] 像我們做系統產品的其實是不太多
[75.44-77.52] 系統產品是所謂的T1
[77.68-79.68] 它直接面對的就是車廠
[79.84-81.92] 所以說我們現在已經是
[82.08-84.56] 我們公司的產業形態已經90%以上
[84.72-86.00] 都是直接交給車廠
[86.00-90.32] 也就是說我們是直接跟車廠去做整個研發的工作
[90.48-95.92] 甚至最後研發完以後後面去生產去銷售
[96.08-98.00] 當然也就是說
[98.16-101.36] 也就是說台灣很多的製造業的那些做雲組件
[101.52-103.28] 其實會以我們為出海口
[103.44-106.08] 因為他們必須把產品交到我們手上
[106.24-107.12] 然後再出口
[107.28-110.32] 過去再出口是賣給那個車廠
[110.48-111.52] 所以我們的形態是
[111.68-114.08] 其實我們是OETA1廠商
[114.24-115.76] OETA1廠商
[116.00-118.24] 我們的研發中心主要是在台灣
[118.40-119.20] 我們在藏化
[119.36-120.24] 因為我們在那邊
[120.40-122.56] 大概已經有將近200個研發人員
[122.72-124.48] 所以我們研發費用其實都很高
[124.64-125.28] 你看其實
[125.44-126.48] 主要就是為了
[126.64-128.80] 因為車廠做OE的東西
[128.96-130.56] 其實它是要配合每一個車子
[130.72-133.12] 都要有一些客製化的開發
[133.28-136.00] 每一個開發其實都要投入相當的能量
[136.16-137.44] 因為每一個車子基本上
[137.60-139.04] 它的規格都不太相同
[139.20-142.24] 所以基本上針對每一個車子都有一些的調整
[142.40-143.68] 特別是電子化
[143.84-145.84] 電子化的東西是它的變化
[146.00-148.00] 比如說我們做資通訊產品
[148.16-149.44] 我們做儀表類的
[149.60-152.08] 其實每一家公司的選擇絕對不會一樣
[152.24-154.80] 因為它不想讓你看到它跟它
[154.96-157.44] 我在開TOYOTA的車子
[157.60-159.76] 就看到你上的影子不可能
[159.92-161.92] 所以基本上都是不一樣的東西
[162.08-163.20] 那不一樣的東西
[163.36-165.20] 都要有一些開發能量
[165.36-166.80] 所以我們整個
[166.96-169.20] 我們基本上做車廠也
[169.36-171.76] 從也就很多年了
[171.92-173.60] 大概有20幾年都是在做
[173.76-175.28] 跟車子有相關的東西
[175.28-177.20] 那當然早期可能做
[177.36-178.00] 還有做其他的
[178.16-180.96] 但現在都是百分之百就是火氣的產品
[181.12-185.52] 那台灣這邊主要除了是做研發以外
[185.68-187.20] 其實台灣還有一部分是做
[187.36-189.20] 我們現在比較先進的產品
[189.36-190.48] 叫抬頭顯示器
[190.64-192.24] 抬頭顯示器的玻璃
[192.40-194.72] 因為其實抬頭顯示器是近幾年
[194.88-197.12] 我們再開發出來一個產品
[197.28-200.08] 像事實上現在在台灣的車子裡頭
[200.24-203.28] 其實慢慢的可能有一些早期
[203.44-205.04] 可能是旗艦版的
[205.28-206.24] 像高級車子
[206.40-208.00] 你會看到抬頭顯示器
[208.16-209.68] 那近幾年其實抬頭顯示器產品
[209.84-211.20] 已經慢慢的往下滲透
[211.36-213.92] 因為畢竟抬頭顯示器的功能
[214.08-216.64] 其實它是一個駕駛自通訊的延伸
[216.80-218.88] 也就是說過去我們公設產品
[219.04-220.64] 從南亞產品
[220.80-223.20] 然後調整到車載自通訊
[223.36-224.80] 然後再來做ADAS
[224.96-228.32] 然後再做我們HUD
[228.48-229.68] 其實這一塊其實都圍繞
[229.84-232.48] 是一個整個車子駕駛資訊的
[232.64-235.20] 提供的一個功能
[235.36-237.20] 我們就是透過這樣子
[237.36-239.92] 整合提供消費者比較好的一個價值
[240.08-242.32] 一個資訊的接發
[242.48-244.80] 抬頭顯示器在台灣
[244.96-247.12] 事實上我們有一個組裝廠在這裡
[247.28-249.12] 等一下整個產品我會再介紹
[249.28-250.64] 除此之外
[250.80-254.48] 其實台灣這邊還會兼帶著
[254.64-255.92] 除了剛才研發以外
[256.08-259.12] 還有我們可能會出口到中東市場
[259.28-260.88] 出口到歐洲、美國
[261.04-262.96] 所以台灣的中海是這樣子
[263.12-265.12] 我們現在集團比較主力的
[265.44-269.12] 銷售的部分其實是集中在江蘇跟泰國
[269.28-273.92] 江蘇這邊其實就是中國的市場的一個營運基地
[274.08-276.16] 我們目前主要的都是跟一些
[276.32-278.32] 國內的一些大廠在做交易
[278.48-280.32] 國內的大廠可能
[280.48-281.44] 比如說近幾年
[281.60-283.36] 其實從去年大概七、八月
[283.52-286.24] 中國大陸的自主品牌的車廠
[286.40-289.60] 終於整個整體銷售超越合資品牌
[289.76-293.92] 過去其實整個中國大陸的合資品牌銷售量
[293.92-296.48] 還是超過整個自主品牌的
[296.64-301.60] 如果以一年大概三千多萬台市場的份額的話
[301.76-304.64] 其實整個自主品牌大概佔了百分之四十幾
[304.80-306.00] 比他一千多萬台
[306.16-307.84] 比如說一千多萬台裡面
[308.00-311.36] 可能有百分之六、七十幾都是新能源的車子
[311.52-313.36] 也中國大陸其實這幾年
[313.52-315.36] 因為新能源車子上來
[315.52-317.92] 所以說它整個市場
[318.08-322.08] 其實上變成它在跟國外的車廠競爭上面來講
[322.24-323.84] 在新能源車子是非常的有限
[324.00-325.20] 因為它是有很多的學生能力
[325.36-326.88] 像我們所知道BRD
[327.04-329.44] BRD或是我們教育的
[329.60-331.28] 我們的客人吉利汽車
[331.44-333.60] 我們算紅旗的低汽車集團
[333.76-336.00] 那是承安福特集團
[336.16-337.20] 再來是長城
[337.36-338.80] 這幾個都是前段班的
[338.96-341.60] 其實從2024年來看
[341.76-345.20] 其實2024年的中國大陸的車廠來看
[345.36-347.68] 其實前面的這幾家
[347.84-351.12] 其實都還有百分之十或百分之五的成長
[351.28-353.04] 可是後半段可能就很慘
[353.20-355.76] 中國大陸其實現在車廠是兩種吧
[355.92-358.64] 所以如果你工藝的廠商是在那種處
[358.80-360.72] 前段班的事實上
[360.88-362.80] 它的市場還是在增加的
[362.96-366.80] 那只不過說中國市場的特色
[366.96-368.24] 這幾年大概也是這樣
[368.40-371.60] 近幾年做以前可能在疫情之前
[371.76-374.56] 我在這種說明會
[374.72-377.36] 如果我講我可能大陸佔很高三十
[377.52-380.08] 大家三四十很不錯對不對
[380.24-381.36] 那應該是很好
[381.52-382.88] 因為那時候中國大陸市場
[383.04-384.32] 市場狀況很好
[384.48-387.04] 所以現在中國市佔率很高是一件好事
[387.20-389.68] 但是現在這個時空背景來講
[389.84-390.96] 因為大家都知道
[391.12-394.32] 中國大陸是一個很捲的社會
[394.48-398.08] 很捲就是所謂捲的是成本捲價格捲
[398.24-400.08] 就是把你捲到你受不了
[400.24-401.44] 但是捲的過程裡頭
[401.60-406.32] 像我們公司去年算是典型的捲的代表的運動
[406.48-409.20] 像我們去年其實整個HQ的成長
[409.36-411.04] 它也成長到80%
[411.20-412.64] 然後再來是說
[413.04-415.68] 整體的大陸運動的時候還成長到30%
[415.84-417.28] 捲我們還可以成長
[417.44-420.16] 代表說就是我們公司在那個體系裡頭
[420.32-422.32] 其實有我們的競爭力存在
[422.48-423.92] 因為在那個HQ的時候
[424.08-426.48] 就是因為現在同質性競爭很高
[426.64-431.60] 車廠它剛好是一個比較不一樣的環境
[431.76-433.68] 就是說車廠它本身有門檻
[433.84-436.32] 它有技術開發的一個經驗在那邊
[436.48-438.64] 所以事實上也剛好給我們一些保障
[438.80-441.04] 特別是說我們在中國大陸市場
[441.20-442.48] 這麼多年來
[443.04-443.92] 我剛才跟你們講
[444.08-446.08] 其實我們都是做主力的車廠
[446.24-448.80] 其實目前來講應該是比亞迪沒做而已
[448.96-450.72] 比亞迪比較可惜
[450.88-452.00] 因為比亞迪這個生產
[452.16-453.28] 它長期以來
[453.44-457.76] 它的公司的經營策略是以技術自主性為主
[457.92-459.20] 所以自主性為主
[459.36-465.04] 它會希望說把它的營運廠商變成它的partner
[465.20-468.88] 最後這個營運廠商的function就由它自己來取代
[469.04-472.00] 所以你們看看比亞迪的趨勢整合很高
[472.16-472.88] 比亞迪的趨勢整合很高
