[0.00-20.22] 欢迎各位投资先进参加台湾聚合化学品股份有限公司
[20.22-24.96] 即亚洲聚合股份有限公司联合法人说明会
[24.96-29.24] 首先为各位介绍今日与会的经营团队
[29.24-32.76] 亚洲聚合股份有限公司
[32.76-37.10] 即台湾聚合化学股份有限公司总经理
[37.10-39.32] 吴培基吴总经理
[39.32-43.26] 亚洲聚合股份有限公司
[43.26-47.04] 发言人黄克明业务处处长
[47.04-52.76] 以及张社川会计经理
[55.44-58.44] 台湾聚合化学品股份有限公司
[58.44-61.20] 发言人吴明忠业务副总
[61.20-65.38] 以及郭华涓会计经理
[65.38-71.44] 那就让我们先欢迎亚聚经营团队
[71.44-75.12] 就公司盈余以及财务状况来为我们进行简报
[75.12-75.52] 谢谢
[75.52-84.92] 各位投资
[84.92-87.60] 各位朋友
[87.60-88.08] 各位
[88.44-89.24] 媒体的朋友
[89.24-90.76] 各位先生各位女士
[90.76-95.56] 感谢大家获控来参加我今天的说明会
[95.56-99.04] 我是亚维范黄克明
[99.04-101.36] 那我开始今天的简报
[101.36-104.24] 首先第一我们看一下第一个联合声明
[104.24-107.08] 那这个请大家考虑一下
[107.08-109.64] 我今天要报道的
[109.64-110.60] 分为四个部分
[110.60-113.44] 首先公司的简介介绍
[113.44-116.20] 第二个盈余的概报和展望
[116.20-118.24] 还有大规模的参考
[118.44-119.96] 财务经理的报告
[119.96-121.32] 财务状况
[121.32-123.80] 那最后G1A的部分呢
[123.80-127.48] 统一等到全球区跟整体区的报告之后
[127.48-131.44] 由我们总经理主持G1A的部分
[131.44-137.56] 首先第一部分公司的简介与介绍
[137.56-139.92] 这个部分的
[139.92-143.08] 除了2024年的营业市
[143.08-144.48] 台币58.1%
[144.48-148.00] 合并的这个你说是60.3亿
[148.44-151.32] 其他的设计进行跟运动的说
[151.32-151.76] 还好
[151.76-152.72] 这个来讲
[152.72-153.72] 各位参考一下
[153.72-156.92] 我们的产能
[156.92-159.96] 这几年没有做太大变动
[159.96-162.16] 还是思考高压复苏
[162.16-164.16] 总产值15万吨
[164.16-166.16] 主要生产产品是LDP
[166.16-168.84] B2BA
[168.84-172.20] 那LDP的主要命令
[172.20-174.40] 在台湾
[174.40-176.64] 整个台湾的LDP市场
[176.64-177.32] 大概是11万吨左右的市场
[178.44-183.96] 那产品的层次非常大
[183.96-187.00] 那是从大概十来年起
[187.00-187.72] 台区这边
[187.72-190.28] 亚洲这边主要发展的产品
[190.28-193.80] 就这个产品的应用的中高端的
[193.80-194.72] 这种领主
[194.72-196.16] 那中高端的部分
[196.16-197.04] 大概有哪些
[197.04-199.60] 比如说食品包装
[199.60-202.20] 或者是电子产品的包装
[202.20-203.96] 包含
[203.96-207.52] 非常比如说去它的这个搭配啊
[207.52-208.12] 然后
[208.12-212.16] 手摇饮的这个杯子啊
[212.16-214.32] 这里面都会有云道产品
[214.32-216.52] 那另外在微产产品
[216.52-219.32] 包含我们图片上可以看到
[219.32-223.72] 比如说女生的这个卫生棉
[223.72-225.16] 或者是尿布
[225.16-227.44] 这些微产产品
[227.44-230.48] 那另外可能在包装品
[230.48-232.92] 那较高端的应用
[232.92-234.20] 比如说半导体包装
[234.20-236.04] 或者是一些保护膜
[236.04-237.64] 用在家庭的保护膜
[238.12-240.16] 特殊的这个兰材的保护膜
[240.16-242.32] 甚至用到光学用品
[242.32-245.28] 那也会用到多种产品
[245.28-247.52] 另外在医疗器械上面
[247.52-248.24] 我们这里可以看到
[248.24-249.44] 有些什么呼吸管的
[249.44-252.16] 我们会看也会用到的产品
[252.16-253.32] 那其他的
[253.32-255.64] 比较一般普通应用的
[255.64-258.48] 比如说我去市场上看到的这个
[258.48-259.12] 购物袋啊
[259.12-261.32] 这些基本上
[261.32-263.48] 大概在10多年前
[263.48-265.84] 因为中等原料比较便宜
[265.84-267.96] 所以很多国内的这样的应用
[268.12-270.16] 其实一般只能进口的料品
[270.16-273.76] 所以我们过去大多数只是保留这个
[273.76-277.56] 比较中方的应用为主
[277.56-279.16] 那医院的使用应用
[279.16-281.24] 这个应该大家也很熟悉
[281.24-283.36] 第一个在太阳云服装
[283.36-284.60] 过去战行的时候
[284.60-286.08] 就是很难掉落的
[286.08-289.48] 另外两处的这个主力发展的差别
[289.48-292.16] 就是医院的不复集的医院
[292.16-294.88] 那在一般比较传统的协产的应用
[294.88-296.40] 那这几年在协产方面
[296.40-298.08] 它也其实一直有一些
[298.12-299.48] 更新新的产品
[299.48-301.44] 它对产品的要求
[301.44-303.76] 对跟以往也有一些不一样
[303.76-307.96] 那我们过去大概一年多的时间
[307.96-311.40] 我们主力在发展的一个新的产品是
[311.40-312.84] 正在发展的这个
[312.84-314.04] 就是电线电缆
[314.04-315.52] 那电线电缆也有
[315.52-318.32] 普通的应用跟一些比较特殊
[318.32-319.80] 包含在高铁啊
[319.80-322.56] 机场这些比较特殊的应用
[322.56-325.48] 那么这个也是我们过去一来一来
[325.48-327.16] 我们的这样的
[327.16-328.12] 这个新的项目
[328.12-330.12] 我们的这个项目是
[330.12-332.36] 那这样看一下我们的营运
[332.36-333.76] 这样的分层化
[333.76-338.48] 首先我们来看一下我们的上游
[338.48-340.40] 原料包含乙烯
[340.40-341.60] 包含原油
[341.60-344.56] 在2024年的房型的回顾
[344.56-346.52] 那我们可以看一下
[346.52-351.68] 下面这张图是2022年到2024年的
[351.68-354.60] 这个乙烯还有原油
[354.60-358.08] 那这边的原油是O'Brent的原油价格
[358.12-361.44] 那乙烯是用东北亚的线温级的价格
[361.44-363.76] 大被坑止
[363.76-365.04] 看出这样的趋势
[365.04-367.52] 那基本上我们看一下2024年
[367.52-369.12] 在第一季的时候
[369.12-373.12] 因为这个国际的这个包含俄乌战争
[373.12-377.12] 包含中东形势的这几张
[377.12-378.88] 所以它在2024年的时候
[378.88-380.84] 其实原油价格是往上涨的
[380.84-383.72] 那在当时这个OPEC
[383.72-386.52] 这个它有一个延长
[386.52-388.00] 减长的这个
[388.12-388.88] 协议
[388.88-391.44] 所以它在第一季甚至到4月初的时候
[391.44-393.24] 原油价格其实是往上涨
[393.24-394.52] 那之后呢
[394.52-396.32] 就开始走跃
[396.32-398.36] 但是大家可以看到
[398.36-400.92] 这个蓝色的这条线
[400.92-404.50] 基本上它全年大部分的时间都还在每桶
[404.50-406.30] 70块以上的高位
[406.30-410.64] 只有好像少过的一两周它是得到69百多
[410.64-412.96] 所以大部分时间都是70块以上
[412.96-417.04] 那跟2023年度去比较其实原油价格
[417.04-418.08] 相对来讲是比较高的
[418.12-418.88] 比较平稳
[418.88-422.22] 也没有太大的波动
[422.22-425.28] 那乙烯的部分
[425.28-428.10] 乙烯的部分其实
[428.10-429.90] 它在去年
[429.90-432.46] 我们可以看一下这个紫色的线
[432.46-434.50] 乙烯的部分其实它相对于
[434.50-438.34] 前一年度来讲乙烯也是比较平滑的
[438.34-440.14] 最主要的
[440.14-441.42] 原因是因为
[441.42-443.72] 原油价格第一个在高位
[443.72-444.48] 第二个
[444.48-447.82] 大陆的石化厂它一直在扩充产能
[448.12-451.70] 它轻油裂解它要去买轻油
[451.70-456.06] 那所以它就对轻油的价格提供一个很强的支撑
[456.06-460.40] 那轻油的是因为是主要大部分
[460.40-461.18] 这个
[461.18-464.00] 我们看到轻油裂解厂的这个原料
[464.00-466.30] 那它的主要成本来源就是轻油
[466.30-469.62] 所以轻油下不来乙烯的成本也下不来
[469.62-471.42] 所以在2024年
[471.42-473.98] 我们乙烯的成本其实跟
[473.98-478.08] 2023年比较起来是略微增加了
[478.12-481.70] 那从
[481.70-484.26] 刚刚看到我们的上远的情况
[484.26-485.28] 刚刚发布的
[485.28-487.34] 这个稍微增加但是我们的
[487.34-490.16] 我们的售价
[490.16-495.78] 可以看到这边是2022年到2024年的这个我们厂的售价
[495.78-500.90] 下方的这个是一个是乙烯的价格一个是BM的价格
[500.90-507.04] 那上面的这四条线是EM的价格
[507.04-508.08] 那它这边
[508.12-514.00] 可以很明显的看到价格从2022年之后开始一路的往下滑
[514.00-515.80] 尤其在2024年
[515.80-516.56] 它在
[516.56-517.84] 第一季的时候
[517.84-519.38] 稍微有一点点
[519.38-520.92] 这个效果的反弹
[520.92-523.22] 然后到四月份之后
[523.22-525.52] 价格也一直都
[525.52-526.80] 被
[526.80-528.60] 承受比较大的压力
[528.60-532.44] 那到了第四季最近的时候价格才稍微的
[532.44-533.46] 反转
[533.46-535.52] 那里面呢
[535.52-536.54] 这个
[536.54-538.08] 红色这条线是
[538.12-542.22] 14%到20%的EBA的这个价格趋势
[542.22-545.04] 这边代表的主要是鞋产的价格
[545.04-546.82] 那
[546.82-548.88] 蓝色的这条线
[548.88-551.18] 这个是228到30%
[551.18-554.50] 这边代表的是热油胶以及
[554.50-556.80] 光伏还有
[556.80-559.36] 我们讲软音料的这个价格
[559.36-560.64] 这三条线
[560.64-565.26] 那这边呢另外一条绿色的线是我们
[565.26-568.08] 刚跟大家打发的就是我们主要的
[568.12-569.92] 想要发展的产品
[569.92-572.48] 就是Lavon grade post-covid grade
[572.48-573.50] EVA
[573.50-574.52] 他们之类的
[574.52-576.56] 这个价位
[576.56-581.44] 所以这边可以看得到说如果2024年的总价格跟2023年比较起来的话
[581.44-584.00] 这本价格其实是比2023年其实是
[584.00-587.58] 差蛮多的
[587.58-589.88] 那PE的部分呢
[589.88-592.44] 相较起来就好一点
[592.44-595.76] 那紫色这条线是仪器的价格
[595.76-597.56] 蓝色这条线是
[597.56-599.10] 通用级
[599.10-601.40] LDP的价格就是我刚刚提到的
[601.40-602.42] 过温模型
[602.42-604.72] 一般的应用的这个价格
[604.72-607.28] 那相较起来在2024年
[607.28-609.84] LDP的价格是相对比较便宜的
[609.84-612.92] 那通用级的价格大概是在
[612.92-616.00] 差不多1050到1050之间
[616.00-617.52] 那当然
[617.52-622.14] 不复期的甚至一些比较高的应用价格是比这个台湾来的高的
[622.14-624.18] 那相较的
[624.18-625.72] LDP的价格
[625.72-627.52] 就比预约来讲就没有承受到
[627.56-630.12] 很大的压力
[630.12-632.16] 好那我们来看一下我这部分
[632.16-634.22] LDP的部分
[634.22-638.32] LDP过去我们公司是以内销为主
[638.32-640.10] 那因为这几年
[640.10-644.72] LDP在内销销售上面相对来讲还是比较平稳的
[644.72-646.24] 但是在去年我们
[646.24-650.08] 做了一些在因为预约的状况不好的时候
[650.08-651.12] 做一些调整
[651.12-654.44] 所以LDP在2024年的销售表
[654.44-656.74] 是比较容易的成长
[656.74-657.52] 这个成长的部分
[657.52-659.56] 主要是在外销
[659.56-661.10] 那
[661.10-662.38] 另外就是说
[662.38-663.66] 这几年因为
[663.66-665.96] 中国大部分石化厂
[665.96-667.24] 拼命的在破产
[667.24-669.56] 那他们的破产其实
[669.56-671.86] 主要都是针对
[671.86-672.88] EP的部分
[672.88-675.96] 那LDP的这个
[675.96-677.24] 破产其实不多
[677.24-679.28] 那即使有破产
[679.28-680.56] 但也是在
[680.56-683.38] 通用模拟的这个应用在破产
[683.38-684.92] 那针对模拟的
