[0.00-1.58] 各位投资先进午安
[1.58-4.08] 欢迎参加新路投资控股
[4.08-5.48] 股份有限公司
[5.48-8.16] 2025年第一季度法人说明会
[8.16-10.28] 我是新路投控
[10.28-12.54] 投资人关系业务窗口庄雨萱
[12.54-15.62] 今天的会议由新路投控执行长
[15.62-16.78] 张芳心女士
[16.78-18.68] 及财务部副总经理
[18.68-21.50] 童雅静女士进行本次会议简报
[21.50-23.82] 会议将分为两大部分
[23.82-27.76] 首先进行2025年第一季度财务重点说明
[27.76-31.32] 并报告三大事业体营运成果及未来展望
[31.32-33.58] 第二部分为问答环节
[33.58-37.18] 有一位参与问答环节的投资人
[37.18-39.68] 可随时在直播画面右下角栏位
[39.68-40.74] 输入您的问题
[40.74-43.64] 我们将于整理问题后统一回复
[43.64-47.30] 本次会议简报已上传至直播平台
[47.30-48.94] 敬请各位前往下载
[48.94-52.08] 另外提醒本次会议为全程录音
[52.08-55.80] 将于会后上传至公开资讯观测站
[55.80-62.44] 敬请各位投资先进阅读免责声明
[69.14-72.06] 现在有请新路投控财务部
[72.06-74.88] 童雅静副总为我们进行简报
[74.88-77.48] 谢谢雨萱
[77.48-81.96] 关于新路投控第一季的营运成果
[81.96-84.04] 在合并营收上
[84.04-85.78] 我们第一季的合并营运成果
[85.80-88.42] 营收是74.03亿元
[88.42-90.88] 跟去年同期相比
[90.88-94.26] 营收是增加了20%
[94.26-97.12] 那在毛利及毛利率的部分
[97.12-101.08] 受到这个主要是环境工程
[101.08-103.10] 及水资源处理事业这边
[103.10-106.26] 营收带动的这个整体毛利有增加
[106.26-109.76] 那在毛利率上跟去年同期相比
[109.76-112.30] 我们也增加了1.1个百分点
[112.30-114.86] 在营业费用上
[115.06-115.14] 我们的营业费用上
[115.14-115.18] 我们的营业费用上
[115.18-115.78] 我们的营业费用上
[115.78-120.12] 整体的费用跟去年同期相比是增加了
[120.12-124.04] 这个是随着我们整体投资组合的扩大
[124.04-126.66] 在第一季营收增长下
[126.66-128.32] 跟着成长的费用
[128.32-130.80] 那但是在费用率上
[130.80-133.96] 第一季的费用率是7.4%
[133.96-138.28] 跟去年同期的这个8.1%相比
[138.28-141.18] 整个营业费用的费用率是下降的
[141.18-144.72] 那在业外收支金额上
[144.72-145.76] 我们第一季的费用率是7.4%
[145.78-147.70] 第一季的这个业外收支
[147.70-150.94] 跟去年同期相比是减少的
[150.94-154.14] 那这个主要是来自于去年同期
[154.14-156.62] 我们有出售投资性不动产
[156.62-160.74] 有一个大约5800万的一次性的利益
[160.74-163.18] 那另外在今年第一季
[163.18-166.38] 我们这边持续投资在这个环境工程
[166.38-169.32] 以及不动产开发这边的这个新建上
[169.32-172.08] 那在财务成本上也有增加
[172.08-175.72] 整体而言第一季的营业经历是
[175.72-177.08] 2.04亿元
[177.08-179.78] 税后经历是0.4亿元
[179.78-183.96] 那关于整体营收组合
[183.96-186.28] 这个营收组合的部分
[186.28-189.90] 那我们第一季各个事业体
[189.90-193.18] 这边随着投资时程的不同
[193.18-196.20] 他们各自的这个营收是各有增减
[196.20-199.60] 那但是反映在整体合并营收上
[199.60-201.88] 我们有看到一个健康
[201.88-203.48] 蛮稳健的一个成长
[203.48-205.70] 其中在这个环境上
[205.72-209.48] 在这个环境工程及水资源处理事业这边
[209.48-213.84] 我们第一季受到这个新专案的持续成长
[213.84-216.22] 那主要在城西焚化炉
[216.22-219.22] 以及桥头再生水厂这边呢
[219.22-222.04] 持续投入这个新建的工程
[222.04-224.48] 所以整体营收跟去年同期相比
[224.48-227.08] 是增加了124%
[227.08-229.36] 有29亿元的营收
[229.36-232.32] 那在不动产开发这边
[232.32-235.24] 我们今年的预收完工交屋期
[235.24-237.36] 是安排在下半年
[237.36-239.44] 那第一季这边的营收
[239.44-241.96] 主要会是来自城屋的销售
[241.96-245.92] 以及其他不动产开发相关的这个营收
[245.92-250.86] 那营收总第一季的金额是4.18亿元
[250.86-254.16] 那另外在这个营建工程这边
[254.16-258.18] 这个是一个我们蛮稳健成长的一个事业体
[258.18-262.12] 营收跟去年第一季相比有微幅的增长
[262.12-265.22] 那总金额是47.87亿元
[265.24-270.20] 再来在这个获利上面
[270.20-275.06] 这个环境工程及水资源处理这边的
[275.06-277.78] 因为这个整个收入有大幅的增长
[277.78-281.94] 在第一季的这个净利上是有增加的
[281.94-284.32] 有2亿元的这个净利
[284.32-288.74] 那在这个不动的营建工程这边呢
[288.74-291.58] 那我们的这个营收组合的毛利率
[291.58-294.58] 跟去年同期相比也是比较好的
[295.24-298.28] 那所以这个净利有成长
[298.28-301.00] 那另外在不动产开发这边
[301.00-306.48] 我们在第一季是有1.76亿元的这个亏损
[306.48-308.74] 那跟去年同期相比呢
[308.74-311.56] 主要是第一个就是前面有提到
[311.56-316.66] 我们去年有一个一次性的投资性不动产的出售利益
[316.66-320.32] 那另外就是我们台湾这边房地的销售
[320.32-325.10] 在第一季这边的销售毛利是比较少的
[325.24-329.24] 所以跟去年同期相比有一个差异
[329.24-333.04] 那以上是这个关于损益的部分
[333.04-335.54] 接下来关于这个资产负债表的部分
[335.54-338.94] 我想要说明一下这个资产总额
[338.94-341.16] 那我们第一季这边呢
[341.16-343.08] 跟去年年底相比
[343.08-347.44] 整个合并的资产总额是增加了大约36亿元
[347.44-350.82] 其中主要来自于第一个这个存货的部分
[350.82-355.08] 这边是我们持续投入在这个不动产开发事业之后的负债表的部分
[355.24-360.34] 那我们在这个房地这边的包括这个新的营建用地
[360.34-361.90] 这个推案用的土地
[361.90-368.12] 我们在去年年底有取得在台中14期这边的周期段土地
[368.12-370.94] 那这个在第一季的时候转入了存货
[370.94-375.94] 那另外在这个再建房地这边我们也是持续投入
