[0.00-4.00] 各位投資先進
[4.00-5.00] 大家好
[5.00-8.20] 今天很高興能夠邀請到
[8.20-9.80] 主任編輯來幫我們
[9.80-11.88] 就是今天來參與今天的論壇
[11.88-14.08] 首先跟大家介紹一下今天
[14.08-15.60] 今天會的
[15.60-16.36] 團隊
[16.36-19.12] 首先是詹議員詹處長
[19.12-21.60] 各位投資先進大家好
[21.60-25.82] 江亮年
[25.82-28.02] 各位朋友大家好
[28.02-29.44] 謝謝
[29.44-33.44] 沈水晶
[33.44-35.44] OK
[35.44-38.44] 石油漿
[38.44-39.44] 請
[39.44-42.44] 各位投資先進大家下午好
[42.44-44.44] 接下來由我來為各位說明一下
[44.44-49.44] 我們公司的簡報內容
[49.44-52.44] 首先做公司簡介介紹
[52.44-56.44] 本公司是成立於1968年9月
[56.44-59.44] 到目前為止已經建滿了56年
[59.44-63.44] 總部位於台北市南港軟體工業園區
[63.44-66.44] 股票於1994年
[66.44-69.44] 台灣證券所掛牌交易上市
[69.44-72.44] 股票代碼是1514
[72.44-78.44] 目前實收資本額是26億7587萬
[78.44-80.44] 這個是截至到
[80.44-84.44] 2月12號為止的
[84.44-87.44] 我們公司有在資本市場發行的公司是
[87.44-88.44] 在資本市場發行的公司是
[89.44-91.44] 我們兩次可轉換公司在
[91.44-96.44] 第一次是在2023年8月的時候發行
[96.44-100.44] 那時候的轉換價是67塊
[100.44-105.44] 有認購的人大概99%都已經轉成股票了
[105.44-109.44] 這個部分
[109.44-114.44] 如果各位投資先進剛好手上還沒有轉換掉的
[114.44-118.44] 因為我們根據名冊上大概還有6位還沒轉掉
[118.44-121.44] 那記得在4月7號以前一定要轉掉
[121.44-126.44] 因為我們4月8號以後就會終止這個交易
[126.44-129.44] 目前只剩28張
[129.44-130.44] 剩很少
[130.44-134.44] 但是如果剛好有人在的話還是提醒一下
[134.44-138.44] 不然到時候會被用100塊面額收回
[138.44-143.44] 因為其實現在交易好像大概170上下
[143.44-145.44] 所以特別提醒一下
[145.44-147.44] 第二次公司在發行是
[148.44-149.44] 12億
[149.44-154.44] 在今年的1月發行1月13號掛牌
[154.44-157.44] 目前有一些的交易
[157.44-161.44] 大概目前成交大概110上下
[161.44-166.44] 我們公司員工人數是700人
[166.44-168.44] 大約是700人
[168.44-172.44] 我們主要的生產基地包括
[172.44-175.44] 台灣楊梅廠的部分
[175.44-176.44] 這個後來都加台灣
[176.44-177.44] 因為
[178.44-184.44] 後來蠻多外資會來做訪問
[184.44-187.44] 他們會問說楊梅是在哪一國
[187.44-189.44] 新莊在哪一國
[189.44-190.44] 後來乾脆都加台灣
[190.44-192.44] 這樣比較清楚
[192.44-198.44] 我們台灣楊梅廠大概是11000坪左右
[198.44-200.44] 大概30年前買的
[200.44-203.44] 其實我們的發源是在新莊廠
[203.44-207.44] 50幾年前買的3600坪
[208.44-210.44] 那時候買的時候
[210.44-214.44] 單價一坪土地大概是2500塊台幣
[214.44-217.44] 現在大概聽說那邊附近溫宅郡
[217.44-219.44] 大概成交到50萬
[219.44-221.44] 所以大概光是那個土地
[221.44-224.44] 大概成長了200倍的價值
[224.44-229.44] 楊梅廠的時候那時候買差不多一坪是1000塊
[229.44-234.44] 我們最近因為楊梅廠大概也是增建的
[234.44-237.44] 差不多都快用滿了
[237.44-240.44] 所以我們在附近有買一個碧林地
[240.44-243.44] 剛好它旁邊有符合政府
[243.44-249.44] 接受碧林地申請變更成工業用地的標準
[249.44-252.44] 所以我們又買了4500坪的碧林地
[252.44-255.44] 但是因為有牽扯到一點山坡地的問題
[255.44-257.44] 所以要做一些水土保持
[257.44-262.44] 之後我們也是一年前買的
[262.44-265.44] 整個整理大概兩年多的時間
[265.44-267.44] 預計是明年
[267.44-270.44] 所以我們有一個Q1可以把它變更成工業用地
[270.44-273.44] 大概會增加我們的一些廠房的使用面積
[273.44-279.44] 楊梅廠主要我們就是重電的部分
[279.44-281.44] 包括配電盤
[281.44-285.44] 配電盤包括中置櫃高低壓盤MCC還有GIS
[285.44-290.44] 變壓器一廠生產是磨塑型變壓器
[290.44-293.44] 油進式變壓器還有非精子變壓器
[293.44-295.44] 變壓器二廠是主要生產台電用的
[295.44-296.44] 還有電池用的
[297.44-300.44] 還有半導體用的電壓器
[300.44-306.44] 電材廠主要就是生產強韌電網用的相關輸配電器材
[306.44-311.44] 新裝廠的部分主要是做一些電力電子的產品
[311.44-314.44] 包括通訊電源系統SM
[314.44-318.44] 三項不斷電的系統UPS
[318.44-321.44] 太陽光電流器PV Inverter
[321.44-323.44] 還有電動大巴電動車
[323.44-326.44] 還有軌道車輛用的充電機
[327.44-330.44] 另外還有新開發的一些四導體
[330.44-331.44] 副導體的間隔器
[331.44-334.44] 這個是用在超高壓架空線路
[334.44-338.44] 也是高壓電塔上面在使用的間隔器
[338.44-341.44] 那這個部分等一下我們那個業務處長
[341.44-344.44] 他會再做比較詳細的補充
[344.44-347.44] 讓各位了解這個電網的用途
[347.44-350.44] 另外是矽質廠
[350.44-353.44] 這是我們百分之百投資的子公司
[353.44-354.44] 雅瑞科技
[354.44-355.44] 那它主要生產特定用途的補充器是
[355.44-358.44] 它主要生產特定用途的不斷電系統
[358.44-360.44] 那所謂特定用途
[360.44-362.44] 因為它有一些利基產品
[362.44-365.44] 就是用在比較特殊的地方
[365.44-368.44] 比如像那個USA裡面
[368.44-371.44] 有一個大廈叫五甲大廈
[371.44-375.44] 他們也跟我們採購一些特定用的不斷電系統
[375.44-383.44] 那我們的產品主要最大的還是配電盤
[383.44-384.44] 因為我們
[385.44-387.44] 算是配電盤
[387.44-390.44] 之前外資有來參觀過我們工廠
[390.44-391.44] 他說
[391.44-394.44] 他看過我們同業的配電盤廠
[394.44-397.44] 他說我們配電盤應該算是
[397.44-399.44] 世雄裡面的一個
[399.44-402.44] 就是說我們配電盤裡面應該是
[402.44-405.44] 跟其他比起來算是規模最大的
[405.44-409.44] 那我們營收比重也是占最大
[409.44-411.44] 那接下來
[411.44-414.44] 去年基電工程也占不少
[414.44-417.44] 那第二是電力電子
[417.44-420.44] 這個部分就是剛剛新專廠生產的部分
[420.44-423.44] 因為包括的項目還蠻多的
[423.44-426.44] 都把它歸類在電力電子這一方面
[426.44-428.44] 那輸配電氣廠
[428.44-431.44] 那這個比例各位可以自行參閱一下
[435.44-437.44] 主題是市場需求
[437.44-441.44] 那我們公司的產品主要是用在這幾方面
[441.44-443.44] 就是電力能源市場需求
[443.44-445.44] 包括強韌電網的相關設備
[445.44-447.44] 還有它的統包工程
[447.44-450.44] 然後第二是資訊資通訊市場的需求
[450.44-452.44] 包括雲端IDC
[452.44-454.44] 還有未來的AI機房
[454.44-458.44] 5G 6G的機房電源保護
[458.44-461.44] 然後第三是
[461.44-464.44] 半導體光電高科技廠的建廠需求
[464.44-467.44] 第四是電廠
[467.44-470.44] 石化鋼鐵還有公共工程的需求
[470.44-472.44] 第五是軌道工業的建置
[472.44-473.44] 第六是電力電子的建設
[473.44-477.44] 那這個軌道工業包括台鐵捷運高鐵輕軌
[477.44-480.44] 等等相關的設備還有它的工程
[480.44-482.44] 這個後面會
[482.44-484.44] 大家看一下
[484.44-487.44] 我們主要的客戶大概就了解了
[487.44-491.44] 就是主題五就是主要的需求的客戶
[491.44-493.44] 我們把它分成公用
[493.44-497.44] 公用事業高科技產業還有大型產業
[497.44-499.44] 以及通訊市場
[499.44-502.44] 那主要的客戶就是臺灣電力公司
[502.44-504.44] 算是一時覆沒
[504.44-509.44] 就是算是我們營收佔比最大的單一客戶
[509.44-511.44] 第二是
[511.44-513.44] 桃園國際機廠
[513.44-516.44] 還有高鐵台鐵捷運輕軌
[516.44-519.44] 那這四鐵都是我們的客戶
[519.44-523.44] 那高科技的部分主要是TSMC
[523.44-526.44] 台積電聯電光望紅
[526.44-530.44] 大型有中鋼中油台泥
[530.44-531.44] 集團有聯華實業
[531.44-534.44] 長榮集團台塑集團
[534.44-537.44] 那後面增加的有新能源
[537.44-539.44] 就是宏德能源
[539.44-540.44] 大能源
[540.44-542.44] 這個能源相關的客戶
[542.44-545.44] 那通訊市場就是前幾大
[545.44-546.44] 包括中華電信
[546.44-548.44] 臺灣大哥大還有遠傳
[548.44-550.44] 這個都是我們的重要客戶
[550.44-556.44] 那主題六是技術及研發
[556.44-558.44] 包括五大領域
[558.44-560.44] 領域一就是
[560.44-564.44] 台電強韌電網計劃的需求
[564.44-566.44] 那這個部分
[566.44-569.44] 就是主要推動產品是
[569.44-573.44] 包括自動四路氣縫開關2B2S
[573.44-576.44] 這包括簡易型標準型
[576.44-579.44] 那近年來及未來十年
[579.44-581.44] 在配電匱限自動化
[581.44-584.44] 開關產品開發成功
[584.44-587.44] 每年都可以取得台電及東南亞
[587.44-589.44] 大概十億以上的訂單
[590.44-595.44] 這個是二位的部分
[595.44-601.44] 這個是用在那個開關電網的開關
[601.44-604.44] 然後第二是包括
[604.44-607.44] 變壓器二廠新建完成之後
[607.44-609.44] 預計每年可以取得
[609.44-611.44] 改良型及型製式的變壓器
[611.44-614.44] 大概十到十五億的訂單
[614.44-618.44] 第三是氣體結原變電站GIS
[618.44-619.44] 亞利及
[619.44-622.44] 關聯企業每年可以取得
[622.44-624.44] 十到十五億的訂單
[624.44-626.44] 而且逐年上升
[626.44-628.44] 這個主要是我們有投資一家
[628.44-630.44] 叫日亞電機
[630.44-632.44] 投資佔百分之三十
[632.44-635.44] 那他大概
[635.44-640.44] 他現在每年貢獻給我們
[640.44-642.44] 大概至少有
[642.44-644.44] 因為他一年大概做二十億
[644.44-646.44] 然後大概賺兩億多
[646.44-648.44] 大概每年可以貢獻我們
[648.44-651.44] 大概六千萬左右的業外收入
[651.44-655.44] 我們一般的轉投資
[655.44-658.44] 各位如果有注意到我們財報的訊息
[658.44-661.44] 我們轉投資大部分都跟我們公司
[661.44-663.44] 電力產品有相關的
[663.44-667.44] 第四是已經取得
[667.44-668.44] 竹園的Stake Home
[668.44-670.44] 同胞工整二十億
[670.44-672.44] 那未來還有八所
[672.44-677.44] 規格從200MVA到300MVA
[677.44-681.44] 那我們這次取得的是200MVA
[681.44-685.44] 那金額是二十億
[685.44-687.44] 但是八所的話
[687.44-690.44] 因為300MVA大概估計大概三十億
[690.44-694.44] 那總金額大概是兩百億的市場需求
[694.44-696.44] 那這邊可以順道提一下
[696.44-704.44] 就是最近有一個龍潭的Stake Home要開標
[704.44-707.44] 那政府的預算金額是二十四億
[707.44-710.44] 那這個是比較新的訊息
[710.44-714.44] 預計是後天會投標
[718.44-720.44] 那我們公司當然是有參與
[720.44-723.44] 因為我們就是我們做的過程
[723.44-726.44] 台電算是還蠻肯定的
[726.44-729.44] 所以我們也有參與後續的建設
[729.44-731.44] 那領域二
[731.44-736.44] 就是太陽光電變流器及光電工程
[736.44-739.44] 那對本公司業績的影響就是
[739.44-746.44] 政府在2025年要建置二十幾大萬太陽光電
[746.44-749.44] 那會帶動逐年營業的高成長
[749.44-754.44] 那亞利除了開發大容量PP Inverter以外
[754.44-758.44] 也帶動光還有儲能及微電網的雙吸
[758.44-761.44] 那這個部分我們也是就持續在進行
[761.44-765.44] 那領域三的部分是軌道工業
[765.44-769.44] 這個是我們跟同業比較有點差異的
[769.44-775.44] 就是因為我們亞利算是最早進入相關領域
[775.44-778.44] 因為我們跟日亞電日亞信號
[778.44-781.44] 日本信號日本信號它
