[0.00-13.30] 各位投资先进午安
[13.30-14.68] 欢迎各位参加
[14.68-16.96] 威风科技法人说明会
[16.96-24.98] 现在为各位介绍
[24.98-26.14] 与会经营团队
[26.14-28.46] 陈鸿文财务长
[28.46-30.24] 大家好
[30.24-34.54] 张惠能产品管理处处长
[34.54-35.70] 大家好
[35.70-51.60] 首先我想谢谢各位投资人
[51.60-53.00] 来参加威风电子
[53.00-55.32] 今年的2025年的
[55.32-57.30] 第一季的法人说明会
[57.30-58.44] 我想等一下
[58.44-60.46] 进行的这个步骤
[60.46-63.76] 大概是由我们这边的财务经理
[63.76-65.12] 财务经理杰森
[65.12-66.70] 来跟各位报告一下
[66.70-68.80] 整个2025年的Q1的
[68.80-70.38] 实际的营运的结果
[70.38-72.56] 然后另外再来就是
[72.56-75.04] 由我们这个市场经销部的处长
[75.04-76.06] 张惠能
[76.06-79.08] 来帮我们介绍整个市场的概况
[79.08-80.96] 还有新产品的介绍
[80.96-84.18] 再来就是有关的Q&A
[84.18-86.80] 好我们现在就开始来进行
[86.80-87.32] 谢谢
[87.32-87.62] 谢谢
[88.44-93.16] 那各位与会的投资先进法人朋友
[93.16-94.44] 大家好
[94.44-96.68] 那首先我们透过这次的法术会
[96.68-98.24] 跟各位说明威风电子
[98.24-101.48] 在2025年第一季的营运情形
[101.48-103.88] 首先我们可以看到第一季的
[103.88-108.40] 个月的营收是坐在1.2亿到1.4亿之间
[108.40-112.12] 那累计到Q1营收约3.9亿新台币
[112.12-116.08] 4月份的营收日前已经公告是1.52亿台币
[116.08-117.56] 那相较于3月份
[117.56-118.28] 有20%的营收率
[118.28-120.96] 有20%的一个增长
[120.96-124.24] 那整体在2025年的营收的趋势
[124.24-126.60] 从目前看起来跟2024年
[126.60-128.88] 差不多也是接近
[128.88-131.80] 那接下来是财务报表的部分
[131.80-136.04] 第一季我们美金营收是做到约11.8个美元美金
[136.04-137.32] 那换算
[137.32-140.40] 台币约新台币3.9亿元左右
[140.40-143.68] 相较于去年的同期跟水准接近
[143.68-145.72] 那相较于去年第四季
[145.72-148.28] 则有6%的成长率
[148.28-150.64] 至于毛利率的部分
[150.64-152.88] 第一季的毛利率是54%
[152.88-156.12] 跟去年Q4差异不大
[156.12-158.20] 那相较于去年同期
[158.20-160.64] 则有一个比较明显的一个增加
[160.64-163.40] 那这部分毛利率的一个变动
[163.40-165.56] 主要是受到目前存货水位
[165.56-170.00] 还有一个存货评价的影响来变动
[170.00-172.88] 至于整体营业费用OPES的部分
[172.88-175.64] 这边一季大概都是落到2亿元上下
[175.64-178.00] 这个部分并没有太大的影响
[178.28-180.32] 一个差异的情形
[180.32-181.84] 整体来说
[181.84-184.28] 第一季的本业市小幅度
[184.28-187.08] 推崇约新台币820万元
[187.08-190.44] 那可以看到说亏损相较于去年同期
[190.44-194.52] 还有上个季度都已经有明显的一个收敛
[194.52-198.40] 业外的部分约新台币2000万左右
[198.40-201.68] 那这个部分主要是来自于金融商品的一个评价利益
[201.68-206.64] 还有一个高利率的低定存低息
[206.64-207.92] 整体归属于
[208.28-210.00] 公司的一个经历的部分
[210.00-211.40] 约新台币1600万
[211.40-213.40] 那巴通纳约0.23元
[213.40-217.60] 接下来我们汇总近5季的一个营运的表现
[217.60-223.00] 过去5个季度平均营收大概都落到3.6亿到5亿之间
[223.00-228.24] 那这个部分主要是受到季节性还有终端需求的一个调节的影响
[228.24-232.08] 那我们原本预期2025年的一个整体的需求
[232.08-235.68] 会慢慢回到过去季节性的一个增长的一个步调
[235.68-238.24] 不过在目前Q2的一个时期之间
[238.28-241.40] 股市的幅度还有下半年收到关税不确定性的影响
[241.40-247.20] 下半年整个营收的变数会比较不可预期
[247.20-250.76] 那至于过去5个季度跟EPS的汇总
[250.76-252.44] 可以看到说虽然Q1的
[252.44-257.12] Q1的营收跟毛利率没有太大的一个衰退
[257.12-259.92] 但是在EPS跟净利的表现上是
[259.92-261.88] 看着过去几个季度下降
[261.88-265.00] 那这个部分的主要原因就是
[265.00-268.28] Q1的整个业外的贡献一定不是太
