[0.00-14.00] OK Good afternoon everyone and welcome to the Lotus Pharmaceuticals 2024 Ernst Co.
[14.00-20.00] This is Yoling from Corporate Communication of Lotus and thank you for joining us today.
[20.00-28.00] So on today's call, we are pleased to have our CEO Petah and our group CFO Beata here with us.
[28.00-37.00] They will provide insight into a strong result we have achieved in 2024 and share updates on the progress of our team initiatives.
[37.00-50.00] So we encourage you to submit any questions you may have through the online platform and anytime you read the code, then I will read your questions to management during the Q&A session.
[50.00-57.00] So now I'd like to turn the code over to Petah who will begin with an overview of the 2024.
[57.00-58.00] Petah, please.
[58.00-72.00] Thank you and good afternoon also from me. Good afternoon to all shareholders attending the meetings as well as everyone else interested in Lotus Pharmaceuticals.
[72.00-78.00] And special thanks to our hosts from Uanta for organizing the event.
[78.00-83.00] Agenda for today we have three sections in our presentation.
[83.00-87.00] I'll start first with the business highlights for last year obviously.
[87.00-88.00] And then we will go through the business highlights for the next year.
[88.00-94.00] And then we will continue with more in depth information on the financials for 2024.
[94.00-101.00] And then I will finish presentation with the business outlook for 2025.
[101.00-105.00] And this will be followed by Q&A section.
[105.00-110.00] So starting with the business highlights for 2024.
[110.00-117.00] I'm very happy to have the opportunity to report today that Lotus has delivered amazing in case.
[117.00-122.00] Amazing results for 2024.
[122.00-128.00] So 2024 has been so far the best year in our history.
[128.00-137.00] So for the six consecutive year we have delivered double digit growth both on the top line as well as on the earnings.
[137.00-143.00] Last year in 2024 we reached out revenue of 18.6 billion US dollars which is representing 10% in real growth.
[143.00-146.00] And we have also achieved a lot of growth in the last year.
[146.00-157.00] And EPS of 19.35 which is representing 23% year on year growth.
[157.00-165.00] We have also finished year with significant amount of cash.
[165.00-172.00] 6 billion NT dollars and also a similar amount in committed borrowing capacity.
[172.00-175.00] The company is average less than 1.5 billion US dollars.
[175.00-186.00] And with a bit of margin of 40%-42% which is on the higher side for the industry compared to industry peers.
[186.00-197.00] This everything provides very strong foundation for future growth which I would like to highlight here will come not only organically through growing existing business as well as launching internally developed product but inorganically.
[197.00-199.00] And then in the next two years we will also be able to expand our business.
[199.00-201.00] So I would like to say thank you very much to all of you for your hard work.
[201.00-202.00] Thank you very much.
[202.00-203.00] Thank you very much.
[203.00-204.00] Thank you.
[205.00-206.00] We have also achieved a lot of growth in the last eight years.
[206.00-208.00] Judging from the Sciences and Water Resources analysis,
[208.00-210.00] we achieved huge growth in both management and products.
[210.00-211.00] With a lot of entries into banking applications,
[211.00-215.00] vitamins and Kindle,
[215.00-216.00] d estrements,
[216.00-217.00] paddy synthesis,
[217.00-218.00] meters,
[218.00-218.92] the
[220.40-221.40] health connections,
[223.00-224.00] 户面,
[224.00-226.00] ugg,
[226.00-227.00] wokin,
[227.00-228.00] climates,
[229.00-230.00] compatibility,
[230.00-231.00] consumption statement,
[231.00-232.00] emeetry change,
[232.00-233.00] neurom笔,
[233.00-236.00] 我们的生意在2024年
[236.00-239.00] 亚洲生意成功
[242.00-243.00] 对不起
[245.00-247.00] 所以在2024年
[247.00-249.00] 我们的生意在亚洲成功
[249.00-251.00] 5%的年龄增长
[251.00-254.00] 年龄增长的最大贡献者
[254.00-256.00] 是时间市场
[256.00-260.00] 当然是由于Taba的购买
[260.00-262.00] 我们在2024年中
[262.00-265.00] 成立了生意购买
[267.00-270.00] 我们在1月1日开始
[270.00-272.00] 成立了生意购买
[272.00-274.00] 我们在1月1日开始
[274.00-276.00] 成立了生意购买
[276.00-279.00] 我们在5月份成立了Taba
[281.00-284.00] 这是一个领域成功的生意
[284.00-286.00] 我们目前看到的
[286.00-288.00] 从我们从事生意购买到
[288.00-289.00] 是超过我们的期望
[289.00-290.00] 也超过了生意购买
[290.00-292.00] 我们已经承诺了
[292.00-293.00] 这件事
[293.00-296.00] 是由Lotus的管理人员执行
[296.00-298.00] 执行的
[298.00-300.00] 在韩国我们也看到了
[300.00-302.00] 非常好的成果
[302.00-304.00] 特别是从我们的主要品牌
[304.00-306.00] 比如Cusimia
[306.00-307.00] Mercellon
[307.00-308.00] Vivista
[308.00-311.00] 这些都增加了我们的期望
[311.00-313.00] 这些都增加了我们的期望
[313.00-315.00] 台湾我们也看到了
[315.00-317.00] 非常好的成果
[317.00-319.00] 从主要品牌的产品
[319.00-321.00] 也有很强的出口
[321.00-324.00] 从台湾的品牌的原子设施
[324.00-326.00] 也有很强的出口
[326.00-328.00] 所以整体上
[328.00-331.00] 台湾的生意进步非常好
[331.00-333.00] 我们在台湾的整体上
[333.00-336.00] 开发了66个SQ
[336.00-338.00] 这当然是为了
[338.00-340.00] 未来的增长
[340.00-341.00] 在全球市场上
[341.00-342.00] 韩国台湾
[342.00-344.00] 以及南南亚
[344.00-345.00] export business
[345.00-346.00] export business
[346.00-348.00] 是我们的
[348.00-350.00] 最强的增长轮廓
[350.00-352.00] 在2024年
[352.00-354.00] 成为了15%的年年增长
[354.00-356.00] 主要的贡献者
[356.00-358.00] 当然是在美国
[358.00-360.00] 是Lanardomide
[360.00-362.00] Lanardomide的下降
[362.00-364.00] 是Buprenorphine
[364.00-366.00] 和Naroxone
[366.00-368.00] 我们在前面的会议中
[368.00-370.00] 通过了这些消息
[370.00-372.00] 我们没有预期
[372.00-374.00] Buprenorphine和Naroxone的下降
[374.00-376.00] 尤其是在德尔明斯
[376.00-378.00] 因为它是一个相当
[378.00-380.00] 高的高价品
[380.00-382.00] 所以Lanardomide
[382.00-384.00] 有很大的销售
[384.00-386.00] 和增长的销售
[386.00-388.00] 当然是在高价的
[388.00-390.00] Buprenorphine和Naroxone
[390.00-392.00] 的下降
[392.00-394.00] 在2024年
[394.00-396.00] 在 export markets
[396.00-398.00] 我们在2021年
[398.00-400.00] 总共发布了
[400.00-402.00] 21个SQ
[402.00-404.00] 这当然是在美国市场外
[404.00-406.00] 也在增长的预期上
[406.00-408.00] 有所增长
[408.00-410.00] 所以我们在2024年
