[0.00-2.72] 欢迎参加维影科技线上座谈会
[2.72-5.32] 我是本次会议主持人花旗的Carrie
[5.32-6.98] 主要负责电子下游研究
[6.98-10.44] 今天我们很荣幸邀请到维影的财务长Carrie
[10.44-12.62] 以及IR团队的Nathalie与会
[12.62-14.14] 在接下来的时间
[14.14-18.18] Nathalie将先针对2024年财务表现做说明
[18.18-22.56] 接着财务长Carrie将会针对公司的营运状况
[22.56-25.24] 以及未来展望分享她的看法
[25.24-28.10] 最后我们会开放线上投资人提问
[28.10-30.78] 现在我就先把时间交给Nathalie
[30.78-31.96] Nathalie请开始
[31.96-34.66] 各位投资先进大家好
[34.66-35.32] 我是Nathalie
[35.32-38.60] 那由我先简单说明2024年的财务报告
[38.60-40.76] 2024年第四季
[40.76-45.30] 维影合并营收达新台币1156.14亿元
[45.30-47.60] 年增97.5%
[47.60-50.46] 营业经历为81.31亿元
[50.46-53.52] 确前经历为87.82亿元
[53.52-56.62] 最后经历为70.47亿元
[56.62-61.02] 毛利率年减1.6个百分点至9.4%
[61.02-65.42] 营益率年减0.9个百分点至7.0%
[65.42-70.06] 税后经历率年增0.1个百分点至6.1%
[70.06-73.32] 基本每股营益为37.92元
[73.32-76.44] 高于去年同期的20.10元
[76.44-80.60] 受惠通用制服器与AI制服器需求旺盛
[80.60-82.88] 第四季合并营收获利
[82.88-85.74] 基本每股营益均创历史新高
[86.62-92.26] 2024年度合并营收达新台币3605.41亿元
[92.26-94.42] 年增49%
[94.42-98.66] 毛利率年增1.0个百分点至10.4%
[98.66-103.10] 营益率年增1.2个百分点至7.8%
[103.10-106.72] 税后经历为227.76亿元
[106.72-111.18] 税后经历率年增1.3个百分点至6.3%
[111.18-114.60] 基本每股营益为126.57元
[114.60-115.06] 2024年度合并营收达新台币3605.41亿元
[115.06-115.22] 年增49%
[115.22-117.70] 2024年度合并营收获利
[117.70-118.90] 基本每股营益
[118.90-123.02] 即毛利率营益率税后经历率均创历史新高
[123.02-128.32] 2月27日董事会通过113年度营益分配案
[128.32-135.96] 以分配现金股利新台币137亿5221万8534元
[135.96-139.66] 配发现金股利每股新台币74元
[139.66-145.20] 并决于于2025年5月29日召开114年股利新台币137亿5221万8534元
[145.22-145.98] 以通常会
[145.98-150.36] 此外因应近期国际情势之不确定性
[150.36-153.88] 即应对全球供应链重组之变化
[153.88-159.58] 董事会通过增资美国子公司WYMUS每金三亿元
[159.58-162.52] 用于美国德州新购置厂房
[162.52-164.62] 即其建设所需
[164.62-168.72] 并通过南部科学园区新建厂办大楼
[168.72-170.92] 至资本支出预算额度
[170.92-173.38] 提高至新台币80亿元
[173.38-175.20] 持续完备全球市场
[175.22-176.74] 生产与交付能力
[176.74-179.34] 公司看好资料中心
[179.34-181.98] 市场长期需求成长
[181.98-188.12] 持续投资深化AI运算与散热等相关技术产品开发
[188.12-191.42] 公司亦将弹性调配全球产能
