[0.00-9.10] 各位投资先进午安
[9.10-12.06] 欢迎各位参加一光电子法人说明会
[12.06-15.16] 现在介绍与会经营团队
[15.16-18.64] 苏洪彦执行副总
[18.64-23.90] 卢俊佑财快中心处长
[23.90-27.62] 接下来把时间交给经营团队
[27.62-28.08] 谢谢
[30.00-58.20] 我们请经营团队
[58.20-59.18] 开一下麦克风
[59.18-59.46] 谢谢
[59.46-59.80] 谢谢
[60.00-61.00] 谢谢
[90.00-120.00] 
[120.00-125.00] 谢谢
[125.00-127.00] 谢谢
[127.00-129.00] 谢谢
[130.10-131.00] 谢谢
[131.00-137.00] 谢谢
[138.80-139.30] 谢谢
[139.30-144.00] 谢谢
[144.00-149.98] 谢谢
[150.00-151.12] 現在聽得到了嗎
[156.32-157.76] 如果大家都聽得到的話
[157.76-159.60] 我這邊就做一下簡介
[159.92-160.56] 不好意思
[160.56-167.00] 因為有一點機械上面的錯誤
[167.00-167.52] 好
[167.52-170.96] 我這邊跟各位update一下
[171.56-175.48] 整個我們公司的一個大約的狀況
[175.48-177.00] 一光電池在這裡
[177.20-179.96] 在LED界已經大概耕耘了40多年
[180.00-183.08] 目前全球的人工人數大概是
[184.92-186.40] 4500人
[188.28-189.60] 生產據點的部分
[189.72-191.04] 我們在海峽兩岸都有
[191.04-192.76] 就是中國跟台灣的部分
[194.24-197.24] 前一次的董事會有公告說
[197.24-199.64] 我們要即將在泰國做投資
[200.04-200.96] 這個部分
[200.96-203.20] 我們等一下如果各位有興趣的話
[203.20-204.20] 我們再持續說明
[204.20-205.80] 目前這個廠是還沒有ready的
[206.88-208.24] 接下來我們來看一下
[208.24-209.96] Q1的一個營運成果
[210.00-210.72] 的部分
[213.00-216.72] Q1的營收大概是比去年同期的
[216.72-218.08] 稍微好一些
[219.76-221.60] 毛利率的部分已經回到了
[221.60-224.20] 原來的一個平均值的水準
[224.88-227.96] 這邊主要原因是因為
[227.96-230.40] 第一LED下游的供需平衡
[230.40-232.16] 殺價競爭減少的關係
[232.16-235.08] 這個供需結構已經趨於平衡
[235.08-237.08] 第二件事情大概是產品組合
[237.08-238.28] 持續的優化
[240.00-241.92] 我們下一頁的地方會再提到
[241.92-244.72] 近年來我們的CAPEX
[244.72-247.44] 也就是資本支出比較降低
[247.44-249.64] 折舊費用也持續的下滑
[251.44-255.64] 在產品組合的部分
[255.80-259.48] 我們可以看到第一季的產品組合
[259.48-261.20] 不可見光是40%
[261.20-265.20] 照明是8%
[265.20-266.80] 背光是15%
[266.80-269.12] 消費型電子產品及手機的部分
[269.12-269.76] 大概是23%
[270.00-273.68] 車用的部分占14%
[273.68-276.12] 其他的部分只有1%
[276.12-278.36] 這邊也可以看得出來
[278.36-280.32] 我們其實這幾年下來
[280.32-281.80] 大概不可見光的比重
[281.80-283.52] 其實持續的一個在上升
[283.52-287.44] 車用的部分也是持續上升的部分
[287.44-289.80] 毛利比較差的
[289.80-294.32] 像是背光跟照明的都是下滑的
[294.32-297.60] 這邊跟各位投資人特別提一下
[297.60-299.84] 我們在車用的部分
[300.00-303.32] 是有含車載的背光模組
[303.32-305.64] 還有以及車用的不可見光的部分
[305.64-308.40] 這邊一樣是歸類在車用的部分
[308.40-312.12] 接下來就是我們幾個比較重要的產品
[312.12-316.32] 這一頁大部分就是我們的紅外線及光電產品的應用面
[316.32-320.16] 大家可以看到就是其實它的應用面非常之廣
[320.16-322.88] 不管是感測元件或是在photocoupler的部分
[322.88-326.64] 從電源控制還有一些人臉辨識
[326.64-328.88] 以及偵測的部分
[328.88-329.84] 這些都是我們在這裏的部分的部分
[330.00-332.04] 在不可見光上面很多的應用
[332.04-335.24] 接下來就是這些通用產品的應用
[335.24-338.32] 也就是我們毛利最好的這個部分
[338.32-342.80] 其實它大部分就是比較像是指示燈
[342.80-346.88] 以及發光鍵盤這一些部分
[346.88-349.20] 接下來是車用領域
[349.20-352.40] 車用領域就是我們基本上在我們的歸類裡面
[352.40-355.76] 就是不管是車內的光源或是車外的光源
[355.76-359.96] 都是還有車載背光的
[359.96-361.76] 車載面板的背光
[361.76-365.08] 還有車用的這個不可見光的部分
[365.08-368.40] 其實都包含在這裏
[368.40-370.00] 接下來是損益表的部分
[370.00-372.36] 損益表部分大概比較低級的
[372.36-375.72] 比較大家會注意到就是其實我毛利回來了
[375.72-380.60] 但是我的整體的EPS是下滑了
[380.60-382.72] 主要差異就是在業外的部分
[382.72-385.80] 這業外大概差了將近三比的部分
[385.80-389.08] 那這個去年是有做一些處分的關係
[389.96-393.04] 接下來是資產負債表
[393.04-396.36] 這邊就請各位投資人參考
[396.36-398.40] 那鼓勵的部分呢
[398.40-401.36] 這易光的鼓勵一向都是還不錯的
[401.36-403.28] 那去年我們賺了6塊6
[403.28-405.84] 6.64元
[405.84-407.68] 然後今年發放的5.31
[407.68-409.92] 發放的比重大概是80%
[409.92-415.36] 那我們的公司章程規範到我們就是配發大概50%以上
[415.36-416.84] 那以現金數為主
[416.84-419.92] 那這幾年從這個表裡面
[419.96-422.52] 可以看到其實都是遠大於50%
[422.52-426.36] 那接下來就是這個進現金的部分
[426.36-432.00] 那這個就是大家可以看得到就是易光的現金其實是十分強勁
[432.00-439.16] 那請各位準備看有沒有什麼問題可以在這個
[439.16-443.76] 右下就是問答裡面用key的方式來提出
[443.76-445.04] 我這邊會再複述
[445.04-448.12] 然後請我們的主管們來回答
[448.12-449.40] 謝謝
[449.96-450.96] 謝謝
[479.96-493.12] ‫
[493.12-495.32] 歲
[495.32-500.96] ich
[500.96-503.88] hehe
[503.88-506.80] oh
[506.80-509.40] 啊
[509.40-509.92] 這個有頭
[509.92-511.92] 就是匯率對於我們的影響
[511.92-513.92] 公司的收入及成本
[513.92-516.92] 主要是以哪一種貨幣作為交易
[517.92-519.92] 我們請盧協理回覆
[519.92-521.92] 我這邊說明一下
[521.92-525.92] 我們目前大概就是對外的一個收入的部分
[525.92-528.92] 我們大概有八成五左右是外幣的部位
[528.92-532.92] 主要大概有六成左右是屬於美金部位的部分
[532.92-536.92] 所以當然就是這一波的一個匯率的一個
[536.92-538.92] 急升的一個狀況下
[538.92-542.92] 其實對公司的毛利率還是有相當程度的一點
[542.92-543.92] 一些影響
[545.92-546.92] 謝謝
[547.92-548.92] 好請
[548.92-550.92] 謝謝盧處長
[550.92-551.92] 盧協理不好意思
[562.92-564.92] 這邊有投資人問到Q2
[564.92-565.92] 跟下半年的展望
[565.92-566.92] 我們
[566.92-567.92] 請盧協理回覆
[567.92-569.92] 我這邊說明一下
[569.92-571.92] 其實就是當然就是Q2的部分
[571.92-574.92] 大家都有因為就是關稅
[574.92-578.92] 導致就是我們有受到一些營收的一些影響
[578.92-580.92] 再加上我們公司在去年度的時候
[580.92-585.92] 我們4月份其實是有一次性的一個營收的一個入帳的一個影響數
[585.92-590.92] 所以目前我們針對就是Q2的一個整體的營收的部分的話
[590.92-595.92] 是目前的看法是應該會是跟去年同期的話是
[595.92-596.92] 是
[596.92-598.92] 接近於持平的一個狀況
[598.92-601.92] 那下半年的部分目前因為就是關稅的一個影響程度
