[0.00-5.00] 好各位
[5.00-7.00] 我最先跟大家午安
[7.00-12.00] 我们总算等到上主板了
[12.00-16.00] 因为今天大家看到好多下面都是我们Google的老朋友
[16.00-18.00] 上市的支持者
[18.00-21.00] 我们今天再有机会来帮大家主持
[21.00-24.00] 是个上市前的以上发掘客人
[24.00-25.00] 大家好
[25.00-29.00] 我是官然国际的执行长Alesley Gleisi
[29.00-32.00] 欢迎各位来参加今天的发掘会
[32.00-34.00] 首先我们介绍一下
[34.00-37.00] 对于有些第一次的投资人
[37.00-38.00] 我再介绍一下
[38.00-40.00] 今天一会公司代表有
[40.00-41.00] 郑胜峰
[41.00-42.00] 我们共同创办人
[42.00-45.00] 其董事长Jacky
[49.00-50.00] 郭建峰
[50.00-51.00] 共同创办人
[51.00-52.00] 郭建福
[52.00-53.00] 对不起
[53.00-54.00] 郭建福
[54.00-56.00] Jeff
[56.00-58.00] 这个我共同创办人
[58.00-59.00] 其实是新上场的
[59.00-60.00] 好
[60.00-64.00] 王国财务厂EM
[64.00-67.00] 我不是不想说了
[67.00-69.00] 我是明智不想说了
[69.00-74.00] 本次的发掘会将先由EM财务长向大家进行
[74.00-76.00] 大约20到30分钟的简报
[76.00-79.00] 说不准讲Google的发展
[79.00-82.00] 运营的展望及策略布局
[82.00-83.00] 以公式简介
[83.00-86.00] 接下来我们会进行今天的Q&A
[86.00-88.00] 我们将先针对
[88.00-92.00] 我们事先收到的投资人提问进行回答
[92.00-93.00] 汇总跟他报告
[93.00-95.00] 然后随时在开放
[95.00-97.00] 随后在开放可以现场来提问
[97.00-100.00] 我们先请EM财务大组的简报
[100.00-101.00] 发表
[104.00-105.00] 有声音吗
[105.00-106.00] 对有
[111.00-112.00] 很高兴能跟大家见面
[112.00-114.00] 就说到我们的新朋友
[114.00-117.00] 那我们今天来的这个大说
[117.00-119.00] 那今天刚好
[119.00-122.00] 虽然也是寄到我们的发掘会
[122.00-126.00] 这样子
[126.00-129.00] 那也很想
[129.00-131.00] 刚好这一天
[131.00-135.00] 会从创新班到改编一班上市
[135.00-138.00] 所以今天也跟大家分享一下
[138.00-140.00] 改编一班的一些好的成绩
[140.00-142.00] 那有些新朋友
[142.00-144.00] 后面还是会在场上
[144.00-146.00] 参与公司的一些产品发明的布局
[147.00-148.00] 好
[148.00-150.00] 这个名字是我们的参考
[150.00-151.00] 好
[151.00-155.00] 等一下有时间我们会专注在这个第一期的一些
[155.00-158.00] 影响过还有一些我们可以看今年这一次的情况
[158.00-160.00] 那会去看上一个公司的介绍
[160.00-161.00] 好
[163.00-166.00] 那第一季重点来讲是一个今年非常好的一个开始
[166.00-169.00] 那从营收来讲
[169.00-171.00] 一月一人14%
[171.00-172.00] 那其实
[173.00-174.00] 如果我们细看的话
[174.00-175.00] 下个月真的更好
[175.00-177.00] 我们将会逐步来看
[177.00-179.00] 一个业务的一个成绩
[179.00-181.00] 那营业利益
[181.00-183.00] 是我们尤其来
[183.00-186.00] 记得给你最好的
[186.00-188.00] 那也当我们在
[188.00-191.00] 今年的这个公司的
[191.00-192.00] 营收
[192.00-194.00] 火力爆发形成上
[194.00-195.00] 这事情我们是非常乐观
[195.00-196.00] 因为
[196.00-198.00] 以高度的
[198.00-201.00] 业务来看的话
[201.00-203.00] 我们做到的利益是我们的感情
[203.00-205.00] 那我们的经济就对比较出动的成绩
[205.00-206.00] 是我们对
[206.00-209.00] 这年度的成绩是非常新鲜的
[211.00-212.00] 好
[212.00-213.00] 所以我们看一下
[213.00-217.00] 季度跟这个年度的比较
[217.00-218.00] 我们最先看出来
[218.00-221.00] 我们的这个营业的利益
[221.00-223.00] 达到了这个近千万
[223.00-226.00] 相相对于这个可能前一个季度
[226.00-228.00] 或者是也有没有一个
[228.00-229.00] 成长
[231.00-232.00] 好
[232.00-234.00] 那出产副代表
[234.00-235.00] 相较于
[236.00-238.00] 去年的从我们第一期其实我们的
[238.00-240.00] 有越来越复杂的一点点
[240.00-242.00] 我们原本是一个很单纯的
[242.00-244.00] 一个
[244.00-245.00] 一个市场代表
[245.00-246.00] 好
[246.00-248.00] 那我们现在随着我们的这个业务
[248.00-249.00] 越来越多元
[249.00-250.00] 好
[250.00-251.00] 现在我们的
[251.00-252.00] 贷款贷款表其实有更多的运行
[252.00-253.00] 好
[253.00-254.00] 所以你今天会看到
[254.00-256.00] 比如说大家可能想到
[256.00-257.00] 我母的就是
[257.00-260.00] A5的这个资产其实成长非常
[260.00-262.00] 好
[262.00-264.00] 再加上了这个
[264.00-266.00] 好那这种方式我们的新的
[266.00-268.00] 业务我们两个一起
[268.00-269.00] 我们这个
[269.00-270.00] 这个小人字的app
[270.00-272.00] 这个业务的业务性质造成
[272.00-273.00] 好
[275.00-276.00] 好
[276.00-277.00] 所以
[277.00-279.00] 我们来看这个营收的这个优势的
[279.00-280.00] 对
[280.00-284.00] 其实第一年和第一季的营收成
[284.00-285.00] 其实也非常的好
[285.00-286.00] 就是
[286.00-289.00] 我们的营收可以基本上看
[289.00-292.00] 一个是消费的支持方法的
[292.00-293.00] 这个方式
[293.00-295.00] 这个方式是个物色上的
[295.00-297.00] 然后上一个广告的
[297.00-300.00] 那这个是消费的订阅
[300.00-303.00] 就是讲讲这个物色的订阅用
[303.00-306.00] 那在我们还是这个企业办公大师的
[306.00-307.00] 路线
[307.00-311.00] 那在财报上的这个表示是分成广告
[311.00-314.00] 然后这两个订阅的模式都这样
[314.00-316.00] 呃信任与服务
[316.00-318.00] 那最后先科技是我们
[318.00-320.00] 呃我先叫做那个实验服
[320.00-321.00] 好
[321.00-323.00] 所以如果把他背上来看
[323.00-324.00] 其实是这样对吗
[324.00-325.00] 其实
[325.00-326.00] 只有广告啊
[326.00-327.00] 广告
[327.00-328.00] 之前的
[328.00-329.00] 我有些人都会报道
[329.00-332.00] 就是大家应该知道是我们去年广告
[332.00-333.00] 其实有一个秘密
[333.00-335.00] 因为一些外部环境
[335.00-338.00] 那去年其实是从第二季开始
[338.00-339.00] 其实我们
[339.00-340.00] 明确广告的
[340.00-341.00] 这一些说明
[341.00-342.00] 其实我们的用户
[342.00-345.00] 其实成长去年是往年也上水败
[345.00-347.00] 但是因为外部环境的影响
[347.00-348.00] 去年广告
[348.00-349.00] 自己是
[349.00-350.00] 但今年的话
[350.00-352.00] 第一季其实广告已经慢慢回温了
[352.00-354.00] 但是还没有回到去年第一季的
[354.00-355.00] 得到压弹
[355.00-358.00] 那他足迹其实是看到一个市场趋势
[358.00-359.00] 好
[359.00-360.00] 那我们都可以开
[360.00-362.00] 广告营收之外
[362.00-363.00] 可以看到
[363.00-364.00] 不管是这个订阅式的服务啊
[364.00-366.00] 消费端口企业端或者金融科技
[366.00-367.00] 他都非常
[367.00-369.00] 非常亮丽的生技
[369.00-370.00] 那还是为什么
[370.00-371.00] 你往的基调
[371.00-375.00] 我们在这个kader在上线的按楼是十分
[375.00-378.00] 好
[378.00-380.00] 那我们来继续来看
[380.00-382.00] 每个纪录别的的这个趋势
[382.00-383.00] 大家左边
[383.00-385.00] 左手边是我们
[385.00-387.00] 捏收入的一个趋势
[387.00-388.00] 所以可以看出来
[388.00-391.00] 我们在最下面的这个生产设施广告
[391.00-393.00] 主要去年的第二季
[393.00-394.00] 一个明显的水平
[394.00-395.00] 刚才知道这个
[395.00-397.00] 外部环境的影响
[397.00-398.00] 但是我们
[398.00-399.00] 用了一些
[399.00-401.00] 进行做一些这个改善
[401.00-403.00] 逐季是有成长
[403.00-404.00] 好
[404.00-405.00] 那
[405.00-407.00] 第一节部分其实他很接近第四
[407.00-408.00] 去年第四季
[408.00-409.00] 因为非常好成绩的
[409.00-412.00] 因为你刚刚我提到第四季其实我们这个
[412.00-413.00] 中途旺季
[413.00-415.00] 其实到对我们的广告业是一样
[415.00-417.00] 第四季原本就是很旺季
[417.00-419.00] 所以我们都看第一期的
[419.00-420.00] 有这样广告的成绩
[420.00-421.00] 就不太像
[421.00-423.00] 好
[423.00-425.00] 那如果我们再看其他的订阅
[425.00-426.00] 的服务
[426.00-428.00] 其实说非常稳定的一些生产
[428.00-429.00] 好
[429.00-430.00] 那另外可以看到的是
[430.00-432.00] 企业端房价的股份
[432.00-434.00] 相对于这个
[434.00-438.00] 相对于这个前一年
[438.00-440.00] 有这个百分之七十七十的
[440.00-442.00] 百分之七十的成长
[442.00-444.00] 当然有一个有一个关键因素是
[444.00-446.00] 我们去年订了一家荷兰公司
[446.00-448.00] 那这样说是去年是只有半年
[448.00-449.00] 这个病
[449.00-450.00] 那今天就全年
