[0.00-14.20] 今天我們很高興大家來參加教士達的法人說明會
[14.20-17.96] 今天為我們組長的長官為許明哲資深經理
[17.96-21.24] 還有周雲吉主任
[21.24-24.24] 那我們會議會分成兩個部分
[24.24-28.98] 第一部分會先由長官這邊向大家簡報公司的進行運輸狀況
[28.98-30.98] 然後第二部分再進行QA
[30.98-33.98] 那我們現在就把時間交給你
[33.98-35.98] 謝謝
[35.98-38.98] 各位同志先進大家午安
[38.98-41.98] 首先先謝謝統一政權的邀請
[41.98-43.98] 也歡迎各位的利民
[43.98-47.98] 如同剛剛所說我們今天的法都會分為兩部分
[47.98-53.98] 第一部分我們先就去年第四季跟全年的營運表現給大家做一個報告
[53.98-57.98] 然後之後我們再進行Q&A
[58.98-61.98] 我們先來介紹一下教士達的業務範圍
[61.98-65.98] 教士達成立大概超過40年
[65.98-71.98] 我們主要的業務範圍包括資訊產業、醫療事業、智能解決方案
[71.98-74.98] 還有網路通訊這四大塊
[74.98-81.98] 我們主要的製造基地當然主要是在台灣、中國還有越南這三個地區
[81.98-87.98] 2024年的營收是2017億跟2023年的2036億大概差不多
[88.98-96.98] 這邊可以看到首先是我們在藍色的部分是我們的資訊產業
[96.98-102.98] 從2014年開始教士達啟動了一個轉型的工作
[102.98-105.98] 成為一個大艦隊的營運模式
[105.98-112.98] 陸續在這十年間我們加入了醫療事業、智能方案事業還有網路通訊事業
[112.98-116.98] 另外在IT的部分我們也增加了一個高附加價值的部分
[116.98-118.98] 所以說在紫色的這邊
[118.98-126.98] 這一塊就代表我們從2014年開始引動的一個高附加價值事業轉型的成果
[126.98-132.98] 可以看到在2024年我們全年的營收是2017億
[132.98-138.98] 其中有大概一半是1105億是在資訊產業
[138.98-141.98] 醫療的話263億佔了13%
[141.98-146.98] 等一下我會就各個事業群的內容跟大家做個說明
[146.98-149.98] 智能方案是佔了15%312億
[149.98-156.98] 網通是214億佔了11%
[156.98-160.98] 其他就是我們的民機材料裡面的包括天光片
[160.98-163.98] 包括電能膜還有電子材料等等
[171.98-175.98] 我簡單講一下資訊產業就是我們之前大家應該比較熟悉的
[176.98-180.98] 包括我們的Banque的品牌還有代工
[180.98-182.98] 就是我們在顯示器的部分
[182.98-186.98] 現在是全球大概市佔率第二的一個廠商
[186.98-191.98] 去年營業額是767億大概佔了38%
[191.98-194.98] 還有投影機跟其他的一些項目
[194.98-198.98] 在IT高附加價值主要是我們轉投資的兩間公司
[198.98-201.98] 一個叫做仲福
[201.98-203.98] 一個叫仲福
[203.98-205.98] 它主要做戶外強固性的產業
[205.98-208.98] 包括在航海用
[208.98-213.98] 然後一些比如說越野雪車這些在極光氣候所使用的一些顯示器
[213.98-218.98] 還有包括系碼頭做連接器的部分
[218.98-222.98] 第二大塊就是我們的醫療產業
[222.98-225.98] 醫療產業各位應該很清楚
[225.98-229.98] 我們在南京跟蘇州有兩間醫院
[229.98-232.98] 南京醫院跟蘇州民機醫院
[232.98-234.98] 目前我們在南京跟蘇州民機醫院
[235.98-237.98] 目前正在準備IPO的規劃
[237.98-239.98] 等一下進度後面會說明
[239.98-243.98] 我們今天前面就大概介紹一下各個公司而已
[243.98-245.98] 然後在醫療健康通路的話
