[0.00-9.00] 感謝各位法人朋友參加聖群半島主委委員會113年的第四季度法人說明會
[9.00-14.00] 我們現在開始進行法務會的內容
[14.00-19.00] 首先請調書長針對財務部分進行報告
[22.00-24.00] 各位法人朋友
[24.00-26.00] 我們還是站起來請你們報告
[26.00-31.00] 首先由我這邊先聲明為各位報告第四季的財務狀況
[31.00-39.00] 我們可以看到去年聖群整體年度的營業額是25.02億
[39.00-43.00] 歐安歐安是大概衰退了4個百分點
[43.00-46.00] 我們可以看到比較變動的篩選
[46.00-49.00] 營業額雖然跟前年差不多
[49.00-54.00] 但毛利率是減少了大概10個百分點
[54.00-56.00] 這部分主要還是反映
[56.00-59.00] 有一些舊的庫主在清
[59.00-62.00] 因為過去舊的庫主相對而言成本比較高
[62.00-65.00] 整體市場上其實價格必須要去高
[65.00-67.00] 因為市場的狀況下
[67.00-70.00] 我們在清庫主的過程中
[70.00-74.00] 會有一些比較低毛利的出貨
[74.00-78.00] 也是因為這樣子的一個毛利的變動
[78.00-84.00] 所以我們在去年度整體稅後是虧損大概1.5萬億
[86.00-92.00] 所以我們113年的EPS是-1.66
[92.00-94.00] 歐利是-4%
[94.00-97.00] 目前截至12月底
[97.00-100.00] 美國淨息是15.9塊錢
[100.00-103.00] 美國現金是12.4
[103.00-107.00] 以季度來看
[107.00-113.00] 整個市場在2020年下半年開始
[113.00-114.00] 受到市場的一個反轉的因素是
[114.00-115.00] 受到市場的一個反轉的因素是
[115.00-120.00] 在升旋這邊的1.2年是同期在下降
[120.00-126.00] 我們可以看到整體在去年的Q1大概是整個收入多低
[126.00-132.00] Q2是有比較明顯的反轉
[132.00-135.00] 大概有一些成長
[135.00-139.00] 後面整體市場的一個部署
[139.00-142.00] 我們之前也了解到可能沒有預期
[142.00-145.00] 整體第三季跟第四季的狀況
[145.00-148.00] 基本上跟第二季差不多
[148.00-154.00] 去年第四季的NIR是6.92億
[154.00-160.00] 黃利率大概基本上這幾季大概Q2在45上下
[160.00-164.00] 不過我們可以看到去年的第四季在稅後
[164.00-166.00] 我們是有換小幅
[166.00-169.00] 大概200萬 四季萬
[169.00-174.00] 最主要是我們在第四季有認別人的所稅利率
[175.00-178.00] 這部分是在第四季入站
[182.00-185.00] 我們可以看到季度的一個水平感的部分
[185.00-188.00] 以去年第四季來看
[188.00-191.00] 6.91億YYY是成長42%
[191.00-194.00] Q2Q是成長1%
[194.00-196.00] 以產品毛利率來看
[196.00-200.00] 目前第三季第四季大概在38%
[200.00-204.00] 加上會實現的一個毛利的回轉
[205.00-209.00] 第四季的比時間馬力大概是39%
[209.00-212.00] Q3是大概38%
[212.00-216.00] 費用的部分在第四季大概是接近3.1億
[216.00-222.00] 比第三季大概減少2000多萬
[222.00-227.00] 比前年的第四季2.4億是有所增加的
[227.00-232.00] 這部分在112年第四季它的費用是因為有一些獎金的回轉關係
[232.00-233.00] 我們整體在去年期間是有所增加的
[233.00-234.00] 我們整體在去年期間是有所增加的
[234.00-240.00] 所以去年下半年因為整個尼爾並沒有很明顯的部署的情況下
[240.00-244.00] 內部做了一些包含組織的調整
[244.00-246.00] 那人力的一些再精簡
[246.00-251.00] 包含我們對於愛建旅遊的一些精簡的措施
[251.00-255.00] 確保我們留下來的一些有效的開發
[255.00-259.00] 同時也降低整體營運的成本
[259.00-263.00] 所以我們基本上這些反應其實在
[263.00-267.00] 第四季陸陸續續可以降低我們一些
[267.00-270.00] 面上的費用
[270.00-274.00] 所以我們可以看到雖然第四季本來還是虧損
[274.00-278.00] 但不過其實已經虧損有所收斂
[278.00-282.00] 我們在去年的第四季業外是
[282.00-284.00] 其實是有少許的破裂
[284.00-289.00] 所以在第四季稅錢是虧損3800萬
[289.00-292.00] 剛剛有提到我們在第四季因為我們任業人
[293.00-294.00] 所稅利益
[294.00-299.00] 所以我們在歸屬公司的稅後利益是260萬左右
[299.00-302.00] 那於第24年0.5萬塊錢
[302.00-306.00] 那以全年度來看
[306.00-310.00] 那我們113年沒有125.5萬
[310.00-313.00] 那EYY是TryCrate市的省
