[30.00-58.00] 今天主要是李克彥总理,我们现在就交给总理李克彥,请。
[58.00-72.00] 谢谢,各位投资朋友,大家好,接下来就来向各位报告今年第一季的业绩报告。
[72.00-87.00] 我们看第三页,我们二五年第一季的营业收入是1732亿,又1700万。
[87.00-100.00] 这个跟上一季比较,大概成长了16.4%。我们看右下角Q&Q的各分布的情形,
[100.00-114.00] Fundry这块是炼油事业成长了20.9%,Orefin这块就是吸井事业部成长了12.8%,公用事业部衰退了8.2%。
[114.00-123.00] 这个原因,炼油部的部分,最主要是因为炼量跟销售量的增加。
[123.00-134.00] 因为我们今年的第一季,我们的炼量是46万桶,相对去年第四季384,000桶是增加蛮多的。
[134.00-149.00] 另外,因为油油价格也比去年第四季来得高,所以我们整个的售价也跟着水涨水涨高,大概一桶增加了两块一毛钱美金。
[149.00-155.00] 所以说,炼油部的营收有还蛮明显的成长。
[155.00-165.00] 吸井这一块,Orefin这一块也是成长了12.8%,最主要也是产能利用率有提升。
[165.00-168.00] 我们去年第四季产能利用率只有58%。
[168.00-177.00] 但是今年第四季是53%,今年第一季有成长到58%。
[177.00-194.00] 售价的部分其实是没有差太多,但是今年新台币的币值是比较低,所以说算成台币的话,售价是提高的。
[194.00-209.00] 供应这一块,我们的营收是衰退的,主要是因为我们大型机组检修的天赋较多,所以说发电量有减少。
[209.00-220.00] 另外就是供应厂区的电价,也是随着煤炭的价格有做一些下修,所以说我们供应这一块的营收是减少了8.2%。
[220.00-232.00] 跟去年第一季比较,大概就接位成长了1.2%,其中链油部是衰退了1.3%,
[232.00-258.00] 虽然说产量有一点点增加,就是说今年第一季比去年第一季产量有增加一点,但是因为油价格下跌,而且链质的价差,换句话说油品的价格下跌更多,所以说营收是小幅的衰退1.3%,
[258.00-271.00] 那吸井这一块是有成长的,主要是因为去年第一季我们的操作率大概也是53%,今年就提高到50%,
[271.00-281.00] 那价格是小幅下跌,大概只有少了一顿166块钱,所以说这个部分影响比较小一点。
