[0.00-7.78] 各位投资先进大家午安
[7.78-10.26] 欢迎大家参加2025年
[10.26-11.94] 自通电脑法人说明会
[11.94-15.08] 本次主讲人是自通电脑发言人
[15.08-16.24] 林青龙总经理
[16.24-18.32] 林总经理将为大家进行
[18.32-20.16] 营运及财务方面的说明
[20.16-22.40] 然后进行QA
[22.40-23.40] 谢谢
[23.40-26.44] 现在有请主讲人林青龙总经理
[26.44-27.72] 为大家进行说明
[30.00-31.90] 各位先进 各位投资人
[31.90-33.82] 各位理事先生
[33.82-34.60] 午安
[34.60-36.98] 我先简单的声明
[36.98-41.22] 就是今天我们在这边所说明的
[41.22-43.34] 不管营运展望财务状况
[43.34-45.12] 以及业务预测的内容
[45.12-48.26] 是我们公司根据目前来言
[48.26-51.12] 取得的资讯基础所做的报告
[51.12-56.48] 那可能这些跟预测性的资讯
[56.48-58.60] 可能在未来会有所差异
[58.60-59.98] 那我们的公司
[59.98-61.88] 我们公司对这些看法
[61.88-65.04] 未来若有任何的变更或调整时
[65.04-68.20] 本公司并不负责随时提醒或更新
[68.20-69.86] 请大家见谅
[69.86-71.50] 谢谢
[71.50-73.38] 下一页
[73.38-74.38] 首先先简单
[74.38-76.80] 还是先简单介绍一下公司
[76.80-79.86] 我们是在民国69年成立
[79.86-83.90] 在民国90年上市
[83.90-87.30] 那目前公司在台北新竹
[87.30-89.54] 还有台中有办公室
[89.98-93.82] 在台北新竹都有一个主公司
[93.82-98.74] 我们通过了ISO27001的治安认证
[98.74-101.14] 同时我们也是连续三年
[101.14-105.42] 在Gartner针对亚洲银行核心系统进行
[105.42-109.34] 报告中唯一入选的采款厂商
[109.34-112.50] 另外我们的另外一个产品AMS
[112.50-116.22] 也曾经入选在Gartner的报告里面
[116.22-119.84] 那目前我们也通过AI
[119.98-122.92] 就是服务能量登录的认证
[122.92-124.42] 谢谢
[124.42-125.98] 下一页
[125.98-132.14] 我们目前所提供的服务
[132.14-133.54] 各位看一下
[133.54-135.86] 就是我们橘色的部分
[135.86-138.42] 是代表我们的自有产品
[138.42-141.94] 其他的部分就是有我们代理的产品
[141.94-146.14] 以及我们的有顾问的服务
[146.14-148.30] 那在自有产品部分
[148.30-149.86] 我们在金融方面
[149.98-153.38] 一样还是有一些包括财务交易
[153.38-158.02] 包括海外外汇系统部分
[158.02-163.98] 还有就是等于KYC还有法报的部分
[163.98-166.86] 这是我们的金融的解决方案
[166.86-172.22] 另外我们也代理了SWIFT的解决方案
[172.22-173.78] 那在资讯安全部分
[173.78-175.14] 我们有自己的产品
[175.14-179.26] 就是UPDI跟ASPP隐秘保镖系统
[179.26-179.74] 另外
[179.74-181.74] 我们也提供Portify
[181.74-183.70] Commodore跟Novato
[183.70-189.42] 这个资安的一个检测的训练以及服务
[189.42-191.94] 那在政府单位
[191.94-196.30] 我们有做一些专案的开发
[196.30-199.34] 还有科专的计划顾问的服务
[199.34-203.38] 那在一般的我们的企业的软体方面
[203.38-206.54] 我们主要就是有自己的产品
[206.54-208.10] 有MES的系统
[208.10-209.74] 有HCP的系统
[209.74-216.86] 那也有我们Local的财务票据
[216.86-220.06] 这个10号公报的系统
[220.06-226.94] 另外我们也代理了Oracle的EBS跟Caseware
[226.94-233.82] 跟另外一个Caseware的财务的编报表的工具
[233.82-238.50] 我们在EBS部门我们也提供升级顾问的服务
[238.50-239.58] 谢谢
[239.74-247.82] 接着我们就产品的营收的部分
[247.82-249.06] 我们做调报告
[249.06-252.50] 我们在今年的第一季
[252.50-256.98] 我们跟过去
[256.98-259.38] 就是说去年的第一季
[259.38-264.54] 还有去年的整个2025年度的比例来看
[264.54-267.06] 其实并没有变化很大
[267.06-269.66] 唯一比较特别的是说
[269.74-274.58] 我们的专案比例是略微降低了一点
[274.58-281.34] 其实这是一个我们是希望说往产品的方向走
[281.34-283.50] 所以专案的比例降低
[283.50-285.86] 应该是一个好的发展
[285.86-286.90] 谢谢
[286.90-293.66] 再从第七来看
[293.66-297.70] 大部分我们的
[297.70-298.58] 我们进行的进展是什么呢
[298.58-298.74] 我们进行的进展是什么呢
[298.74-298.86] 我们进行的进展是什么呢
[298.86-299.10] 我们进行的进展是什么呢
[299.10-299.38] 我们进行的进展是什么呢
[299.38-299.42] 我们进行的进展是什么呢
[299.42-299.70] 我们进行的进展是什么呢
[299.70-299.86] 我们进行的进展是什么呢
[299.86-302.46] 今年第一Q的收入跟以往一样
[302.46-304.58] 还是大部分都是在我们的
[304.58-306.74] 国内的生意
[306.74-308.38] 我们在今年做了
[308.38-310.38] 在国内在第一Q
[310.38-312.10] 我们做了92%
[312.10-314.22] 跟往年稍微多了一点
[314.22-315.54] 但是也差不了多少
[315.54-318.30] 跟差不多平均是都差不多是这样
[318.30-319.06] 好
[319.06-324.34] 再来下一张
[324.34-329.66] 至于型态型态北的部分
[329.66-337.50] 我们看我们2025年第一Q的这边
[337.50-339.26] 有一个比较特别的地方
[339.26-340.46] 就是我们的
[340.46-343.94] 住有产品的比例有增加
[343.94-345.62] 就是我们
[345.62-348.90] 我们在住有产品部分
[348.90-350.58] 我们在2025年的第一Q
[350.58-353.66] 我们做了有收入有8%
[353.66-356.42] 这个是刚刚我有报告过
[356.42-358.62] 我们希望说是住有产品的部分
[358.62-359.50] 我要我们要加强
[359.50-362.14] 然后我们在端岸的部分
[362.14-364.14] 我们可能会稍微点滴一点
[364.14-367.18] 这样对于我们的营收的利润会有帮助
[367.18-369.58] 那这个我们在第一Q的这样看起来
[369.58-372.62] 是我们是朝好的方向在进展
[372.62-373.62] 谢谢
[373.62-376.54] 下一张
[376.54-380.98] 再来我说明我们的资产负债
[380.98-384.22] 资产负债的情况
[384.22-388.62] 今年第一季我们的资产跟去年
[388.62-389.34] 比较的
[389.34-391.02] 比较起来差异并不大
[391.02-397.62] 我们有差不多到14亿8400万左右
[397.62-400.22] 那负债是5亿4700万
[400.22-404.54] 股东权益总计是9亿3700万左右
[404.54-410.42] 那跟去年或是去年的第一季相差并不多
[410.42-412.86] 下一季
[412.86-417.50] 接下来我说明我们第一季的收入
[417.50-417.86] 嗯
[417.86-417.98] 嗯
