[0.76-2.82] 各位投资先进午安
[2.82-6.44] 感谢各位播容参加钻石生技投资
[6.44-10.04] 2025年第一季线上法人说明会
[10.04-14.84] 首先向各位介绍本次线上法说会
[14.84-17.82] 钻石投资与会的经营团队
[17.82-19.84] 吴永美总经理
[19.84-21.10] 大家好
[21.10-24.56] 投资部黄彦珍副总裁
[24.56-25.34] 大家好
[25.34-28.40] 财务部吴元廷经理
[29.40-29.96] 大家好
[29.96-32.98] 在会议正式进行前
[32.98-36.00] 请各位投资先进参考
[36.00-37.82] 此页的声明事项
[37.82-52.10] 首先请吴永美总经理
[52.10-54.32] 为大家做开场致辞
[54.32-55.76] 吴总经理请
[55.76-57.02] 好
[57.86-59.36] 各位媒体朋友及
[59.36-59.94] 投资先进的朋友们
[59.94-61.68] 先进大家午安
[61.68-64.62] 我是钻石投资总经理吴永美
[64.62-66.02] 首先代表钻石投资
[66.02-68.14] 欢迎各位播容参加本公司
[68.14-71.52] 2025年第一季法人说明会
[71.52-74.46] 在进行2024年第四季财务报告
[74.46-78.72] 及升级资本市场动态及投资组合说明前
[78.72-81.26] 容我借此机会向各位先进报告
[81.26-84.82] 本公司2025年投资策略方向
[84.82-86.94] 并分享我们最近的好消息
[86.94-87.78] 好
[87.78-88.94] 谢谢大家
[88.94-88.96] 谢谢大家
[88.96-89.06] 谢谢大家
[89.06-89.08] 谢谢大家
[89.08-93.10] 谢谢大家
[93.10-95.78] 本公司2025年投资策略与方向
[95.78-97.48] 包括以下四个重点
[97.48-101.22] 在主导创新型旗舰投资案方面
[101.22-104.88] 虽然2025年国际政治情势动荡
[104.88-107.82] 面临关税政策及贸易战等
[107.82-109.58] 充满变数的投资环境
[109.58-113.00] 但我们对生技产业的长期成长前景
[113.00-115.26] 仍然充满信心
[115.26-118.12] 2025年最重要的目标
[118.12-119.06] 就是领土增长的投资环境
[119.08-122.40] 具前瞻性的創新型旗艦投資案
[122.72-125.42] 投資策略將聚焦於解決現有
