[0.00-4.40] 我們接下來這一場是邀請到軍心國際
[4.40-8.30] 現場來的有總經理杜總
[8.30-11.40] 還有曹文他們曹長
[11.40-13.80] 我們接下來把時間交給同事
[13.80-17.80] 時間也沒有很多
[17.80-21.80] 我想說感謝永豐這次幫我們舉
[21.80-23.80] 邀請我們參加這一次
[23.80-25.80] 這一次也趁這個機會
[25.80-27.80] 場地非常好
[27.80-29.80] 這一次這個機會
[29.80-32.80] 我們就把我們的實際生產
[32.80-35.80] 就是有關機器人這部分的一些零件
[35.80-37.80] 在這邊做展示
[37.80-39.80] 各位有興趣的話歡迎來看
[39.80-41.80] 拍照都沒問題
[41.80-44.80] 這個拍照不會有洩露什麼東西的問題
[44.80-47.80] 因為這個沒有圖紙你是做不出來的
[50.80-53.80] 首先是這個免責聲明
[53.80-56.80] 今天的話就如同前兩年
[56.80-57.80] 我們做了一個
[57.80-59.80] 每一季辦的法說會一樣
[59.80-63.80] 第一個就是前一個季度營運成果的回顧
[63.80-65.80] 再來就是Q&A的時間
[65.80-68.80] 首先看到的是我們的
[68.80-70.80] 綜合所值議表的部分
[70.80-73.80] 我們第四季的營業收入是
[73.80-77.80] 新台幣8億29028000元
[77.80-79.80] 季成長15.21%
[79.80-82.80] 年成長35.72%
[82.80-86.80] 這個季度也是創下了我們歷史的一個最好的季度
[86.80-92.80] 那營業毛利的部分是2億6998萬1千元
[92.80-95.80] 那季成長24.43%
[95.80-97.80] 年成長60.06%
[97.80-100.80] 那其中也包含就是
[100.80-103.80] 我把對毛利率影響比較大的因素
[103.80-104.80] 除了營收成長之外
[104.80-107.80] 還包含當季我們銷售非常的好
[107.80-110.80] 所以以往我們有提列的一些存貨
[110.80-111.80] 點價代資損失的部分
[111.80-115.80] 在這個季度有回升了1422萬3千元
[115.80-120.80] 相較於第三季或前一個年度都有明顯的一個增長
[120.80-123.80] 那這個部分也讓我們第四季的毛利率
[123.80-125.80] 回升到了32.57%
[125.80-129.80] 那相較於前一個季度成長了2.41個百分點
[129.80-132.80] 那比前一個年度成長了4.95個百分點
[132.80-136.80] 那這個一月淨利的一個部分呢
[136.80-139.80] 是來到14809千元
[139.80-142.80] 那季成長了43.91%
[142.80-145.80] 年成長了91.87%
[145.80-148.80] 那我們在這個季度的收支
[148.80-151.80] 我們經濟利率來到了17.85個百分點
[151.80-153.80] 那比季成長3.56個百分點
[153.80-155.80] 年成長5.22個百分點
[155.80-157.80] 那營業外收支的部分呢
[157.80-159.80] 第四季的話
[159.80-163.80] 金額是3946萬2千元
[163.80-167.80] 那我也把這個影響比較大的一個部分把它拉出來
[167.80-169.80] 就是在兌換損益的部分
[169.80-174.80] 我們第四季度大概認列了2130萬7千元的兌換利益
[174.80-176.14] 前一個季度呢
[176.14-179.50] 是兌換損失658,000元
[179.50-181.80] 那在前一個年度的同期呢
[181.80-185.04] 是損失2273.8萬元
[185.04-186.86] 所以營業外收支的影響
[186.86-190.26] 最大的一個因素就是在這個兌換損益的部分
[190.26-193.12] 那我們的稅後淨利呢
[193.12-197.16] 第四季是來到12,406.4萬元
[197.16-199.92] 那季成長了27.15%
[199.92-202.52] 年成長了101.5%
[202.52-205.88] 那淨利率呢是14.9%
