[0.00-3.22] 各位投资先进午安
[3.22-5.42] 欢迎参加富邦投资论坛
[5.42-7.30] 今天我们很荣幸邀请到
[7.30-9.56] 华企科技股份有限公司管理层
[9.56-12.62] 来到现场与各位投资先进分享公司近况
[12.62-14.70] 今天参加的公司管理层有
[14.70-15.92] 许龙伦总经理
[15.92-19.10] 以及陈建宏副总经理
[19.10-21.66] 那接下来我们就将时间交给陈副总
[21.66-24.82] 陈副总
[30.00-31.92] 首先一样
[31.92-34.10] 由我跟各位说明一下
[34.10-35.48] 我们整个Q1的数字
[35.48-36.50] 那接下来的话
[36.50-38.80] 再由总经理来跟各位说明一下
[38.80-39.74] 整个产品线
[39.74-42.14] 我们目前的状况及未来的展望
[42.14-43.84] 那也会留比较多的时间
[43.84-45.84] 让各位来做Q&A的状况
[45.84-48.96] 那公司的产品线大家都比较熟悉
[48.96-50.70] 那今年的话比较多的是
[50.70-53.58] 会将多的一个电源供应器
[53.58-54.20] POWER SUPPLY
[54.20-56.28] 那主要就是以我们以前
[56.28-57.84] 华擎是以主机板为主
[57.84-59.28] 那在四五年前
[59.28-59.92] 我们主机板
[59.92-59.98] 当然是有了一个
[59.98-61.44] 大概还是占我们九成多营收
[61.44-64.20] 那透过除了一开始
[64.20-66.18] 从伺服器工业电脑之外
[66.18-69.26] 那接下来从我们的显示卡
[69.26-71.12] 然后monitor
[71.12-72.00] 再POWER SUPPLY
[72.00-73.60] 所以让整个monitor
[73.60-75.28] 目前来讲占我们的比重
[75.28-76.56] 可以慢慢的往下降
[76.56-80.36] 那整个Q1的状况来讲
[80.36-81.92] Q1因为几个
[81.92-83.38] 如果以YOY来看的话
[83.38-86.06] 除了Desktop的部分是往下的话
[86.06-87.10] 情况之外
[87.10-88.28] 其余产品线都是
[88.28-89.90] 其实YOY都有一个
[89.90-91.22] 不错的成长幅度
[91.22-92.90] 那其中当然大家比较熟悉的
[92.90-95.84] 就是我们在AI跟那个VGA卡
[95.84-97.64] 这两个产品线的成长幅度
[97.64-98.44] 又是最惊人的
[98.44-100.46] 所以整个Q1的营收
[100.46-101.56] 105亿
[101.56-103.56] YOY成长111%
[103.56-104.72] 那不过因为刚才提到
[104.72-105.90] 因为整个成长力道
[105.90-108.14] 最强的来自于AI产品线
[108.14-108.86] 以及VGA
[108.86-111.22] 那这两个产品线相对于其他
[111.22-112.70] 不管是Monebo
[112.70-114.92] 或者是Server的Monebo
[114.92-116.40] Server的Bellbon来讲的话
[116.40-117.78] 他们的margin都是比较低的
[117.78-119.20] 所以整个来讲的话
[119.20-119.82] 我们的Molebo
[119.82-120.58] 毛利率的话
[120.58-122.20] 就受到比较大的影响
[122.20-124.40] 从20%下降到14.8%
[124.40-125.56] 这样的一个状况
[125.56-127.88] 所以整个毛利15.46亿
[127.88-130.34] YOY成长大概约53%
[130.34-132.54] 那营业费用的部分来讲的话
[132.54-134.82] 主要还是因为获利的提升
[134.82-136.30] 然后所以人事相
[136.30-137.80] 还有另外一个是
[137.80-138.90] 增加一些
[138.90-141.60] 包含业务人员跟RD人员的状况
[141.60-144.02] 所以整个人事费用有
[144.02-145.70] 比较明显的提升
[145.70-147.10] 另外的部分是
[147.10-149.10] 有两个费用有比较大的提升
[149.10-149.40] 是
[149.40-151.64] 一个是我们的材料的开发费用
[151.64-153.36] 就是包含永勤这边
[153.36-154.32] 主要是永勤这边
[154.32-158.72] 因为整个比较高单价的专案在进行中
[158.72-160.78] 所以他们整个材料的开发费用
[160.78-162.08] 也会相对的提升
[162.08-164.02] 那另外一个就是整个运费
[164.02-165.80] 因为整个业务的成长运费
[165.80-167.24] 也会相对的增加
[167.24-169.26] 所以整个营业费用来讲的话
[169.26-171.60] 在今年第一季达到8.9亿
[171.60-173.66] 那整个营业利益是6.57亿
[173.66-175.84] YOY是成长119%
[175.84-177.68] 那业外的部分来讲的话
[177.68-178.52] 6400万
[178.52-179.36] 较去年同期
[179.40-179.82] 衰退
[179.82-182.02] 那主要今年的业外大概
[182.02-185.74] 利息收入跟汇兑收益大概各一半
[185.74-188.04] 所以较去年同期来讲
[188.04-189.26] 去年同期来讲的话
[189.26-191.84] 汇兑收益有比较大的部位
[191.84-194.60] 所以整个业外的部分是有往下降的
[194.60-197.16] 那整个归属于母公司的部分
[197.16-198.30] 4.4亿
[198.30-200.54] 那YOY成长力道只有44%
[200.54-201.58] EPS3.58
[201.58-203.54] 那主要是因为今年第一季
[203.54-206.52] 我们整个成长力道
[206.52-208.52] 包含永勤跟东勤这边
[208.52-209.38] 都还有不错的
[209.40-212.10] 营收的成长幅度跟获利的贡献度
[212.10-214.14] 所以这部分的话会让整个
[214.14-216.18] 母公司的部分来讲的话
[216.18-219.44] 成长力道会较于我们本期经营的成长力道
[219.44-223.24] 那就整个资产结构来看的话
[223.24-224.52] 目前公司还是一样
[224.52-226.48] 主要都还是维持在现金
[226.48-227.72] 应收站款跟存货
[227.72-230.08] 那存货部分的部位
[230.08-232.68] 有因为整个业务的扩张
[232.68-234.22] 包含刚才提到的
[234.22-235.82] 不管是我们的AI产品线
[235.82-237.28] 或者是VGA的产品线
[237.28-238.68] 甚至一些新产品线
[238.68-239.94] 像Power Supply这部分
[239.94-243.04] 那我们这个部分的备料会相对的增加
[243.04-244.96] 所以整个存货目前来讲
[244.96-245.90] 还是维持在一个
[245.90-248.72] 105亿比较高水位的一个水准
[248.72-250.98] 那现金的部位来讲的话
[250.98-254.10] 今年第一季底的话
[254.10-255.86] 会有一个10亿的短期借款
[255.86-257.94] 那这部分主要是针对
[257.94-260.40] 永勤有一些短期购料的需求
[260.40-263.04] 那未来各位可能会比较常看到
[263.04-266.92] 是整个华勤合并的报表里面
[266.92-268.06] 在短期借款
[268.06-268.52] 流动负责的部分
[268.52-268.66] 在短期借款流动负责的部分
[268.68-270.72] 在这个部分的短期借款里面
[270.72-273.36] 可能会常常会有比较大的一个波动
[273.36-275.08] 有可能因为我们原则上是
[275.08-278.18] 还是尽量采取不借钱的方式来营运
[278.18-280.88] 所以像这个3月底
[280.88-282.46] 有一个10亿的短期借款
[282.46-283.70] 但4月的部分来讲
[283.70-285.96] 这10亿的短期借款就已经没有了
[285.96-288.28] 那主要这些都是一些短期的资金
[288.28-289.90] 所以这个财报上面
[289.90-291.64] 这个数字会变动会比较大一点
[291.64-294.98] 那整个付款的部分
[294.98-297.74] 还是主要是在那个整个应付账款这边
[297.74-298.52] 那到
[298.52-299.70] 占了27%
[299.70-302.48] 那整个负债比因为永勤这边的话
[302.48-304.08] 他的整个资金需求
[304.08-305.52] 或者购料需求比较大
[305.52-309.02] 所以整个负债比是从44%上升到52%
[309.02-310.14] 不过目前来讲
[310.14-312.24] 整个现金部位都还算重力
[312.24-314.92] 所以这部分问题比较没有太大的担心
[314.92-316.62] 那整个权益的话
[316.62-317.40] 102亿
[317.40-319.52] 那每股净值是74.5
[319.52-322.98] 那整个现金流量的状况来讲的话
[322.98-324.94] 如果以营业的状况
[324.94-326.38] 现金流量来看的话
[326.38-328.32] 因为今年主要在
[328.32-328.50] 除外的货币货币货币货币
[328.52-330.30] 或这个边动比较大
[330.30-336.76] 所以整个会看出来
[336.76-338.80] 整个现金虽然我们整个尽力
[338.80-340.28] 较去年同期增加
[340.28-342.38] 但是整个现金流量却是
[342.38-349.20] 营业所产生的一个现金流量来讲的话
[349.20-351.40] 反而是一个比去年还要低的状况
[351.40-353.02] 所以整个
[353.02-357.28] 2.82亿整个是呈现一个流出的状况
[358.52-363.12] 那投资活动来讲
[363.12-365.22] 就是大家清楚滑行的状况
[365.22-366.28] 我们投资活动
[366.28-370.14] 我们整个投资活动
[370.14-371.32] 其实并没有太大的变动
[371.32-374.32] 主要变动都是在定存跟现金部位的变动
[374.32-377.64] 所以如果把定存的部位扣掉
[377.64-379.62] 就是这个取得处分
[379.62-381.36] 摊销后成本衡量之金融资产
[381.36-383.18] 这个部分取得处分掉的话
[383.18-385.96] 其实整个滑行投资的活动的现金流量
[385.96-387.10] 其实大概都只有一些
[387.10-388.40] 大概几千万上下
[388.40-389.58] 一个微幅的波动
[389.58-391.80] 那这个月这一季的话
[391.80-392.72] 比较短
[392.72-394.04] 投资活动比较大的
[394.04-395.44] 就是刚才提到短期借款
[395.44-397.86] 有一个10亿的部分的增加
[397.86-400.02] 那当然之前也有还了一个3.6亿
[400.02-402.28] 所以整个投资活动的现金流量
[402.28-403.72] 是有6.59亿
[403.72-405.66] 那整个期末现金是
[405.66-407.70] 现金部位大概40亿
[407.70-410.52] 那如果加上我们定存来讲的话
[410.52-412.60] 目前整个滑行集团的现金
[412.60-414.86] 整个水位大概在51亿左右
[414.86-416.90] 那跟我们整个营运活动
[416.90-418.16] 所需要的现金都还算
[418.40-420.70] 是相同率的
[420.70-423.62] 那整个大家比较关心的营收的趋势
[423.62-425.32] 目前来看我们已经
