[0.00-1.84] 各位投资先进大家好
[1.84-4.42] 中国智慧股份有限公司
[4.42-7.24] 线上法人会正式开始
[7.24-9.96] 那首先为各位
[9.96-13.58] 各位介绍今日公司出席的长官
[13.58-16.04] 那第一位为蔡松佑总经理
[16.04-20.00] 那第二位为张慧纯发言人
[20.00-23.64] 好那我们接下来把时间交给蔡总经理
[23.64-24.18] 谢谢
[24.18-25.86] 好
[25.86-28.56] 各位投资法人先进大家好
[28.56-31.78] 那接下来我会针对我们中国自由
[31.78-33.50] 114年的
[33.50-37.64] 那个法说会的内容做个简单的介绍
[37.64-48.94] 好
[48.94-51.98] 那我们法说正式就开始
[51.98-53.06] 那下一页
[53.06-56.10] 首先这是免责声明
[56.10-57.28] 请大家参阅
[57.28-58.30] 接下来
[58.56-62.56] 那这是今天的简报的一个内容
[62.56-64.70] 针对公司简介还有营运状况
[64.70-66.76] 会有我们财务部长来做个说明
[66.76-69.32] 那我会针对未来公司的展望
[69.32-70.92] 做个简单的介绍
[70.92-72.22] 下一页
[72.22-77.02] 好我们公司是在1974年成立的
[77.02-81.40] 那在84年86年陆续完成这个
[81.40-82.68] 涉油药的开发
[82.68-84.32] 进入到市场
[84.32-88.06] 那在92年进入到中国的广东
[88.06-88.34] 那在94年进入到中国的广东
[88.56-91.12] 那在94年通过ISO的认证
[91.12-96.76] 那在1996年在上海成立我们的分公司
[96.76-99.82] 另外一个分公司
[99.82-104.62] 那在同年我们在台湾的证券交易市场也通过
[104.62-106.82] 不要上市
[106.82-112.44] 那陆续在2005年06年成立了印尼跟山东的分公司
[112.44-117.04] 那在2015年也成立了孟加拉的分公司
[117.04-118.40] 那这是我们公司的主页
[118.40-118.52] 主页是什么呢?
[118.52-122.62] 就是我们的设计图架构请各位参阅
[122.62-127.48] 那这是我们整个公司在亚洲的一个据点的分布
[127.48-131.32] 主要还是以中国还有东南亚这一块
[131.32-135.42] 中亚孟加拉这边为主要的据点
[135.42-139.00] 那我们中国滋油主要有三个BU
[139.00-140.54] 那主要
[140.54-142.58] 最主要的还是在陶瓷这一块
[142.58-146.68] 那是生产陶瓷的涉油料还有数码墨水
[146.68-147.96] 那第二个BU是什么呢?
[148.52-152.36] 就是建筑材料我们生产解禁化玻璃
[152.36-156.72] 这个是用在建筑物的一些外墙或者是内装上面
[156.72-161.06] 那第三块是我们的现在在发展的一个新材料的部门
[161.06-163.12] 主要生产玻璃荧光片
[163.12-164.64] 还有电子级的玻璃
[164.64-167.98] 以及全固态的电子材料
[167.98-172.58] 那接下来营运状况我们就请财务长来做
[172.58-173.86] 各位先进好
[173.86-178.48] 那首先我针对我们整个2024年跟2023年的整个资产的关系是什么?
[178.52-187.74] 那首先看一下2024年我们的现金应该当现金是5.15亿
[187.74-192.08] 那按看销售成本衡量的金融资产流动的是3600万
[192.08-194.14] 那应收账款大概有6.25亿
[194.14-196.70] 那存货呢6.24亿
[196.70-200.80] 那另外整个不动产强行设备的部分大概是9.08亿
[200.80-203.10] 其他资产大概8.27亿
[203.10-206.42] 整个资产总计是45.35亿
[206.42-208.48] 那针对流动负债部分是9.08亿
[208.52-212.88] 被流动负债部分是1.83亿
[212.88-215.94] 我们本公司的业主的前亿是29.56亿
[215.94-219.02] 那非控制权益的部分是4.2亿
[219.02-221.58] 接着我们看一下下一页
[221.58-225.68] 那整个2024年的
[225.68-226.70] 选业表
[226.70-228.24] 综合选业表的部分
[228.24-230.80] 营业收入大概是24.15亿
