[0.00-2.00] 各位投資先進午安
[2.00-8.00] 很高興今天能夠邀請到紅寶科技來參加台新證券所舉辦的法人說明會
[8.00-12.00] 那今天的法說會簡報將於會後上傳至公開資訊觀測站
[12.00-14.00] 屆時再請各位投資人下載參閱
[14.00-19.00] 那接下來我們就將時間交給今天的營運的團隊 謝謝
[22.00-26.00] 首先先感謝各位投資先進歷齡今天的法說會
[26.00-30.00] 那接下來由我跟大家介紹這一次的簡報內容
[34.00-38.00] 今天的主要目錄還是有公司的概況 營運績效
[38.00-40.00] 第二是產品的組合跟市場趨勢
[40.00-44.00] 第三點是成長策略與未來展望
[46.00-49.00] 首先我想這次我們的slide稍微把它修了一下
[49.00-53.00] 讓它比較簡潔 讓清晰讓大家知道我們的公司主軸是什麼
[53.00-56.00] 那公司概況的話就不再多做分析
[56.00-59.00] 當然我們還是要強調我們的核心的跟技術地位
[59.00-62.00] 因為我們從整個專業的Porsche製造
[62.00-65.00] 從先前的Linux到過去幾年
[65.00-67.00] 當然跟大家提到的安卓的轉換
[67.00-70.00] 到現在我們在安卓上面是有一定的強度
[70.00-76.00] 我們還是維持我們在Porsche終端的設計跟生產製造的領先能力
[76.00-78.00] 那再來一個核心業務
[78.00-82.00] 我想前兩點是我們從起家的就是ICGAR相關
[82.00-84.00] 到了Porsche金融教育設備
[84.00-86.00] 最後事實上前一陣子
[86.00-88.00] 保守衛我們有陸續帶到
[88.00-90.00] 這是我們目前在發展的方向
[90.00-91.00] 就是TAAS
[91.00-95.00] 就包含整個我們在分什麼終端的雲端的一些服務
[95.00-99.00] 跟後續的維修一些的支持的一些服務
[99.00-102.00] 這個是我們在繼續努力的部分
[103.00-106.00] 那這個部分我想大家一起來都調
[106.00-110.00] 這從基礎的Porsche本體到Porsche的一個軟體
[110.00-113.00] 前台的軟體到了Porsche的雲端搭飛
[113.00-116.00] 這是像我們公司整個四大方向的產品的主要目標
[116.00-125.00] 接 feeder去了
