[0.00-2.00] 中央公益领域
[2.00-3.72] 本次业务上
[3.72-5.52] 专门提供的提交队
[5.52-6.32] 杨周宁
[6.32-7.60] 杨元帮 米长
[7.60-8.80] 金坤 胡彦斑
[8.80-10.88] 李书昱 陈旺东
[10.88-11.44] 郭董基
[11.44-14.08] 首先
[14.08-16.08] 将进入公司的简报中间
[16.08-17.52] 我们请两位厂方
[17.52-18.44] 为我们这种公益的
[18.44-19.28] 评判报告
[19.28-20.20] 领域成果
[20.20-21.08] 请为了厂方
[21.08-22.20] 为各位说明
[22.20-22.96] 五分五秒
[22.96-24.72] 好
[24.72-25.92] 各位同事好
[25.92-27.32] 大家下午好
[27.32-28.84] 那今天我大概针对
[28.84-30.04] 给三个地方说
[30.04-31.84] 未来十四月的开锁
[31.84-33.56] 所以我针对这段时间
[33.56-34.92] 来对付一下
[34.92-37.20] 我们的业绩跟财务状况
[37.20-38.76] 那之后也会表态
[38.76-39.72] 三五天也会
[39.72-42.24] 参与一个成年人办法
[46.20-47.04] 那这一期
[47.04-48.52] 我们简单放过在下
[48.52-50.56] 那同事他辞职之后
[50.56-51.48] 一开始的发展
[51.48-52.60] 是离间一路的
[52.60-53.52] 那之后
[53.52-54.04] 我们在公司
[54.04-55.40] 另一个工作中呢
[55.40-56.16] 就开始有了
[56.16-57.24] 其他团体建案
[57.24-58.72] 当委员会主力的讲
[58.72-58.80] 那
[58.80-58.84] 那
[58.84-59.84] ется
[59.84-60.62] 大概有
[60.62-61.28] 我 Cut it
[61.28-62.56] 不保 chi
[63.52-64.44] chalk
[64.44-65.40] 好吧
[65.40-67.00] 上面我被针对
[67.00-69.64] at
[69.64-69.92] 黄
[69.92-70.28] 往处
[70.32-70.88] Chicken
[70.88-72.44] watch
[72.80-72.88] 这个
[72.88-74.36] 我
[74.36-75.20] 那个
[75.20-76.00] magical
[76.00-76.40] 什么
[76.40-77.16] 是
[77.16-78.70] Half
[79.20-80.62] T
[80.62-81.64] 日
[81.64-81.66] ih
[81.66-82.12] h
[83.20-83.84] 24
[83.84-83.96] emo
[83.96-84.64] s
[84.64-84.88] one
[84.88-85.52] 身
[85.52-85.60] abi
[85.60-85.70] p
[85.70-86.04] hi
[86.04-86.54] 听
[86.54-86.80] room
[86.80-87.06] s
[87.06-87.68] hus
[87.68-88.06] boy
[88.06-88.46] bes
[88.46-88.56] be
[88.56-88.70] y
[88.70-88.80] AU
[88.80-90.04] 消費性電子
