[0.00-5.64] 各位投资先进午安
[5.64-9.42] 欢迎参加三晃股份有限公司线上法人说明会
[9.42-12.26] 首先为大家介绍今天与会的主管
[12.26-13.96] 有黄庭帝董事长
[13.96-15.62] 洪庭怡经理
[15.62-18.34] 今天会议程序将先用公司进行
[18.34-19.68] 营运进化简报的说明
[19.68-20.88] 再进行Q&A
[20.88-22.32] 在简报的进行中
[22.32-24.82] 如果任何提问请输入到聊天的视窗
[24.82-27.40] 简报完毕后会一并回答您的提问
[27.40-30.78] 那我们现在就把时间交给黄庭帝董事长
[30.78-33.54] 各位贵宾
[33.54-36.46] 各位投资人大家好
[36.46-40.42] 感谢今天参加我们公司的法说会
[40.42-44.64] 那首先我们会对于公司的营运做一个报告
[44.64-46.40] 那就由我们洪经理
[46.40-49.12] 为大家做详细的解说
[56.22-57.38] 各位线上的投资人
[57.38-60.96] 以及所有的与会人员大家好
[60.96-65.58] 感谢大家参加今天三晃股份有限公司
[65.58-67.10] 2025年度法说会
[67.10-69.66] 我是三晃公司的管理部经理
[69.66-70.44] 洪庭怡
[70.44-74.28] 法说会的前半段会由我这边为各位说明
[74.28-77.34] 公司的简介以及目前的营运状况
[77.34-79.40] 那后半段的部分会由
[79.40-83.24] 黄庭帝董事长为各位说明公司未来的展望
[83.24-85.80] 那我们现在开始今天的法人说明会
[87.38-91.74] 首先关于简报的内容
[91.74-95.58] 先向各位与会人员声明3.4项
[95.58-96.34] 第一点
[96.34-99.66] 简报中除财务摘要之数据外
[99.66-104.78] 其他内容并未经过会计师或独立专家的审核或审阅
[104.78-105.82] 第二点
[105.82-110.42] 简报之内容资讯可能包含各项前瞻性的陈述
[110.42-114.00] 该陈述系基于本公司对未来之假设
[114.00-117.08] 与各项本公司无法控制之因素
[117.08-122.20] 故未来实际营运的结果可能与该陈述有所差异
[122.20-123.22] 第三点
[123.22-132.44] 本文件不得视为买卖有价证券或其他金融商品之要约
[132.44-136.80] 展望公司成立于1974年的12月31日
[136.80-139.36] 我们主要营业的业务有
[139.36-142.16] 植物保护用药特用化学品
[142.16-146.78] 高分子塑胶粒以及合成树脂制造买卖
[146.78-149.34] 截至2025年5月底止
[149.34-153.70] 全公司的员工人数有439人
[153.70-158.30] 目前的实收资本额为新台币18.49亿元
[158.30-161.88] 最近一年度2024年度的合并营收为
[161.88-163.16] 新台币
[163.16-172.38] 22.87亿元
[172.38-174.94] 弹簧公司所属的产业链
[174.94-180.32] 我们引用证券交易所产业价值链资讯平台向各位说明
[180.32-182.36] 商况公司被分类在
[182.36-184.66] 石化及橡塑胶产业
[184.66-187.22] 产业的上游为大型的石化厂
[187.22-190.56] 主要将原油裂解提炼出清油
[190.56-197.72] 再制成乙烯、丙烯、丁二烯、本、分等石化基本原料
[197.72-204.90] 产业的中油主要将基本原料经过聚合、止化、晚化等化学反应后
[204.94-209.54] 制成塑胶、橡胶、人造纤维等化学原料
[209.54-220.56] 中油的产品可概分为四大类包含PTA、介面活性剂、工业用合成塑脂、橡塑胶添加剂等
[220.56-225.94] 化学品可概略分为泛用化学品以及特用化学品两种
[225.94-228.50] 泛用化学品的成分简单
[228.50-232.34] 种类少常为化工制品的基本原料
[232.34-234.90] 而特用化学品为特定目的而生成的原料
[234.90-238.74] 是化学产业链中的中间产物
[238.74-244.88] 具有制造技术高、成分复杂、特殊用途等特征
[244.88-257.68] 产业的下油主要为像塑胶制品、清洁用品、染颜料、农药、人造纤维、接着剂、化妆品等
[257.68-261.52] 以化学原料制成的各种日常用品
[261.52-263.82] 透过这个流程图我们可以知道
[263.82-264.86] 商况公司是在发展化学品的中间产物
[264.86-267.16] 是位于产业的中油以及下油
[271.26-274.84] 接着为各位介绍商况公司的主要产品
[274.84-277.40] 我们主要可以分为四大类
[277.40-279.46] 第一类为植物保护用药
[279.46-281.24] 第二类为特用化学品
[281.24-283.80] 第三类为高分子塑胶粒
[283.80-288.42] 第四类为合成树脂
[288.42-292.76] 植物保护用药的部分主要作为农业使用之杀虫剂
[292.76-294.30] 我们主要生产
[294.86-297.16] 胺基甲酸脂盐类的原体
[297.16-299.72] 原体会在出售给下油的客户
[299.72-303.56] 调配成各种市售的植物保护用药
[303.56-320.46] 接着为各位介绍的是第二大类的产品特用化学品
[320.46-322.26] 首先是抗氧化剂
[322.26-323.54] 抗氧化剂主要作为防腐剂的主要用品
[323.54-324.82] 抗氧化剂主要作为防腐剂的主要用品
[324.86-329.72] 防止像塑胶产品于受热加工氧化质安定剂
[329.72-335.36] 应用于聚锡钉如聚乙锡、聚丙锡及锡钉共聚物
[335.36-342.78] 聚碳酸脂、PS塑脂、PVC、工程塑料、橡胶及石油产品
[342.78-345.60] ABS塑脂等高分子材料
[345.60-350.72] 亦可使用于粘合剂、天然或合成塑脂
[354.86-361.00] 胶帘剂主要为亚克力鑫盐
[361.00-364.08] 主要作为高尔夫球球芯的主要原料
[364.08-370.98] 接着是电子化学品
[370.98-374.58] 电子化学品为二甲基氨铜丸
[374.58-378.92] 主要作为印刷电路板黑化制成中使用的还原剂
[378.92-384.82] 主要作为印刷电路板黑化制成中使用的还原剂
[384.86-391.00] 鲁园剂为不易燃烧或预热分解为吸热反应物质
[391.00-394.34] 不含鲁素且与素质相容性佳
[394.34-396.90] 常见添加于还氧素质
[396.90-408.16] 作为铜箔基板、电路板、电子设备塑料的主燃应用
[408.16-412.76] 接着是特用化学品的最后一个产品项目成合剂
[412.76-414.82] 成合剂主要作为PP的主要原料
[414.82-420.20] 鲁园剂的添加剂可以用来增加PP制品的透明性以及刚性
