[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.56] 那各位投资先进大家午安
[32.56-38.38] 那感谢大家来参加美绿第一季的一个法说
[38.38-45.06] 那首先我先讲一下第一季的那个经营的一个状况
[45.06-50.44] 然后接下来大概会讲一下就是说第二季
[50.44-55.28] 还有就是说整年我们现在目前看到的一个情况是怎么样
[55.28-59.74] 那首先第一季的营收是88.58
[59.74-66.70] 那对比去年同期是增加6.04个percent
[66.70-76.76] 那营收增加的主要的原因是来自于那个speaker的一个业务的一个成长
[76.76-81.20] 那speaker对比去年同期是成长了16个percent
[81.20-85.34] 那第一季的毛利是10.95亿
[85.34-89.72] 那比那个去年同期的10.5亿
[89.74-92.00] 是增加了4500万
[92.00-96.72] 那当然最主要的原因就是因为营收比较高
[96.72-102.24] 那所以呢毛利YY是增加了4.29个percent
[102.24-105.02] 那毛利率是12.36
[105.02-112.54] 那对比去年同期是维护下降的0.21个百分点
[112.54-115.00] 那这主要有两个原因
[115.00-118.76] 第一个原因当然是受到产品组合的一个影响
[119.74-126.00] 就是说这个YY的一个成长主要是来自于speaker
[126.00-131.84] 那因为speaker我们主要是在资产生产
[131.84-134.58] 所以这部分的毛利率是比较低的
[134.58-141.08] 那所以呢你从那个毛利率来看的话
[141.08-145.08] 就会比较小就是比较低一点点
[145.08-148.24] 那另外一个就是我们在第一季的时候
[148.24-149.72] 有一个大量生产的毛利率
[149.74-151.08] 它是比较低的
[151.08-152.28] 所以我们的计算是比较低的
[152.28-154.64] 所以我们是一种有很高的头脑的机构
[154.64-156.36] 我们只是一个正常的机构
[156.36-158.54] 那它有一些品质的问题
[158.54-161.08] 所以有一些从工
[161.08-165.10] 那也造成这个产品线的那个毛利率是比较下降
[165.10-168.10] 那不过目前这个问题都已经解决了
[168.10-173.16] 那四月份以后这个产品的毛利率就会回到正常的一个水准
[173.16-178.42] 所以这个产品的那个毛利率是比较有望去改善的
[178.42-179.70] 那再来的话
[179.70-180.78] 9.9亿
[180.78-185.50] 那对比去年是增加了13.92个percent
[185.50-191.76] 那主要增加的原因是那个研发费用的一个增加
[191.76-198.30] 那研发费用里面又主要是来自于用的费用的一个增加
[198.30-203.70] 那因为我们的那个就是从去年
[203.70-209.80] 大概年中以后我们的接案量其实是增加很多
[209.80-217.92] 那这些接案都是否今年下半年还有2026年的一些新案
[217.92-220.78] 那因为接量数多
[220.78-224.72] 所以我们增加了非常多的那个RD的一个人员
[224.72-227.24] 那主要是在台湾
[227.24-230.74] 那另外我们在新加坡啦
[230.74-231.70] 印度啦
[231.70-233.68] 还有那个我们
[233.68-240.66] 我们的青岛甚至我们的深圳都都增加蛮多的那个RD的一个人员
[240.66-245.46] 是否今年下半年还有明年的一个
[245.46-249.50] 那个用人费用是增加
[249.50-256.10] 那另外一个是那个佛2027年的一些新产品线的一个投入
[256.10-261.68] 那这一部分也有小小部分的一个用用人费用的一个增加
[261.68-263.18] 那另外一个就是
[263.18-263.66] 那另外一个就是
[263.68-266.16] 那个客户感到非常非常着急
[266.16-268.44] 然后和就的
[268.44-269.66] 那那么后来记者
