[0.00-8.94] 各位先進
[8.94-10.74] 瑞勳科技股份有限公司
[10.74-12.74] 法人說明會正式開始
[12.74-15.44] 我們把時間交給邱玉平常長
[15.44-18.68] 各位投資人大家好
[18.68-23.26] 首先跟大家做公司的簡報
[23.26-32.66] 公司成立在83年
[32.66-35.30] 資本現在是68億
[35.30-41.82] 去年的公司營收是232億
[41.82-45.32] 目前除了總部以外
[45.32-53.16] 工廠是在中國的蘇州跟越南
[53.16-55.16] 有的工廠
[55.16-58.40] 台北這邊總部有400多人
[58.40-61.80] 蘇州是1500人
[61.80-64.10] 越南接近4000人
[64.10-67.10] 主要的產品是電視
[67.10-69.10] 還有Gaming Monitor
[69.10-71.82] 跟滑鼠跟Webcam
[71.82-73.82] 還有一些視訊會議系統
[73.82-80.82] 這個是目前中國的這個
[80.82-83.16] 工廠的概況
[83.16-87.56] 成立大概是在2008年
[87.56-89.16] 民國97年
[89.16-92.40] 資本是9000萬美金
[92.40-97.70] 目前有29條生產線
[97.70-102.12] 包括電視跟Monitor都有9條
[102.12-104.72] Mouse跟Webcam有20條
[104.72-112.72] 越南的部分資本接近8000萬美金
[113.16-117.16] 土地面積是15萬平方米
[117.16-120.16] 廠房現在目前有三期
[120.16-121.16] 一期就行
[121.16-123.16] 三期也陸續完成
[123.16-126.16] 員工接近4000人
[126.16-131.16] 產品跟剛剛所述相同
[135.16-141.16] 去年整個營業額是232億
[141.16-143.16] 稅前淨利是148億
[143.16-148.16] EPS是1.8元
[148.16-151.16] 去年第三季是高工
[151.16-155.16] 來到單季有74億的營業額
[155.16-165.16] 整年是232億
[165.16-169.16] 營收232億
[169.16-173.16] 毛利是20.8億
[173.16-177.16] 毛利率大概是在9%左右
[177.16-185.16] 本業的營業淨利是1億8200多萬
[185.16-191.16] 業外的部分是13億5000多萬
[191.16-195.16] 合計稅前是15億3200多萬
[195.16-199.16] 扣除稅之後是13億200多萬
[199.16-201.16] EPS是1.8元
[201.16-205.16] 每一季的概況請各位參考
[205.16-209.16] 以第一四季來看
[209.16-212.16] 營收是55.8億
[212.16-215.16] 營業毛利是5億1800萬
[215.16-219.16] 扣除費用本業獲利是2500多萬
[219.16-222.16] 營業貿易是5億1800萬
[222.16-225.16] 扣除費用本業獲利是2500多萬
[225.16-227.16] 營業貿易是5億1800萬
[227.16-229.16] 扣除費用本業獲利是2500多萬
[229.16-231.16] 營業貿易是5億1800萬
[231.16-233.16] 家業外受益是3億1800萬
[233.16-235.16] 家業外受益是3億1800萬
[235.16-237.16] 家業外受益是3億1800萬
[237.16-239.16] 合計稅前是3億4000多萬
[239.16-241.16] 合計稅前是3億4000多萬
[241.16-243.16] 本期稅後是3億2800多萬
[243.16-245.16] 本期稅後是3億2800多萬
[245.16-247.16] 公道參考
[247.16-249.16] 資產不在表來看
[249.16-251.16] 資產不在表來看
[251.16-253.16] 總資產去年頂的是211萬
[253.16-255.16] 總資產去年頂的是211萬
[255.16-257.16] 以現金含定存
[257.16-259.16] 以現金含定存
[259.16-261.16] 是有70億
[261.16-263.16] 負債比是34%
[263.16-265.16] 負債比是34%
[265.16-267.16] 流動比是235%
[267.16-269.16] 出動比是192%
[269.16-271.16] 出動比是192%
[271.16-273.16] 公司淨值是140億
[273.16-275.16] 公司淨值是140億
[275.16-277.16] 每股book value是20.36元
[277.16-279.16] 每股book value是20.36元
[279.16-281.16] 每股book value是20.36元
[285.16-287.16] 現流表部分
[287.16-289.16] 現流表部分
[289.16-291.16] 去年一整年是現金流入10億
[291.16-293.16] 去年一整年是現金流入10億
[293.16-295.16] 以營業活動是流入14.3億
[295.16-297.16] 以營業活動是流入14.3億
[297.16-299.16] 投資活動是流入4.8億
[299.16-301.16] 投資活動是流入4.8億
[301.16-303.16] 從資活動
