[0.00-8.58] 各位投资先进午安
[8.58-11.46] 欢迎各位参加今年电子法人说明会
[11.46-14.64] 现在为各位介绍与会经营团队
[14.64-16.94] 徐志达执行长
[16.94-18.88] 大家好
[18.88-22.24] 张嘉玲总管理处协理
[22.24-23.40] 纪发言人
[23.40-25.14] 各位午安大家好
[25.14-28.18] 接下来把时间交给经营团队
[28.18-28.76] 谢谢
[30.00-32.66] 各位投资先进大家好
[32.66-35.30] 欢迎各位在把忙之中
[35.30-38.00] 拨龙参加今年电子的法人说明会
[38.00-40.08] 今天的简报内容
[40.08-42.86] 我们将分成三个部分进行说明
[42.86-45.88] 最后再开放Q&A的时间
[45.88-48.70] 首先会由我来为大家介绍
[48.70-50.70] 公司的简介与财务报告
[50.70-52.78] 接着由我们的执行长
[52.78-55.08] 进一步说明一面展望
[55.08-58.78] 我们先从公司简介开始说明
[58.78-59.98] 公司简介
[60.00-65.98] 今天电子自创立以来
[65.98-68.10] 我们始终秉持着诚信
[68.10-71.20] 卓越合作共享的经营理念
[71.20-73.16] 无论是对内的同仁
[73.16-76.50] 或对外的客户与合作伙伴
[76.50-78.68] 我们都坚持诚信为本
[78.68-80.22] 将近45年来
[80.22-82.08] 我们持续追求进步
[82.08-84.24] 透过内部团队的合作
[84.24-88.04] 并与供应商与客户建立长期的伙伴关系
[88.04-89.84] 达成共荣共好
[89.84-94.20] 我们的目标是成为业界的标杆企业
[94.20-97.00] 并为社会带来正面的贡献
[97.00-100.84] 接下来我们来看到公司的历史严格
[100.84-105.96] 今年电子的起点可以追溯到1979年
[105.96-110.06] 我们原本是经济电脑旗下的一个AIDC事业单位
[110.06-114.92] 到了2008年我们正式分割成独立经营的今年电子
[114.92-118.00] 专注于自动辨识与资料搜集的领域
[118.00-119.80] 隔年也就是2009年
[119.84-122.40] 我们挂牌上柜
[122.40-126.76] 并在2022年的9月我们转为上市公司
[126.76-131.10] 我们所处的AIDC产业早期是以条码应用为主
[131.10-132.90] 但随着科技的演进
[132.90-134.94] 已经拓展到多维的条码
[134.94-137.24] RFID 影像辨识
[137.24-140.84] 乃至于整合物联网的智慧解决方案
[140.84-143.40] 今年电子从产品的研发
[143.40-144.68] 制造到行销
[144.68-148.52] 至于自由品牌Unitec推向全球
[148.52-149.80] 目前品牌经营的设计和设计方案是全球的
[149.84-151.88] 已经超过40年
[151.88-155.48] 目前公司资本额为新台币7.5亿元
[155.48-158.54] 全球员工总数有422人
[158.54-162.64] 分布在14个国内外的办公室
[162.64-165.20] 其中海外的员工约81人
[165.20-169.04] 主要是从事业务与技术资源的工作
[169.04-171.86] 工作董事长为叶家文先生
[171.86-176.98] 集团总经理及执行长为徐志达先生
[176.98-179.28] 接着我们来看一下产品线
[179.28-181.58] 我们的产品主要分为五大类
[181.58-184.14] 第一是工业级的行动电脑
[184.14-186.20] 第二是条码扫描器
[186.20-188.76] 第三是ID解决方案
[188.76-191.06] 第四是iOS的相容设备
[191.06-193.88] 第五则是软体的应用方案
[193.88-197.72] 以公规行动电脑为例
[197.72-199.76] 我们产品形式是多元的
[199.76-201.80] 包括手持式的PDA
[201.80-204.36] 键盘型的handheld装置
[204.36-206.16] 以及穿戴式的设备
[206.16-207.96] 像是可系于手腕
[207.96-210.52] 然后让双手空突来操作的机型
[210.52-213.84] 此外也有搭配较大萤幕的工业平板
[213.84-217.18] 让我们满足不同场域的需求
[217.18-219.22] 在条码扫描器的部分
[219.22-222.80] 相信大家在日常生活中都很熟悉
[222.80-224.60] 像是在便利商店
[224.60-227.92] 零售店看到的结账的扫描器
[227.92-230.48] 我们的产品涵盖的手持式
[230.48-233.04] 穿戴式与口袋型的装置
[233.04-235.36] 我们支援一尾跟二尾条码
[235.36-237.92] 采用CCD跟Laser的技术
[237.96-240.00] 也有有线跟无线的机型
[240.00-241.80] 例如穿戴式的扫描器
[241.80-243.60] 我们是可以戴在手指上
[243.60-246.40] 用大拇指就能快速的扫描机器
[246.40-248.96] 口袋型则是比体积小巧
[248.96-253.84] 我们可以放在口袋或挂在胸前方便携带
[253.84-255.12] 在RFID的领域
[255.12-257.42] 我们掌握完整的核心技术
[257.42-259.72] 产品的形式包括固定式
[259.72-262.28] 手持式与口袋型的Reader
[262.28-267.40] 也提供模组给客户进行整合应用
[267.40-270.98] iOS产品则与Apple的装置相容
[270.98-273.04] 具备苹果认证
[273.04-274.56] 有口袋型的Reader
[274.56-277.12] 也有Zillay型的条码扫描器
[277.12-279.44] 可以直接结合iPhone或iPad
[279.44-284.04] 变身为强效质资料收集工具
[284.04-286.34] 除了硬体产品外
[286.34-288.64] 我们也整合了自行研发软体
[288.64-290.96] 导入多种应用场景
[290.96-293.52] 协助客户建构整体解决方案
[293.52-296.08] 进一步提升产品的附加价值
[297.40-299.96] 接下来是我们的营运模式
[299.96-302.00] 今年电子的总部是设在
[302.00-304.06] 新北市的新店区
[304.06-305.34] 为了品牌经营
[305.34-308.66] 我们在欧洲、日本、美洲、日本
[308.66-312.24] 跟中国的地区都设有全资的子公司
[312.24-314.30] 我们提供在地的销售
[314.30-316.86] 技术支援跟售后服务
[316.86-319.42] 此外我们也与全球各地的
[319.42-321.46] 价值型代理商合作
[321.46-324.54] 产品在经过系统整合商
[324.54-326.84] 软体开发商或经销商
[327.40-329.44] 进入最终的用户端
[329.44-332.78] 最终使用者都是企业机构
[332.78-336.36] 产品是属于他们营运所需的关键设备
[336.36-338.16] 对于大型专案的客户
[338.16-340.72] 我们也提供直接销售的服务
[340.72-343.78] 另外部分业务我们是采ODM的模式
[343.78-349.68] 为客户量身打造专属设计跟制造的方案
[349.68-353.00] 我们的产品应用领域是非常广泛
[353.00-356.32] 举办零售管理、政府机构
[356.32-357.36] 物流运输
[357.40-358.42] 制造现场
[358.42-362.00] 仓储管理、临场服务、医疗账户等
[362.00-364.56] 都可以看见我们产品的应用场景
[364.56-367.38] 例如我们在销售中的应用在
[367.38-369.18] 结账盘点订货
[369.18-373.52] 政府单位如警证跟股票集保等等
[373.52-375.32] 在物流业者的部分
[375.32-378.64] 我们可以用于包裹的追踪跟货物的管理
[378.64-381.98] 制造跟仓储中我们可以进行产线的
[381.98-385.56] 资料搜集跟库存的管控
[385.56-387.10] 在临场服务
[387.40-391.24] 路边停车收费或大型活动的票证管理
[391.24-393.04] 在医疗领域的部分
[393.04-399.44] 我们是涉及病人药品跟设备的精准的识别
[399.44-402.50] 再来是我们的全球营销的网络
[402.50-406.08] 目前今年在全球共有14个办公据点
[406.08-409.16] 跟18个行销服务据点
[409.16-411.98] 合作的经销商超过1200家
[411.98-415.30] 身为品牌商我们除了深耕植树的子公司以外
[415.30-417.36] 我们也非常重视全球
[417.40-420.98] 经销商伙伴的支持跟经营的支持
[420.98-425.08] 确保我们的产品能够有效推展到世界各地
[425.08-427.64] 最后这一页我们可以看到
[427.64-430.96] 在AIDC自动辨识与资料搜集的领域
[430.96-434.30] 今年电子是台湾市场的第一大供应商
[434.30-437.62] 在全球的市场的排名是第八大
[437.62-441.46] 以上是我们的公司简介
[441.46-444.80] 接下来跟各位报告今年电子
[444.80-447.36] 2025年第一季的财务绩效跟财务领域的分析和计算方式
[447.40-452.52] 首先我们来看水平表的部分
[452.52-456.62] 本季我们的营业收入来到新台币5.64亿元
[456.62-459.68] 相较去年同期是成长了7%
[459.68-463.78] 这样的成长主要是来自于我们产品组合的持续优化
[463.78-466.34] 再加上原物料跟制造成本的有效控管
[466.34-469.92] 让我们的营业毛利提升到1.92亿元
[469.92-472.48] 年增是13.5%
[472.48-477.36] 整体来看我们在价格策略跟成本的效率上都有明显的进展
[477.40-480.22] 在营业费用方面
[480.22-484.32] 我们的控制得盈仅小幅增加0.3%
[484.32-488.40] 因此本季的营业利益达到了1492万元
[488.40-494.30] 较去年同期亏损739万元是有明显的改善
[494.30-498.90] 接下来我们来看几个关键的获利比率
[498.90-503.00] 在毛利率的部分我们提升到了34.09%
[503.00-506.08] 这比去年同期是增加近2个百分点
[506.08-507.36] 显示我们这产品组合的货运力是增加了3.9%
[507.40-508.16] 这比去年同期是增加近2.9%
[508.16-509.44] 这比去年同期是增加近2.9%
[509.44-511.50] 这比去年同期是增加近2.9%
[511.50-518.40] 在营业利益的部分我们是从去年的-1.4%回升到2.65%
[518.40-520.96] 说明我们的营收规模成长的同时
[520.96-523.78] 我们的费用控管也相当的到位
[523.78-528.64] 在净利率的部分我们是从2.28%提升到4.52%
[528.64-530.96] 我们年增超过2个百分点
[530.96-534.54] 代表我们整体的营业效率是持续的改善
[534.54-536.84] 整体来看我们这三率
[536.84-538.38] 是全面的上升
