[0.00-7.64] 各位投資先進
[7.64-10.42] 各位投資先進大家好
[10.42-13.20] 歡迎大家今日來參加
[13.20-17.16] 敦煬科技114年的第一季法人說明會
[17.16-21.96] 首先介紹今天公司與會的經營團隊
[21.96-24.12] 黃新琦副總
[24.12-28.52] 以及代理發言人于俊錡副理
[28.52-30.42] 歡迎副總跟副理
[30.42-32.58] 接下來的時間
[32.58-33.88] 副總好
[33.88-39.80] 接下來的時間就有請副總幫我們進行公司的簡報說明
[39.80-42.46] 後半段再開放給大家提問
[42.46-43.64] 有請副總
[43.64-44.88] 謝謝
[44.88-46.58] 謝謝凱姬
[46.58-49.32] 謝謝尼小姐的邀請安排
[49.32-52.48] 也謝謝各位投資先進百忙錯空
[52.48-56.40] 來參加敦煬科114年第一季的法人說明會
[56.40-58.28] 我是黃新琦
[58.28-61.64] 原本我們的發言人是曲瑞華
[61.64-62.28] 曲副總
[62.28-63.64] 他因為借齡退休
[63.64-66.04] 所以由小弟接任
[66.04-70.84] 小弟原本的副發言人的職位就是由于副理接任
[70.84-74.52] 今天就是由我們兩位來替各位做報告
[74.52-79.24] 首先是我會針對公司的一些比較策略跟經營方向
[79.24-81.40] 跟大家做一些簡略的報告
[81.40-86.00] 至於financial跟一些sales performance的那些數字
[86.00-88.26] 我會請于副理跟各位報告
[88.28-90.28] 好 接下來就開始了
[90.28-93.00] 這是免責聲明
[93.00-95.24] 就麻煩各位參考看看
[95.24-99.28] 重點就是所有最up to date的資料
[99.28-103.20] 還是請各位投資先進去參訪
[103.20-107.96] 公開資訊觀測站上面的公告
[107.96-112.28] 因為技術一直在進步
[112.28-113.44] 一直在改進
[113.44-115.04] 所以會有一些變革
[115.04-120.64] 分洋科已經超過32年了
[120.64-125.04] 從開始經營到現在已經超過32年
[125.04-126.08] 所以是一個蠻久的公司
[126.08-128.52] 一直都專注在系統整合上面
[128.52-133.80] 我們大概平均一年有超過1600家activate
[133.80-135.64] 就是活躍的
[135.64-139.52] 在進行交易的客戶大概平均大概是這個數字
[139.52-142.36] 所有的各個領域
[142.36-144.88] 比如說其實領域是包含像是
[145.04-147.80] 什么职业高科技制造业电信
[147.80-151.18] 所有这些领域的贴腕的客户
[151.18-152.72] 都是我们的客户
[152.72-156.74] 我们大概有代理超过40家
[156.74-161.50] 整个Worldwide大概是前三名的解决方案
[161.50-165.52] 所有的这也让我们的
[165.52-168.18] 我们经营这三十几年那个成绩
[168.18-170.20] 让所有的原厂
[170.20-171.52] 就是我们这些supplier
[171.52-175.42] 他们在找台湾的地区的这些合作伙伴
[175.42-176.48] 都会先想到我们
[176.48-179.30] 我们的公司的愿景就是
[179.30-181.02] 协助我们的客户
[181.02-184.88] 通常我们的客户也是客户单位的这个资讯部门
[184.88-187.20] 协助他们成为像我们一样
[187.20-189.18] 针对他们的客户
[189.18-192.56] 也是他们一般使用的提供IT的服务
[192.56-196.52] 这个是公司治理评鉴
[196.52-198.08] 可以请大家参考一下
[198.08-201.00] 大概我们在第113年第11届
[201.00-201.50] 我们大概
[201.50-206.46] 是落在21%到35%
[206.46-207.46] 大概已经连续几年
[207.46-211.32] 大概是这个状况
[211.32-212.50] 我们有收到
[212.50-215.48] 因为来自这个
[215.48-216.78] 不管是我们的客户
[216.78-219.32] 或者是我们的supplier的许多的奖项
[219.32-220.96] 首先是跟各位报告
[220.96-225.76] 在几个客户给我们的一些奖项
[225.76-226.64] 大概有这事项
[226.64-229.40] 从富邦金融控制台信进口
[229.40-231.20] 多多数是跟
[231.20-232.20] 跟ESG相关的
[232.20-234.52] 公司也花了很大力气
[234.52-240.08] 在朝ESG跟comply客户要求的ESG的一些categories上面做努力
[240.08-246.04] 这个字型
[246.04-250.36] 得奖是这个接下来就是比较别的
[250.36-252.04] 上面那个title好像忘了
[252.04-253.84] 我看看下一张会不会这样
[253.84-259.04] 大概只有这几张
[259.04-260.34] 那请大家委屈一下
[260.34-261.04] 这就是
[261.04-262.04] 得奖是G
[262.04-264.88] 我们大概分了几个category
[264.88-267.80] 首先是跟系统相关的
