[0.00-8.00] 各位投資先進,法人朋友午安
[8.00-12.20] 歡迎各位上線參與中鴻鋼鐵股份有限公司
[12.20-14.24] 線上的法人說明會
[14.24-18.76] 在會議開始之前,我們先介紹一下今天的發言人
[18.76-21.82] 歡迎王文平,營助理副總致詞
[21.82-23.84] 副總聽得到我聲音嗎?
[24.76-28.54] 可以,各位投資先進,大家午安
[28.54-37.18] 歡迎今天大家來參與中鴻鋼鐵的114年度第二季的法人說明會
[37.18-42.56] 首先要先感謝我們這一次法收費的主辦單位
[42.56-45.14] 凱基證券的法人部
[45.14-48.94] 在我們線上會議之前
[48.94-52.04] 先確認一下各位投資先進這邊
[52.04-54.58] 收音上面有沒有問題
[54.58-57.20] 如果說有問題的話
[57.20-58.52] 就是請大家舉手
[58.54-62.20] 或者是打個文字來的訊息
[69.34-70.70] 處長我們都聽得到
[70.70-73.30] OK,好,謝謝
[73.30-74.98] 今天法收會
[74.98-78.48] 我們主要是做近期的市場概況分享
[78.48-82.60] 那如果一同出席的有我們本公司的
[82.60-85.98] 業務管理處的處長洪志清先生
[85.98-88.50] 那等會將會進行
[88.54-91.44] 問答互動的回覆
[91.44-94.94] 那在進行正式說明之前提醒
[94.94-97.50] 本次法收會相關的訊息
[97.50-103.04] 是依本公司目前的狀況與現在資訊做成的
[103.04-106.80] 為資訊流通的目的並非投資建議
[106.80-109.34] 未來實際產生的營運結果
[109.34-111.74] 財務狀況及業務成果
[111.74-115.30] 可能與預期性資訊有所差異
[115.30-118.38] 這個原因來自於各種因素包括
[118.54-120.64] 不限於市場需求
[120.64-124.74] 各種政策法令與整體經濟現況的改變
[124.74-128.34] 以及其他本公司無法掌握的風險因素
[128.34-130.10] 以上提醒說明
[130.10-132.44] 那接下來
[132.44-135.38] 說明一下我們今年度
[135.38-139.18] 的一些從三月到六月的一些重大的
[139.18-143.44] 一些國際經濟的一些事件
[143.44-146.80] 對公司這邊的影響
[146.80-148.44] 那首先先說明一下
[148.54-152.34] 說明說在三月十二號的時候
[152.34-157.60] 川普政府發布了鋼鋁產品加徵二十五%的關稅
[157.60-161.20] 然後並且取消了貨名國的待遇
[161.20-164.74] 那這個意思就代表著關稅
[164.74-168.54] 鋼鐵關稅是一個期頭性的平等二十五%
[168.54-173.84] 那這個部分對整個台灣的鋼鐵業整體是利多
[173.84-178.50] 因為也代表我們公司出口到美國的鋼鐵業
[178.54-182.20] 美國的一些渡考業的客戶
[182.20-185.44] 他可以增加出口量到美國
[185.44-187.58] 那到四月二號的時候
[187.58-190.14] 川普宣布了對等關稅
[190.14-192.50] 然後從四月九號加徵
[192.50-196.10] 那以課徵二十五%的關稅
[196.10-199.34] 屬於鋼鐵鋼鋁產品不適用
[199.34-201.70] 雖然我們鋼鐵業不受影響
[201.70-206.18] 但是這一個政策是影響到
[206.18-208.38] 公司這邊下兩成到三成的關稅
[208.54-212.30] 屬於非鋼鐵客戶的訂單
[212.30-216.30] 有會被加徵對等關稅的影響
[216.30-219.38] 所以當下在很短時間
[219.38-223.04] 客戶就有一個光芒的態度
[223.04-225.88] 那很快的在一個禮拜之內
[225.88-230.30] 川普又政府又公布了除了中國以外
[230.30-234.58] 其餘的國家暫緩九十天實施對等關稅
[234.58-237.34] 那這個部分
[237.34-238.54] 在這段時間
[238.54-242.54] 我們下游屬於非鋼鐵的客戶
[242.54-247.04] 就有一個急單催單出貨的現象
[247.04-252.54] 要趕在九十天暫緩關稅到期前出貨到美國
[252.54-256.54] 所以在我們四月份確實也配合了一些
[256.54-260.04] 非最終客戶不是鋼鐵業的客戶
[260.04-264.54] 去做一些生產跟出貨的一個配合
[264.54-268.30] 那這個政策對於我們
[268.30-270.30] 鋼鐵業直接
[270.30-271.30] 直接
[271.30-278.30] 美國客戶雖然不受影響
[278.30-283.30] 但是對客戶的影響主要在於一個不確定的因素
[283.30-286.30] 有開始逐漸的在發酵
[286.30-292.30] 所以客戶的觀望跟下達速度有稍微趨緩
[292.30-296.30] 在四月九號這個時刻的過程
[296.30-298.30] 到五月份的這個時候
[298.30-301.30] 我們就看到了一個很大的升值
[301.30-302.30] 那這個情況
[302.30-305.30] 那到五月二號到五月五號這邊就是
[305.30-307.30] 台幣急升
[307.30-310.30] 五月二號的會率
[310.30-314.30] 從三十二點一開盤到五月五號收盤
[314.30-317.30] 三十點一是兩天升值的六個percent
[317.30-322.30] 那對比在四月九號的時候會率是三十三塊
[322.30-325.30] 到六月十號左右是三十塊
[325.30-327.30] 所以整個來講
[327.30-330.30] 我們是有一個很大的升值的情況
[330.30-331.30] 那公司這邊呢
[331.30-334.30] 在這一波的升值算是
[334.30-338.30] 因為我們的收入雖然是減少的
[338.30-343.30] 但是同時因為我們也有跟日本進口
[343.30-348.30] 餅乾胚的原料是用美元計加美元付款
[348.30-353.30] 所以同步我們的進口的成分也降低
[353.30-356.30] 那同時我們目前美元的支出
[356.30-360.30] 就是說我們支付原料配的價的
[360.30-363.30] 美元的金額是大於我們的美元收入
[363.30-366.30] 所以這一部分讓我們的會對其實沒有
[366.30-369.30] 沒有損失吧是有利益
[369.30-371.30] 就是自然避險的結果
[371.30-373.30] 有一些的net掉以後
[373.30-376.30] 有一些小小的成本的節省
[379.30-382.30] 這個就說五月份的升值的現象
[382.30-386.30] 比較影響的又是進一步的一個
[386.30-389.30] 我們的客戶或是客戶的客戶
[389.30-392.30] 是屬於外銷業者的一個
[392.30-397.30] 比較更進一步的一個光芒的狀態
[397.30-401.30] 因為除了說目前的匯率是三十
[401.30-403.30] 但是市場有很多的匯率
[403.30-406.30] 預測是二十八甚至二十六
[406.30-410.30] 所以這些就是變成下游的客戶
[410.30-415.30] 在接單上面的光芒的情緒就增加了
[416.30-419.30] 再來就是說最近期六月三號
[419.30-423.30] 川普簽署的行政命令
[423.30-425.30] 鋼鐵機旅的進口關稅
[425.30-428.30] 從二十五%提升到五十%
[428.30-431.30] 六月四號生效
[431.30-436.30] 那這個部分對於客戶的影響
[436.30-440.30] 不在於那個絕對的稅率是五十%
[440.30-445.30] 而相對的是一個關稅政策的變動不定
[445.30-449.30] 那讓客戶中端的優勢
[449.30-451.30] 進口商貿易商
[451.30-454.30] 對於未來的預期的不確定性
[454.30-456.30] 那這個不確定性
[456.30-459.30] 目前都是在一個調整的狀態
[459.30-462.30] 那我們也是很密切的都在
[462.30-466.30] 跟客戶有緊密的聯繫
[466.30-468.30] 因為首先要觀察的是
[468.30-472.30] 這些在六月四號以後
[472.30-475.30] 六月四號以前已經出
[475.30-478.30] 港離開到船上
[478.30-483.30] 甚至即將到港到美國本土的一個稅
[483.30-486.30] 增加二十五%的一個
[486.30-489.30] 是否有可以全數轉嫁
[489.30-493.30] 那貿易商會不會有一個虧損的狀況
[493.30-496.30] 或者是反而是能夠促進
[496.30-501.30] 鋼價提升這一塊的狀況的發酵
[501.30-505.30] 是我們近期要陸續在觀察
[505.30-512.30] 那這是以上就是說近期的一些事件
[512.30-514.30] 所以這些事件的影響
[514.30-519.30] 在第二季也是我們以往比較沒有遇過
[519.30-522.30] 就是說在一個季度裡面發生這麼多事情
[522.30-524.30] 所以受這麼多的一些國際事件
[524.30-527.30] 主要是貿易的不確定性
[527.30-529.30] 跟關稅政策的影響
[529.30-532.30] 所以我們原本預期第二季的出貨量
[532.30-534.30] 應該要比第一季多
[534.30-535.30] 那這個
[535.30-537.30] 這一塊的話目前的狀況來講
[537.30-542.30] 應該是會維持在跟第一季差不多的情況
[542.30-548.30] 那世界鋼鐵協會在四月八號
[548.30-550.30] 有召開了特別理事會
[550.30-553.30] 那表示說隨著各國的
[553.30-555.30] 加強財政政策的刺激
[555.30-560.30] 推動基礎建設跟貨幣政策的趨向寬鬆
[560.30-564.30] 預期二零二五年全年的鋼鐵需求
[564.30-566.30] 會溫和的復甦
[566.30-569.30] 但是受到關稅不確定性
[569.30-572.30] 跟國際情勢變動比較大的影響
[572.30-577.30] 暫時不發布需求成長的預測
[577.30-581.30] 那目前我們觀察就是等到
[581.30-583.30] 對等關稅的寬限期到
[583.30-585.30] 大概是七月八號左右
[585.30-588.30] 然後到美國與各國的貿易談判
[588.30-590.30] 結果確定以後
[590.30-593.30] 貿易政策的穩定就會有利於
[593.30-596.30] 整個供應鏈的調整
[596.30-600.30] 然後客戶需求的回復
[600.30-606.30] 然後再來是說另外除了關稅以外
[606.30-610.30] 最近美國有告十個國家
[610.30-612.30] 抗腐蝕鋼材
