[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[13.48-18.10] 即亚洲聚合股份有限公司联合法人说明会
[18.10-23.28] 那首先为各位介绍今日的与与会的经营团队
[23.28-27.48] 台湾聚合化学品股份有限公司
[27.48-29.44] 吴培基总经理
[29.44-33.82] 发言人吴明忠业吴副总
[33.82-38.20] 以及郭娟华会计经理
[38.20-43.52] 亚洲聚合股份有限公司吴培基总经理
[43.52-47.52] 发言人黄克明业务处处长
[47.52-51.76] 以及张胜川会计经理
[51.76-55.64] 那就让我们欢迎亚聚的经营团队
[55.70-58.50] 先就亚聚的公司盈利以及财务状况
[58.50-59.40] 来为我们进行
[59.40-60.92] 检报谢谢
[60.92-62.02] 谢谢
[62.02-64.38] 那
[64.38-67.60] 各位投资朋友各位法人
[67.60-69.50] 媒体还有以及
[69.50-71.36] 线上还有
[71.36-73.28] 现场的来宾
[73.28-74.96] 先各位先生各位女士大家好
[74.96-76.60] 那我们开始今天的
[76.60-78.28] 亚聚的法说会
[89.40-93.50] 那现在是参与一下
[93.50-94.58] 讯息的一个新闻
[94.58-95.16] 业务的节目
[95.16-117.72] 那么在 hari世 כ05ま
[117.72-119.24] 你 라
[119.24-123.00] 我們今天的簡報大綱分為四個部分
[123.00-127.16] 首先由我來報告公司的簡介 產品的介紹
[127.16-129.24] 還有營運概括和展望
[129.24-135.00] 接著第三個部分會由我們的快速經理張經理來報告財務資訊
[135.00-139.82] 之後等台聚的報告結束之後
[139.82-144.46] 再由我們總經理來主持Q&A的部分
[149.24-154.36] 首先公司簡介跟產品介紹
[154.36-163.86] 截至到4月30號本公司的員工人數是231人
[163.86-169.36] 第一季合併的營業額是15.34億
[169.36-174.30] 跟去年同期比起來差不多
[179.24-184.62] 跟產能的部分目前我們還是4套的高壓生產線
[184.62-187.18] 總計有15萬噸的產能
[187.18-190.50] 我們產出的主要產品是LDP跟EVA
[190.50-202.54] 雅具的LDP產品主要是應用在LDP的應用領域的比較中高端的部分
[202.54-205.60] 裡面這邊可以看到一些包含醫療器材
[205.60-208.42] 包含一些半導體的包裝
[208.42-209.20] 還有一些這個
[209.20-212.02] 我們叫低經典的保護膜
[212.02-216.12] 另外一個比較主要的應用是在食品包裝
[216.12-219.44] 國內也有稱之為才藝包裝
[219.44-223.80] 甚至包含比如說我們去超商喝的這個
[223.80-227.38] 咖啡杯的這個圖庫
[227.38-230.44] 還有一些電子包裝以及未採用品
[230.44-233.26] 包含化妝品的包裝
[233.26-237.36] 這個部分是本公司產品的強項
[237.36-239.16] 用在一些比較
[239.16-241.20] 要求檔次比較高的
[241.20-245.30] 也是我們這幾年一直努力的方向
[245.30-249.40] 所以我們這邊看我們在DG的這個銷售量
[249.40-252.72] 達到11000多噸
[252.72-254.78] 跟往年比起來的話這個
[254.78-255.80] 這個
[255.80-257.08] 數字是
[257.08-261.94] 明顯有成長
[261.94-265.78] 那雅具的EVA的主要產品應用大概分了這四個領域
[265.78-268.34] 包含EVA太陽能的封裝膜
[268.34-269.88] 然後EVA的圖庫
[269.88-272.70] 還有我們比較傳統的發泡鞋材
[272.70-277.56] 以及電線電腦部分
[277.56-285.74] 接著第二部分是營運的概況跟展望
[285.74-288.82] 那首先我們來看一下我們上游原料的部分
[288.82-291.64] 我們的上游原料是乙烯跟原油
[291.64-294.70] 原油的部分因為
[294.70-295.74] 其實它在
[295.78-299.62] 今年度的第一季的時候它在1月中旬的時候
[299.62-300.38] 漲到
[300.38-303.20] 那個高峰點的時候大概在1月15號
[303.20-305.26] 那後面就是
[305.26-310.12] 因為整個就是全球的這個貿易衝突還有
[310.12-312.42] 主要是大家對於
[312.42-316.26] 這個後續的經濟成長的展望
[316.26-317.80] 會有不確定性
[317.80-321.12] 另外那個OPEC在當時其實就已經
[321.12-325.48] 有些訊息提到大概在3、4月份甚至5月份他們
[325.48-327.02] 不僅不打算減產
[327.02-329.84] 甚至還打算增產的部分所以
[329.84-333.68] 原油其實從1月中旬之後價格就開始很明顯的
[333.68-336.24] 往下滑大家可以看到這個
[336.24-339.82] 圖表裡面藍線的部分
[339.82-341.60] 那紫色的部分是乙烯
[341.60-346.22] 乙烯的部分它在1、2月的時候表現相對比較堅挺
[346.22-348.00] 最主要的原因有兩個
[348.00-349.04] 第一個是
[349.04-351.84] 中國大陸有些石化廠它有一些新的產能
[351.84-354.92] 但是它新的產能它下游的部分完成了
[354.92-356.72] 但是上游的部分沒有完成
[356.72-361.58] 那為了要試營運試車的時候所以他們
[361.58-364.64] 必須要去市場上去購買乙烯
[364.64-369.26] 所以在1、2月份的時候乙烯的買氣是比較強勁的
[369.26-372.84] 那第二個原因是因為在1、2月份的時候
[372.84-376.16] 韓國有一些石化廠有一些停工
[376.16-379.50] 所以1、2月份的部分是價格是比較堅挺的
[379.50-382.32] 那3月份
[382.32-384.36] 隨著韓國廠恢復開工
[384.36-387.44] 以及油價的下跌之後大家也可以看到
[387.44-389.74] 在3月份的時候油價就呈現一個
[389.74-391.52] 對不起乙烯的價格
[391.52-393.06] 就呈現一個整個
[393.06-398.70] 往下滑的走勢
[398.70-400.24] 那1月的部分
[400.24-404.32] 1月的這個走勢基本上是延續了去年
[404.32-405.36] 年底
[405.36-408.68] 反彈的態勢所以它在第一季的時候其實
[408.68-412.78] 整個1月的行情基本上還是往上漲的我們可以看到
[412.78-414.32] 圖表中裡面的
[414.36-415.90] 上面三個部分
[415.90-420.00] 最上面那個綠色的線是土富級的EVA
[420.00-422.80] 那藍色的
[422.80-426.14] 那個那條線是高VA含量的EVA
[426.14-427.42] 那
[427.42-434.58] 那個橘色橙色的這條線是普通14%到20%大概發泡級的EVA
[434.58-440.98] 大家都會看到基本上在第一季的時候是呈現往上走的這個態勢
[444.36-446.92] 那LDP的行情相對來講比較平穩
[446.92-452.30] 那它在大概1、2月份的時候是基本上大概持平了
[452.30-454.60] 那3月份的時候有稍微往下
[454.60-457.42] 小跌一點但跌幅並不是太大
[460.24-462.80] 那我們來看一下文字說明的部分
[462.80-465.60] 那第一季的LDP的營運
[465.60-468.68] 大陸因為有一家主要的石化廠
[468.68-474.06] 它生產土積的LDP那它目前的
[474.06-476.10] 消息是它在第二季
[476.10-477.64] 大概在這個月底
[477.64-481.48] 檢修之後後面可能就會停產
[481.48-484.04] 那因為這樣的關係所以
[484.04-489.94] 因為它又是大陸土積LDP的主要供應商所以大家預期後面
[489.94-492.74] 土積的LDP會缺貨
[492.74-496.08] 那亞聚在土積的LDP又是它的強項
[496.08-497.10] 所以
[497.10-499.40] 它在第一季的時候
[499.40-501.96] 進口行情它一度
[501.96-504.02] 那個漲到1400%
[504.06-505.86] 大概50美金以上
[505.86-506.88] 那
[506.88-509.94] 這個東西剛好是亞聚產品的強項所以
[509.94-513.54] 我們在第一季的時候有去爭取這樣的商機
[513.54-516.10] 調整我們的生產的產品的組合
[516.10-518.14] 所以去增加LDP的生產量
[518.14-522.24] 所以我們的第一季的LDP的這個銷售量大概跟
[522.24-526.34] 去年的同期增加了40%
[526.34-528.90] 那另外可能大家會關心
[528.90-533.24] 我們的產品會不會受到這個美國關稅政策的影響
[533.24-534.02] 那在LDP的
[534.06-537.14] 部分那我們的產品主要是以
[537.14-538.66] 內銷為主
[538.66-540.46] 那外銷的部分其實是
[540.46-542.76] 就是中國大陸的這個部分
[542.76-546.34] 那它主要應用就是在財力包裝
[546.34-548.66] 或是我剛提到咖啡杯啊
[548.66-550.18] 或是這些未採用品
[550.18-555.06] 那這些應用主要大部分還是以內銷市場為主
[555.06-558.90] 那所以受到美國關稅的政策的影響
[558.90-563.50] 相對來講比較小
[564.06-565.60] EVA的部分
[565.60-573.02] EVA剛提到大概第一季的行情大概是延續去年底的這個反彈態勢
[573.02-575.06] 那為什麼第一季會反彈
[575.06-576.60] 最主要的原因是在於
[576.60-579.68] 去年的第四季市場過度的看空
[579.68-581.98] 其實第一季原本是
[581.98-585.30] EVA裡面一個大宗的應用是光復級的應用
[585.30-586.84] 它原本應該是它的淡季
[586.84-590.18] 可是因為它在第四季的時候過度的看空
[590.18-592.74] 所以包含石化廠包含貿易商
[592.74-594.02] 包含太陽
[594.06-597.38] 天然的這個膠膜的這個
