[30.00-32.78] 凱基证券举办的线上的会议
[32.78-34.42] 非常高兴能够邀请
[34.42-36.76] 富顶先进电子股份有限公司的
[36.76-37.70] 几位长官
[37.70-41.28] 潘美英 潘总是我们的财务长
[41.28-44.86] 然后张家帅 张总是我们的总经理
[44.86-48.14] 还有连千华 连总是我们的股务
[48.14-51.84] 然后为我们分享公司的经营近况
[51.84-53.84] 那这边时间就交给
[53.84-55.50] 谭总为我们分享
[55.50-57.80] 还有张总
[57.80-59.16] 张总经理
[59.16-63.44] 首先我很感谢凱基提供这个机会
[63.44-67.12] 让富顶这边有办法跟投资人们
[67.12-71.88] 大概对一下关于最近的一些状况
[71.88-73.78] 我想大家会很关心的
[73.78-75.30] 大概是贸易战的影响
[75.30-79.06] 另外一个是关税到底对我们的
[79.06-81.22] 比如说大概这一季的影响
[81.22-82.00] 大概是怎么样
[82.00-86.00] 它跟后面我们的业务的展望会怎样
[86.00-87.52] 待会我们会给各位
[87.52-89.98] 一些说明
[89.98-91.50] 如果各位有问题
[91.50-92.88] 或许也可以继续谈
[92.88-93.76] 谢谢
[93.76-106.76] 那各位投资先进
[106.76-114.34] 我这边还是先update一下
[114.34-116.46] 就是第一季的财务数字
[117.52-120.60] 那首先我们先来看一下
[120.60-123.68] 2025年第一季的合并营收的部分
[123.68-126.04] 第一季的营收是7.15亿
[126.04-127.48] 那比去年第四季
[127.48-130.84] 因为第四季通常还是下半年这个
[130.84-133.96] 比上半年是比较旺的
[133.96-135.88] 所以是7.87亿
[135.88-139.16] 还是下滑了9.1%
[139.16-140.60] 但是毛利的部分
[140.60-142.60] 第一季是37
[142.60-145.80] 比第四季的33.7
[145.80-147.50] 提升了3.3个百分点
[147.52-152.40] 那费用率的部分是13
[152.40-156.08] 跟第四季12是稍微有上来一点点
[156.08-161.24] 那整个第一季的EPS是1.45
[161.24-162.88] 比第四季1.6
[162.88-166.36] 减少了9.4个百分比
[166.36-169.68] 然后再看YOY的部分
[169.68-172.96] 在2015年的第一季7.15亿
[172.96-177.40] 但去年同期营收是5.89亿
[177.40-179.64] 整个毛利是有大幅提升
[179.64-186.20] 从18.2提升到37%的毛利率
[186.20-188.40] 那费用率的部分是差不多
[188.40-191.80] 都是13点不到14的一个费用率
[191.80-194.80] 那整个的EPS第一季
[194.80-197.56] 跟去年同期是增加的非常多
[197.56-199.64] 去年同期是0.74
[199.64-201.40] 今年是1.45
[201.40-205.68] 这是我们第一季的合并营收的部分
[205.68-207.24] 然后再来看资产负债
[207.24-209.24] 在表的部分
[209.24-211.44] 我们的现金水位是持平
[211.44-215.60] 大概就是6.6亿左右
[215.60-219.12] 那主要我们都是去做RP或者是定存
[219.12-221.80] 所以现金的on-hand水位
[221.80-223.84] 它是还是持续增加
[223.84-228.80] 在比较流动的是32.43亿
[228.80-232.52] 然后长期的债券的部分是5.3亿
[232.52-234.48] 那营收款项的部分是7亿
[234.48-235.72] 比去年同期
[235.72-237.20] 因为去年第一季是
[237.24-238.08] 营收比较多
[238.08-240.00] 所以营收比较多一点点
[240.00-242.12] 那是一个应收账款
[242.12-243.36] 大概7亿的水位
[243.36-247.12] 那库存的部分还是持平
[247.12-250.20] 大概是5亿出头的一个水位
[250.20-253.36] 比去年同期6.19亿
[253.36-255.76] 持续就是缺化我们的库存
[255.76-257.88] 库存也比较健康
[257.88-262.16] 然后整个的资产是64.42亿
[262.16-265.32] 这是我们资产负债调的部分
[265.32-266.44] 然后我们再来看一下
[267.24-273.16] 从2020年到现在的一个营收的状况
[273.16-277.08] 那在疫情的时候
[277.08-280.20] 是相对营收才能进
[280.20-282.48] 整个需求是比较高的
[282.48-286.60] 所以在2020年营收是3.1亿
[286.60-289.56] 然后到2021年是42亿
[289.56-292.44] 然后39亿后疫情之后
[292.44-297.08] 整个产业又回到比较
[297.24-298.84] 正常的一个情况
[298.84-301.04] 所以营收是28.5亿
[301.04-305.32] 然后去年2024年比2023年
[305.32-308.44] 又成长了大概2%的一个营收
[308.44-310.56] 到了29.18亿
[310.56-311.92] 然后我们再看一下第一季
[311.92-314.72] 跟去年同期第一季
[314.72-317.64] 大家可以看到7.15亿的营收
[317.64-321.96] 然后跟去年同期5.89亿
[321.96-323.76] 目前看起来就是有一个
[323.76-326.84] 21%的一个成长
[326.84-329.48] 就是我们营收的概况
[329.48-332.56] 再来看我们合并营收
[332.56-337.64] 在高低中压产品的分布的概况
[337.64-340.76] 我们主要还是在低压产品线
[340.76-346.04] 它是在我们营收比较大的一个%
[346.04-349.60] 然后另外一个中压也是蛮大的
[349.60-351.20] 整个来看第一季
