[0.00-2.00] 各位,今天我們都感謝
[2.00-5.00] Qantas的第一季25年第一季
[5.00-7.00] 財政會議
[7.00-9.00] 我是Kerry Liu,我是City的
[9.00-11.00] 財政會議的研究分析人
[11.00-13.00] 今天會進行的主題是
[13.00-15.00] 今天我們會有
[15.00-18.00] C.C.Liu,總理、總統
[18.00-21.00] Alton Young,CFO和總理
[21.00-24.00] 還有Carol和Ale,從 IR 組
[24.00-26.00] 我們會開始準備的說話
[26.00-29.00] 以及Carol的資金提供
[29.00-31.00] 然後我們會進行Q&A
[31.00-34.00] 現在我會把話說給Carol
[34.00-36.00] Carol,請進行
[38.00-39.00] 謝謝Kerry
[39.00-41.00] 今天歡迎到Qantas的
[41.00-43.00] 第一季25年第一季
[43.00-45.00] 財政會議
[45.00-47.00] 會議是City的
[47.00-49.00] 全球市場台灣的財政會議
[49.00-51.00] 今天會議的提供
[51.00-53.00] 是公開的
[53.00-55.00] 在MOS和Qantas的網站
[55.00-57.00] 請到 www.quantas.tw
[57.00-59.00] 在IR的網站上
[59.00-61.00] 我是Carol,今天我加入了
[61.00-63.00] Qantas的經理人
[63.00-65.00] C.C.Liu,總理、總統
[65.00-67.00] Alton Young,總理
[67.00-69.00] 財政會議的經理人
[69.00-71.00] 和總理,在Qantas IR團隊
[71.00-73.00] 在這時,我們會開始
[73.00-75.00] 財政會議的介紹
[75.00-77.00] 之後,經理人會
[77.00-79.00] 發出Q&A,分享我們的觀點
[79.00-81.00] 關於生產與工業的觀點
[81.00-83.00] 在這次會議中
[83.00-85.00] 我們會進行
[85.00-87.00] 預先看待的聲明
[87.00-89.00] 預先看待的聲明
[89.00-91.00] 以及未來的發生
[91.00-93.00] 這些聲明是根據
[93.00-95.00] 現時的期望和想法
[95.00-97.00] 而是對於很多的
[97.00-99.00] 疑問和不確定的情況
[99.00-101.00] 因此,實際的結果
[101.00-103.00] 會有不同的目標
[103.00-105.00] 我們會以更多的
[105.00-107.00] 資訊來提供
[107.00-109.00] 我們現在就來看
[109.00-111.00] 財政會議
[111.00-113.00] 我們在第一月25日的
[113.00-115.00] 回升中的一半
[115.00-117.00] 我們將會以生產、工業、
[117.00-119.00] 和生產的成績
[119.00-121.00] 達到全球高的高度
[121.00-123.00] 這場強大的表現
[123.00-125.00] 將會為一年前
[125.00-127.00] 我們預期會被形成
[127.00-129.00] 為各種重要的生產
[129.00-131.00] 和投入挑戰
[133.00-135.00] 我們在一月的收入
[135.00-137.00] 是486億
[137.00-139.00] 達到16.4%
[139.00-141.00] 以及87.6%
[141.00-143.00] 年度過年,相對
[143.00-145.00] 因此,我們將提供了
[145.00-147.00] 更好的供應
[147.00-149.00] 和更強大的
[149.00-151.00] 供應
[151.00-153.00] 在通訊軟件中
[153.00-155.00] 我們在一月的
[155.00-157.00] 收入上
[157.00-159.00] 我們在一月的收入中
[159.00-161.00] 達到10.8%
[161.00-163.00] 這代表了
[163.00-165.00] 在前一月的
[165.00-167.00] 2.7%的下降
[167.00-169.00] 我們在一月的收入上
[169.00-171.00] 達到9%的增長
[171.00-173.00] 相對於三角形的上升
[173.00-175.00] 這次的出現
[175.00-177.00] 超越了我們預期的
[177.00-179.00] 雙端的下降
[179.00-181.00] 我們在一月的收入上
[181.00-183.00] 達到強大的供應
[183.00-185.00] 和供應
[185.00-187.00] 在一月的收入上
[187.00-189.00] 達到3.8%
[189.00-191.00] 以及75.3%
[191.00-193.00] 年度過年
[193.00-195.00] 我們在一月的收入上
[195.00-197.00] 達到7.92%
[197.00-199.00] 代表了
[199.00-201.00] 在一月的收入上
[201.00-203.00] 達到1.4%
[203.00-205.00] 以及55.3%
[205.00-207.00] 年度過年
[207.00-209.00] 我們在一月的收入上
[209.00-211.00] 達到強大的供應
[211.00-213.00] 在一月的收入上
[213.00-215.00] 達到強大的供應
[215.00-217.00] 在一月的收入上
[217.00-219.00] 達到低速供應
[219.00-221.00] 在一月的收入上
[221.00-223.00] 達到低速供應
[253.00-255.00] 在一月的收入上
[255.00-257.00] 達到超過110%
[257.00-260.00] 從11.7億元前
[260.00-262.00] 達到強大的供應
[262.00-264.00] 在一月的收入上
[264.00-266.00] 達到12.9億元
[266.00-268.00] 在一月的收入上
[268.00-270.00] 達到5.07%
[270.00-272.00] 達到143.5%
[272.00-274.00] 以及55.3億元
[274.00-276.00] 在一月的收入上
[276.00-278.00] 達到13.9億元
[278.00-280.00] 在一月的收入上
[280.00-282.00] 達到11.7億元
[282.00-284.00] 從15.9億元
[284.00-286.00] 在一月的收入上
[286.00-288.00] 達到12.8%
[288.00-290.00] 在一月的收入上
[290.00-292.00] 達到35.4%
[292.00-294.00] 由於人工智能的
[294.00-296.00] 負擔責任
[296.00-298.00] 在一月的收入上
[298.00-300.00] 達到2.86%
[300.00-302.00] 達到96%
[302.00-304.00] 在一月的收入上
[304.00-306.00] 達到2.86%
[306.00-308.00] 達到2.86%
[308.00-310.00] 在一月的收入上
[310.00-312.00] 達到96%
[312.00-314.00] 達到107.3%
[314.00-316.00] 在一月的收入上
[320.00-322.00] 開放數字
[322.00-324.00] 達到669.1億元
[324.00-326.00] 達到669.3億元
[326.00-328.00] 大幅升值
[328.00-330.00] 達到2.1億元
[330.00-332.00] 達到1.1億元
[332.00-334.00] 達到iva
[334.00-336.00] 達到薪金
[336.00-338.00] 達到薪金
[338.00-347.00] 在2012年, 財政額為19.5億元, 增加了22.8%的年份額和61.6%的年份額。
[347.00-357.00] 財政額的下跌是4.01%, 增加了21.5%的年份額和下跌了65.5%的年份額。
[357.00-369.00] 財政額的下跌是22.1%, 並且增加了5.06%的年份額和下跌的全球高達。
[369.00-378.00] 這代表了94%的增長, 和一年前增加了1.93%的年份額。
[379.00-389.00] 轉換到財政額, 財政額的下跌是215億元, 和一前一後的211億元增長。
[389.00-399.00] 在過去一年, 財政額的下跌是451億元, 和一前一後的371億元增長。
[400.00-414.00] 財政額的下跌是277億元, 並且在過去一年, 財政額的下跌是293億元, 和一前一後的222億元增長。
[415.00-425.00] 財政額的下跌是293億元, 和一前一後的222億元增長。
[425.00-431.00] 在過去一年, 財政額的下跌是50.2億元, 和一前一後的50.2億元增長。
[433.00-438.00] 現在我們來談談美國的財政策略。
[438.00-442.00] 在過去一年, 我們提升了一些項目。
[442.00-447.00] 財政策略是建立了三個重要的項目。
[447.00-452.00] 最先進的是R&D, 精準的市場, 和工廠的實力。
[452.00-461.00] 其中, 工廠的實力在今天市場上 已經證明了有財政的優勢。
[462.00-469.00] 財政策略的實力在我們全球的 實力上是有的。
[469.00-482.00] 我們可以把R&D的跌幅 轉移到商業產品, 能夠快速和有效性地讓客戶能夠 能夠在市場上獲得優勢。
[482.00-492.00] 我們可以把財政策略 轉移到商業產品, 能夠快速和有效性地讓客戶能夠 能夠在市場上獲得優勢。
[493.00-499.00] 我們現在有9個大國外的 財政策略。
[499.00-515.00] 我們有1個在台灣, 2個在中國, 上海和重慶, 2個在南北亞洲, 泰國和越南, 2個在美國, 加拿大和加拿大, 1個在墨西哥, 1個在德國。
[515.00-522.00] 我們有一個全球的財政策略, 能夠讓我們能夠 提供有效地, 地區性地 提供產業的方式。
[582.00-588.00] 我們在今年年度 提供了4.7億元的 財政策略。
[588.00-594.00] 我們在今年年度提供了4.7億元的 財政策略。
[594.00-601.00] 我們在今年年度提供了4.7億元的 財政策略。
[602.00-612.00] 我們想提供一些評論, 關於我們在第二季的 商業表現和2025年剩下的數字。
[612.00-629.00] 在短期內, 經過短期的 市場上獲得優勢, 以及在市場上獲得優勢, 我們期待在第一季的 強烈的動力, 能夠帶進第二季。
[629.00-635.00] 這會導致高短期的 市場上獲得優勢, 以及在市場上獲得優勢。
[635.00-646.00] 但是, 如果這項目 總是有可能被封閉, 我們在第二季的 市場上獲得更多的 財政策略。
[646.00-655.00] 在這點上, 市場上獲得優勢 將會有更多的 財政策略。
[655.00-661.00] 我們將提供更多的 四年領域, 以提供更多的 財政策略。
[661.00-672.00] 在自動商業方面, 我們將把我們的 集中力和經濟 移除於低價、 財政策略和 自動性的產品。
[732.00-741.00] 在第一季的 下午, 市場上獲得 更多的 財政策略。
[741.00-750.00] 在此上, 低價的 自動商業 產品 將會有 強烈的 財政策略, 並且 能夠 提供更多的 財政策略。
[750.00-756.00] 我們在這項目上 將提供更多的 財政策略。
[756.00-761.00] 我們在這項目上 將提供更多的 財政策略。
[761.00-767.00] 在這項目上 將提供更多的 財政策略。
[767.00-773.00] 我們在這項目上 將提供更多的 財政策略。
