[0.00-8.96] 各位投资先进午安
[8.96-11.90] 欢迎各位参加同性电子法人说明会
[11.90-15.10] 现在为各位介绍与会经营团队
[15.10-17.48] 吕少平总经理
[17.48-21.42] 各位法人大家午安大家好
[21.42-23.72] 黄嘉丽营运长
[23.72-25.32] 大家好谢谢
[25.32-29.20] 好那接下来把时间交给经营团队谢谢
[29.20-31.98] 各位投资先进各位法人
[31.98-36.88] 谢谢参加我们同性电子2024年第四季的这个法人说明会
[36.88-42.00] 那对这个2024年作为一个这个财务跟盈利的展望
[42.00-46.34] 那我们先请总经理为我们支持
[46.34-48.92] 各位法人先进各位
[48.92-51.92] 律师先生大家午安
[51.92-56.10] 今天是我们的第四季的法人说明会
[56.10-58.78] 首先我们请我们财务长来跟各位报告
[58.78-67.74] 我们的财务讯息
[67.74-69.54] 各位法人先进大家好
[69.54-71.58] 先由我来跟各位报告一下
[71.58-74.14] 我们第四季的财务状况
[74.14-78.50] 2024年4Q的部分营收的部分是29.83亿
[78.50-83.86] 相较于30.67亿营收的部分下降了2.7个百分点
[83.86-85.66] 那在毛利的部分
[85.66-86.94] 毛利率的部分
[86.94-87.96] 本季是
[88.78-91.86] 2024年4Q是25.8%
[91.86-92.88] 那在
[92.88-96.46] 3Q的时候是28.4%
[96.46-97.74] 毛利率的部分
[97.74-100.30] 微乎下降了2.6个百分点
[100.30-103.12] 那整个营业费用的部分
[103.12-107.46] 4Q的是12.8%
[107.46-110.02] 营业费用的部分是13%不好意思
[110.02-112.08] 那在3Q的部分是13%
[112.08-113.62] 为止失平
[113.62-117.46] 那整个获利来讲4Q是3.84亿
[117.46-118.74] 那3Q是
[118.78-120.32] 5.29亿
[120.32-123.14] 那EPS4Q是1.81亿
[123.14-125.44] 那3Q是2.53亿
[125.44-126.46] 下一点
[126.46-130.30] 那我们再看一下YY的比较
[130.30-134.66] 4Q29.83亿相较于去年4Q
[134.66-136.44] 31.73亿
[136.44-139.00] 营收的部分下降6个百分点
[139.00-141.30] 在毛利率的部分
[141.30-144.12] 去年4Q是27.7%
[144.12-147.96] 那今年4Q是25.8%毛利率的部分是
[148.78-151.34] 下降
[151.34-153.38] 那在营业费用率的部分
[153.38-157.74] 4Q是11.1%那今年的4Q是13%
[157.74-160.82] 那主要是因为我们在今年开始有一些Bud的场
[160.82-161.84] 去一些折旧费用
[161.84-164.40] 一些费用的产品
[164.40-167.98] 整个营业净益的部分是12.8%
[167.98-174.12] 那在EPS的表现来讲4Q是1.81相较于去年4Q是2.33
[174.12-177.20] 绝对金额的部分下降了21%
[178.78-182.36] 那我们看一下YY的部分年的部分
[182.36-187.74] 2024年是120.9亿相较于去年2023年115.84亿
[187.74-190.56] 营收的部分是上升4.4%
[190.56-192.34] 那在毛利率的部分
[192.34-196.44] 今年全年是27.5%去年是24.1%
[196.44-201.56] 那在营业费用率的部分是13.1%去年是11.8%
[201.56-202.84] 刚刚我主要
[202.84-204.64] 我提到说主要是因为
[204.64-205.66] Bud的
[205.66-209.50] 厂房的建筑然后我们相对一些费用的
[209.50-211.30] 一些摊体
[211.30-214.62] 那整个营业净益是14.4%
[214.62-218.20] 整体来讲2024年的获利是17.18亿
[218.20-222.82] 然后最后净益率是14.2%相较于去年是11.5亿
[222.82-225.62] 那最后净益率是9.9%
[225.62-227.94] 整体来讲今年的表现
[227.94-230.74] 比去年增长49.4%
[230.74-234.08] 那EPS来讲的话EPS是8.2
[234.08-235.10] 去年是
[235.10-235.62] 5.5%
[235.62-241.76] 那我们看一下资产负债表的部分
[241.76-244.58] 现金约当现金的部分大概是30亿
[244.58-247.40] 那去年是47.47亿
[247.40-251.24] 那流动性的金融增长是36.9亿左右
[251.24-253.28] 那这样比大概10%
[253.28-255.34] 那我们可以看到这两个数字
[255.34-257.38] 其实现金的部分有明显的下降
