[0.00-8.74] 各位投资先进午安
[8.74-12.36] 非常感谢参加今天细格股份有限公司
[12.36-13.94] 线上法人说明会
[13.94-17.16] 首先为您介绍今日的列席人员
[17.16-20.84] 副董事长暨总经理叶灿烈先生
[20.84-24.78] 财务长吴仁俊先生
[24.78-28.92] 主记长暨发言人陈其昌先生
[30.00-33.76] 接下来请细格公司为各位进行公司简报
[33.76-40.44] 好我们就请主记长来跟各位
[40.44-43.92] 叶昌鑫记者媒体朋友各位贵宾报告
[43.92-45.62] OK
[45.62-48.42] 各位投资先进大家好
[48.42-51.52] 那一样先说一下免责声明
[51.52-54.78] 那本次法说会所提供的简报内容
[54.78-58.12] 可能包含对未来状况的评估跟预测
[58.12-59.98] 那关于未来的简报内容
[59.98-66.90] 那这些状况是基于本公司目前可得到的评论作为预测
[66.90-69.20] 涉及风险及不确定性
[69.20-73.54] 那并可能发生实际结果与预期状况有重大差异的情况
[73.54-76.36] 本公司提醒不要过度依赖这些资讯
[76.36-81.48] 亦不负有更新或修正简报内容之责任
[81.48-84.56] OK那等一下的议程大概就会有分三部分
[84.56-87.38] 那首先由我向各位报告一下
[87.38-89.94] 2025年第一季营运成果及营业成果的情况
[89.98-96.90] 那我们先来看看第一季的营业成果及营收报告
[96.90-99.96] 那第一季的营运成果及营收报告
[99.96-105.08] 那第一季我们实际上合并营收达到新台币146.8亿
[105.08-107.90] 那较去年同期成长12.6
[107.90-110.46] 那本期净利新台币8.7亿
[110.46-112.76] 也较去年同期成长0.4
[112.76-115.32] 归属母公司净利7.6亿元
[115.32-118.90] 换算基本每股营业1.5亿元
[119.98-123.30] OK那大家可以看这一页
[123.30-128.42] 这一页是我们这一季跟上一季的比较
[128.42-132.02] 当然第一季是因为传统的淡季
[132.02-134.82] 所以较第四季的营收减少
[134.82-141.48] 那当然第四季的营收实际上也较当初我们预期高了一些
[141.48-147.38] 所以第四季整体的本期净利达到8.72亿
[147.38-149.94] 那EPS也达到1.63元
[149.94-149.96] 那EPS也达到1.63元
[149.98-152.54] 那第一季的部分
[152.54-154.84] 我们目前
[154.84-160.22] 虽然是在淡季但是实际上整个的净利我们也达到6.86亿
[160.22-162.78] 那EPS也达到为1.57元
[162.78-165.34] 那再看起来还算平顺
[165.34-170.72] 那也比我们当初在去年底的时候我们公司在做预算的时候来的
[170.72-173.28] 还算是比较亮丽
[173.28-177.62] 那换算全年的股东权益这个帐跟去年第四季
[177.62-179.94] 比较起来差异也不大大概都有
[179.94-185.32] 达到双位数目前以第一季的推顾全年的话大概是15.2%
[185.32-188.90] 这是股东权益的部分
[188.90-192.48] OK那再来看一下这一页是细项的资料
[192.48-197.86] 这页最主要还是跟大家报告一下就是我们的营业毛利这个地方
[197.86-199.66] 实际上又叫
[199.66-204.26] 去年第四季以来的成长大概增加了2.4个百分点
[204.26-208.36] 那营业利益也一样有增加到接近3个百分点
[208.36-209.90] 那整个的状况其实是一样的
[209.90-212.20] 其实都在于就是说
[212.20-216.30] 因为去年基期比较高了那今年其实
[216.30-220.40] P1开始我们也有自律就是有一些
[220.40-221.68] 成本的
[221.68-223.98] 降低还有我们整个
[223.98-230.12] 营收也较预期的高所以在成本管控还有营收上去的情况之下
[230.12-235.76] 我们自己本身营业利益也达到接近20%所以整体的
[235.76-237.54] 状况看起来也还
[237.54-239.86] 维持一个不错的表现
[239.90-242.20] 那本期净利的部分
[242.20-249.38] 在营收比例也达到达18.6%左右所以整个的部分跟去年
[249.38-251.16] 来去年第四季来看的话
[251.16-252.96] 基本上差异不大
[252.96-257.30] 这个是第一季跟第四季的
[257.30-258.58] 比较
[258.58-261.92] 那再看一下那个资产负债表
[261.92-264.98] 我们还是维持
[264.98-269.86] 一定金额的现金大概有134亿左右跟去年
[269.90-273.22] 同期比较起来大概差异不大
[273.22-274.76] 那资产的部分有
[274.76-276.04] 有稍微增加
[276.04-282.44] 那里面的不动产的部分基本上是算我们占对大中那占整个的资产比重大概
[282.44-283.98] 也是在市场上下
[283.98-286.54] 目前第一季是维持在39%
[286.54-287.82] 看起来也
[287.82-289.10] 还算是稳当
[289.10-294.48] 那里面的流动负债有增加最主要的原因是因为我们有
[294.48-299.86] 公司债那公司债因为明年到期所以我们会依照
[299.86-303.18] 会计原则规定
[303.18-306.26] 把它归到一年内的流动
[306.26-308.06] 流动负债所以整个比例
[308.06-312.14] 虽然有上去但是负债总额其实我们还卡控的还不错
[312.14-318.30] 今年第一季是173亿那去年第一季是179亿所以差异
[318.30-319.06] 也不大
[319.06-323.66] 那整个下面的重要财务指标里面流动比例
[323.66-327.76] 基本上微降就是刚才那个因素因为我们的
[327.76-329.04] 流动资产
[329.04-329.82] 变化不大
[329.82-332.64] 那流动负债因为刚才讲的
[332.64-337.24] 公司债归到流动负债里面所以整个的比例就稍微下降
[337.24-338.26] 这还算是合理
[338.26-340.58] 那整个固定
[340.58-344.66] 资产周转率也从去年同期的1.07
[344.66-346.20] 上升到1.21
[346.20-351.84] 那最主要的原因还是在于就是说第一我的不动产厂房设备其实变化不大
[351.84-353.62] 但是我第一季的营收
[353.62-356.18] 比去年同期的营收来的增长
[356.18-359.78] 也因为这个原因所以整体的那个固定资产周转率也增长了
[359.82-363.14] 是这个原因
[363.14-368.02] 这是资产快表跟大家分析一下
[368.02-369.80] OK再看一下现金流量表
[369.80-371.34] 现金流量表第一
[371.34-375.44] 我们的月当现金的部分也还要维持的还不错
[375.44-377.48] 那整个的
[377.48-381.58] 里面大概有一个地方算是变化比较大的就是
[381.58-386.96] 取得储分不动产厂房及设备这个部分确实增加了
[386.96-388.74] 那这也是我之前跟大家报告的就是说因为我们现在QR code是在上载的
[388.74-389.78] 那这也是我之前跟大家报告的就是说因为我们现在QR code是在上载的
[389.82-390.34] 我们现在QR code是在上载的
[390.34-396.74] 有针对AI光通讯还有手机类的产品我们去备了一些产能
[396.74-399.04] 所以有增加一些资本支出
[399.04-401.34] 所以这个部分整个反映出来之后
[401.34-403.90] 这边的花费都比较多一点
[403.90-406.98] 那大家看下面的自由建建流量当然就下降了
[406.98-409.78] 那这个其实是合理的是因为我
[409.78-412.86] 确实因为有业务所需所以我整个
[412.86-414.14] 整个的
[414.14-415.42] 投资增加了
[415.42-419.52] 那除了这个以外其他的变化倒是不大
[419.82-421.62] 那除了这个以外其他的变化倒是不大
[421.62-426.98] 好再来我们看一下营收报告这一个是看到Q3的资料因为Q3资料
[426.98-428.52] 我们
[428.52-434.66] 都比去年同期成长那当然现在因为已经到了5月那我们之前也有
[434.66-438.50] 发新稿还有依照规定在10号公告营收
[438.50-440.56] 那我们的营收截至5月
[440.56-443.62] 目前累计的营收是78.4亿
[443.62-448.24] 那较去年同期的72.2亿增加了也近9%左右
[448.24-449.78] 所以看起来目前
[449.78-453.62] 虽然去年期期高了但是今年目前到5月
[453.62-458.22] 截止我们看起来还算是稳当
[458.22-465.90] OK以上是那个营业成果及营收报告
[465.90-466.94] 好
[466.94-467.70] 那
[467.70-469.50] 各位
[469.50-473.58] 业界先进媒体朋友那现在就由我
[473.58-476.92] 系个公司副董事长跟总经理
[476.92-478.96] 来跟各位报告
[478.96-482.80] 市场的营运跟重要的信息
[482.80-485.62] 那有关这个营运方面
[485.62-487.66] 我们合并的销售
[487.66-489.96] 依客户应用
[489.96-491.76] 别来期分的话
[491.76-493.04] 我们第一季
[493.04-496.36] 合并营收46.85亿
[496.36-500.20] 比去年同期41.62亿
[500.20-502.76] 成长了约13%
[502.76-503.80] 那
[503.80-506.10] 如果以产品的应用来看
[506.10-507.64] 在我们
[507.64-508.92] 比重最大的滋味的情况下
[508.92-510.72] 就是智慧手机
[510.72-512.76] 它的营收是有成长
[512.76-515.32] 但是因为成长的弧度还不算大
[515.32-516.60] 所以
[516.60-519.42] 智慧手机占比例从
[519.42-521.72] 去年的37%
[521.72-525.30] 稍微下降到34%
[525.30-527.36] 那
[527.36-530.16] 网资在车用跟医疗从
[530.16-533.50] 6%成长到7%
[533.50-535.80] 网通跟物联网
[535.80-538.10] 从去年的20%占比
[538.10-538.88] 成长到
[538.92-539.94] 32%
[539.94-543.28] 这算是成长比较多的
[543.28-546.08] 那消费性跟智慧家庭
[546.08-548.14] 大致上在金额跟
[548.14-549.92] 比例大致都差不多
[549.92-550.96] 维持在
[550.96-553.52] 20-19%左右
[553.52-556.58] 那比较有成长的就是在
[556.58-558.88] AI跟光通信
[558.88-561.44] 从去年占比1%
[561.44-563.50] 现在到4%
[563.50-566.06] 那这个部分成长是比较大
[566.06-567.60] 第二个部分就是在
[567.60-568.62] 资料中心HPC
[568.92-572.00] 金额是也有成长
[572.00-572.76] 比例
[572.76-575.32] 稍微下降主要原因是
[575.32-577.12] 有部分的客户
[577.12-579.68] 在做产品的调整
[579.68-581.72] 所以有所影响
[581.72-582.74] 不过
[582.74-585.30] 其实AI跟HPC
[585.30-587.86] 资料中心这三个呢
[587.86-589.40] 基本上
[589.40-591.44] 是息息相关所以
[591.44-594.78] 各位先进法人要看的话可能把这两个
[594.78-596.06] 视为同一类
[596.06-597.34] 也说得过去
[597.34-598.88] 就是AI跟HPC的
[598.92-599.94] HPC
[599.94-605.06] 占我们比重大概18%
[605.06-608.40] 那接下来报告影印展望
[608.40-609.92] 2025第一季
[609.92-613.76] 比较2024同期成长13%
[613.76-615.56] 刚刚主计长也有报告
[615.56-619.40] 获利也跟着上扬好几个percent
[619.40-621.96] 那展望2025年呢
[621.96-624.26] 我们一起AI手机
[624.26-625.80] AI伺服器
[625.80-627.08] ASIC
[627.08-628.36] 光通信
[628.36-629.90] 广通晶片
[629.90-632.72] 在SIG这边渴望继续成长
[632.72-636.04] 但目前还有关税不确定性
[636.04-638.34] 会影响到全球的经济
[638.34-639.88] 那当然就对
[639.88-640.90] 半导体产业
[640.90-643.72] 间接会造成影响
[643.72-645.52] 那汇率也会影响
[645.52-647.82] 企业的营收跟获利
[647.82-649.86] 那对SIG来讲我们
[649.86-653.20] 的因应方法就是积极开发新客户
[653.20-654.48] 新产品
[654.48-656.52] 来因应这些挑战
[656.52-658.32] 那长期来看呢
[658.36-662.46] 对于未来期市产业的核心半导体晶片的需求
[662.46-665.52] 预计能会持续增长
[665.52-668.86] 若未来没有发生不可控的因素
[668.86-671.92] 半导体需求应该是有机会成长
[671.92-674.74] 那我们公司看好的是AI
[674.74-676.80] ASIC AI手机
[676.80-683.96] 所带动的晶片测试需求
[683.96-686.78] 那接下来大家看一下SIG呢
[686.78-688.06] 在为了未来的
[688.06-690.36] 所做的投资
[690.36-692.66] 在研发设备的扩充
[692.66-694.98] 自动化厂房的投资
[694.98-696.76] 那我们在
[696.76-698.04] 第一季有
[698.04-700.60] 做了一些必要的投资
[700.60-702.14] 那么我们在
[702.14-703.68] 2025年5月呢
[703.68-707.26] 董事会有通过了资本支出最佳案
[707.26-709.30] 金额已经提高到
[709.30-711.36] 35.37亿
[711.36-714.94] 主要是用于AI光通信测试研发
[714.94-717.76] AI旗舰手机测试研发
[717.76-720.32] 跟产能的扩充
[720.32-723.40] 那2025年的投资呢主要
[723.40-725.70] 是针对AI ASIC
[725.70-726.98] Automotive
[726.98-730.82] 这个我们叫3AIC的测试需求
[730.82-732.86] 研发跟投资
[732.86-734.92] 叫做3A科技
[734.92-738.76] 主要就是Advanced Test Technology
[738.76-740.80] 就是先进测试技术
[740.80-743.10] Automation就是自动化
[743.10-746.68] AI Factory就是AI智慧工厂
[746.68-747.46] 那
[747.76-749.80] 我们在用3A呢
[749.80-751.86] 来
[751.86-754.92] 来争取3A的生意
[754.92-758.76] 那除了厂房设备硬体投资之外
[758.76-761.84] 我们公司也运用3A科技呢
[761.84-764.40] 对工厂精益求精
[764.40-773.36] 加强研发工程制造品质的能力
[773.36-774.90] 那接下来在
[774.90-777.72] 细革先进测试技术跟
[777.72-781.72] άеш个
[781.72-783.72] 创业的人员领域aphragm
[783.72-784.64] 来试试第二来
[784.64-802.64] 就是 convincing
[802.64-803.84] at a time
[803.84-804.86] 充满擎天的
[804.86-805.88] 货币问题
[805.88-807.58] 那么 unknowns
[807.58-812.76] 並且參加 SAME 的矽光產業聯盟
[812.76-814.56] 針對客戶需求
[814.56-819.12] 跟供應商合作開發解決方案
[819.12-823.46] 第三個 針對細格自製的設備
[823.46-825.80] 我們叫做 MAP
