[0.00-3.00] 好,謝謝各位
[3.00-7.00] 那我今天就先講一下我們整個第三季的一個狀況
[7.00-11.00] 那整個來說其實我們在今年第三季的數字
[11.00-14.00] 大家看到的部分是可以看到說亞太區
[14.00-16.00] 我們的營收的數字會比較高一點
[16.00-19.00] 那在綠色的部分呢
[19.00-22.00] 23.5%是英亞的區域
[22.00-25.00] 看起來它的部分是有稍微縮小一點
[25.00-27.00] 那整個來看其實是反映在整個20
[27.00-30.00] 可以說是從疫情之後呢
[30.00-32.00] 我們目前看到的幾個狀況就是說
[32.00-35.00] 因為歐洲的部分有一些戰爭的因素
[35.00-39.00] 所以整體來講其實英亞區域的整個總體經濟的狀況
[39.00-42.00] 相較另外兩個區域會比較弱一點
[42.00-44.00] 那亞太區的部分因為我們
[44.00-48.00] 我們紅基在中國的比重是比較少一點的
[48.00-50.00] 如果跟產業比起來的話
[50.00-52.00] 所以在過去這一段時間
[52.00-55.00] 中國的總體經濟也比較衰弱
[55.00-57.00] 但是因為紅基在這個
[57.00-60.00] 這個部分的比重比較低
[60.00-63.00] 所以我們並沒有受到中國經濟的一個影響
[63.00-67.00] 那美國的部分就變成它剛好是距離中間
[67.00-69.00] 所以我們現在在看的整個區域
[69.00-72.00] 以一個區域性市場來看的話呢
[72.00-74.00] 會是亞太區最強
[74.00-77.00] 然後再來美洲區的話
[77.00-80.00] 它就比較多的這個seasonality
[80.00-83.00] 那再來就會是歐洲區的一個表現
[83.00-85.00] 那看2025年目前來說
[85.00-87.00] 因為戰爭的部分還是沒有很大
[87.00-90.00] 沒有有任何的disability
[90.00-93.00] 所以2025年的展望來看的話
[93.00-97.00] 看起來這三個區域的表現還是會是比較像這個樣子
[97.00-99.00] 那再過來會看到說
[99.00-102.00] 其實我們亞太區的51.2%裡面呢
[102.00-105.00] 它主要的比重那麼大是因為
[105.00-107.00] 連接到下一頁你會看到
[107.00-111.00] 在PC的部分它其實就已經佔了27%
[111.00-116.00] 所以如果說把這個剛剛的51%拿掉這個27%的話
[116.00-121.00] 其實三個區域的PC市場的這個比重是差不多的
[123.00-126.00] 那拿PC的部分其實大家也稍微知道一下
[126.00-130.00] 我們公司其實目前已經有13個子公司
[130.00-132.00] 都有它的股票代號
[132.00-135.00] 那特別是在第四季的時候呢
[135.00-138.00] 我們公司其實在孫公司
[138.00-141.00] 我們有一個在紅機遊戲下面有一個孫公司
[141.00-143.00] 叫做維金Win King
[143.00-145.00] 它主要是做美術文化的東西
[146.00-148.00] 就是在這個外包的這個部分
[148.00-151.00] 那因為它在第四季的時候已經去輪交所
[151.00-154.00] 做一個雙重上市的一個狀況
[154.00-157.00] 所以因為這樣子其實我們在第四季的部分
[157.00-160.00] 大概會是因為受到這個孫公司的一個影響
[160.00-162.00] 可能會在因為上市
[162.00-166.00] 輪交所上市的費用也會比較高一點
[166.00-169.00] 所以可能會讓我們第四季的整個OPAC的費用
[169.00-171.00] 會稍微比過往高一點點
[173.00-175.00] 那在接下來會看到我們第三季的整個外包的這個部分
[176.00-178.00] 就是我們這個Income Statement
[178.00-180.00] 那這些數字其實大家都蠻熟的
[180.00-184.00] 那第四季呢我們其實在這個禮拜
[184.00-189.00] 上個禮拜大概已經發布了整個這個第四季的Top 1
[189.00-190.00] 那在季對季的部分
[190.00-193.00] 我們你可以說是2024年
[193.00-195.00] 從年初到年底這四個季度
[195.00-197.00] 其實我們季對季
[197.00-199.00] 年對年的營收都是增長的
[199.00-202.00] 就是2024相較2023都是增長的
[202.00-204.00] 不管是哪一個季度
[204.00-206.00] 那如果看到一整年來看的話呢
[206.00-211.00] 最後2024年的營收是比2023年的營收增加來到了10%
[211.00-217.00] 那其中10%裡面呢PC的部分大概是將近9%的一個狀況
[217.00-222.00] 那在老股對的部分呢會是超過了10%
[222.00-225.00] 來到了大概是23%的一個範圍
[225.00-228.00] 所以整體來看它還是符合我們在講的就是說
[228.00-232.00] 因為我們新事業部它的整個基企業比較低
[232.00-235.00] 所以他們在整個來看我們是比較預計
[235.00-242.00] 它的年對年的營收以一個整體的一個累積的家總的來看的話
[242.00-246.00] 它的營收表現會是超過10%的年對年的一個增長
[246.00-251.00] 那PC的部分我們剛剛講我們有大概將近是9%的一個增長的範圍
[251.00-256.00] 其實也是比跟這個業界來比我們算是表現蠻不錯的
[256.00-260.00] 因為2024年整體來講其實PC的一個需求成長來講
[260.00-263.00] 應該是在low single digit的一個範圍
[263.00-264.00] 那宏碁的整個股市呢其實是在低低低低的一個範圍
[265.00-268.00] 所以我們在2024年比2023年增長9%
[268.00-272.00] 一部分的原因也是因為2023年雖然有點久
[272.00-274.00] 但是可能能禮貌大家一下就是說
[274.00-279.00] 2023的上半年其實PC業界大部分都有一些庫存的壓力
[279.00-285.00] 所以紅業都會有一個要把這個庫存給消耗掉的一個狀況
[285.00-289.00] 所以我們變成說在2023年紅心因為沒有庫存壓力的問題
[289.00-293.00] 所以我們變成在2023年銷售的數字會比較少一點
[293.00-294.00] 那2024年因為整個業界都比較低低低低的一個範圍
[295.00-297.00] 所以我們就沒有這個庫存的問題了
[297.00-302.00] 所以宏碁在2024的時候呢是有拿回先是佔率回來
[302.00-308.00] 那在毛利率的部分其實我們還大部分是蠻持平的
[308.00-315.00] 那跟20年對年來看好像稍微一點點減少10.8%對10.6%的範圍
[315.00-319.00] 那10.8%在2023年第三季這個數字呢
[319.00-323.00] 其實某一個部分就是剛A口我剛講的就是在庫存的部分
[323.00-330.00] 因為我們2023年大家都在過多過少都有一些inventory的Rail
[330.00-334.00] 所以它也在後來之後也會有一些inventory的reversal
[334.00-338.00] 就是說先把它就是在它的這個Rail完之後呢
[338.00-341.00] 後來又把它銷售掉所以會有一些reversal的狀況
[341.00-345.00] 所以2023年的第三季為什麼會10.8%
[345.00-351.00] 它有一部分原因是因為這個庫存的這個reversal回來的關係
[351.00-352.00] 那比重也不是很大
[353.00-358.00] 那2024年就第三季的話就沒有這個狀況了
[358.00-360.00] 所以好像看起來毛利率有稍微下降
[360.00-364.00] 但事實上它主要是因為2023年庫存的關係
[364.00-369.00] 那在Approved Income Margin上面來看其實也差不多
[369.00-370.00] 大概都是這個範圍
[370.00-375.00] 那業外部分其實我們公司都比較少會去Focus在這一塊
[375.00-381.00] 因為業外裡面的一個比較大的一個波動主要是因為我們公司的一個外匯的評價科目
[381.00-382.00] 所以我們
[383.00-388.00] 我過去有跟大家講過說其實宏碁的外匯的部分呢
[388.00-391.00] 其實如果從長時間來看就過去五年來看
[391.00-397.00] 宏碁的外匯的賺跟賠呢最後會趨近於隨意兩平
[397.00-401.00] 所以在業外部分其實我們為什麼沒有太過著重
[401.00-403.00] 所以它這個數字波動很大
[403.00-407.00] 但是主要的原因就是因為它那個評價科目的原因
[407.00-409.00] 那如果把那部分拿掉的話呢
[409.00-411.00] 我們的業外主要的收入就來自於利息的部分
[411.00-412.00] 那如果把那部分拿掉的話呢我們的業外主要的收入就來自於利息的部分
[412.00-413.00] 那如果把那部分拿掉的話呢我們的業外主要的收入就來自於利息的部分
[413.00-414.00] 那如果把那部分拿掉的話呢我們的業外主要的收入就來自於利息的部分
[414.00-419.00] 那利息的收入因為在之前我們的這個美元的利率大概都是維持在4到5%
[419.00-422.00] 那利息的收入因為在之前我們的這個美元的利率大概都是維持在4到5%
[422.00-424.00] 那本來大家都預期它會往下
[424.00-426.00] 現在又看來不會往下
[426.00-430.00] 所以呢我們看還是有機會可以賺這樣子的一個利息的收入
[430.00-434.00] 所以如果在業外部分我們主要會是一個利息收入的來源
[434.00-435.00] 所以如果在業外部分我們主要會是一個利息收入的來源
[435.00-439.00] 那最後是我們的EPS
[439.00-442.00] 那在最下面這個附註裡面我也有提到一個
[442.00-444.00] 在這個附註裡面我也有提到一個
[444.00-448.00] 我們在老虎對的營收貢獻是多少
[448.00-453.00] 然後他對這個我們的Operated Income的貢獻又是多少
[453.00-455.00] 大概都有給大家看
[455.00-460.00] 每個營收新聞稿裡面大概都會揭露給大家知道
[460.00-466.00] 那最後看到整個前9個月對9個月來看的話呢
[466.00-469.00] 就可以看到我剛剛講的就是說在營收的部分呢
[469.00-471.00] 我們的前9個月都還成長
[471.00-472.00] 我們的前9個月都還成長
[472.00-475.00] 那第4季的話就是成長率沒有像12%那麼高
[475.00-478.00] 大概就是4.7%的一個年對年成長
[478.00-481.00] 所以整個全年12
[481.00-485.00] 整個年度就是落到了10%的範圍
[485.00-487.00] 那剛剛講就是業外部分
[487.00-489.00] 我剛剛就說因為其實如果
[489.00-494.00] 如果把我們這個業外的部分用長時間來看的話
[494.00-497.00] 這個影響數就是外匯部分影響數就會變得比較
[497.00-500.00] 不是這麼的波動性這麼大
[500.00-501.00] 那至於我們公司的這個貢獻的話呢
[501.00-503.00] 那至於我們公司的EPS的部分呢
[503.00-505.00] 雖然我們有第4季的數字喔
[505.00-510.00] 那可是各位可能會對所謂的股利
[510.00-513.00] 就是股利的配發會比較有興趣
[513.00-518.00] 那雖然宏碁公司並沒有一個很清楚的說我們股利配發的比重會是多少
[518.00-521.00] 但是從我們過去這麼多年來的
[521.00-523.00] 從2015年到現在的歷史來說
[523.00-529.00] 其實我們的股利的配發相較於EPS大概都是有超過80%以上
[529.00-530.00] 所以這個部分其實我們也有很清楚的看法
[531.00-536.00] 但是我們目前還是在展望2025年配2024年的話
[536.00-542.00] 這樣子的比例就是至少70%以上的這個比例我們覺得還是做得到的
[542.00-546.00] 那再過來會
[561.00-563.00] 然後再過來會是我們
[563.00-567.00] 這個就是我們剛才講的就是毛利率的部分其實我們公司大部分是持平的
[567.00-569.00] 那剛看到是一個表格的部分
[569.00-572.00] 那就看到是28個季度的一個狀況
[572.00-574.00] 然後在一夜淨利率的部分呢
[574.00-578.00] 其實在第一季的部分今年第一季跟去年第一季的話
[578.00-585.00] 我們都會受到一個整個可以說是在CNLT的關係的話呢
[585.00-589.00] 其實我們會看到第一季的獲利狀況比較差一點
[589.00-590.00] 那第二第三季其實都會有一個比較低的狀況的話呢
[591.00-593.00] 所以會有一個比較快速的爬升
[593.00-599.00] 那到第四季的話其實overall來講大家也會可以說是在高利率的環境下
[599.00-604.00] 其實會看到說普遍來講我們的客戶就通路商這邊呢
[604.00-610.00] 他們在做這個第四季的銷售上面或者第四季的這個堆庫存上面呢
